phyname	dN	dNse	dS	dSse	dNdS	genea1	genea1mvld
Mvsl_MvDv_A1pair_1022.results.txt	0.95069	0.51785	2.03198	2.36120	0.467864	MvSl-1064-A1-R4_A1g01406	MvSlatifolia-1318-D-TG7-PbcR_C14g09404
Mvsl_MvDv_A1pair_1024.results.txt	8.67535	0.00000	0.57129	0.66645	15.1855	MvSl-1064-A1-R4_A1g01408	MvSlatifolia-1318-D-TG7-PbcR_C14g09402
Mvsl_MvDv_A1pair_1025.results.txt	0.71126	0.45838	0.08359	0.13123	8.50891	MvSl-1064-A1-R4_A1g01409	MvSlatifolia-1318-D-TG7-PbcR_C14g09401
Mvsl_MvDv_A1pair_1030.results.txt	27.67227	63.64030	1.03297	1.23507	26.789	MvSl-1064-A1-R4_A1g01416	MvSlatifolia-1318-D-TG7-PbcR_C14g09426
Mvsl_MvDv_A1pair_1032.results.txt	0.83465	0.34656	1.71222	1.52323	0.487467	MvSl-1064-A1-R4_A1g01418	MvSlatifolia-1318-D-TG7-PbcR_C14g09428
Mvsl_MvDv_A1pair_1033.results.txt	1.28032	0.47665	5.13105	4.70668	0.249524	MvSl-1064-A1-R4_A1g01422	MvSlatifolia-1318-D-TG7-PbcR_C14g09432
Mvsl_MvDv_A1pair_1034.results.txt	0.40064	0.28039	0.57986	0.65778	0.690925	MvSl-1064-A1-R4_A1g01423	MvSlatifolia-1318-D-TG7-PbcR_C14g09433
Mvsl_MvDv_A1pair_1035.results.txt	1.47593	1.03521	34.73666	268.85058	0.0424891	MvSl-1064-A1-R4_A1g01424	MvSlatifolia-1318-D-TG7-PbcR_C14g09434
Mvsl_MvDv_A1pair_1040.results.txt	0.00000	0.00000	0.00001	0.00000	0	MvSl-1064-A1-R4_A1g01429	MvSlatifolia-1318-D-TG7-PbcR_C14g09439
Mvsl_MvDv_A1pair_1041.results.txt	0.54389	0.19722	0.19094	0.16480	2.84849	MvSl-1064-A1-R4_A1g01430	MvSlatifolia-1318-D-TG7-PbcR_C14g09440
Mvsl_MvDv_A1pair_1042.results.txt	3.04346	3.40877	1.12309	1.14191	2.7099	MvSl-1064-A1-R4_A1g01431	MvSlatifolia-1318-D-TG7-PbcR_C14g09441
Mvsl_MvDv_A1pair_1044.results.txt	0.28585	0.11316	0.00289	0.01012	98.91	MvSl-1064-A1-R4_A1g01433	MvSlatifolia-1318-D-TG7-PbcR_C14g09443
Mvsl_MvDv_A1pair_1048.results.txt	1.38090	0.37660	61.29058	137.74572	0.0225304	MvSl-1064-A1-R4_A1g01438	MvSlatifolia-1318-D-TG7-PbcR_C14g09448
Mvsl_MvDv_A1pair_1049.results.txt	0.00000	0.00000	0.00001	0.00000	0	MvSl-1064-A1-R4_A1g01439	MvSlatifolia-1318-D-TG7-PbcR_C14g09449
Mvsl_MvDv_A1pair_105.results.txt	0.00000	0.00331	0.00001	0.00808	0	MvSl-1064-A1-R4_A1g00133	MvSlatifolia-1318-D-TG7-PbcR_C03g03191
Mvsl_MvDv_A1pair_1050.results.txt	1.64620	1.12194	2.56489	3.40709	0.641821	MvSl-1064-A1-R4_A1g01440	MvSlatifolia-1318-D-TG7-PbcR_C14g09450
Mvsl_MvDv_A1pair_1051.results.txt	0.02108	0.02104	0.00021	0.00229	100.38	MvSl-1064-A1-R4_A1g01441	MvSlatifolia-1318-D-TG7-PbcR_C14g09451
Mvsl_MvDv_A1pair_1054.results.txt	1.60255	0.69006	4.73053	6.57915	0.338768	MvSl-1064-A1-R4_A1g01444	MvSlatifolia-1318-D-TG7-PbcR_C14g09454
Mvsl_MvDv_A1pair_1055.results.txt	0.00000	0.00000	0.00001	0.00000	0	MvSl-1064-A1-R4_A1g01445	MvSlatifolia-1318-D-TG7-PbcR_C14g09455
Mvsl_MvDv_A1pair_1057.results.txt	0.00000	0.00000	0.00000	0.00000	0	MvSl-1064-A1-R4_A1g01447	MvSlatifolia-1318-D-TG7-PbcR_C14g09457
Mvsl_MvDv_A1pair_1058.results.txt	1.88759	1.32049	0.54072	0.38492	3.49088	MvSl-1064-A1-R4_A1g01448	MvSlatifolia-1318-D-TG7-PbcR_C25g11717
Mvsl_MvDv_A1pair_1059.results.txt	2.84048	2.33684	70.23604	300.83393	0.0404419	MvSl-1064-A1-R4_A1g01450	MvSlatifolia-1318-D-TG7-PbcR_C14g09460
Mvsl_MvDv_A1pair_1060.results.txt	0.00000	0.00022	0.00001	0.00062	0	MvSl-1064-A1-R4_A1g01451	MvSlatifolia-1318-D-TG7-PbcR_C14g09461
Mvsl_MvDv_A1pair_1062.results.txt	2.80811	2.38467	61.20848	333.12668	0.0458778	MvSl-1064-A1-R4_A1g01453	MvSlatifolia-1318-D-TG7-PbcR_C14g09463
Mvsl_MvDv_A1pair_1063.results.txt	0.44435	0.49821	0.00449	0.03220	98.9643	MvSl-1064-A1-R4_A1g01454	MvSlatifolia-1318-D-TG7-PbcR_C14g09464
Mvsl_MvDv_A1pair_1064.results.txt	0.00000	0.00000	0.00000	0.00000	0	MvSl-1064-A1-R4_A1g01455	MvSlatifolia-1318-D-TG7-PbcR_C14g09465
Mvsl_MvDv_A1pair_1066.results.txt	0.00000	0.00000	0.00000	0.00000	0	MvSl-1064-A1-R4_A1g01457	MvSlatifolia-1318-D-TG7-PbcR_C14g09467
Mvsl_MvDv_A1pair_1067.results.txt	0.85659	0.31582	103.32508	202.05958	0.00829024	MvSl-1064-A1-R4_A1g01458	MvSlatifolia-1318-D-TG7-PbcR_C14g09468
Mvsl_MvDv_A1pair_1069.results.txt	1.03548	0.51596	2.10902	1.83134	0.490977	MvSl-1064-A1-R4_A1g01460	MvSlatifolia-1318-D-TG7-PbcR_C14g09470
Mvsl_MvDv_A1pair_107.results.txt	25.66149	31.25630	0.25921	0.62543	98.9988	MvSl-1064-A1-R4_A1g00136	MvSlatifolia-1318-D-TG7-PbcR_C03g03188
Mvsl_MvDv_A1pair_1070.results.txt	0.00000	0.00018	0.00001	0.00000	0	MvSl-1064-A1-R4_A1g01461	MvSlatifolia-1318-D-TG7-PbcR_C14g09471
Mvsl_MvDv_A1pair_1071.results.txt	1.09273	0.43399	78.49059	226.37051	0.0139218	MvSl-1064-A1-R4_A1g01462	MvSlatifolia-1318-D-TG7-PbcR_C14g09472
Mvsl_MvDv_A1pair_1075.results.txt	0.00000	0.00000	0.00001	0.00000	0	MvSl-1064-A1-R4_A1g01466	MvSlatifolia-1318-D-TG7-PbcR_C14g09476
Mvsl_MvDv_A1pair_1076.results.txt	0.73141	0.28978	1.55246	1.08751	0.47113	MvSl-1064-A1-R4_A1g01467	MvSlatifolia-1318-D-TG7-PbcR_C14g09477
