gene	chr	chrom	DE	expmean	dN	dNse	dS	dSse	dnds	haploid
MvSl-1064-A1-R4_A1g01488	bPAR	bPAR	NON	9.29222	0.00156	0.00158	0.01428	0.00721	0.109243	A1
MvSl-1064-A1-R4_A1g01494	bPAR	bPAR	NON	6.2211	0.00568	0.00172	0.00882	0.00362	0.643984	A1
MvSl-1064-A1-R4_A1g01500	bPAR	bPAR	NON	7.94196	0.00001	0	0.00868	0.0017	0.00115206	A1
MvSl-1064-A1-R4_A1g01501	bPAR	bPAR	NON	6.25275	0.00002	0	0.0237	0	0.000843878	A1
MvSl-1064-A1-R4_A1g01502	bPAR	bPAR	NON	7.12027	0.00451	0.00132	0.00481	0.00157	0.93761	A1
MvSl-1064-A1-R4_A1g01508	bPAR	bPAR	NON	7.87022	0.02717	0.0074	0.07292	0.02313	0.3726	A1
MvSl-1064-A1-R4_A1g01509	bPAR	bPAR	NON	6.07762	0.00002	0	0.02374	0.00287	0.000842456	A1
MvSl-1064-A1-R4_MC01-1g01697	aAutosome	aAutosome	NON	1.38411	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g01701	aAutosome	aAutosome	NON	7.53201	0.0017	0.00099	0.00203	0.0012	0.837397	A1
MvSl-1064-A1-R4_MC01-1g01703	aAutosome	aAutosome	NON	5.08718	0.00137	0.00138	0.00483	0.00485	0.283638	A1
MvSl-1064-A1-R4_MC01-1g01705	aAutosome	aAutosome	NON	4.4233	0.00423	0.00297	0.00439	0.00433	0.963532	A1
MvSl-1064-A1-R4_MC01-1g01708	aAutosome	aAutosome	NON	7.5623	0	0	0.00289	0.00027	0	A1
MvSl-1064-A1-R4_MC01-1g01711	aAutosome	aAutosome	NON	7.18419	0.00273	0.00137	0.00673	0.00338	0.40564	A1
MvSl-1064-A1-R4_MC01-1g01713	aAutosome	aAutosome	NON	3.87133	0.00674	0.00203	0.00449	0.00256	1.50108	A1
MvSl-1064-A1-R4_MC01-1g01719	aAutosome	aAutosome	NON	1.2481	0.00851	0.00428	0.01211	0.00863	0.702719	A1
MvSl-1064-A1-R4_MC01-1g01720	aAutosome	aAutosome	NON	6.65284	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g01722	aAutosome	aAutosome	NON	0.291202	0.53336	0.06165	0.62496	0.14093	0.85343	A1
MvSl-1064-A1-R4_MC01-1g01723	aAutosome	aAutosome	NON	3.12535	0.01524	0.00486	0.0138	0.00814	1.10434	A1
MvSl-1064-A1-R4_MC01-1g01724	aAutosome	aAutosome	NON	1.66812	0.01147	0.00436	0.00951	0.00675	1.20609	A1
MvSl-1064-A1-R4_MC01-1g01725	aAutosome	aAutosome	NON	5.58305	0.0017	0.0017	0.00002	0	84.5771	A1
MvSl-1064-A1-R4_MC01-1g01726	aAutosome	aAutosome	NON	6.74847	0.00301	0.00152	0.0045	0.00262	0.668874	A1
MvSl-1064-A1-R4_MC01-1g01728	aAutosome	aAutosome	NON	7.25625	0	0	0.00284	0	0	A1
MvSl-1064-A1-R4_MC01-1g01729	aAutosome	aAutosome	NON	4.35857	0	0.00002	0.00001	0.0043	0	A1
MvSl-1064-A1-R4_MC01-1g01730	aAutosome	aAutosome	NON	4.79476	0.00002	0	0.02426	0.00174	0.000824399	A1
MvSl-1064-A1-R4_MC01-1g01731	aAutosome	aAutosome	NON	10.4914	0.00059	0.0006	0.00327	0.00329	0.180423	A1
MvSl-1064-A1-R4_MC01-1g01734	aAutosome	aAutosome	NON	4.0037	0.00214	0.00152	0.00726	0.00516	0.294762	A1
MvSl-1064-A1-R4_MC01-1g01735	aAutosome	aAutosome	NON	2.50627	0.01236	0.0052	0.01299	0.00771	0.951494	A1
MvSl-1064-A1-R4_MC01-1g01741	aAutosome	aAutosome	NON	6.12949	0.01538	0.00544	0.01982	0.01142	0.77598	A1
MvSl-1064-A1-R4_MC01-1g01742	aAutosome	aAutosome	NON	6.97814	0.00284	0.00164	0.00401	0.00399	0.708212	A1
MvSl-1064-A1-R4_MC01-1g01743	aAutosome	aAutosome	NON	6.14839	0.79915	0.09625	1.19477	0.30779	0.668873	A1
MvSl-1064-A1-R4_MC01-1g01744	aAutosome	aAutosome	NON	7.76724	0.01027	0.00365	0.01704	0.00606	0.602696	A1
MvSl-1064-A1-R4_MC01-1g01748	aAutosome	aAutosome	NON	4.87456	0.00001	0	0.00512	0	0.00195309	A1
MvSl-1064-A1-R4_MC01-1g01751	aAutosome	aAutosome	NON	7.72797	0.00191	0.00184	0.00993	0.00937	0.192344	A1
MvSl-1064-A1-R4_MC01-1g01754	aAutosome	aAutosome	NON	5.0174	0.00004	0	0.03552	0.00559	0.00112612	A1
MvSl-1064-A1-R4_MC01-1g01755	aAutosome	aAutosome	NON	6.54413	0.01417	0.00719	0.02786	0.0286	0.508613	A1
MvSl-1064-A1-R4_MC01-1g01756	aAutosome	aAutosome	NON	5.45539	0.00325	0.00327	0.01234	0.01266	0.263369	A1
MvSl-1064-A1-R4_MC01-1g01757	aAutosome	aAutosome	NON	0.51749	0.00369	0.00369	0.04506	0.03214	0.0818906	A1
MvSl-1064-A1-R4_MC01-1g01760	aAutosome	aAutosome	NON	5.68992	0.00004	0	0.04083	0.00366	0.000979669	A1
MvSl-1064-A1-R4_MC01-1g01762	aAutosome	aAutosome	NON	2.48403	0.00413	0.00413	0.00004	0.0002	102.993	A1
MvSl-1064-A1-R4_MC01-1g01763	aAutosome	aAutosome	NON	6.12032	0.00104	0.00074	0.00481	0.00241	0.216212	A1
MvSl-1064-A1-R4_MC01-1g01766	aAutosome	aAutosome	NON	6.19495	0.00001	0	0.00681	0.00043	0.00146841	A1
MvSl-1064-A1-R4_MC01-1g01767	aAutosome	aAutosome	NON	6.20124	0.29506	0.03232	0.56812	0.0856	0.519362	A1
MvSl-1064-A1-R4_MC01-1g01768	aAutosome	aAutosome	NON	7.83813	0.00273	0.00096	0.00472	0.00168	0.578378	A1
MvSl-1064-A1-R4_MC01-1g01769	aAutosome	aAutosome	NON	5.89285	0.00568	0.00402	0.00006	0.00027	94.5092	A1
MvSl-1064-A1-R4_MC01-1g01771	aAutosome	aAutosome	NON	7.39731	0.00472	0.00473	0.00005	0.00021	94.2116	A1
MvSl-1064-A1-R4_MC01-1g01775	aAutosome	aAutosome	NON	6.26086	0	0.00703	0.00001	0.01472	0	A1
MvSl-1064-A1-R4_MC01-1g01782	aAutosome	aAutosome	NON	6.09002	0	0.00625	0.00001	0.01672	0	A1
MvSl-1064-A1-R4_MC01-1g01783	aAutosome	aAutosome	NON	-0.258542	0	0.0937	0.00001	0.18679	0	A1
MvSl-1064-A1-R4_MC01-1g01788	aAutosome	aAutosome	NON	6.53479	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g01789	aAutosome	aAutosome	NON	8.12668	0	0	0.00208	0.00063	0	A1
MvSl-1064-A1-R4_MC01-1g01790	aAutosome	aAutosome	NON	6.30488	0.00424	0.00426	0.00004	0	105.736	A1
