gene	chr	chrom	DE	expmean	dN	dNse	dS	dSse	dnds	haploid
MvSl-1064-A1-R4_A1g00516	faBlack	NRR	Up	9.00577	0.00001	0	0.00702	0.00048	0.00142448	A1
MvSl-1064-A1-R4_A1g00518	faBlack	NRR	NON	6.47379	0.07606	0.02132	0.13878	0.05495	0.548061	A1
MvSl-1064-A1-R4_A1g00519	faBlack	NRR	NON	7.3177	0	0.00004	0.00001	0	0	A1
MvSl-1064-A1-R4_A1g00520	faBlack	NRR	NON	5.6604	0.0024	0.00238	0.00415	0.00412	0.578299	A1
MvSl-1064-A1-R4_A1g00521	faBlack	NRR	NON	6.11793	0.00275	0.00159	0.00003	0.00005	91.3621	A1
MvSl-1064-A1-R4_A1g00522	faBlack	NRR	Up	2.27398	0.0083	0.00581	0.00953	0.0093	0.870925	A1
MvSl-1064-A1-R4_A1g00525	faBlack	NRR	NON	7.49626	0	0.00006	0.00002	0	0	A1
MvSl-1064-A1-R4_A1g00527	faBlack	NRR	NON	5.07576	0.00133	0.00133	0.00001	0	131.683	A1
MvSl-1064-A1-R4_A1g00528	faBlack	NRR	NON	2.67387	0.66791	0.10102	1.71982	0.5887	0.38836	A1
MvSl-1064-A1-R4_A1g00530	faBlack	NRR	NON	6.85964	0.00001	0	0.00849	0.00185	0.00117784	A1
MvSl-1064-A1-R4_A1g00532	faBlack	NRR	NON	5.16366	0	0.00935	0.00001	0.02356	0	A1
MvSl-1064-A1-R4_A1g00534	faBlack	NRR	NON	7.75529	0.00551	0.00391	0.00006	0.00033	91.6805	A1
MvSl-1064-A1-R4_A1g00541	faBlack	NRR	NON	6.28255	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_A1g00542	faBlack	NRR	NON	5.03925	0	0.00489	0.00001	0.01036	0	A1
MvSl-1064-A1-R4_A1g00543	faBlack	NRR	NON	7.02619	0	0.00011	0.00002	0.0272	0	A1
MvSl-1064-A1-R4_A1g00544	faBlack	NRR	NON	5.63937	0.00001	0	0.00729	0	0.00137172	A1
MvSl-1064-A1-R4_A1g00575	faBlack	NRR	NON	7.63479	0.00078	0.00055	0.00148	0.00105	0.526991	A1
MvSl-1064-A1-R4_A1g00576	faBlack	NRR	NON	4.00066	0.00315	0.00311	0.00626	0.00619	0.503187	A1
MvSl-1064-A1-R4_A1g00593	fBlue	NRR	NON	8.0334	0.00086	0.00086	0.00357	0.00253	0.24089	A1
MvSl-1064-A1-R4_A1g00594	faBlack	NRR	Up	5.93226	0.16302	0.0323	0.22165	0.06514	0.735484	A1
