gene	rich1	rich2
MvSl-1064-A1-R4_MC01-1g01756	1360.5	1873.6
MvSl-1064-A1-R4_MC01-1g01757	10.6377	38.4268
MvSl-1064-A1-R4_MC01-1g01758	224.282	262.878
MvSl-1064-A1-R4_MC01-1g01759	5.65001	5.66465
MvSl-1064-A1-R4_MC01-1g01760	1569.36	6785.57
MvSl-1064-A1-R4_MC01-1g01761	60	63
MvSl-1064-A1-R4_MC01-1g01762	215	320
MvSl-1064-A1-R4_MC01-1g01763	2115	2291
MvSl-1064-A1-R4_MC01-1g01764	55	55
MvSl-1064-A1-R4_MC01-1g01765	227.009	246.831
MvSl-1064-A1-R4_MC01-1g01766	1325	1233
MvSl-1064-A1-R4_MC01-1g01767	1122	1621
MvSl-1064-A1-R4_MC01-1g01768	1787	3056
MvSl-1064-A1-R4_MC01-1g01769	502	456
MvSl-1064-A1-R4_MC01-1g01770	4947	8930
MvSl-1064-A1-R4_MC01-1g01771	4194	5817
MvSl-1064-A1-R4_MC01-1g01772	0	0
MvSl-1064-A1-R4_MC01-1g01773	0	0
MvSl-1064-A1-R4_MC01-1g01774	10	16
MvSl-1064-A1-R4_MC01-1g01775	906.31	1340.53
MvSl-1064-A1-R4_MC01-1g01776	36.6009	39.6517
MvSl-1064-A1-R4_MC01-1g01777	3.01931	8.06419
MvSl-1064-A1-R4_MC01-1g01778	2	1
MvSl-1064-A1-R4_MC01-1g01779	68	74
MvSl-1064-A1-R4_MC01-1g01780	1388	1950
MvSl-1064-A1-R4_MC01-1g01781	3	3.5
MvSl-1064-A1-R4_MC01-1g01782	1696.8	2665.54
MvSl-1064-A1-R4_MC01-1g01783	40.4653	20.3032
MvSl-1064-A1-R4_MC01-1g01784	0	0
MvSl-1064-A1-R4_MC01-1g01785	25.875	18.9
MvSl-1064-A1-R4_MC01-1g01786	107.804	117.111
MvSl-1064-A1-R4_MC01-1g01787	0	0
MvSl-1064-A1-R4_MC01-1g01788	1116.25	1364.72
MvSl-1064-A1-R4_MC01-1g01789	3442.43	6278.22
MvSl-1064-A1-R4_MC01-1g01790	1050.97	1689.94
MvSl-1064-A1-R4_MC01-1g01791	38.4715	41.6591
MvSl-1064-A1-R4_MC01-1g01792	110.375	105.673
MvSl-1064-A1-R4_MC01-1g01793	19.5361	23.3779
MvSl-1064-A1-R4_MC01-1g01794	98.4473	82.3495
MvSl-1064-A1-R4_MC01-1g01795	3	4
MvSl-1064-A1-R4_MC01-1g01796	3818	5786
MvSl-1064-A1-R4_MC01-1g01797	637	958
MvSl-1064-A1-R4_MC01-1g01798	1165	2088
MvSl-1064-A1-R4_MC01-1g01799	538	755
MvSl-1064-A1-R4_MC01-1g01800	13682	23662
MvSl-1064-A1-R4_MC01-1g01801	1429	1537
MvSl-1064-A1-R4_MC01-1g01802	3747	3931
MvSl-1064-A1-R4_MC01-1g01803	15403	26796
MvSl-1064-A1-R4_MC01-1g01804	1516	2073
MvSl-1064-A1-R4_MC01-1g01805	919	1113
MvSl-1064-A1-R4_MC01-1g01806	1628	1894
MvSl-1064-A1-R4_MC01-1g01807	1.02854	2.03767
MvSl-1064-A1-R4_MC01-1g01808	1090.97	1372.96
MvSl-1064-A1-R4_MC01-1g01809	4383	6821
MvSl-1064-A1-R4_MC01-1g01810	316	305
MvSl-1064-A1-R4_MC01-1g01811	675	865
MvSl-1064-A1-R4_MC01-1g01812	1243	1471
MvSl-1064-A1-R4_MC01-1g01813	1658	1834
MvSl-1064-A1-R4_MC01-1g01814	594	1277
MvSl-1064-A1-R4_MC01-1g01815	5	4
MvSl-1064-A1-R4_MC01-1g01816	3766	5714
MvSl-1064-A1-R4_MC01-1g01817	4637	8986
MvSl-1064-A1-R4_MC01-1g01818	998	1248
MvSl-1064-A1-R4_MC01-1g01819	2016	3422
MvSl-1064-A1-R4_MC01-1g01820	196	205
MvSl-1064-A1-R4_MC01-1g01821	2044	1012
MvSl-1064-A1-R4_MC01-1g01822	1879.1	2605
MvSl-1064-A1-R4_MC01-1g01823	755	1231
MvSl-1064-A1-R4_MC01-1g01824	3730	5331
MvSl-1064-A1-R4_MC01-1g01825	0	0
MvSl-1064-A1-R4_MC01-1g01826	21	35
MvSl-1064-A1-R4_MC01-1g01827	55.1146	66.8609
MvSl-1064-A1-R4_MC01-1g01828	207.904	197.544
MvSl-1064-A1-R4_MC01-1g01829	178.39	174.286
MvSl-1064-A1-R4_MC01-1g01830	408.187	581.048
MvSl-1064-A1-R4_MC01-1g01831	3.66649	1
MvSl-1064-A1-R4_MC01-1g01832	4.51276e-08	0
MvSl-1064-A1-R4_MC01-1g01833	0	0
MvSl-1064-A1-R4_MC01-1g01834	7	5
MvSl-1064-A1-R4_MC01-1g01835	5.89292	9.0234
MvSl-1064-A1-R4_MC01-1g01836	15.5767	7.90136
MvSl-1064-A1-R4_MC01-1g01837	0	1.11979
MvSl-1064-A1-R4_MC01-1g01838	0	1.95579
MvSl-1064-A1-R4_MC01-1g01839	2.80079	1.55094
MvSl-1064-A1-R4_MC01-1g01840	3	16
MvSl-1064-A1-R4_MC01-1g01841	816	909
MvSl-1064-A1-R4_MC01-1g01842	0	0
MvSl-1064-A1-R4_MC01-1g01843	49	35
MvSl-1064-A1-R4_MC01-1g01844	1810	2932
MvSl-1064-A1-R4_MC01-1g01845	1200	1397
MvSl-1064-A1-R4_MC01-1g01846	3250	3526
MvSl-1064-A1-R4_MC01-1g01847	11	6
MvSl-1064-A1-R4_MC01-1g01848	1	0
MvSl-1064-A1-R4_MC01-1g01849	5772	8298
MvSl-1064-A1-R4_MC01-1g01850	546	557
MvSl-1064-A1-R4_MC01-1g01851	1661	2212
MvSl-1064-A1-R4_MC01-1g01852	3029	4765
MvSl-1064-A1-R4_MC01-1g01853	703	784
MvSl-1064-A1-R4_MC01-1g01854	39	42
MvSl-1064-A1-R4_MC01-1g01855	1752	2425
MvSl-1064-A1-R4_MC01-1g01856	2773	4782
MvSl-1064-A1-R4_MC01-1g01857	112	68
MvSl-1064-A1-R4_MC01-1g01858	527	730
MvSl-1064-A1-R4_MC01-1g01859	5458	6784
MvSl-1064-A1-R4_MC01-1g01860	982	1555
MvSl-1064-A1-R4_MC01-1g01861	3406	3316
MvSl-1064-A1-R4_MC01-1g01862	5700	8873
MvSl-1064-A1-R4_MC01-1g01863	1739	1941
MvSl-1064-A1-R4_MC01-1g01864	696	958
MvSl-1064-A1-R4_MC01-1g01865	222	266
MvSl-1064-A1-R4_MC01-1g01866	8	1
MvSl-1064-A1-R4_MC01-1g01867	1851	2117
MvSl-1064-A1-R4_MC01-1g01868	733	690
MvSl-1064-A1-R4_MC01-1g01869	1229	1622
MvSl-1064-A1-R4_MC01-1g01870	6301.05	9327.57
MvSl-1064-A1-R4_MC01-1g01871	854	1497
MvSl-1064-A1-R4_MC01-1g01872	2017	3547
MvSl-1064-A1-R4_MC01-1g01873	2640	4707
MvSl-1064-A1-R4_MC01-1g01874	2243	3564
MvSl-1064-A1-R4_MC01-1g01875	880	1006
MvSl-1064-A1-R4_MC01-1g01876	5756	6322
MvSl-1064-A1-R4_MC01-1g01877	749	1069
MvSl-1064-A1-R4_MC01-1g01878	519	652
MvSl-1064-A1-R4_MC01-1g01879	790	798
MvSl-1064-A1-R4_MC01-1g01880	4915	4648
MvSl-1064-A1-R4_MC01-1g01881	1538	2653
MvSl-1064-A1-R4_MC01-1g01882	2117	3660
MvSl-1064-A1-R4_MC01-1g01883	954	1662
MvSl-1064-A1-R4_MC01-1g01884	195	149
MvSl-1064-A1-R4_MC01-1g01885	224	369
MvSl-1064-A1-R4_MC01-1g01886	861	900
MvSl-1064-A1-R4_MC01-1g01887	1821	964
MvSl-1064-A1-R4_MC01-1g01888	136	97
MvSl-1064-A1-R4_MC01-1g01889	4475	8183
MvSl-1064-A1-R4_MC01-1g01890	3185	3101
MvSl-1064-A1-R4_MC01-1g01891	495	637
MvSl-1064-A1-R4_MC01-1g01892	128	86
MvSl-1064-A1-R4_MC01-1g01893	1084	1479
MvSl-1064-A1-R4_MC01-1g01894	5094	2341
MvSl-1064-A1-R4_MC01-1g01895	1324	645
MvSl-1064-A1-R4_MC01-1g01896	1274	1250
MvSl-1064-A1-R4_MC01-1g01897	2252	2484
MvSl-1064-A1-R4_MC01-1g01898	461	563
MvSl-1064-A1-R4_MC01-1g01899	9063	15475
MvSl-1064-A1-R4_MC01-1g01900	604	1171
MvSl-1064-A1-R4_MC01-1g01901	1196	1514
MvSl-1064-A1-R4_MC01-1g01902	2312	2328
MvSl-1064-A1-R4_MC01-1g01903	189	99
MvSl-1064-A1-R4_MC01-1g01904	1127	1151
MvSl-1064-A1-R4_MC01-1g01905	1546	1898
MvSl-1064-A1-R4_MC01-1g01906	4370	5361
MvSl-1064-A1-R4_MC01-1g01907	1543	1526
MvSl-1064-A1-R4_MC01-1g01908	0	0
MvSl-1064-A1-R4_MC01-1g01909	28.505	56.2874
MvSl-1064-A1-R4_MC01-1g01910	56.3623	67.388
MvSl-1064-A1-R4_MC01-1g01911	38.7585	22.095
MvSl-1064-A1-R4_MC01-1g01912	1658	2018
MvSl-1064-A1-R4_MC01-1g01913	6385	8791
MvSl-1064-A1-R4_MC01-1g01914	3	1
MvSl-1064-A1-R4_MC01-1g01915	1631	2256
MvSl-1064-A1-R4_MC01-1g01916	824	1042
MvSl-1064-A1-R4_MC01-1g01917	3563.82	3014.28
MvSl-1064-A1-R4_MC01-1g01918	1299	1592
MvSl-1064-A1-R4_MC01-1g01919	3916	4971
MvSl-1064-A1-R4_MC01-1g01920	1252.84	648.851
MvSl-1064-A1-R4_MC01-1g01921	1382.16	1391.15
MvSl-1064-A1-R4_MC01-1g01922	429	491
MvSl-1064-A1-R4_MC01-1g01923	3269	4611
MvSl-1064-A1-R4_MC01-1g01924	1745	2112
MvSl-1064-A1-R4_MC01-1g01925	3578	6240
MvSl-1064-A1-R4_MC01-1g01926	1227	759
MvSl-1064-A1-R4_MC01-1g01927	626	921
MvSl-1064-A1-R4_MC01-1g01928	3945	4862
MvSl-1064-A1-R4_MC01-1g01929	347.112	400.812
MvSl-1064-A1-R4_MC01-1g01930	21	5
MvSl-1064-A1-R4_MC01-1g01931	315	365
MvSl-1064-A1-R4_MC01-1g01932	411	548
MvSl-1064-A1-R4_MC01-1g01933	1067	1739
MvSl-1064-A1-R4_MC01-1g01934	2674	3032
MvSl-1064-A1-R4_MC01-1g01935	4483	7842
MvSl-1064-A1-R4_MC01-1g01936	979	1692
MvSl-1064-A1-R4_MC01-1g01937	584	627
MvSl-1064-A1-R4_MC01-1g01938	37149	75338
MvSl-1064-A1-R4_MC01-1g01939	7777	15425
MvSl-1064-A1-R4_MC01-1g01940	8556	19489
MvSl-1064-A1-R4_MC01-1g01941	5367	10862
MvSl-1064-A1-R4_MC01-1g01942	965	1412
MvSl-1064-A1-R4_MC01-1g01943	1150	1203
MvSl-1064-A1-R4_MC01-1g01944	1937	2095
MvSl-1064-A1-R4_MC01-1g01945	3420	4414
MvSl-1064-A1-R4_MC01-1g01946	786	1391
MvSl-1064-A1-R4_MC01-1g01947	2240	3315
MvSl-1064-A1-R4_MC01-1g01948	2298	2616
MvSl-1064-A1-R4_MC01-1g01949	1587	2321
MvSl-1064-A1-R4_MC01-1g01950	66.3624	55.6305
MvSl-1064-A1-R4_MC01-1g01951	1888	2406
MvSl-1064-A1-R4_MC01-1g01952	4524	7896
MvSl-1064-A1-R4_MC01-1g01953	3530	6545
MvSl-1064-A1-R4_MC01-1g01954	4295	8628
MvSl-1064-A1-R4_MC01-1g01955	27480	44294
MvSl-1064-A1-R4_MC01-1g01956	129	176
MvSl-1064-A1-R4_MC01-1g01957	682.897	688.846
MvSl-1064-A1-R4_MC01-1g01958	1329	1507
MvSl-1064-A1-R4_MC01-1g01959	1303	1099
MvSl-1064-A1-R4_MC01-1g01960	531	383
MvSl-1064-A1-R4_MC01-1g01961	26	12
MvSl-1064-A1-R4_MC01-1g01962	409	542
MvSl-1064-A1-R4_MC01-1g01963	365	613
MvSl-1064-A1-R4_MC01-1g01964	250	342
MvSl-1064-A1-R4_MC01-1g01965	271	533
MvSl-1064-A1-R4_MC01-1g01966	1170	1816
MvSl-1064-A1-R4_MC01-1g01967	1349	1288
MvSl-1064-A1-R4_MC01-1g01968	832	917
MvSl-1064-A1-R4_MC01-1g01969	8649	4333
MvSl-1064-A1-R4_MC01-1g01970	434.019	659.579
MvSl-1064-A1-R4_MC01-1g01971	145	213
MvSl-1064-A1-R4_MC01-1g01972	1337	1424
MvSl-1064-A1-R4_MC01-1g01973	3181	5299
MvSl-1064-A1-R4_MC01-1g01974	2406	3116
MvSl-1064-A1-R4_MC01-1g01975	771.3	964.126
MvSl-1064-A1-R4_MC01-1g01976	456.559	899.166
MvSl-1064-A1-R4_MC01-1g01977	148.758	133.3
MvSl-1064-A1-R4_MC01-1g01978	220.384	383.846
MvSl-1064-A1-R4_MC01-1g01979	4	9
MvSl-1064-A1-R4_MC01-1g01980	4.00459	1.00114
MvSl-1064-A1-R4_MC01-1g01981	0	0
MvSl-1064-A1-R4_MC01-1g01982	227.473	171.614
MvSl-1064-A1-R4_MC01-1g01983	55.1191	58.14
MvSl-1064-A1-R4_MC01-1g01984	5716	7800
MvSl-1064-A1-R4_MC01-1g01985	419	679
MvSl-1064-A1-R4_MC01-1g01986	15.9639	19.2862
MvSl-1064-A1-R4_MC01-1g01987	9330	17075
MvSl-1064-A1-R4_MC01-1g01988	4024	4172
MvSl-1064-A1-R4_MC01-1g01989	207	181
MvSl-1064-A1-R4_MC01-1g01990	963	1064
MvSl-1064-A1-R4_MC01-1g01991	9.7294	9.45045
MvSl-1064-A1-R4_MC01-1g01992	1540.74	2618.84
MvSl-1064-A1-R4_MC01-1g01993	6423.75	10438.8
MvSl-1064-A1-R4_MC01-1g01994	17.5901	26.8006
MvSl-1064-A1-R4_MC01-1g01995	927	1594
MvSl-1064-A1-R4_MC01-1g01996	3.03774	1.66895
MvSl-1064-A1-R4_MC01-1g01997	304.664	329.374
MvSl-1064-A1-R4_MC01-1g01998	10266	19065
MvSl-1064-A1-R4_MC01-1g01999	45309	96708
MvSl-1064-A1-R4_MC01-1g02000	2151	3349
MvSl-1064-A1-R4_MC01-1g02001	1520	2555
MvSl-1064-A1-R4_MC01-1g02002	2088	2171
MvSl-1064-A1-R4_MC01-1g02003	2957	3641
MvSl-1064-A1-R4_MC01-1g02004	91.9133	121.082
MvSl-1064-A1-R4_MC01-1g02005	97.8571	160.31
MvSl-1064-A1-R4_MC01-1g02006	1	1
MvSl-1064-A1-R4_MC01-1g02007	555.607	962.279
MvSl-1064-A1-R4_MC01-1g02008	1827.66	1707.74
MvSl-1064-A1-R4_MC01-1g02009	1967.98	2162.52
MvSl-1064-A1-R4_MC01-1g02010	3516.62	3887.85
MvSl-1064-A1-R4_MC01-1g02011	3107	2159
MvSl-1064-A1-R4_MC01-1g02012	12	5
MvSl-1064-A1-R4_MC01-1g02013	2471.96	2101.71
MvSl-1064-A1-R4_MC01-1g02014	204.01	233.949
MvSl-1064-A1-R4_MC01-1g02015	2693	2801
MvSl-1064-A1-R4_MC01-1g02016	748	1103
MvSl-1064-A1-R4_MC01-1g02017	3017	5290
MvSl-1064-A1-R4_MC01-1g02018	1282	1844
MvSl-1064-A1-R4_MC01-1g02019	5	0
MvSl-1064-A1-R4_MC01-1g02020	2426	2281
MvSl-1064-A1-R4_MC01-1g02021	2339	2463
MvSl-1064-A1-R4_MC01-1g02022	362.556	446.718
MvSl-1064-A1-R4_MC01-1g02023	27	17.5
MvSl-1064-A1-R4_MC01-1g02024	30	30
MvSl-1064-A1-R4_MC01-1g02025	132.838	114.934
MvSl-1064-A1-R4_MC01-1g02026	276.54	290.518
MvSl-1064-A1-R4_MC01-1g02027	215.882	247.245
MvSl-1064-A1-R4_MC01-1g02028	24	20.4279
MvSl-1064-A1-R4_MC01-1g02029	3065	3512
MvSl-1064-A1-R4_MC01-1g02030	437	654
MvSl-1064-A1-R4_MC01-1g02031	3693	6076
MvSl-1064-A1-R4_MC01-1g02032	14000	29825
MvSl-1064-A1-R4_MC01-1g02033	775	1397
MvSl-1064-A1-R4_MC01-1g02034	3601	6705
MvSl-1064-A1-R4_MC01-1g02035	5335	9829
MvSl-1064-A1-R4_MC01-1g02036	696	1073
MvSl-1064-A1-R4_MC01-1g02037	17779	38360
MvSl-1064-A1-R4_MC01-1g02038	174	261
MvSl-1064-A1-R4_MC01-1g02039	3179	3433
MvSl-1064-A1-R4_MC01-1g02040	549	545
MvSl-1064-A1-R4_MC01-1g02041	46	71
MvSl-1064-A1-R4_MC01-1g02042	699.781	512.552
MvSl-1064-A1-R4_MC01-1g02043	1925	2450
MvSl-1064-A1-R4_MC01-1g02044	1796	2967
MvSl-1064-A1-R4_MC01-1g02045	1831	1856
MvSl-1064-A1-R4_MC01-1g02046	40.9365	64.3429
MvSl-1064-A1-R4_MC01-1g02047	543.459	802.01
MvSl-1064-A1-R4_MC01-1g02048	298.382	400.11
MvSl-1064-A1-R4_MC01-1g02049	1256.73	1541.65
MvSl-1064-A1-R4_MC01-1g02050	249	302
MvSl-1064-A1-R4_MC01-1g02051	2607	2745
MvSl-1064-A1-R4_MC01-1g02052	7093	10307
MvSl-1064-A1-R4_MC01-1g02053	553	955
MvSl-1064-A1-R4_MC01-1g02054	4619	9217
MvSl-1064-A1-R4_MC01-1g02055	59	80
MvSl-1064-A1-R4_MC01-1g02056	144	189
MvSl-1064-A1-R4_MC01-1g02057	627	761
MvSl-1064-A1-R4_MC01-1g02058	2475	2609
MvSl-1064-A1-R4_MC01-1g02059	3	6
MvSl-1064-A1-R4_MC01-1g02060	1523	2277
MvSl-1064-A1-R4_MC01-1g02061	45	57
MvSl-1064-A1-R4_MC01-1g02062	2537	4205
MvSl-1064-A1-R4_MC01-1g02063	335.412	403.171
MvSl-1064-A1-R4_MC01-1g02064	500.703	652.671
MvSl-1064-A1-R4_MC01-1g02065	19	33.7929
MvSl-1064-A1-R4_MC01-1g02066	3	2.0506
MvSl-1064-A1-R4_MC01-1g02067	1204	2322
MvSl-1064-A1-R4_MC01-1g02068	1426	1777
MvSl-1064-A1-R4_MC01-1g02069	0	2
MvSl-1064-A1-R4_MC01-1g02070	10	11
MvSl-1064-A1-R4_MC01-1g02071	992	1382
MvSl-1064-A1-R4_MC01-1g02072	2803	4514
MvSl-1064-A1-R4_MC01-1g02073	1750	2680
MvSl-1064-A1-R4_MC01-1g02074	815	1475
MvSl-1064-A1-R4_MC01-1g02075	557	1123
MvSl-1064-A1-R4_MC01-1g02076	519	1052
MvSl-1064-A1-R4_MC01-1g02077	875	1174
MvSl-1064-A1-R4_MC01-1g02078	18047	15294
MvSl-1064-A1-R4_MC01-1g02079	2138	3175
MvSl-1064-A1-R4_MC01-1g02080	2958	4167
MvSl-1064-A1-R4_MC01-1g02081	1713	3018
MvSl-1064-A1-R4_MC01-1g02082	718.657	685.376
MvSl-1064-A1-R4_MC01-1g02083	230.877	146.541
MvSl-1064-A1-R4_MC01-1g02084	2292	1936
MvSl-1064-A1-R4_MC01-1g02085	1829	2081
MvSl-1064-A1-R4_MC01-1g02086	3681	4699
MvSl-1064-A1-R4_MC01-1g02087	1591	2220
MvSl-1064-A1-R4_MC01-1g02088	816	1243
MvSl-1064-A1-R4_MC01-1g02089	1232	2110
MvSl-1064-A1-R4_MC01-1g02090	4386	6270
MvSl-1064-A1-R4_MC01-1g02091	552	686
MvSl-1064-A1-R4_MC01-1g02092	1071	1235
MvSl-1064-A1-R4_MC01-1g02093	2052	2623
MvSl-1064-A1-R4_MC01-1g02094	574	901
MvSl-1064-A1-R4_MC01-1g02095	10039	19073
MvSl-1064-A1-R4_MC01-1g02096	6.70602	4.74786
MvSl-1064-A1-R4_MC01-1g02097	423.237	515.56
MvSl-1064-A1-R4_MC01-1g02098	5	7
MvSl-1064-A1-R4_MC01-1g02099	37	49
MvSl-1064-A1-R4_MC01-1g02100	166	165
MvSl-1064-A1-R4_MC01-1g02101	73	65
MvSl-1064-A1-R4_MC01-1g02102	1807	2258
MvSl-1064-A1-R4_MC01-1g02103	1175	1473
MvSl-1064-A1-R4_MC01-1g02104	10093	13634
MvSl-1064-A1-R4_MC01-1g02105	1782	2312
MvSl-1064-A1-R4_MC01-1g02106	568	971
MvSl-1064-A1-R4_MC01-1g02107	2048	3168
MvSl-1064-A1-R4_MC01-1g02108	1155	1568
MvSl-1064-A1-R4_MC01-1g02109	585	887
MvSl-1064-A1-R4_MC01-1g02110	2454	3784
MvSl-1064-A1-R4_MC01-1g02111	768	1258
MvSl-1064-A1-R4_MC01-1g02112	2712	4962
MvSl-1064-A1-R4_MC01-1g02113	1145	1624
MvSl-1064-A1-R4_MC01-1g02114	3180	4529
MvSl-1064-A1-R4_MC01-1g02115	646	920
MvSl-1064-A1-R4_MC01-1g02116	1079	1589
MvSl-1064-A1-R4_MC01-1g02117	33	47
MvSl-1064-A1-R4_MC01-1g02118	3589	3048
MvSl-1064-A1-R4_MC01-1g02119	126	117
MvSl-1064-A1-R4_MC01-1g02120	604	914
MvSl-1064-A1-R4_MC01-1g02121	449	700
MvSl-1064-A1-R4_MC01-1g02122	1169	1672
MvSl-1064-A1-R4_MC01-1g02123	3186	5298
MvSl-1064-A1-R4_MC01-1g02124	229	294
MvSl-1064-A1-R4_MC01-1g02125	13235	21391
MvSl-1064-A1-R4_MC01-1g02126	415	467
MvSl-1064-A1-R4_MC01-1g02127	648	976
MvSl-1064-A1-R4_MC01-1g02128	1401	1937
MvSl-1064-A1-R4_MC01-1g02129	2085	3907
MvSl-1064-A1-R4_MC01-1g02130	1453	2660
MvSl-1064-A1-R4_MC01-1g02131	393	586
MvSl-1064-A1-R4_MC01-1g02132	2254	2788
MvSl-1064-A1-R4_MC01-1g02133	1578	1798
MvSl-1064-A1-R4_MC01-1g02134	31	40
MvSl-1064-A1-R4_MC01-1g02135	823.707	867.698
MvSl-1064-A1-R4_MC01-1g02136	9.58333	8.62512
MvSl-1064-A1-R4_MC01-1g02137	934	1006
MvSl-1064-A1-R4_MC01-1g02138	7805	16025
MvSl-1064-A1-R4_MC01-1g02139	2489	3486
MvSl-1064-A1-R4_MC01-1g02140	942	1522
MvSl-1064-A1-R4_MC01-1g02141	997	1048
MvSl-1064-A1-R4_MC01-1g02142	1447	2542
MvSl-1064-A1-R4_MC01-1g02143	3764	6670
MvSl-1064-A1-R4_MC01-1g02144	3009	4489
MvSl-1064-A1-R4_MC01-1g02145	1083	1935
MvSl-1064-A1-R4_MC01-1g02146	1646	2509
MvSl-1064-A1-R4_MC01-1g02147	888	1151
MvSl-1064-A1-R4_MC01-1g02148	2353	3894
MvSl-1064-A1-R4_MC01-1g02149	1809	1793
MvSl-1064-A1-R4_MC01-1g02150	677	764
MvSl-1064-A1-R4_MC01-1g02151	8964.89	9836.97
MvSl-1064-A1-R4_MC01-1g02152	53	52
MvSl-1064-A1-R4_MC01-1g02153	0	0
MvSl-1064-A1-R4_MC01-1g02154	77	100
MvSl-1064-A1-R4_MC01-1g02155	1589	2412
MvSl-1064-A1-R4_MC01-1g02156	550	634
MvSl-1064-A1-R4_MC01-1g02157	2499	3666
MvSl-1064-A1-R4_MC01-1g02158	1760	2188
MvSl-1064-A1-R4_MC01-1g02159	2053	2762
MvSl-1064-A1-R4_MC01-1g02160	27	87
MvSl-1064-A1-R4_MC01-1g02161	168	365
MvSl-1064-A1-R4_MC01-1g02162	8257	14915
MvSl-1064-A1-R4_MC01-1g02163	2172	2920
MvSl-1064-A1-R4_MC01-1g02164	2177	4418
MvSl-1064-A1-R4_MC01-1g02165	2369	4284
MvSl-1064-A1-R4_MC01-1g02166	521	815
MvSl-1064-A1-R4_MC01-1g02167	2790.77	4403.52
MvSl-1064-A1-R4_MC01-1g02168	604	669
MvSl-1064-A1-R4_MC01-1g02169	81	84
MvSl-1064-A1-R4_MC01-1g02170	373	229
MvSl-1064-A1-R4_MC01-1g02171	976.344	1539.14
MvSl-1064-A1-R4_MC01-1g02172	9.74478	12.2902
MvSl-1064-A1-R4_MC01-1g02173	0	7.03097
MvSl-1064-A1-R4_MC01-1g02174	505.069	586.095
MvSl-1064-A1-R4_MC01-1g02175	69.639	68.2936
MvSl-1064-A1-R4_MC01-1g02176	117.162	118.563
MvSl-1064-A1-R4_MC01-1g02177	65.5595	85.004
MvSl-1064-A1-R4_MC01-1g02178	3.4462	5.55596
MvSl-1064-A1-R4_MC01-1g02179	83.6367	37.4005
MvSl-1064-A1-R4_MC01-1g02180	2027.81	851.094
MvSl-1064-A1-R4_MC01-1g02181	1658	2600
MvSl-1064-A1-R4_MC01-1g02182	3088	3690
MvSl-1064-A1-R4_MC01-1g02183	607	703
MvSl-1064-A1-R4_MC01-1g02184	1141	2130
MvSl-1064-A1-R4_MC01-1g02185	0	0
MvSl-1064-A1-R4_MC01-1g02186	380.664	432.072
MvSl-1064-A1-R4_MC01-1g02187	36.104	93.1064
MvSl-1064-A1-R4_MC01-1g02188	134	45
MvSl-1064-A1-R4_MC01-1g02189	1841	639
MvSl-1064-A1-R4_MC01-1g02190	2986	4979
MvSl-1064-A1-R4_MC01-1g02191	1965	2363
MvSl-1064-A1-R4_MC01-1g02192	2985	6369
MvSl-1064-A1-R4_MC01-1g02193	2766	5153
MvSl-1064-A1-R4_MC01-1g02194	3908	6644
MvSl-1064-A1-R4_MC01-1g02195	1208	1368
MvSl-1064-A1-R4_MC01-1g02196	3043	2944
MvSl-1064-A1-R4_MC01-1g02197	3310	4667
MvSl-1064-A1-R4_MC01-1g02198	3344	3960
MvSl-1064-A1-R4_MC01-1g02199	1776	1781
MvSl-1064-A1-R4_MC01-1g02200	1132	579
MvSl-1064-A1-R4_MC01-1g02201	1040	1221
MvSl-1064-A1-R4_MC01-1g02202	80	28
MvSl-1064-A1-R4_MC01-1g02203	3040	2909
MvSl-1064-A1-R4_MC01-1g02204	1526	2029
MvSl-1064-A1-R4_MC01-1g02205	2873	3043
MvSl-1064-A1-R4_MC01-1g02206	1144.94	1559.81
MvSl-1064-A1-R4_MC01-1g02207	0	3
MvSl-1064-A1-R4_MC01-1g02208	1248	1767.87
MvSl-1064-A1-R4_MC01-1g02209	2872	3151
MvSl-1064-A1-R4_MC01-1g02210	1533	2277
MvSl-1064-A1-R4_MC01-1g02211	3604	4538
MvSl-1064-A1-R4_MC01-1g02212	77	74
MvSl-1064-A1-R4_MC01-1g02213	0	0
MvSl-1064-A1-R4_MC01-1g02214	26.0933	33.0117
MvSl-1064-A1-R4_MC01-1g02215	4.17288	1.20596
MvSl-1064-A1-R4_MC01-1g02216	2753	3078
MvSl-1064-A1-R4_MC01-1g02217	3045	5639
MvSl-1064-A1-R4_MC01-1g02218	916	1038
MvSl-1064-A1-R4_MC01-1g02219	3874	4379
MvSl-1064-A1-R4_MC01-1g02220	1898	2816
MvSl-1064-A1-R4_MC01-1g02221	153	253
MvSl-1064-A1-R4_MC01-1g02222	1911	2909
MvSl-1064-A1-R4_MC01-1g02223	1147	1439
MvSl-1064-A1-R4_MC01-1g02224	1442	1540
MvSl-1064-A1-R4_MC01-1g02225	3893	4480
MvSl-1064-A1-R4_MC01-1g02226	1	2
MvSl-1064-A1-R4_MC01-1g02227	2372	3497
MvSl-1064-A1-R4_MC01-1g02228	189	253
MvSl-1064-A1-R4_MC01-1g02229	172	167
MvSl-1064-A1-R4_MC01-1g02230	6928.65	8989.84
MvSl-1064-A1-R4_MC01-1g02231	681	967
MvSl-1064-A1-R4_MC01-1g02232	48	29
MvSl-1064-A1-R4_MC01-1g02233	24839	29000
MvSl-1064-A1-R4_MC01-1g02234	1473	1754
MvSl-1064-A1-R4_MC01-1g02235	1536	2874
MvSl-1064-A1-R4_MC01-1g02236	2000	3128
