gene	water1	water2	rich1	rich2	di1	di2
MvSl-1064-A2-R4_A2g00001	60.8716	57.3888	22.6775	12.7782	86.6857	42.9264
MvSl-1064-A2-R4_A2g00002	581.42	510.314	434.697	371.457	587.682	466.324
MvSl-1064-A2-R4_A2g00003	850.61	1376.61	363.153	372.306	849.565	947.018
MvSl-1064-A2-R4_A2g00004	1780	1854	4397	4027	2074	1808
MvSl-1064-A2-R4_A2g00005	1424	1270	2038	2004	1801	1669
MvSl-1064-A2-R4_A2g00006	3922	3615	14201	13045	3827	4169
MvSl-1064-A2-R4_A2g00007	4280	4205	4436	4515	6444	6669
MvSl-1064-A2-R4_A2g00008	4628	2952	3020	3157	3818	4390
MvSl-1064-A2-R4_A2g00009	3442	2508	3744	3628	1822	3694
MvSl-1064-A2-R4_A2g00010	69.6127	62.6231	169.066	178.847	40.7633	63.3973
MvSl-1064-A2-R4_A2g00011	44.3303	39.9838	57	65	30.2029	56.94
MvSl-1064-A2-R4_A2g00012	1.66975	0.0162075	0	0	1.7971	3.05999
MvSl-1064-A2-R4_A2g00013	1478.39	1470.92	2287.64	2458.43	3225.58	2744.08
MvSl-1064-A2-R4_A2g00014	172	91	83	28	336	269
MvSl-1064-A2-R4_A2g00015	217	125	86	17	536	445
MvSl-1064-A2-R4_A2g00016	27	13	16	3	53	46
MvSl-1064-A2-R4_A2g00017	49	72	70	66	47	33
MvSl-1064-A2-R4_A2g00018	0	0	0	1.03477	0	1
MvSl-1064-A2-R4_A2g00019	53.616	80.72	14.1262	9.88745	96.6447	109.416
MvSl-1064-A2-R4_A2g00020	90.1091	64.6622	6.6691	5.48921	110.39	120.784
MvSl-1064-A2-R4_A2g00021	397.723	376.478	47	32.7897	430.373	575.38
MvSl-1064-A2-R4_A2g00022	4.46481	5.78004	1	1	4.53616	12.5032
MvSl-1064-A2-R4_A2g00023	38.4795	31.7709	66.7517	38.2601	141.297	127.745
MvSl-1064-A2-R4_A2g00024	0	0	0	0	272.22	245.91
MvSl-1064-A2-R4_A2g00025	32	51	8	5	34	28
MvSl-1064-A2-R4_A2g00026	991.789	1291.66	733.415	738.265	1163.24	1310.66
MvSl-1064-A2-R4_A2g00027	52	64	58	58	72	67
MvSl-1064-A2-R4_A2g00028	271.301	264.87	108.753	167.879	363.806	272.997
MvSl-1064-A2-R4_A2g00029	45.7207	42.2225	164.157	161.232	64.4221	50.1438
MvSl-1064-A2-R4_A2g00030	1002.92	958.495	2901.81	2814.82	1394.78	1160.82
MvSl-1064-A2-R4_A2g00031	463	664	11	13	411	487
MvSl-1064-A2-R4_A2g00032	14266	13475	13205	13182	15385	14996
MvSl-1064-A2-R4_A2g00033	570	588	340	407	829	814
MvSl-1064-A2-R4_A2g00034	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g00035	696	605	98	42	750	977
MvSl-1064-A2-R4_A2g00036	887	870	1034	1013	995	1015
MvSl-1064-A2-R4_A2g00037	509	595	1776	2010	955	707
MvSl-1064-A2-R4_A2g00038	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g00039	5979	4905	3492	3040	4752	5782
MvSl-1064-A2-R4_A2g00040	48	54	10	14	18	16
MvSl-1064-A2-R4_A2g00041	0	2	3	1	0	0
MvSl-1064-A2-R4_A2g00042	0	1.17989	0	0	0	0
MvSl-1064-A2-R4_A2g00043	22	6.06395	12.3733	24	4.02747	4.0229
MvSl-1064-A2-R4_A2g00044	0	0	0	1	0	0
MvSl-1064-A2-R4_A2g00045	2	0	1	3	0	2
MvSl-1064-A2-R4_A2g00046	320	293	142	166	336	289
MvSl-1064-A2-R4_A2g00047	693	648	992	1052	691	723
MvSl-1064-A2-R4_A2g00048	610	611	598	706	639	623
MvSl-1064-A2-R4_A2g00049	789	965	1250	1430	981	896
MvSl-1064-A2-R4_A2g00050	1202	997	4398	7730	904	549
MvSl-1064-A2-R4_A2g00051	2413	1746	4030	3892	1969	2334
MvSl-1064-A2-R4_A2g00052	68	34	190	89	2847	2255
MvSl-1064-A2-R4_A2g00053	2149	1871	2074	2024	3505	2938
MvSl-1064-A2-R4_A2g00054	161	106	394	546	200	158
MvSl-1064-A2-R4_A2g00055	945	1204	1258	1523	890	1244
MvSl-1064-A2-R4_A2g00056	7302	7395	7007	7439	2622	10652
MvSl-1064-A2-R4_A2g00057	557	528	978	1113	555	777
MvSl-1064-A2-R4_A2g00058	30	32	36	33	30	31
MvSl-1064-A2-R4_A2g00059	217	198.971	427	449.981	215	200
MvSl-1064-A2-R4_A2g00060	104	190	99	137	115	220
MvSl-1064-A2-R4_A2g00061	2884	2683	3509	3255	3166	3468
MvSl-1064-A2-R4_A2g00062	1644.8	1461.3	2391.3	2653.62	1588.37	1603.63
MvSl-1064-A2-R4_A2g00063	691	682	755	797	1210	1128
MvSl-1064-A2-R4_A2g00064	7289	6594	5377	5203	6552	8757
MvSl-1064-A2-R4_A2g00065	3061	2991	1604	1431	3457	3841
MvSl-1064-A2-R4_A2g00066	6406.2	4680.12	23335.6	17299.6	7574.65	6188.36
MvSl-1064-A2-R4_A2g00067	43	79	7	1	1501	1487
MvSl-1064-A2-R4_A2g00068	32	69	56	50	645	747
MvSl-1064-A2-R4_A2g00069	1315	1667	3606	5120	2719	1688
MvSl-1064-A2-R4_A2g00070	2773	3069	2493	2187	2548	3381
MvSl-1064-A2-R4_A2g00071	290	282	217	284	679	616
MvSl-1064-A2-R4_A2g00072	4080	5269	2889	2232	4134	3056
MvSl-1064-A2-R4_A2g00073	1023	828	915	575	1492	488
MvSl-1064-A2-R4_A2g00074	8586	6417	8901	9090	7162	10486
MvSl-1064-A2-R4_A2g00075	0	1	1	1	4	27
MvSl-1064-A2-R4_A2g00076	3008	3063	2674	2697	2972	2684
MvSl-1064-A2-R4_A2g00077	2221	1874	3903	4137	2120	1866
MvSl-1064-A2-R4_A2g00078	2517	1540	18113	14249	3488	2966
MvSl-1064-A2-R4_A2g00079	448	611	1857	2600	1000	1230
MvSl-1064-A2-R4_A2g00080	570	550	512	414	624	1027
MvSl-1064-A2-R4_A2g00081	208.67	274.43	16.7543	29.6551	530.262	926.293
MvSl-1064-A2-R4_A2g00082	1	0	0	0	0	0
MvSl-1064-A2-R4_A2g00083	1.06696	0	1	0	30.2713	46.7351
MvSl-1064-A2-R4_A2g00084	0	0	0	0	1.52084	0
MvSl-1064-A2-R4_A2g00085	0.4	0	0	0.401811	0	0.309011
MvSl-1064-A2-R4_A2g00086	0.935186	4.42711	6.76664	9.49326	5.08906	2.98703
MvSl-1064-A2-R4_A2g00087	108.931	283.291	244.172	283.054	98.9865	71.543
MvSl-1064-A2-R4_A2g00088	4.43665	6.16445	7.56058	5.92249	12.6262	18.6535
MvSl-1064-A2-R4_A2g00089	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g00090	4.43665	6.16445	7.56058	5.92249	12.6262	18.6535
MvSl-1064-A2-R4_A2g00091	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g00092	4.43665	6.16445	7.56058	5.92249	12.6262	18.6535
MvSl-1064-A2-R4_A2g00093	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g00094	4.43665	6.16445	7.56058	5.92249	12.6262	18.6535
MvSl-1064-A2-R4_A2g00095	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g00096	4.43665	4.83627e-08	2.53202e-07	0	0	0
MvSl-1064-A2-R4_A2g00097	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g00098	0	0.5	0	0	0	0
MvSl-1064-A2-R4_A2g00099	70	71.5294	20.5622	6.02967	38.024	51.6374
MvSl-1064-A2-R4_A2g00100	12.068	9.52414	0.504831	0.504626	7.1218	8.0424
MvSl-1064-A2-R4_A2g00101	7	9	3	1	24.5	32.5
MvSl-1064-A2-R4_A2g00102	0	0	0	0	0.53256	0
MvSl-1064-A2-R4_A2g00103	0	0	0	0	0.239582	0.5
MvSl-1064-A2-R4_A2g00104	0.4	0	0	0.401811	0	0.309011
MvSl-1064-A2-R4_A2g00105	0.935186	4.42711	6.76664	9.49326	5.08906	2.98703
MvSl-1064-A2-R4_A2g00106	108.931	283.291	244.172	283.054	98.9865	71.543
MvSl-1064-A2-R4_A2g00107	4.43665	4.83627e-08	2.53202e-07	0	0	0
MvSl-1064-A2-R4_A2g00108	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g00109	0	0.5	0	0	0	0
MvSl-1064-A2-R4_A2g00110	70	71.5294	20.5622	6.02967	38.024	51.6374
MvSl-1064-A2-R4_A2g00111	12.068	9.52414	0.504831	0.504626	7.1218	8.0424
MvSl-1064-A2-R4_A2g00112	7	9	3	1	24.5	32.5
MvSl-1064-A2-R4_A2g00113	0	0	0	0	0.53256	0
MvSl-1064-A2-R4_A2g00114	0	0	0	0	0.239582	0.5
MvSl-1064-A2-R4_A2g00115	0.4	0	0	0.401811	0	0.309011
MvSl-1064-A2-R4_A2g00116	55.4767	67.7362	5.09333	5.9675	13.6868	14.2835
MvSl-1064-A2-R4_A2g00117	14.2629	15.5696	3.24569	5.34491	42.4018	76.9723
MvSl-1064-A2-R4_A2g00118	622	591	229	238	552	807
MvSl-1064-A2-R4_A2g00119	3014	2282	13464	13578	2351	3099
MvSl-1064-A2-R4_A2g00120	6731	7362	2895	2803	5858	5305
MvSl-1064-A2-R4_A2g00121	1	3	0	0	1	1
MvSl-1064-A2-R4_A2g00122	228.008	269.492	66.5779	49.126	54.4178	54.8336
MvSl-1064-A2-R4_A2g00123	5119	5287	1435	1542	7964	6264
MvSl-1064-A2-R4_A2g00124	276	281	765	932	944	710
MvSl-1064-A2-R4_A2g00125	1790	1369	2955	3590	1843	1820
MvSl-1064-A2-R4_A2g00126	2930	2719	4663	5199	3741	2833
MvSl-1064-A2-R4_A2g00127	2675	2742	2472	2339	3298	2961
MvSl-1064-A2-R4_A2g00128	2994	3135	3340	3676	4189	3454
MvSl-1064-A2-R4_A2g00129	4014	3914	7013	7276	4376	3543
MvSl-1064-A2-R4_A2g00130	1325	1087	1725	2058	1158	1131
MvSl-1064-A2-R4_A2g00131	4709	5154	441	561	5263	5444
MvSl-1064-A2-R4_A2g00132	272.769	403.949	7.35978	17.959	126.654	149.376
MvSl-1064-A2-R4_A2g00133	735.544	1044.22	165.93	126.049	393.082	550.94
MvSl-1064-A2-R4_A2g00134	129.576	192.342	161.794	138.557	142.869	143.168
MvSl-1064-A2-R4_A2g00135	271.508	239.775	294.075	390.584	105.314	147.203
MvSl-1064-A2-R4_A2g00136	407.067	541.146	115.969	106.27	242.711	349.142
MvSl-1064-A2-R4_A2g00137	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g00138	2.65776	5.43523	11	6.01053	0.51181	2.5453
MvSl-1064-A2-R4_A2g00139	94.5647	229.945	39.3509	68.3691	36.7563	48.6947
MvSl-1064-A2-R4_A2g00140	523.761	483.293	514.634	589.175	259.472	206.508
MvSl-1064-A2-R4_A2g00141	274.807	202.42	260.736	220.763	157.241	149.314
MvSl-1064-A2-R4_A2g00142	272.387	521.604	92.8107	83.1736	71.0533	87.8558
MvSl-1064-A2-R4_A2g00143	5	11.1831	2	1	35.125	70.3884
MvSl-1064-A2-R4_A2g00144	76.2999	83.2846	87.84	72.8677	39.4414	51.8425
MvSl-1064-A2-R4_A2g00145	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g00146	7.64852	12.694	97.6478	139.466	4.57102	14.516
MvSl-1064-A2-R4_A2g00147	1.05684	0	1.53036	0	1.79839	0
MvSl-1064-A2-R4_A2g00148	10.2304	7.05417	53.8989	36.691	17.8547	29.0667
MvSl-1064-A2-R4_A2g00149	371	434.022	795	620	400	473
MvSl-1064-A2-R4_A2g00150	432.134	571.842	801.932	629.426	168.564	179.008
MvSl-1064-A2-R4_A2g00151	19.7267	19.8962	11.3215	20.1937	15.4737	20.2678
MvSl-1064-A2-R4_A2g00152	186	264	18	23	87	133
