gid	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_MC02g03678	5.78E-07	22.8415	3.86E-05	5.07725
MvSl-1064-A1-R4_MC02g03679	684	384	796	517
MvSl-1064-A1-R4_MC02g03680	24469	25123	27792	29613
MvSl-1064-A1-R4_MC02g03681	1254	1293	1727	1772
MvSl-1064-A1-R4_MC02g03682	574	639	638	682
MvSl-1064-A1-R4_MC02g03683	970	851	1166	1037
MvSl-1064-A1-R4_MC02g03684	3601	5136	3410	4869
MvSl-1064-A1-R4_MC02g03685	2430	2948	2481	3013
MvSl-1064-A1-R4_MC02g03686	684	934	659	953
MvSl-1064-A1-R4_MC02g03687	308	461	391	426
MvSl-1064-A1-R4_MC02g03688	3789	4150	4597	5337
MvSl-1064-A1-R4_MC02g03689	1174	1421	1596	1533
MvSl-1064-A1-R4_MC02g03690	6341	8313	6495	8423
MvSl-1064-A1-R4_MC02g03691	592	673	665	641
MvSl-1064-A1-R4_MC02g03692	964	1141	1445	1441
MvSl-1064-A1-R4_MC02g03693	478	528	549	592
MvSl-1064-A1-R4_MC02g03694	466	513	641	685
MvSl-1064-A1-R4_MC02g03695	1729	1839	2043	2100
MvSl-1064-A1-R4_MC02g03696	1354	1608	1384	1676
MvSl-1064-A1-R4_MC02g03697	1880	1493	1967	1676
MvSl-1064-A1-R4_MC02g03698	860	850	806	696
MvSl-1064-A1-R4_MC02g03699	359	352	324	289
MvSl-1064-A1-R4_MC02g03700	1349	1855	1298	1494
MvSl-1064-A1-R4_MC02g03701	396.951	457.352	480.102	536.84
MvSl-1064-A1-R4_MC02g03702	433	415	501	454
MvSl-1064-A1-R4_MC02g03703	411	335	583	509
MvSl-1064-A1-R4_MC02g03704	4848	4414	5838	5481
MvSl-1064-A1-R4_MC02g03705	76.0933	118.263	58.7233	361.907
MvSl-1064-A1-R4_MC02g03706	102	68	116	88
MvSl-1064-A1-R4_MC02g03707	923	918	1016	1060
MvSl-1064-A1-R4_MC02g03708	110	93	146	177
MvSl-1064-A1-R4_MC02g03709	805	967	1082	1131
MvSl-1064-A1-R4_MC02g03710	408	317	640	559
MvSl-1064-A1-R4_MC02g03711	870	847	997	1009
MvSl-1064-A1-R4_MC02g03712	1162	1015	1481	1334
MvSl-1064-A1-R4_MC02g03713	847	476	1306	991
MvSl-1064-A1-R4_MC02g03714	193.181	247.46	342.727	307.323
MvSl-1064-A1-R4_MC02g03715	219	288	310	275
MvSl-1064-A1-R4_MC02g03716	195	220	184	184
MvSl-1064-A1-R4_MC02g03717	358	581	374	624
MvSl-1064-A1-R4_MC02g03718	297	509	501	697
MvSl-1064-A1-R4_MC02g03719	124	118	168	140
MvSl-1064-A1-R4_MC02g03720	1945	2297	2219	2558
MvSl-1064-A1-R4_MC02g03721	1886	2082	2181	2305
MvSl-1064-A1-R4_MC02g03722	4444	6106	4327	5490
MvSl-1064-A1-R4_MC02g03723	4113	3735	4968	4415
MvSl-1064-A1-R4_MC02g03724	403	507	447	492
MvSl-1064-A1-R4_MC02g03725	583	514	641	726
MvSl-1064-A1-R4_MC02g03726	949	731	949	1125
MvSl-1064-A1-R4_MC02g03727	661	776	817	908
MvSl-1064-A1-R4_MC02g03728	100	81	122	95
MvSl-1064-A1-R4_MC02g03729	85	69	103	86
MvSl-1064-A1-R4_MC02g03730	396	403	512	531
MvSl-1064-A1-R4_MC02g03731	48	57	73	53
MvSl-1064-A1-R4_MC02g03732	50	53	75	70
MvSl-1064-A1-R4_MC02g03733	673	580	701	703
MvSl-1064-A1-R4_MC02g03734	593	519	680	754
MvSl-1064-A1-R4_MC02g03735	2762	3531	3554	3392
MvSl-1064-A1-R4_MC02g03736	6393	9923	7569	10435
MvSl-1064-A1-R4_MC02g03737	10	4	6	3
MvSl-1064-A1-R4_MC02g03738	2499	2257	2532	2955
MvSl-1064-A1-R4_MC02g03739	4637	5824	4846	5975
MvSl-1064-A1-R4_MC02g03740	104	204	108	176
MvSl-1064-A1-R4_MC02g03741	596	515	652	580
MvSl-1064-A1-R4_MC02g03742	2003	1734	2045	1795
MvSl-1064-A1-R4_MC02g03743	406	278	423	223
MvSl-1064-A1-R4_MC02g03744	998	1887	1003	2076
MvSl-1064-A1-R4_MC02g03745	4409	6003	5191	7371
MvSl-1064-A1-R4_MC02g03746	1064	1215	1137	1333
MvSl-1064-A1-R4_MC02g03747	430	571	433	628
MvSl-1064-A1-R4_MC02g03748	1426	2271	1823	1981
MvSl-1064-A1-R4_MC02g03749	5127	9499	6056	8472
MvSl-1064-A1-R4_MC02g03750	214	327	241	298
MvSl-1064-A1-R4_MC02g03751	1139	1055	1685	1786
MvSl-1064-A1-R4_MC02g03752	3789	3998	4812	5268
MvSl-1064-A1-R4_MC02g03753	1894	2043	2738	2755
MvSl-1064-A1-R4_MC02g03754	2084	1999	3129	3219
MvSl-1064-A1-R4_MC02g03755	141	83	183	119
MvSl-1064-A1-R4_MC02g03756	2229	2416	3330	3254
MvSl-1064-A1-R4_MC02g03757	294	339	350	357
MvSl-1064-A1-R4_MC02g03758	680	742	788	938
MvSl-1064-A1-R4_MC02g03759	1574	1862	1961	2012
MvSl-1064-A1-R4_MC02g03760	256	219	260	262
MvSl-1064-A1-R4_MC02g03761	1689	1933	1747	1934
MvSl-1064-A1-R4_MC02g03762	356	374	443	453
MvSl-1064-A1-R4_MC02g03763	901	1060	1096	1156
MvSl-1064-A1-R4_MC02g03764	3535	5710	3662	5722
MvSl-1064-A1-R4_MC02g03765	22	13	20	19
MvSl-1064-A1-R4_MC02g03766	37	22	43	42
MvSl-1064-A1-R4_MC02g03768	79.6394	121.296	143.065	142.739
MvSl-1064-A1-R4_MC02g03769	1968	1758	2327	2139
MvSl-1064-A1-R4_MC02g03770	2980	3189	3405	3214
MvSl-1064-A1-R4_MC02g03771	2	3	5	2
MvSl-1064-A1-R4_MC02g03772	61.6573	86.5493	271.863	239.392
MvSl-1064-A1-R4_MC02g03775	2029	2011	2457	2289
MvSl-1064-A1-R4_MC02g03776	868	794	1110	1085
MvSl-1064-A1-R4_MC02g03777	3271	3494	4075	3966
MvSl-1064-A1-R4_MC02g03778	2192	2286	2303	2602
MvSl-1064-A1-R4_MC02g03779	8	9	10	3
MvSl-1064-A1-R4_MC02g03780	87	49	133	82
MvSl-1064-A1-R4_MC02g03781	3594	2444	4262	3071
MvSl-1064-A1-R4_MC02g03782	686	897	1092	1293
MvSl-1064-A1-R4_MC02g03783	3313	3655	2722	3655
MvSl-1064-A1-R4_MC02g03784	368	350	476	421
MvSl-1064-A1-R4_MC02g03785	507	582	585	617
MvSl-1064-A1-R4_MC02g03786	3303	2865	3236	3587
MvSl-1064-A1-R4_MC02g03787	3210	3604	2951	3888
MvSl-1064-A1-R4_MC02g03788	3326	2722	3924	3702
MvSl-1064-A1-R4_MC02g03789	1026	925	1380	1151
MvSl-1064-A1-R4_MC02g03790	885	902	957	978
MvSl-1064-A1-R4_MC02g03791	3710	4563	3306	3751
MvSl-1064-A1-R4_MC02g03792	499	397	837	549
MvSl-1064-A1-R4_MC02g03793	1925	1934	2197	2280
MvSl-1064-A1-R4_MC02g03794	1548	2162	1316	1855
MvSl-1064-A1-R4_MC02g03795	585	916	586	767
MvSl-1064-A1-R4_MC02g03796	957	1084	1048	1085
MvSl-1064-A1-R4_MC02g03797	545	778	594	763
MvSl-1064-A1-R4_MC02g03798	100	99	105	123
MvSl-1064-A1-R4_MC02g03799	967	1146	1230	1426
MvSl-1064-A1-R4_MC02g03800	901	851	983	1107
MvSl-1064-A1-R4_MC02g03802	50.7183	89.9561	28.3417	47.5807
MvSl-1064-A1-R4_MC02g03803	3794	3242	4013	3900
MvSl-1064-A1-R4_MC02g03804	227	199	339	259
MvSl-1064-A1-R4_MC02g03805	3.33082	1.07621	46.9587	35.0659
MvSl-1064-A1-R4_MC02g03806	0	0	21.4041	14.042
MvSl-1064-A1-R4_MC02g03807	76.3975	61.4311	186.522	128.758
MvSl-1064-A1-R4_MC02g03808	525	466	2144	1605
MvSl-1064-A1-R4_MC02g03809	1977	1979	2265	2285
MvSl-1064-A1-R4_MC02g03810	1495	1508	1770	1759
MvSl-1064-A1-R4_MC02g03811	2832	3206	3033	3283
MvSl-1064-A1-R4_MC02g03812	299	383	355	395
MvSl-1064-A1-R4_MC02g03813	567	467	620	513
MvSl-1064-A1-R4_MC02g03814	167	198	184	206
MvSl-1064-A1-R4_MC02g03815	342	349	375	444
MvSl-1064-A1-R4_MC02g03816	1512	1604	1609	1825
MvSl-1064-A1-R4_MC02g03817	1158	1202	1145	1225
MvSl-1064-A1-R4_MC02g03818	1023.3	871.934	1167.93	830.25
MvSl-1064-A1-R4_MC02g03819	965.882	858.893	1152.49	1091.55
MvSl-1064-A1-R4_MC02g03820	396.512	428.412	515.195	459.286
MvSl-1064-A1-R4_MC02g03821	3634	3157	3496	3910
MvSl-1064-A1-R4_MC02g03822	3118	5070	3545	5688
MvSl-1064-A1-R4_MC02g03823	1480	1593	1763	1699
MvSl-1064-A1-R4_MC02g03824	1298	1410	1253	1331
MvSl-1064-A1-R4_MC02g03825	695	973	745	935
MvSl-1064-A1-R4_MC02g03826	887	947	991	1037
MvSl-1064-A1-R4_MC02g03827	2089	2186	2497	3108
MvSl-1064-A1-R4_MC02g03828	155	101	227	156
MvSl-1064-A1-R4_MC02g03829	273	232	371	328
MvSl-1064-A1-R4_MC02g03830	233	138	280	147
MvSl-1064-A1-R4_MC02g03831	2251	1925	2724	2692
MvSl-1064-A1-R4_MC02g03832	2747	2546	3442	3453
MvSl-1064-A1-R4_MC02g03833	324	444	388	497
MvSl-1064-A1-R4_MC02g03834	473.107	464.507	570.955	535.538
MvSl-1064-A1-R4_MC02g03835	49.2922	65.0225	55.6584	44.3574
MvSl-1064-A1-R4_MC02g03836	1952	1807	2176	1780
MvSl-1064-A1-R4_MC02g03837	840	632	1095	840
MvSl-1064-A1-R4_MC02g03838	538	649	652	689
MvSl-1064-A1-R4_MC02g03839	508	332	548	464
MvSl-1064-A1-R4_MC02g03840	1305	1395	1634	1652
MvSl-1064-A1-R4_MC02g03841	5432	3139	7312	4342
MvSl-1064-A1-R4_MC02g03842	2332	2213	3353	3679
MvSl-1064-A1-R4_MC02g03843	989	1301	1407	1680
MvSl-1064-A1-R4_MC02g03844	2639	2181	2756	2661
MvSl-1064-A1-R4_MC02g03845	3190	2487	2762	2470
MvSl-1064-A1-R4_MC02g03846	5684	5437	5095	5575
MvSl-1064-A1-R4_MC02g03847	1060	1110	1195	1338
MvSl-1064-A1-R4_MC02g03848	636	622	590	623
MvSl-1064-A1-R4_MC02g03849	12461	11038	13806	13300
MvSl-1064-A1-R4_MC02g03850	62	91	31	66
MvSl-1064-A1-R4_MC02g03851	22	20	14	10
MvSl-1064-A1-R4_MC02g03852	70	130	26	63
MvSl-1064-A1-R4_MC02g03853	2540	3166	2470	3438
MvSl-1064-A1-R4_MC02g03854	203.228	189.018	370.909	353.309
MvSl-1064-A1-R4_MC02g03855	47.4491	43.9603	92.2226	52.6319
MvSl-1064-A1-R4_MC02g03856	235.061	323.246	223.798	285.847
MvSl-1064-A1-R4_MC02g03857	3704.4	4558.88	4994.83	5181.44
MvSl-1064-A1-R4_MC02g03858	285.997	284.967	400.614	389.663
MvSl-1064-A1-R4_MC02g03859	112	113	115	135
MvSl-1064-A1-R4_MC02g03860	154.403	156.144	212.466	187.009
MvSl-1064-A1-R4_MC02g03864	2758	3049	2278	2909
MvSl-1064-A1-R4_MC02g03865	655	683	739	919
MvSl-1064-A1-R4_MC02g03866	1149	1234	1244	1254
MvSl-1064-A1-R4_MC02g03867	3225	4455	3269	3800
MvSl-1064-A1-R4_MC02g03868	3452.98	3309.3	3394.74	3472.32
MvSl-1064-A1-R4_MC02g03869	2593	3016	2731	3218
MvSl-1064-A1-R4_MC02g03870	1831	1752	1944	1647
MvSl-1064-A1-R4_MC02g03871	65.4405	102.472	39.2602	56.9838
MvSl-1064-A1-R4_MC02g03872	183.334	176.046	492.817	411.083
MvSl-1064-A1-R4_MC02g03874	520.809	521.785	1413.17	1353.72
MvSl-1064-A1-R4_MC02g03875	328	306	430	305
MvSl-1064-A1-R4_MC02g03876	126	133	156	138
MvSl-1064-A1-R4_MC02g03877	646	947	918	1134
MvSl-1064-A1-R4_MC02g03878	229	170	239	209
MvSl-1064-A1-R4_MC02g03879	5761	3089	6806	4128
MvSl-1064-A1-R4_MC02g03880	467	472	603	603
MvSl-1064-A1-R4_MC02g03881	490.902	504.424	651.95	570.619
MvSl-1064-A1-R4_MC02g03882	342	305	364	396
MvSl-1064-A1-R4_MC02g03883	29	19	58	31
MvSl-1064-A1-R4_MC02g03884	2324	2448	2648	2779
MvSl-1064-A1-R4_MC02g03891	737.153	595.179	3594.37	2090.85
MvSl-1064-A1-R4_MC02g03893	537.377	484.968	3959.13	2621.03
MvSl-1064-A1-R4_MC02g03894	3	1	3	2
MvSl-1064-A1-R4_MC02g03895	20	10	20	18
MvSl-1064-A1-R4_MC02g03896	302	474	341	408
MvSl-1064-A1-R4_MC02g03897	2353	2561	2358	2709
MvSl-1064-A1-R4_MC02g03898	296	322	407	465
MvSl-1064-A1-R4_MC02g03899	1676	1491	2229	2322
MvSl-1064-A1-R4_MC02g03900	3688	3515	3100	3529
MvSl-1064-A1-R4_MC02g03901	1	1	3	4
MvSl-1064-A1-R4_MC02g03902	917	966	1136	1002
MvSl-1064-A1-R4_MC02g03903	845	847	1076	1031
MvSl-1064-A1-R4_MC02g03904	742	879	954	1080
MvSl-1064-A1-R4_MC02g03905	9553	6281	10144	7035
MvSl-1064-A1-R4_MC02g03906	1555	1958	2018	2640
MvSl-1064-A1-R4_MC02g03907	135	124	178	195
MvSl-1064-A1-R4_MC02g03908	336	471	425	476
MvSl-1064-A1-R4_MC02g03909	4634	5021	4652	5063
MvSl-1064-A1-R4_MC02g03910	2151	2008	2400	2558
MvSl-1064-A1-R4_MC02g03911	713	1104	713	839
MvSl-1064-A1-R4_MC02g03912	1554	1497	1641	1687
MvSl-1064-A1-R4_MC02g03913	939	820	1126	1131
MvSl-1064-A1-R4_MC02g03914	11.0309	10.0234	15.0071	8.00195
MvSl-1064-A1-R4_MC02g03915	153	133	333	279
MvSl-1064-A1-R4_MC02g03916	4790.91	6043.74	5283.28	6676.09
MvSl-1064-A1-R4_MC02g03917	1031	1213	1080	1323
MvSl-1064-A1-R4_MC02g03918	2086	2283	2341	2251
MvSl-1064-A1-R4_MC02g03919	1848	3230.89	2095	2739
MvSl-1064-A1-R4_MC02g03920	2065	2199	2003	2458
MvSl-1064-A1-R4_MC02g03921	427	362	470	469
MvSl-1064-A1-R4_MC02g03922	294	163	693	565
MvSl-1064-A1-R4_MC02g03923	4001	3231	4596	4660
MvSl-1064-A1-R4_MC02g03924	421.709	610.154	835.775	1075.41
MvSl-1064-A1-R4_MC02g03925	60492	102237	81633	122779
MvSl-1064-A1-R4_MC02g03926	2577	2662	2610	2821
MvSl-1064-A1-R4_MC02g03927	16	19	33	28
MvSl-1064-A1-R4_MC02g03928	127	156	183	108
MvSl-1064-A1-R4_MC02g03929	1040	1422	1279	1323
MvSl-1064-A1-R4_MC02g03930	490	444	734	795
MvSl-1064-A1-R4_MC02g03931	1185	1146	1130	1305
MvSl-1064-A1-R4_MC02g03932	327	331	404	409
MvSl-1064-A1-R4_MC02g03933	7509	5599	7731	6697
MvSl-1064-A1-R4_MC02g03934	13	5	19	11
MvSl-1064-A1-R4_MC02g03935	711	1114	957	1279
MvSl-1064-A1-R4_MC02g03936	965	1224	1081	1148
MvSl-1064-A1-R4_MC02g03937	2660	2664	3352	3194
MvSl-1064-A1-R4_MC02g03938	22	36	32	43
MvSl-1064-A1-R4_MC02g03940	12.2252	12.3534	21.4628	14.5784
MvSl-1064-A1-R4_MC02g03943	9	8	2	5
MvSl-1064-A1-R4_MC02g03944	1401	1243	1601	1748
MvSl-1064-A1-R4_MC02g03945	717	858	764	967
MvSl-1064-A1-R4_MC02g03946	247	286	237	251
MvSl-1064-A1-R4_MC02g03948	240.887	250.64	174.406	172.613
MvSl-1064-A1-R4_MC02g03949	63	51	120	86
MvSl-1064-A1-R4_MC02g03950	7402	4966	10410	8244
MvSl-1064-A1-R4_MC02g03951	1318	1515	1375	1657
MvSl-1064-A1-R4_MC02g03952	3780	3858	3871	4078
MvSl-1064-A1-R4_MC02g03953	597	296	699	477
MvSl-1064-A1-R4_MC02g03954	1326	1149	1169	1299
MvSl-1064-A1-R4_MC02g03955	2504	2347	2919	2986
MvSl-1064-A1-R4_MC02g03956	5	7	8	3
MvSl-1064-A1-R4_MC02g03957	234	263	215	265
MvSl-1064-A1-R4_MC02g03958	501	582	651	635
MvSl-1064-A1-R4_MC02g03959	316	333	353	345
MvSl-1064-A1-R4_MC02g03960	2015	2797	2404	2895
MvSl-1064-A1-R4_MC02g03961	1235	1522	1197	1433
MvSl-1064-A1-R4_MC02g03962	1151	1120	1115	1211
MvSl-1064-A1-R4_MC02g03963	693	446	720	536
MvSl-1064-A1-R4_MC02g03964	424	424	630	529
MvSl-1064-A1-R4_MC02g03965	1449	1277	1474	1762
MvSl-1064-A1-R4_MC02g03967	814	627	952	689
MvSl-1064-A1-R4_MC02g03968	266	234	253	242
MvSl-1064-A1-R4_MC02g03969	1673	1920	1919	2270
MvSl-1064-A1-R4_MC02g03970	615	592	752	947
MvSl-1064-A1-R4_MC02g03971	626	760	799	767
MvSl-1064-A1-R4_MC02g03972	2053	1913	2110	1888
MvSl-1064-A1-R4_MC02g03973	1027	709	1642	1487
MvSl-1064-A1-R4_MC02g03974	1405	1279	1887	1981
MvSl-1064-A1-R4_MC02g03975	376	352	462	449
MvSl-1064-A1-R4_MC02g03976	613	523	821	709
MvSl-1064-A1-R4_MC02g03977	256	64	504	239
MvSl-1064-A1-R4_MC02g03978	182	172	294	243
MvSl-1064-A1-R4_MC02g03979	16662	16651	17936	16206
MvSl-1064-A1-R4_MC02g03980	813	841	993	1001
MvSl-1064-A1-R4_MC02g03981	657	716	807	885
MvSl-1064-A1-R4_MC02g03982	170	88	187	139
MvSl-1064-A1-R4_MC02g03983	3084	4565	4304	5660
MvSl-1064-A1-R4_MC02g03984	387	617	650	670
MvSl-1064-A1-R4_MC02g03985	816	1135	876	1035
MvSl-1064-A1-R4_MC02g03986	7393	7853	8687	9123
MvSl-1064-A1-R4_MC02g03987	1645	2170	1750	2135
MvSl-1064-A1-R4_MC02g03988	3566	3906	4007	4483
MvSl-1064-A1-R4_MC02g03989	712	891	728	908
MvSl-1064-A1-R4_MC02g03990	330	314	396	353
MvSl-1064-A1-R4_MC02g03991	1708	1543	1660	1592
MvSl-1064-A1-R4_MC02g03992	691	617	588	384
MvSl-1064-A1-R4_MC02g03993	633	700	862	832
MvSl-1064-A1-R4_MC02g03994	4569	4797	5499	5423
MvSl-1064-A1-R4_MC02g03995	4786	5510	4766	5950
MvSl-1064-A1-R4_MC02g03996	64	42	64	24
MvSl-1064-A1-R4_MC02g03998	26.1334	39.7459	50.0118	41.0323
MvSl-1064-A1-R4_MC02g04000	129.249	86.429	90.1245	65.8495
MvSl-1064-A1-R4_MC02g04001	384.41	299.09	755.449	451.966
MvSl-1064-A1-R4_MC02g04002	197.993	235.945	373.546	412.258
MvSl-1064-A1-R4_MC02g04003	10	12	10	12
MvSl-1064-A1-R4_MC02g04004	526	602	622	675
MvSl-1064-A1-R4_MC02g04005	4491	5246	4290	4701
MvSl-1064-A1-R4_MC02g04006	900	991	893	1063
MvSl-1064-A1-R4_MC02g04007	756	852	661	712
MvSl-1064-A1-R4_MC02g04008	3964	3094	5293	3845
MvSl-1064-A1-R4_MC02g04009	137	141	222	166
MvSl-1064-A1-R4_MC02g04010	61	43	91	71
MvSl-1064-A1-R4_MC02g04011	1380	1508	1688	1673
MvSl-1064-A1-R4_MC02g04012	566	488	645	452
MvSl-1064-A1-R4_MC02g04013	1547	1265	2480	1611
MvSl-1064-A1-R4_MC02g04014	327.643	236.549	317.407	306.99
MvSl-1064-A1-R4_MC02g04015	3541	4785	3313	3626
MvSl-1064-A1-R4_MC02g04016	296	276	413	392
MvSl-1064-A1-R4_MC02g04017	61	42	53	40
MvSl-1064-A1-R4_MC02g04018	2279	2275	2987	2907
MvSl-1064-A1-R4_MC02g04019	851	1018	1044	1224
MvSl-1064-A1-R4_MC02g04020	602	483	742	664
MvSl-1064-A1-R4_MC02g04021	831	872	885	892
MvSl-1064-A1-R4_MC02g04022	149	139	162	165
MvSl-1064-A1-R4_MC02g04023	28	18	37	30
MvSl-1064-A1-R4_MC02g04024	274	328	298	315
MvSl-1064-A1-R4_MC02g04025	131	145	138	138
MvSl-1064-A1-R4_MC02g04026	1089	1213	1137	1321
MvSl-1064-A1-R4_MC02g04027	2018	2192	2269	2536
MvSl-1064-A1-R4_MC02g04028	0	3	1	2
MvSl-1064-A1-R4_MC02g04029	719	798	876	889
MvSl-1064-A1-R4_MC02g04030	3076	2675	2549	2754
MvSl-1064-A1-R4_MC02g04031	3754	3821	3668	4115
MvSl-1064-A1-R4_MC02g04032	16	13	19	17
MvSl-1064-A1-R4_MC02g04033	1755.65	1593.71	2047.55	1721.15
MvSl-1064-A1-R4_MC02g04034	1267	1436	1957	1876
MvSl-1064-A1-R4_MC02g04035	1284	1430	1865	2118
MvSl-1064-A1-R4_MC02g04036	500	368	584	534
MvSl-1064-A1-R4_MC02g04037	902	1183	1087	1379
MvSl-1064-A1-R4_MC02g04038	470	713	614	705
MvSl-1064-A1-R4_MC02g04039	3773	4185	4058	4402
MvSl-1064-A1-R4_MC02g04040	6694	7841	6341	6714
MvSl-1064-A1-R4_MC02g04041	2298	1121	2393	955
MvSl-1064-A1-R4_MC02g04043	1623.03	1661.06	2360.79	2052.05
MvSl-1064-A1-R4_MC02g04044	153	108.105	209	159
MvSl-1064-A1-R4_MC02g04045	0	0	0	0
MvSl-1064-A1-R4_MC02g04046	3585	2834	4822	3826
MvSl-1064-A1-R4_MC02g04047	33	44	72	59
MvSl-1064-A1-R4_MC02g04048	4469	7055	5259	6896
MvSl-1064-A1-R4_MC02g04049	5272	5775	6698	6542
MvSl-1064-A1-R4_MC02g04050	2310	2240	2726	2619
MvSl-1064-A1-R4_MC02g04051	896	904	970	1034
MvSl-1064-A1-R4_MC02g04052	1375	1564	1955	2023
MvSl-1064-A1-R4_MC02g04053	827	536	914	762
MvSl-1064-A1-R4_MC02g04054	487	567	787	714
MvSl-1064-A1-R4_MC02g04055	1924	1950	2063	1816
MvSl-1064-A1-R4_MC02g04056	1735	2197	1944	2288
MvSl-1064-A1-R4_MC02g04057	2790	2670	3156	2925
MvSl-1064-A1-R4_MC02g04058	2509	2386	2510	2312
MvSl-1064-A1-R4_MC02g04059	1581	2026	1779	2269
MvSl-1064-A1-R4_MC02g04060	29916	72301	30612	58611
MvSl-1064-A1-R4_MC02g04061	4	13	17	14
MvSl-1064-A1-R4_MC02g04062	2160	1974	2769	2275
MvSl-1064-A1-R4_MC02g04063	1043	1280	1061	1201
MvSl-1064-A1-R4_MC02g04064	4418	4482	4872	5120
MvSl-1064-A1-R4_MC02g04065	607	426	647	381
MvSl-1064-A1-R4_MC02g04066	442	333	489	266
MvSl-1064-A1-R4_MC02g04067	139	234	210	237
MvSl-1064-A1-R4_MC02g04068	4099	4253	4344	4837
MvSl-1064-A1-R4_MC02g04069	2662	3534	3120	3895
MvSl-1064-A1-R4_MC02g04070	617	1023	609	833
MvSl-1064-A1-R4_MC02g04071	544	568	570	639
MvSl-1064-A1-R4_MC02g04073	977.442	1352.76	1679.28	1822.32
MvSl-1064-A1-R4_MC02g04074	2	36	2	12
MvSl-1064-A1-R4_MC02g04075	3097	2732	2882	2946
MvSl-1064-A1-R4_MC02g04076	517	683	581	689
MvSl-1064-A1-R4_MC02g04077	187	152	240	191
MvSl-1064-A1-R4_MC02g04078	30	24	38	35
MvSl-1064-A1-R4_MC02g04082	5376.87	5029.39	8369.75	7115.84
MvSl-1064-A1-R4_MC02g04083	1445	1581	1557	1897
MvSl-1064-A1-R4_MC02g04084	1761	1689	1931	2157
MvSl-1064-A1-R4_MC02g04085	4196	4096	5267	4717
MvSl-1064-A1-R4_MC02g04086	2781	3138	2793	3113
MvSl-1064-A1-R4_MC02g04087	525	286	575	356
MvSl-1064-A1-R4_MC02g04088	479	342	515	400
MvSl-1064-A1-R4_MC02g04089	1029	1060	1268	1141
MvSl-1064-A1-R4_MC02g04090	3747	2794	4385	3351
MvSl-1064-A1-R4_MC02g04091	2738	1732	3261	2042
MvSl-1064-A1-R4_MC02g04092	1837	1221	2568	2289
MvSl-1064-A1-R4_MC02g04095	738	1035	925	1152
MvSl-1064-A1-R4_MC02g04096	3769	3490	3625	3954
MvSl-1064-A1-R4_MC02g04097	783	734	901	1068
MvSl-1064-A1-R4_MC02g04098	341	294	319	368
MvSl-1064-A1-R4_MC02g04099	572	514	894	550
MvSl-1064-A1-R4_MC02g04100	504	529	601	712
MvSl-1064-A1-R4_MC02g04101	138	168	125	92
MvSl-1064-A1-R4_MC02g04102	899	656	1073	1042
MvSl-1064-A1-R4_MC02g04103	4798	4763	4979	4777
MvSl-1064-A1-R4_MC02g04104	727	790	850	948
MvSl-1064-A1-R4_MC02g04105	727	698	807	747
MvSl-1064-A1-R4_MC02g04106	483	514	695	692
MvSl-1064-A1-R4_MC02g04107	631	923	648	855
MvSl-1064-A1-R4_MC02g04108	882	854	1252	1461
MvSl-1064-A1-R4_MC02g04109	186	143	539	377
MvSl-1064-A1-R4_MC02g04110	520	893	659	802
MvSl-1064-A1-R4_MC02g04111	3069	3271	2903	3334
MvSl-1064-A1-R4_MC02g04112	2.24613	0	0	1.0219
MvSl-1064-A1-R4_MC02g04114	143	238	196	157
MvSl-1064-A1-R4_MC02g04115	99	163	123	120
MvSl-1064-A1-R4_MC02g04116	506	1059	685	1097
MvSl-1064-A1-R4_MC02g04117	15710	24316	21743	27629
MvSl-1064-A1-R4_MC02g04118	38	33	97	50
MvSl-1064-A1-R4_MC02g04119	898	1037	1591	1571
MvSl-1064-A1-R4_MC02g04120	881	1126	1155	1269
MvSl-1064-A1-R4_MC02g04121	1254	708	1306	1001
MvSl-1064-A1-R4_MC02g04122	251	298	235	355
MvSl-1064-A1-R4_MC02g04123	112	168	125	264
MvSl-1064-A1-R4_MC02g04124	2156	2410	1671	3224
MvSl-1064-A1-R4_MC02g04125	232	189	255	239
MvSl-1064-A1-R4_MC02g04126	1931	2597	2141	2902
MvSl-1064-A1-R4_MC02g04127	790	902	844	864
MvSl-1064-A1-R4_MC02g04128	286.953	251.06	291.846	253.766
MvSl-1064-A1-R4_MC02g04129	3537	5614	4194	6288
MvSl-1064-A1-R4_MC02g04130	3089	3174	3308	3214
MvSl-1064-A1-R4_MC02g04131	279	132	516	341
MvSl-1064-A1-R4_MC02g04132	6817	3995	8930	7153
MvSl-1064-A1-R4_MC02g04133	1237	1127	1974	1974
MvSl-1064-A1-R4_MC02g04134	2212	2220	3009	2621
MvSl-1064-A1-R4_MC02g04135	470	611	529	438
MvSl-1064-A1-R4_MC02g04136	542	671	590	416
MvSl-1064-A1-R4_MC02g04137	673	767	550	715
MvSl-1064-A1-R4_MC02g04138	1894	2259	2203	2403
MvSl-1064-A1-R4_MC02g04139	2458	2538	2348	2613
MvSl-1064-A1-R4_MC02g04140	3187	2628	3115	2673
MvSl-1064-A1-R4_MC02g04141	2644	2713	2052	2377
MvSl-1064-A1-R4_MC02g04142	17	14	17	8
MvSl-1064-A1-R4_MC02g04143	0	0	0	0
MvSl-1064-A1-R4_MC02g04144	3772	3784	4130	4410
MvSl-1064-A1-R4_MC02g04145	1428	1562	1554	1652
MvSl-1064-A1-R4_MC02g04146	1876	2338	1674	1932
