gid	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_A1g00241	2160	2219	3471	3971
MvSl-1064-A1-R4_A1g00242	961	856	1624	1685
MvSl-1064-A1-R4_A1g00270	1127	1172	654	516
MvSl-1064-A1-R4_A1g00269	2744	2946	264	163
MvSl-1064-A1-R4_A1g00763	67	36	6	1
MvSl-1064-A1-R4_A1g00211	9195	9463	12815	11473
MvSl-1064-A1-R4_A1g00210	740	787	762	861
MvSl-1064-A1-R4_A1g01418	55.4838	27.3983	524.616	451.453
MvSl-1064-A1-R4_A1g00292	2554	3171	1564	1928
MvSl-1064-A1-R4_A1g00406	740	910	1118	1122
MvSl-1064-A1-R4_A1g00441	680	1051	809	908
MvSl-1064-A1-R4_A1g00144	1469	2081	1399	1646
MvSl-1064-A1-R4_A1g01369	7060	7831	11548	15379
MvSl-1064-A1-R4_A1g01368	1466	980	1409	1083
MvSl-1064-A1-R4_A1g01367	282	231	353	343
MvSl-1064-A1-R4_A1g01366	1589	1576	1686	1768
MvSl-1064-A1-R4_A1g00194	177.768	162.92	129.945	109.527
MvSl-1064-A1-R4_A1g01290	438	510	1541	1418
MvSl-1064-A1-R4_A1g01288	523	713	1367	1741
MvSl-1064-A1-R4_A1g00327	330	337	350	369
MvSl-1064-A1-R4_A1g01404	231	219	5	6
MvSl-1064-A1-R4_A1g01405	444	551	564	581
MvSl-1064-A1-R4_A1g01137	1599	1640	1265	1195
MvSl-1064-A1-R4_A1g01154	2911	3256	3097	3627
MvSl-1064-A1-R4_A1g01159	2009	2308	2982	3347
MvSl-1064-A1-R4_A1g01160	2562	2462	3429	3653
MvSl-1064-A1-R4_A1g01161	1131	1117	1025	1167
MvSl-1064-A1-R4_A1g01162	5	2	170	243
MvSl-1064-A1-R4_A1g01163	46	42	644	596
MvSl-1064-A1-R4_A1g01212	501	244	108	119
MvSl-1064-A1-R4_A1g01049	871	753	2038	1948
MvSl-1064-A1-R4_A1g00533	1183	1299	1317	1311
MvSl-1064-A1-R4_A1g00534	4027	4177	3514	3882
MvSl-1064-A1-R4_A1g00541	1593	1002	1549	1226
MvSl-1064-A1-R4_A1g00542	646	613	1614	1556
MvSl-1064-A1-R4_A1g00543	2837	2165	3168	2792
MvSl-1064-A1-R4_A1g00544	864	1038	1098	1200
MvSl-1064-A1-R4_A1g00525	3461	3430	2992	2883
MvSl-1064-A1-R4_A1g00524	8	12	0	0
MvSl-1064-A1-R4_A1g00522	83	111	1	7
MvSl-1064-A1-R4_A1g01007	709.203	573.448	3074.63	2421.39
MvSl-1064-A1-R4_A1g00669	747	820	873	903
MvSl-1064-A1-R4_A1g00668	2419	2630	41	69
MvSl-1064-A1-R4_A1g00312	9920	14737	1243	1075
MvSl-1064-A1-R4_A1g00311	4973	4602	5990	5396
MvSl-1064-A1-R4_A1g00842	1653	2055	1444	1952
MvSl-1064-A1-R4_A1g00843	231	251	190	189
MvSl-1064-A1-R4_A1g00844	17	22	1	5
MvSl-1064-A1-R4_A1g01021	1	3	67	37
MvSl-1064-A1-R4_A1g01317	2542	2996	3154	3485
MvSl-1064-A1-R4_A1g01022	0	0	1	0
MvSl-1064-A1-R4_A1g00352	614	807	791	1000
MvSl-1064-A1-R4_A1g00351	1746	1366	2481	1616
MvSl-1064-A1-R4_A1g00350	307	350	579	824
MvSl-1064-A1-R4_A1g00694	2715	2890.42	3534.42	3823.32
MvSl-1064-A1-R4_A1g00693	2907	2918	3415	3195
MvSl-1064-A1-R4_A1g00642	76.5122	78	3197.44	2876.92
MvSl-1064-A1-R4_A1g00193	8199	9108	7092	7851
MvSl-1064-A1-R4_A1g00433	904	808	831	713
MvSl-1064-A1-R4_A1g00432	2373	2675	2396	2822
MvSl-1064-A1-R4_A1g00349	12413	9950	78785	57733
MvSl-1064-A1-R4_A1g00644	798	981	453	369
MvSl-1064-A1-R4_MC03g04896	4093.42	3160.44	5139.88	3566.72
MvSl-1064-A1-R4_A1g00835	0	0	0	0
MvSl-1064-A1-R4_A1g00845	1229	1070	1494	1218
MvSl-1064-A1-R4_A1g00546	532.102	479.533	1131.27	1234.94
MvSl-1064-A1-R4_A1g01346	2870	4250	2622	4024
MvSl-1064-A1-R4_A1g01359	1388	1046	2117	1941
MvSl-1064-A1-R4_A1g00854	2371	1886	4075	4148
MvSl-1064-A1-R4_A1g00853	3351	3589	1397	1436
MvSl-1064-A1-R4_A1g01384	4013	4586	2354	2746
MvSl-1064-A1-R4_A1g00628	2587.15	3687.78	400.459	484.825
MvSl-1064-A1-R4_A1g01431	1353	1268	1735	1664
MvSl-1064-A1-R4_A1g01432	382	251	777	890
MvSl-1064-A1-R4_A1g00997	1965	2189	222	195
MvSl-1064-A1-R4_A1g00998	363	470	530	705
MvSl-1064-A1-R4_A1g00957	531	561	749	890
MvSl-1064-A1-R4_A1g00958	2430	2805	1904	2153
MvSl-1064-A1-R4_A1g00960	4536	3460	4268	3011
MvSl-1064-A1-R4_A1g00968	876	738	1116	1113
MvSl-1064-A1-R4_A1g00184	1283	1359	1520	1869
MvSl-1064-A1-R4_A1g00316	197.227	152.162	187.742	163.018
MvSl-1064-A1-R4_A1g00515	768	962	656	613
MvSl-1064-A1-R4_A1g00514	3588	2319	3889	2265
MvSl-1064-A1-R4_A1g00503	1426	1822	2240	2370
MvSl-1064-A1-R4_A1g00504	219	252	255	270
MvSl-1064-A1-R4_A1g00505	924	509	988	503
MvSl-1064-A1-R4_A1g00506	595	578	634	695
MvSl-1064-A1-R4_A1g00507	1272	911	1376	1158
MvSl-1064-A1-R4_A1g00511	2170	2179	2276	2375
MvSl-1064-A1-R4_A1g00512	641	642	728	790
MvSl-1064-A1-R4_A1g00513	984	1057	1111	1167
MvSl-1064-A1-R4_A1g01017	2457	2665	2650	2200
MvSl-1064-A1-R4_A1g00970	1407	1816	3417	3338
MvSl-1064-A1-R4_A1g00972	1801	2561	720	728
MvSl-1064-A1-R4_A1g00252	82.9083	96.3947	11.4107	12.324
MvSl-1064-A1-R4_A1g00253	185	214.138	304.902	234.802
MvSl-1064-A1-R4_A1g01407	2169	2124	1952	1930
MvSl-1064-A1-R4_A1g01406	48637	62993	36152	34759
MvSl-1064-A1-R4_A1g01219	34650	45821	19162	32596
MvSl-1064-A1-R4_A1g01220	539	597	6680	7014
MvSl-1064-A1-R4_A1g01174	1524	1945	796	767
MvSl-1064-A1-R4_A1g01173	749	697	603	545
MvSl-1064-A1-R4_A1g01271	3725	5806	3163	4419
MvSl-1064-A1-R4_A1g01272	9036	13172	11313	16447
MvSl-1064-A1-R4_A1g01261	15924	17305	5189	3149
MvSl-1064-A1-R4_A1g00153	3279	2888	3372	2490
MvSl-1064-A1-R4_A1g00154	817	957	516	564
MvSl-1064-A1-R4_A1g00155	1122.81	1469.88	1935.54	2047.94
MvSl-1064-A1-R4_A1g00626	196.846	231.04	105.869	96.6213
MvSl-1064-A1-R4_A1g00175	1224	1408	1912	1544
MvSl-1064-A1-R4_A1g00283	47.9114	35.1566	968.989	845.003
MvSl-1064-A1-R4_A1g01302	38	27	2617	3305
MvSl-1064-A1-R4_A1g00516	8465	11321	5539	6137
MvSl-1064-A1-R4_A1g00517	6350	5186	9718	7558
MvSl-1064-A1-R4_A1g00518	1467	1955	1549	1795
MvSl-1064-A1-R4_A1g00519	3009	3086	2919	2642
MvSl-1064-A1-R4_A1g00520	881	1056	903	1015
MvSl-1064-A1-R4_A1g00521	1020	1719	1072	1481
MvSl-1064-A1-R4_A1g01227	2806	4880	2860	4355
MvSl-1064-A1-R4_A1g01228	189	225	280	272
MvSl-1064-A1-R4_A1g00646	6051	8614	2702	3194
MvSl-1064-A1-R4_A1g00645	1140	1480	1477	1523
MvSl-1064-A1-R4_A1g01175	8.39343	10.3652	2.43619	1.01774
MvSl-1064-A1-R4_A1g01347	1510	1428	3765	3460
MvSl-1064-A1-R4_A1g01348	3230	3355	3723	3993
MvSl-1064-A1-R4_A1g01350	1225	1356	1282	1394
MvSl-1064-A1-R4_A1g01351	22750	23309	23432	26928
MvSl-1064-A1-R4_A1g01164	538	602	350	408
MvSl-1064-A1-R4_A1g00977	1672	1577	217	217
MvSl-1064-A1-R4_A1g00913	777	694	614	532
MvSl-1064-A1-R4_A1g00920	363	258	251	111
MvSl-1064-A1-R4_A1g00921	2717	3156	3788	3641
MvSl-1064-A1-R4_A1g00923	256	188	561	509
MvSl-1064-A1-R4_A1g00912	776	1018	784	996
