gene	water1	water2	rich1	rich2	di1	di2
MvSl-1064-A1-R4_A1g00317	247.647	192.255	174.194	339.998	367.631	342.952
MvSl-1064-A1-R4_A1g00324	3.43541	4.28431	11.9264	16.2387	8.09116	10.2793
MvSl-1064-A1-R4_A1g00325	0	0	1	2	2	0
MvSl-1064-A1-R4_A1g00328	115	182	360	545	277	176
MvSl-1064-A1-R4_A1g00330	296.023	299.726	183.055	312.728	112.594	121.775
MvSl-1064-A1-R4_A1g00332	13	15	5	3	4	10
MvSl-1064-A1-R4_A1g00333	3.12783	3.16936	2.02664	2.05589	0	0
MvSl-1064-A1-R4_A1g00336	17	8	1	2	5	5
MvSl-1064-A1-R4_A1g00337	0	1	0	0	0	0
MvSl-1064-A1-R4_A1g00338	20	18	2	3	9	12
MvSl-1064-A1-R4_A1g00340	2410.91	4041.22	149.731	346	167.488	223.312
MvSl-1064-A1-R4_A1g00342	1108	1368.86	417	586	434.856	389.925
MvSl-1064-A1-R4_A1g00345	28	16.4049	8.94792	1.01693	22.4164	56.1752
MvSl-1064-A1-R4_A1g00346	850.301	1091.24	544.512	650.651	954.276	1515.29
MvSl-1064-A1-R4_A1g00353	1940.05	2831.69	915.114	1420.14	627.489	963.134
MvSl-1064-A1-R4_A1g00355	9439.36	18802.6	1724.45	2383.47	3595.23	5199.58
MvSl-1064-A1-R4_A1g00356	90.8272	125.457	21.2506	19.2004	28.1311	48.9233
MvSl-1064-A1-R4_A1g00362	33.869	37.4396	97.4797	56.6757	19.6866	24.5933
MvSl-1064-A1-R4_A1g00381	0	0	1	1.249	1.22312	0
MvSl-1064-A1-R4_A1g00385	0	4	0	0	2	1
MvSl-1064-A1-R4_A1g00387	66.1779	47.9721	3.07928	9	16.0763	14.3402
MvSl-1064-A1-R4_A1g00388	89.6063	85.129	85.0474	72.2665	50.3464	37.6865
MvSl-1064-A1-R4_A1g00410	656.562	794.334	459.969	312.38	225.366	312.968
MvSl-1064-A1-R4_A1g00413	3802.36	6796.35	2186.16	4045.2	1083.5	2233.37
MvSl-1064-A1-R4_A1g00415	6	4.60215	5	2	5.6315	4.57838
MvSl-1064-A1-R4_A1g00416	217.449	208.543	225.218	226.007	179.104	205.166
MvSl-1064-A1-R4_A1g00417	135.29	119.298	141.027	119.402	166.912	156.52
MvSl-1064-A1-R4_A1g00419	3	2	0	1	5	3
MvSl-1064-A1-R4_A1g00424	1	0	0	0	2	7
MvSl-1064-A1-R4_A1g00429	467.191	489.535	152.403	101.338	660.345	1061.02
MvSl-1064-A1-R4_A1g00431	81.6072	106.18	132.067	202.75	2563.79	2270.05
MvSl-1064-A1-R4_A1g00435	391.634	406.277	144.117	160.467	368.397	419.421
MvSl-1064-A1-R4_A1g00443	284.901	296.115	80.4731	110.807	129.544	147.204
MvSl-1064-A1-R4_A1g00445	37	34	25	39	26	39
MvSl-1064-A1-R4_A1g00449	0	0	0	0	1.50426	2.5384
MvSl-1064-A1-R4_A1g00450	15.447	22.1523	66.4046	48	105.149	107.393
MvSl-1064-A1-R4_A1g00451	5.7678	6.22665	9.174	7.46034	13.8405	3.50286
MvSl-1064-A1-R4_A1g00452	529.137	684.088	852.73	909.433	529.355	491.458
MvSl-1064-A1-R4_A1g00454	118.603	93.8924	13.8207	11.3978	112.046	138.069
MvSl-1064-A1-R4_A1g00456	1.01706	1.02026	0	0	0	1.06798
MvSl-1064-A1-R4_A1g00457	0	0	0	0	0	1
MvSl-1064-A1-R4_A1g00460	87.7431	72.5893	33.8045	53.7512	71.3695	89.9648
MvSl-1064-A1-R4_A1g00461	100.552	144.165	110.659	184.226	42.2844	70.7271
MvSl-1064-A1-R4_A1g00472	10.5364	6.58547	20.7783	20.4841	14.5228	16.4743
MvSl-1064-A1-R4_A1g00473	0.374533	1.10732	1	0	0	1.02134
MvSl-1064-A1-R4_A1g00477	168	171	288	432	168	100
MvSl-1064-A1-R4_A1g00479	12	1	5	11	1	2
MvSl-1064-A1-R4_A1g00480	36.319	37.9459	8.05758	27.1875	42.7984	71.2891
MvSl-1064-A1-R4_A1g00484	9	5	6	0	0	1
MvSl-1064-A1-R4_A1g00485	0	2.01043	1.02786	0	9.12641	2.60315
MvSl-1064-A1-R4_A1g00486	5	4	4	2	3	1.01191
MvSl-1064-A1-R4_A1g00488	28.8455	19.6093	15.9613	27.3159	6.79405	27.1023
MvSl-1064-A1-R4_A1g00489	2116.48	2405.19	1281.06	1930.3	1362.6	1462.22
MvSl-1064-A1-R4_A1g00493	23.6165	43	46.6032	47.5192	22.8716	27
MvSl-1064-A1-R4_A1g00494	7	11	16	27	26	7.08643
MvSl-1064-A1-R4_A1g00499	2.38448	3.45847	0	0	2.70888	1.5689
MvSl-1064-A1-R4_A1g00502	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00526	1091	1098	2344	3703	896	987
MvSl-1064-A1-R4_A1g00531	16	10	12	18	21	23
MvSl-1064-A1-R4_A1g00536	122.178	121.824	170.792	180.396	115.719	95.0505
MvSl-1064-A1-R4_A1g00539	72.1123	58.189	41.6633	57.0177	28.7619	38.832
MvSl-1064-A1-R4_A1g00545	92	69	22	16	18	18
MvSl-1064-A1-R4_A1g00548	132.184	87.2017	66.5867	90.0968	219.533	205.402
MvSl-1064-A1-R4_A1g00550	281	290	129	150	115	168
MvSl-1064-A1-R4_A1g00551	1245.24	1225.45	316.838	497.522	876.925	1172.88
MvSl-1064-A1-R4_A1g00552	70.3145	87.7036	39.2116	32.1445	46.2553	38.8516
MvSl-1064-A1-R4_A1g00555	20.9423	21.2808	89.1465	171.656	18.0156	15.7612
MvSl-1064-A1-R4_A1g00556	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00557	174.9	76.4573	2.43119	2.13765	170.132	183.858
MvSl-1064-A1-R4_A1g00560	164.917	155	141.786	105.155	141.962	114.927
MvSl-1064-A1-R4_A1g00561	230.661	227.624	98.7949	144.864	123.731	232.769
MvSl-1064-A1-R4_A1g00564	0	0	36.104	93.1064	0	0
MvSl-1064-A1-R4_A1g00565	15.6962	8.97974	23.5906	23.2638	5.98879	8.57883
MvSl-1064-A1-R4_A1g00567	706.645	721.161	195.834	224.806	562.634	609.863
MvSl-1064-A1-R4_A1g00571	1.86979	1.43296	2.02589	3.01021	0	2.49578
MvSl-1064-A1-R4_A1g00574	37	39	4	6	16	15
MvSl-1064-A1-R4_A1g00578	69.1177	108.927	23.3315	20.3258	8.27045	29.7373
MvSl-1064-A1-R4_A1g00582	2196.4	3563.61	494.544	739.572	713.083	1260.71
MvSl-1064-A1-R4_A1g00585	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00588	2.57553	2.44388	0	0	35.8663	51.5169
MvSl-1064-A1-R4_A1g00595	325.018	302.897	174.888	144.119	304.631	331.999
MvSl-1064-A1-R4_A1g00596	6.73545	7.59875	3.60846	5.78003	4.52156	2.5386
MvSl-1064-A1-R4_A1g00597	0	0	0	0	0	0
MvSl-1064-A1-R4_A1g00600	26	16	4.11911	2	0	13
MvSl-1064-A1-R4_A1g00601	85	72	14	6	14	41
MvSl-1064-A1-R4_A1g00602	2	3	1	2.03909	1	5.07242
MvSl-1064-A1-R4_A1g00607	37.066	47.4779	38.0484	49.7114	39.5606	69.9533
MvSl-1064-A1-R4_A1g00612	33.6562	50.6676	98.7824	111.417	64.3913	95.5907
MvSl-1064-A1-R4_A1g00615	4.0151	5.07607	4.02501	0	4.20254	0
MvSl-1064-A1-R4_A1g00617	0	0	0	0	1.03502	3.03898
MvSl-1064-A1-R4_A1g00619	5.31879	7.56251	3.22773	3.23304	28.5671	29.8356
MvSl-1064-A1-R4_A1g00620	392	491	186	138	274	254
MvSl-1064-A1-R4_A1g00621	134.196	215	0	1	35.1033	26.08
MvSl-1064-A1-R4_A1g00622	2253.16	2074.22	173	171	1218.77	1558.95
MvSl-1064-A1-R4_A1g00623	248	280	20	34	121	205
MvSl-1064-A1-R4_A1g00625	85.6767	106	54.1383	72	111	108
MvSl-1064-A1-R4_A1g00628	170.831	239.041	32.129	67.048	132.937	207.97
