gene	M1	M2	M3
Minter-1389-PBcR_C02g01834	6714	7078	1847
Minter-1389-PBcR_C02g01835	2511	3526	1265
Minter-1389-PBcR_C02g01836	4386	4066	3403
Minter-1389-PBcR_C02g01837	5454	5401	3953
Minter-1389-PBcR_C02g01838	4366	4613	2520
Minter-1389-PBcR_C02g01839	1735	2228	1205
Minter-1389-PBcR_C02g01847	513	412	430
Minter-1389-PBcR_C02g01850	10905	9373	2393
Minter-1389-PBcR_C02g01851	2231	2805	1555
Minter-1389-PBcR_C02g01852	1633	1617	1273
Minter-1389-PBcR_C02g01853	2636	2843	2146
Minter-1389-PBcR_C02g01856	428	488	243
Minter-1389-PBcR_C02g01857	1474	1590	727
Minter-1389-PBcR_C02g01858	3380	3204	3354
Minter-1389-PBcR_C02g01859	6139	6074	4684
Minter-1389-PBcR_C02g01861	1199	1613	747
Minter-1389-PBcR_C02g01862	5181	5493	3538
Minter-1389-PBcR_C02g01863	525	589	259
Minter-1389-PBcR_C02g01865	5151	4915	4498
Minter-1389-PBcR_C02g01866	7093	6911	5073
Minter-1389-PBcR_C02g01868	2647	2784	2595
Minter-1389-PBcR_C02g01869	1751	1660	1789
Minter-1389-PBcR_C02g01870	4804	4078	4048
Minter-1389-PBcR_C02g01871	5872	7376	3547
Minter-1389-PBcR_C02g01872	5826	7415	3659
Minter-1389-PBcR_C02g01873	627	961	225
Minter-1389-PBcR_C02g01874	1038	680	508
Minter-1389-PBcR_C02g01875	2047	2606	1089
Minter-1389-PBcR_C02g01876	2758	2677	1494
Minter-1389-PBcR_C02g01877	1931	2072	1416
Minter-1389-PBcR_C02g01878	497	407	218
Minter-1389-PBcR_C02g01881	2996	2901	1228
Minter-1389-PBcR_C02g01882	6358	7563	4290
Minter-1389-PBcR_C02g01883	1270	1510	687
Minter-1389-PBcR_C02g01884	350	357	181
Minter-1389-PBcR_C02g01885	1614	1760	1009
Minter-1389-PBcR_C02g01886	5111	6509	3603
Minter-1389-PBcR_C02g01888	1920	2310	1374
Minter-1389-PBcR_C02g01890	3315	2015	3017
Minter-1389-PBcR_C02g01891	2594	3323	507
Minter-1389-PBcR_C02g01892	10128	9246	5851
Minter-1389-PBcR_C02g01893	1438	1867	822
Minter-1389-PBcR_C02g01894	2696	3134	885
Minter-1389-PBcR_C02g01897	8741.36	8717.97	6670.94
Minter-1389-PBcR_C03g01900	2931	4008	1953
Minter-1389-PBcR_C03g01901	1345	1794	1023
Minter-1389-PBcR_C03g01902	1526	2119	1023
Minter-1389-PBcR_C03g01903	2890	3646	2303
Minter-1389-PBcR_C03g01904	12088	12474	9571
Minter-1389-PBcR_C03g01906	1359	1344	506
Minter-1389-PBcR_C03g01910	7273	5452	2842
Minter-1389-PBcR_C03g01911	1592	2063	941
Minter-1389-PBcR_C03g01912	1011	1247	602
Minter-1389-PBcR_C03g01913	1392	2137	997
Minter-1389-PBcR_C03g01915	1648	1639	957
Minter-1389-PBcR_C03g01916	3809	5460	2321
Minter-1389-PBcR_C03g01919	1040	1251	399
Minter-1389-PBcR_C03g01920	477	587	281
Minter-1389-PBcR_C03g01930	6410	6977	4843
Minter-1389-PBcR_C03g01931	1589	1434	1002
Minter-1389-PBcR_C03g01933	2892	2620	1865
Minter-1389-PBcR_C03g01934	2993	2984	1967
Minter-1389-PBcR_C03g01935	3842	3534	2940
Minter-1389-PBcR_C03g01936	60253	37102	45478
Minter-1389-PBcR_C03g01940	2381	1852	1739
Minter-1389-PBcR_C03g01941	1700	1503	1397
Minter-1389-PBcR_C03g01942	776	1069	500
Minter-1389-PBcR_C03g01943	6981	8556	4654
Minter-1389-PBcR_C03g01945	2469	2828	1016
Minter-1389-PBcR_C03g01948	4207.04	4347.19	2201.24
Minter-1389-PBcR_C03g01949	854	1128	375
Minter-1389-PBcR_C03g01950	12408	12217	7320
Minter-1389-PBcR_C03g01951	5191	5688	3179
Minter-1389-PBcR_C03g01952	717	802	382
Minter-1389-PBcR_C03g01953	510	561	262
Minter-1389-PBcR_C03g01955	2882	3399	1530
Minter-1389-PBcR_C03g01956	2170	2710	1323
Minter-1389-PBcR_C03g01957	3649	4892	2681
Minter-1389-PBcR_C03g01958	1064	1217	636
Minter-1389-PBcR_C03g01960	3266	3915	2085
Minter-1389-PBcR_C03g01961	3456	3769	2434
Minter-1389-PBcR_C03g01962	6214	6179	5305
Minter-1389-PBcR_C03g01963	760	904	341
Minter-1389-PBcR_C03g01964	3339	4221	1823
Minter-1389-PBcR_C03g01967	1700	1897	981
Minter-1389-PBcR_C03g01968	4886	4554	2630
Minter-1389-PBcR_C03g01969	2336	2019	1658
Minter-1389-PBcR_C03g01970	9846	10399	6468
Minter-1389-PBcR_C03g01971	1475	2026	825
Minter-1389-PBcR_C03g01972	2316	2561	1404
Minter-1389-PBcR_C03g01974	1640	2237	599
Minter-1389-PBcR_C03g01975	2812	2597	2040
Minter-1389-PBcR_C03g01976	2456	2686	1313
Minter-1389-PBcR_C03g01977	1226	1249	565
Minter-1389-PBcR_C03g01978	482	542	339
Minter-1389-PBcR_C03g01979	421	339	303
Minter-1389-PBcR_C03g01980	310	387	215
Minter-1389-PBcR_C03g01981	243	253	155
Minter-1389-PBcR_C03g01982	5499	6665	3818
Minter-1389-PBcR_C03g01983	1446	1608	1253
Minter-1389-PBcR_C03g01985	34430	33326	25495
Minter-1389-PBcR_C03g01986	5013	5878	3247
Minter-1389-PBcR_C03g01987	3511	3848	1758
Minter-1389-PBcR_C03g01988	3133	3938	2503
Minter-1389-PBcR_C03g01989	1528	1162	1361
Minter-1389-PBcR_C03g01991	1823	2102	1251
Minter-1389-PBcR_C03g01993	1225	1404	813
Minter-1389-PBcR_C03g01995	887	1020	584
Minter-1389-PBcR_C03g02000	464	594	279
Minter-1389-PBcR_C03g02001	283	365	117
Minter-1389-PBcR_C03g02003	588	629	276
Minter-1389-PBcR_C03g02004	4150	5312	2497
Minter-1389-PBcR_C03g02005	2679	3093	968
Minter-1389-PBcR_C03g02006	4975	4267	1969
Minter-1389-PBcR_C03g02007	608	854	563
Minter-1389-PBcR_C03g02008	2446	2273	865
Minter-1389-PBcR_C03g02009	1042	1272	314
Minter-1389-PBcR_C03g02010	4794	5572	2584
Minter-1389-PBcR_C03g02011	1558	1399	667
Minter-1389-PBcR_C03g02015	170	302	167
Minter-1389-PBcR_C03g02016	2603	2126	505
Minter-1389-PBcR_C03g02017	2282	3096	1773
Minter-1389-PBcR_C03g02018	1780	2179	984
Minter-1389-PBcR_C03g02019	2697	2428	1885
Minter-1389-PBcR_C03g02020	9946	9631	6353
Minter-1389-PBcR_C03g02021	248	272	308
Minter-1389-PBcR_C03g02022	3530	4913	1841
Minter-1389-PBcR_C03g02023	1500	1981	924
Minter-1389-PBcR_C03g02024	4548	5792	2904
Minter-1389-PBcR_C03g02027	1005	1373	467
Minter-1389-PBcR_C03g02028	845	1076	351
Minter-1389-PBcR_C03g02029	563	697	296
Minter-1389-PBcR_C03g02031	13135.3	8780.7	7528.4
Minter-1389-PBcR_C03g02034	602	628	325
Minter-1389-PBcR_C03g02035	3542	3040	2095
Minter-1389-PBcR_C03g02036	6576	7747	3466
Minter-1389-PBcR_C03g02037	8381.57	8340.09	4918.03
Minter-1389-PBcR_C03g02038	751	861	399
Minter-1389-PBcR_C03g02039	3925	4748	2648
Minter-1389-PBcR_C03g02040	3139	3153	1679
Minter-1389-PBcR_C03g02041	5926	5329	2406
Minter-1389-PBcR_C03g02044	313468	233766	190220
Minter-1389-PBcR_C03g02045	1950	1297	1360
Minter-1389-PBcR_C03g02046	4946	4962	3456
Minter-1389-PBcR_C03g02047	8725	9016	5490
Minter-1389-PBcR_C03g02048	3684	3559	1563
Minter-1389-PBcR_C03g02049	1385.35	1549.3	783.891
Minter-1389-PBcR_C03g02050	2359	2575	1551
Minter-1389-PBcR_C03g02051	1629	2280	793
Minter-1389-PBcR_C03g02052	4202	4216	2642
Minter-1389-PBcR_C03g02053	3342	3854	2133
Minter-1389-PBcR_C03g02054	1805	2584	958
Minter-1389-PBcR_C03g02055	8088	8635	3605
Minter-1389-PBcR_C03g02056	2008	2001	1421
Minter-1389-PBcR_C03g02057	8139	8907	4829
Minter-1389-PBcR_C03g02058	8116	5421	10005
Minter-1389-PBcR_C03g02059	9822.46	6887.2	10635.9
Minter-1389-PBcR_C03g02060	1431	1809	1072
Minter-1389-PBcR_C03g02061	485	507	234
Minter-1389-PBcR_C03g02062	789	1155	556
Minter-1389-PBcR_C03g02063	1228	1145	974
Minter-1389-PBcR_C03g02064	1274	1333	639
Minter-1389-PBcR_C03g02065	1700	1671	1021
Minter-1389-PBcR_C03g02067	11719	11596	5593
Minter-1389-PBcR_C03g02068	2879	2741	1480
Minter-1389-PBcR_C03g02069	521	655	311
Minter-1389-PBcR_C03g02070	3505	4455	2190
Minter-1389-PBcR_C03g02071	2562	2283	1683
Minter-1389-PBcR_C03g02072	320	437	234
Minter-1389-PBcR_C03g02073	339	475	195
Minter-1389-PBcR_C03g02074	1471	1997	736
Minter-1389-PBcR_C03g02075	818	1051	323
Minter-1389-PBcR_C03g02076	1210	1411	606
Minter-1389-PBcR_C03g02077	1228	1617	781
Minter-1389-PBcR_C03g02079	275	167	136
Minter-1389-PBcR_C03g02080	6912	7805	3866
Minter-1389-PBcR_C03g02084	618	660	322
Minter-1389-PBcR_C03g02085	1025	1204	667
Minter-1389-PBcR_C03g02086	515	627	250
Minter-1389-PBcR_C03g02087	526	486	256
Minter-1389-PBcR_C03g02088	6624	6927	2779
Minter-1389-PBcR_C03g02089	1228	1649	752
Minter-1389-PBcR_C03g02090	2799	2809	1049
Minter-1389-PBcR_C03g02091	6243	5616	5166
Minter-1389-PBcR_C03g02092	965	953	600
Minter-1389-PBcR_C03g02093	3696	4251	2064
Minter-1389-PBcR_C03g02094	1500	1899	843
Minter-1389-PBcR_C03g02095	2386	2545	1343
Minter-1389-PBcR_C03g02096	905	708	734
Minter-1389-PBcR_C03g02097	1204	1207	723
Minter-1389-PBcR_C03g02098	796	701	470
Minter-1389-PBcR_C03g02099	1265	1500	653
Minter-1389-PBcR_C03g02100	4156	4776	2711
Minter-1389-PBcR_C03g02101	2732	3240	1376
Minter-1389-PBcR_C03g02102	7117	8713	4423
Minter-1389-PBcR_C03g02103	1062	1512	932
Minter-1389-PBcR_C03g02104	581	811	315
Minter-1389-PBcR_C03g02106	1205.19	1189.45	782.035
Minter-1389-PBcR_C03g02107	3611	3946	1539
Minter-1389-PBcR_C03g02108	1571	1996	879
Minter-1389-PBcR_C03g02109	6832	8751	4646
Minter-1389-PBcR_C03g02110	30332	6202	9827
Minter-1389-PBcR_C03g02112	9	14	10
Minter-1389-PBcR_C03g02113	2122	2546	1549
Minter-1389-PBcR_C03g02114	2776	2495	1523
Minter-1389-PBcR_C03g02115	2178	3050	1315
Minter-1389-PBcR_C03g02116	1167.02	1370	663.017
Minter-1389-PBcR_C03g02117	6267	7346	3338
Minter-1389-PBcR_C03g02121	2004	2559	1307
Minter-1389-PBcR_C03g02122	1066	1384	612
Minter-1389-PBcR_C03g02123	354	332	183
Minter-1389-PBcR_C03g02124	4428	5019	2404
Minter-1389-PBcR_C03g02125	1863	2151	1441
Minter-1389-PBcR_C03g02126	2618	2810	1419
Minter-1389-PBcR_C03g02127	1038	1093	526
Minter-1389-PBcR_C03g02128	497	623	228
Minter-1389-PBcR_C03g02129	2	4	0
Minter-1389-PBcR_C03g02130	1804	1877	727
Minter-1389-PBcR_C03g02132	1388	1414	824
Minter-1389-PBcR_C03g02133	576.013	387.021	391
Minter-1389-PBcR_C03g02134	5248.19	6277.71	3853.12
Minter-1389-PBcR_C03g02135	1465	1475	1222
Minter-1389-PBcR_C03g02136	11896.6	6964.47	3720.38
Minter-1389-PBcR_C03g02137	233	413	141
Minter-1389-PBcR_C03g02138	1931	1862	1098
Minter-1389-PBcR_C03g02139	3381	3433	1936
Minter-1389-PBcR_C03g02140	557	632	167
Minter-1389-PBcR_C03g02141	1932	2791	936
Minter-1389-PBcR_C03g02142	1605	2082	1200
Minter-1389-PBcR_C03g02143	2915	2753	2014
Minter-1389-PBcR_C03g02144	3078	4334	1480
Minter-1389-PBcR_C03g02146	415	551	330
Minter-1389-PBcR_C03g02147	3659	3496	2636
Minter-1389-PBcR_C03g02149	379	466	245
Minter-1389-PBcR_C03g02150	1670	1923	882
Minter-1389-PBcR_C03g02151	2064	2286	1071
Minter-1389-PBcR_C03g02152	6164	5973	5400
Minter-1389-PBcR_C03g02153	153994	117772	117884
Minter-1389-PBcR_C03g02154	2181	2738	1877
Minter-1389-PBcR_C03g02155	3791	5794	3337
Minter-1389-PBcR_C03g02156	1487	1397	1136
Minter-1389-PBcR_C03g02157	3360	2999	2761
Minter-1389-PBcR_C03g02158	4223	3645	3424
Minter-1389-PBcR_C03g02159	4834	6936	3756
Minter-1389-PBcR_C03g02160	1250	1662	695
Minter-1389-PBcR_C03g02161	9960	12011	5223
Minter-1389-PBcR_C03g02162	1295	580	244
Minter-1389-PBcR_C03g02163	2177	3532	1342
Minter-1389-PBcR_C03g02165	988	1403	676
Minter-1389-PBcR_C03g02166	1253	1899	510
Minter-1389-PBcR_C03g02167	1217	1560	742
Minter-1389-PBcR_C03g02168	1808	2170	802
Minter-1389-PBcR_C03g02169	10906	11758	9199
Minter-1389-PBcR_C03g02170	921	1239	661
Minter-1389-PBcR_C03g02171	634	680	407
Minter-1389-PBcR_C03g02172	4074	5312	2600
Minter-1389-PBcR_C03g02173	1448.07	1467.08	875
Minter-1389-PBcR_C03g02174	2738	3041	1565
Minter-1389-PBcR_C03g02175	2539	3379	1251
Minter-1389-PBcR_C03g02176	1433	1617	901
Minter-1389-PBcR_C03g02177	5133	6843	1639
Minter-1389-PBcR_C03g02178	3062	3631	1830
Minter-1389-PBcR_C03g02179	622	802	341
Minter-1389-PBcR_C03g02183	58	63	23
Minter-1389-PBcR_C03g02185	4329	4894	2969
Minter-1389-PBcR_C03g02187	1214	1309	773
Minter-1389-PBcR_C03g02190	3811	5026	2723
Minter-1389-PBcR_C03g02192	3311	4737	1671
Minter-1389-PBcR_C03g02193	8309	7752	6831
Minter-1389-PBcR_C03g02194	2216	1211	2201
Minter-1389-PBcR_C03g02195	2411	2775	1134
Minter-1389-PBcR_C03g02196	2039	1945	800
Minter-1389-PBcR_C03g02197	859	1027	494
Minter-1389-PBcR_C03g02198	2796	3417	1462
Minter-1389-PBcR_C03g02200	902	1242	467
Minter-1389-PBcR_C03g02203	1747	1553	947
Minter-1389-PBcR_C03g02204	5798	6204	3421
Minter-1389-PBcR_C03g02205	1216	1292	764
Minter-1389-PBcR_C03g02206	7229	7412	4767
Minter-1389-PBcR_C03g02207	1331	1625	977
Minter-1389-PBcR_C03g02211	2211	2774	1362
Minter-1389-PBcR_C03g02216	1058	509	860
Minter-1389-PBcR_C03g02217	1715	2277	1164
Minter-1389-PBcR_C03g02220	1060	1350	410
Minter-1389-PBcR_C03g02221	2972	3392	2131
Minter-1389-PBcR_C03g02222	1268	1178	799
Minter-1389-PBcR_C03g02223	2615	3253	1349
Minter-1389-PBcR_C03g02224	2239	3241	982
Minter-1389-PBcR_C03g02226	479	378	311
Minter-1389-PBcR_C03g02227	478	665	327
Minter-1389-PBcR_C03g02229	238	209	117
Minter-1389-PBcR_C03g02231	4007	4172	2962
Minter-1389-PBcR_C03g02232	2909	3424	1786
Minter-1389-PBcR_C03g02233	2879	3779	1894
Minter-1389-PBcR_C03g02234	2269	2582	1626
Minter-1389-PBcR_C03g02235	1252	1170	808
Minter-1389-PBcR_C03g02236	1137	890	999
Minter-1389-PBcR_C03g02237	341	246	179
Minter-1389-PBcR_C03g02238	658	890	275
Minter-1389-PBcR_C03g02239	2794	2995	1532
Minter-1389-PBcR_C03g02240	2876	3044	1296
Minter-1389-PBcR_C03g02241	3292	3700	2077
Minter-1389-PBcR_C03g02242	11188	10813	7677
Minter-1389-PBcR_C03g02243	2061	2122	1068
Minter-1389-PBcR_C03g02244	2504	2659	1001
Minter-1389-PBcR_C03g02245	1764	2135	803
Minter-1389-PBcR_C03g02246	1054	1152	549
Minter-1389-PBcR_C03g02247	7481	6392	3907
Minter-1389-PBcR_C03g02248	2708	2950	1422
Minter-1389-PBcR_C03g02249	1170	1346	720
Minter-1389-PBcR_C03g02250	4548	3085	2878
Minter-1389-PBcR_C03g02251	2669	1974	2213
Minter-1389-PBcR_C03g02252	1835	2005	1005
Minter-1389-PBcR_C03g02253	1439	1549	844
Minter-1389-PBcR_C03g02254	3971	4906	2292
Minter-1389-PBcR_C03g02255	2948	3939	1713
Minter-1389-PBcR_C03g02256	12231	14580	2415
Minter-1389-PBcR_C03g02257	7485	7502	5075
Minter-1389-PBcR_C03g02258	1147	1006	655
Minter-1389-PBcR_C03g02259	1908	2271	1449
Minter-1389-PBcR_C03g02267	2497	2888	1421
Minter-1389-PBcR_C03g02268	1689	1453	695
Minter-1389-PBcR_C03g02269	3367	3539	2516
Minter-1389-PBcR_C03g02270	2421	2967	1550
Minter-1389-PBcR_C03g02271	3315	3578	1682
Minter-1389-PBcR_C03g02272	7113	6465	3964
Minter-1389-PBcR_C03g02273	1233	1374	664
Minter-1389-PBcR_C03g02274	1170	1431	662
Minter-1389-PBcR_C03g02275	3236	3941	2253
Minter-1389-PBcR_C03g02276	2680	3136	1821
Minter-1389-PBcR_C03g02279	9124	10077	6207
Minter-1389-PBcR_C03g02286	2329	3092	1319
Minter-1389-PBcR_C03g02289	10052	10536	5907
Minter-1389-PBcR_C03g02290	1731	1921	1084
Minter-1389-PBcR_C03g02291	1163	1489	596
Minter-1389-PBcR_C03g02321	7023	7093	4182
Minter-1389-PBcR_C03g02322	5137	4951	3195
Minter-1389-PBcR_C03g02323	2186	2402	1243
Minter-1389-PBcR_C03g02324	5566	8124	4793
Minter-1389-PBcR_C03g02327	1619	1775	636
Minter-1389-PBcR_C03g02328	2239	2606	1146
Minter-1389-PBcR_C03g02331	260.933	205.81	136.682
Minter-1389-PBcR_C03g02333	839	739	470
Minter-1389-PBcR_C03g02337	2148	2221	1046
Minter-1389-PBcR_C03g02338	1829	1438	1237
Minter-1389-PBcR_C03g02339	2726	2738	1776
Minter-1389-PBcR_C03g02341	1411	1598	848
Minter-1389-PBcR_C03g02343	10450	11387	6260
Minter-1389-PBcR_C03g02344	2309	2759	1192
Minter-1389-PBcR_C03g02345	1828	2633	1145
Minter-1389-PBcR_C03g02346	3974	4605	2218
Minter-1389-PBcR_C03g02347	9218	9287	5653
Minter-1389-PBcR_C03g02348	1865	2038	1072
Minter-1389-PBcR_C03g02349	5041	6050	3140
Minter-1389-PBcR_C03g02350	4106	4662	2032
Minter-1389-PBcR_C03g02351	8043	8790	5468
Minter-1389-PBcR_C03g02352	1011	1060	644
Minter-1389-PBcR_C03g02353	471	616	200
Minter-1389-PBcR_C03g02354	4511	4998	3128
Minter-1389-PBcR_C03g02355	10860	10322	7228
Minter-1389-PBcR_C03g02357	1029	1207	626
Minter-1389-PBcR_C03g02358	8930	10568	6868
Minter-1389-PBcR_C03g02359	5318	5287	2812
Minter-1389-PBcR_C03g02360	5534	5072	2453
Minter-1389-PBcR_C03g02368	1317.98	1481.76	1220.87
Minter-1389-PBcR_C03g02370	1265	1371	698
Minter-1389-PBcR_C03g02371	748	950	485
Minter-1389-PBcR_C03g02372	1335	1197	743
Minter-1389-PBcR_C03g02373	1538	1925	953
Minter-1389-PBcR_C03g02374	1381	1381	326
Minter-1389-PBcR_C03g02376	33	26	20
Minter-1389-PBcR_C03g02377	1342	1751	629
Minter-1389-PBcR_C03g02378	1884	2466	1159
Minter-1389-PBcR_C03g02379	3096	3691	1920
Minter-1389-PBcR_C03g02380	2668	2545	879
Minter-1389-PBcR_C03g02381	2282	2853	1376
Minter-1389-PBcR_C03g02382	896	1130	489
Minter-1389-PBcR_C03g02383	1124	1702	609
Minter-1389-PBcR_C03g02384	21140	25256	12782
Minter-1389-PBcR_C03g02385	1545	2149	1071
Minter-1389-PBcR_C03g02386	834	1073	396
Minter-1389-PBcR_C03g02390	1246	1494	813
Minter-1389-PBcR_C03g02391	600	711	215
Minter-1389-PBcR_C03g02392	556	649	341
Minter-1389-PBcR_C03g02394	5959	5640	4063
Minter-1389-PBcR_C03g02397	1311	1390	769
Minter-1389-PBcR_C03g02398	1882	2624	1245
Minter-1389-PBcR_C03g02399	12	22	7
Minter-1389-PBcR_C03g02400	470	723	196
Minter-1389-PBcR_C03g02401	4285	5047	2448
Minter-1389-PBcR_C03g02403	1019	1581	651
Minter-1389-PBcR_C03g02404	9771	9863	6993
Minter-1389-PBcR_C03g02405	669	834	440
Minter-1389-PBcR_C03g02406	542	722	450
Minter-1389-PBcR_C03g02407	5384	6219	2277
Minter-1389-PBcR_C03g02408	5467	6433	3109
Minter-1389-PBcR_C03g02409	2147	2574	944
Minter-1389-PBcR_C03g02410	1291	1500	742
Minter-1389-PBcR_C03g02412	10983	9860	8002
Minter-1389-PBcR_C03g02413	2864	3491	1594
Minter-1389-PBcR_C03g02414	3240	3440	1617
Minter-1389-PBcR_C03g02415	2191	2793	945
Minter-1389-PBcR_C03g02416	4271	3844	2804
Minter-1389-PBcR_C03g02417	807	1132	641
Minter-1389-PBcR_C03g02418	380	217	423
Minter-1389-PBcR_C03g02419	390	459	313
Minter-1389-PBcR_C03g02420	2890	3203	2017
Minter-1389-PBcR_C03g02422	49	58	24
Minter-1389-PBcR_C03g02423	8627	7766	2827
Minter-1389-PBcR_C03g02424	47	37	38
Minter-1389-PBcR_C03g02425	2129	2570	1392
Minter-1389-PBcR_C03g02426	1565	1805	1051
Minter-1389-PBcR_C03g02427	24317	32553	12718
Minter-1389-PBcR_C03g02428	654	419	727
Minter-1389-PBcR_C03g02431	232	310	89
Minter-1389-PBcR_C03g02432	1227	1461	712
Minter-1389-PBcR_C03g02433	762	924	342
Minter-1389-PBcR_C03g02436	34192	32687	9324
Minter-1389-PBcR_C03g02439	1802	2525	1110
Minter-1389-PBcR_C03g02440	699	821	367
Minter-1389-PBcR_C03g02443	3520	3644	2257
Minter-1389-PBcR_C03g02444	1393	1686	936
Minter-1389-PBcR_C03g02445	1112	1098	689
Minter-1389-PBcR_C03g02446	3296	4177	1720
Minter-1389-PBcR_C03g02448	2258	2711	1562
Minter-1389-PBcR_C03g02449	9511	10255	5069
Minter-1389-PBcR_C03g02450	1175	1480	697
Minter-1389-PBcR_C03g02451	1243	1266	591
Minter-1389-PBcR_C03g02452	1724	1696	725
Minter-1389-PBcR_C03g02453	1749	1683	1126
Minter-1389-PBcR_C03g02454	1624	2165	946
Minter-1389-PBcR_C03g02455	1709	2277	1140
Minter-1389-PBcR_C03g02456	1572	1267	949
Minter-1389-PBcR_C03g02457	1710	1560	1554
Minter-1389-PBcR_C03g02459	737	887	354
Minter-1389-PBcR_C03g02460	844	894	466
Minter-1389-PBcR_C03g02461	4828	5366	2978
Minter-1389-PBcR_C03g02463	1606	1975	969
Minter-1389-PBcR_C03g02464	11274	8316	3445
Minter-1389-PBcR_C03g02465	449.235	503.901	279.423
Minter-1389-PBcR_C03g02466	452	625	440
Minter-1389-PBcR_C03g02467	2618	2738	1275
Minter-1389-PBcR_C03g02468	4055	5047	3329
Minter-1389-PBcR_C03g02469	443	620	256
Minter-1389-PBcR_C03g02470	1601	1978	629
Minter-1389-PBcR_C03g02472	2422	2923	1830
Minter-1389-PBcR_C03g02473	1058	1425	556
Minter-1389-PBcR_C03g02474	1160	1438	622
Minter-1389-PBcR_C03g02475	535	450	277
Minter-1389-PBcR_C03g02477	1233	1901	695
Minter-1389-PBcR_C03g02478	3813	3890	1722
Minter-1389-PBcR_C03g02479	373	550	176
Minter-1389-PBcR_C03g02481	2387	3058	1387
Minter-1389-PBcR_C03g02482	2445	3158	1470
Minter-1389-PBcR_C03g02484	1204	1685	654
Minter-1389-PBcR_C03g02486	11533	8538	11597
Minter-1389-PBcR_C03g02487	650	826	305
Minter-1389-PBcR_C03g02488	1475	2005	842
Minter-1389-PBcR_C03g02489	14402	16885	4508
Minter-1389-PBcR_C03g02490	440	436	274
Minter-1389-PBcR_C03g02491	1342	971	778
Minter-1389-PBcR_C03g02492	605	985	455
Minter-1389-PBcR_C03g02493	228	151	80
Minter-1389-PBcR_C03g02494	8710	8550	6762
Minter-1389-PBcR_C03g02495	2514	2796	1830
Minter-1389-PBcR_C03g02496	359	552	192
Minter-1389-PBcR_C03g02497	908	1000	547
Minter-1389-PBcR_C03g02498	1886	2303	1146
Minter-1389-PBcR_C03g02499	3235	3880	2206
Minter-1389-PBcR_C03g02500	5768	6132	3437
Minter-1389-PBcR_C03g02502	4420	4839	2952
Minter-1389-PBcR_C03g02503	2458	3094	1653
Minter-1389-PBcR_C03g02504	2243	2841	1453
Minter-1389-PBcR_C03g02505	45	29	36
Minter-1389-PBcR_C03g02506	3668.04	2795.63	1403.18
Minter-1389-PBcR_C03g02507	13498	9677	10012
Minter-1389-PBcR_C03g02508	6163	6105	2854
Minter-1389-PBcR_C03g02509	7076	6606	3531
Minter-1389-PBcR_C03g02510	1179	1156	777
Minter-1389-PBcR_C03g02511	246	240	88
Minter-1389-PBcR_C03g02512	1263	1481	991
Minter-1389-PBcR_C03g02513	1516	1658	1094
Minter-1389-PBcR_C03g02514	494	496	279
Minter-1389-PBcR_C03g02515	1267	1582	684
Minter-1389-PBcR_C03g02516	10840	11198	5214
Minter-1389-PBcR_C03g02518	5501	5354	3847
Minter-1389-PBcR_C03g02519	802	776	473
Minter-1389-PBcR_C03g02521	18356	15753	10147
Minter-1389-PBcR_C03g02522	549	518	186
Minter-1389-PBcR_C03g02523	703	608	269
Minter-1389-PBcR_C03g02524	1466	2278	865
Minter-1389-PBcR_C03g02525	1219	1747	763
Minter-1389-PBcR_C03g02526	1258	1758	327
Minter-1389-PBcR_C03g02527	1025	1049	430
Minter-1389-PBcR_C03g02528	2364	3277	1575
Minter-1389-PBcR_C03g02529	3744	3452	2831
Minter-1389-PBcR_C03g02530	3819	3537	1851
Minter-1389-PBcR_C03g02531	3498	4470	1510
Minter-1389-PBcR_C03g02533	892	1144	456
Minter-1389-PBcR_C03g02534	2216	2380	1210
Minter-1389-PBcR_C03g02536	789	661	915
Minter-1389-PBcR_C03g02537	791	924	495
Minter-1389-PBcR_C03g02538	1729	1959	1020
Minter-1389-PBcR_C03g02539	1694	1885	864
Minter-1389-PBcR_C03g02540	1172	1031	739
Minter-1389-PBcR_C03g02542	2411	2691	1999
Minter-1389-PBcR_C03g02544	1322	1351	839
Minter-1389-PBcR_C03g02545	28667	24734	29384
Minter-1389-PBcR_C03g02546	441	380	206
Minter-1389-PBcR_C03g02547	567	389	582
Minter-1389-PBcR_C03g02548	2492	2817	1800
Minter-1389-PBcR_C03g02549	1815	2239	1081
Minter-1389-PBcR_C03g02550	1602	2200	1023
Minter-1389-PBcR_C03g02551	3	15	4
Minter-1389-PBcR_C03g02552	835	804	617
Minter-1389-PBcR_C03g02553	4947	4184	3658
Minter-1389-PBcR_C03g02554	1304	1147	877
Minter-1389-PBcR_C03g02555	3614	4649	1944
Minter-1389-PBcR_C03g02556	2457	2537	1330
Minter-1389-PBcR_C03g02558	602	755	344
Minter-1389-PBcR_C03g02559	1329	1407	719
Minter-1389-PBcR_C03g02560	2042	2605	1217
Minter-1389-PBcR_C03g02561	1091	1401	631
Minter-1389-PBcR_C03g02562	4503	5637	3390
Minter-1389-PBcR_C03g02563	4910	4915	2883
Minter-1389-PBcR_C03g02564	471	386	189
Minter-1389-PBcR_C03g02565	3064	3980	1947
Minter-1389-PBcR_C03g02567	1388	1477	755
Minter-1389-PBcR_C03g02568	638	715	320
Minter-1389-PBcR_C03g02569	1834	1971	1174
Minter-1389-PBcR_C03g02570	1893	1436	418
