gene	M1	M2	M3
Minter-1389-PBcR_C01g00204	9423	8258	5491
Minter-1389-PBcR_C01g00205	5613	6353	2586
Minter-1389-PBcR_C01g00206	2770	3172	1769
Minter-1389-PBcR_C01g00208	3002	3460	1829
Minter-1389-PBcR_C01g00209	1403	1497	1054
Minter-1389-PBcR_C01g00213	3675	3691	1802
Minter-1389-PBcR_C01g00216	6369	6622	3507
Minter-1389-PBcR_C01g00218	14010	15539	10386
Minter-1389-PBcR_C01g00220	1511	1683	1264
Minter-1389-PBcR_C01g00222	3241	4266	1913
Minter-1389-PBcR_C01g00225	5260	5922	2653
Minter-1389-PBcR_C01g00226	3551	5648	1937
Minter-1389-PBcR_C01g00227	7046	7103	4421
Minter-1389-PBcR_C01g00228	6578	7859	3528
Minter-1389-PBcR_C01g00229	4104	4612	2665
Minter-1389-PBcR_C01g00230	4396	4459	2486
Minter-1389-PBcR_C01g00231	3708	4372	2395
Minter-1389-PBcR_C01g00232	7159	9548	5012
Minter-1389-PBcR_C01g00233	1527	1340	1300
Minter-1389-PBcR_C01g00234	2142	1880	1749
Minter-1389-PBcR_C01g00235	3293	3330	2412
Minter-1389-PBcR_C01g00236	6527	7916	4175
Minter-1389-PBcR_C01g00237	1020	1019	372
Minter-1389-PBcR_C01g00238	1867	2299	1344
Minter-1389-PBcR_C01g00239	1275	1732	683
Minter-1389-PBcR_C01g00240	2522	2242	1711
Minter-1389-PBcR_C01g00242	1404	1513	941
Minter-1389-PBcR_C01g00244	2859	3505	1801
Minter-1389-PBcR_C01g00245	4468	4280	3295
Minter-1389-PBcR_C01g00246	781	1245	345
Minter-1389-PBcR_C01g00247	5463	6639	3198
Minter-1389-PBcR_C01g00248	10788	10124	6907
Minter-1389-PBcR_C01g00249	5768	5757	3933
Minter-1389-PBcR_C01g00250	1230	1212	853
Minter-1389-PBcR_C01g00251	1638	2521	872
Minter-1389-PBcR_C01g00252	4003	4763	2922
Minter-1389-PBcR_C01g00253	1591	1698	1294
Minter-1389-PBcR_C01g00254	7831	8310	4270
Minter-1389-PBcR_C01g00256	3664	4052	2183
Minter-1389-PBcR_C01g00257	3328.83	3581.22	2029.11
Minter-1389-PBcR_C01g00258	1894	2080	1139
Minter-1389-PBcR_C01g00259	5764	6599	3490
Minter-1389-PBcR_C01g00261	3428	3739	2688
Minter-1389-PBcR_C01g00262	880	1311	526
Minter-1389-PBcR_C01g00263	1757	2185	952
Minter-1389-PBcR_C01g00264	398	517	150
Minter-1389-PBcR_C01g00265	424	868	190
Minter-1389-PBcR_C01g00266	527	423	237
Minter-1389-PBcR_C01g00268	384	459	308
Minter-1389-PBcR_C01g00269	7137	6691	4767
Minter-1389-PBcR_C01g00271	247	348	97
Minter-1389-PBcR_C01g00272	660	760	375
Minter-1389-PBcR_C01g00273	10118	10889	4289
Minter-1389-PBcR_C01g00274	1613	1904	900
Minter-1389-PBcR_C01g00276	5965	6950	3871
Minter-1389-PBcR_C01g00277	683	727	429
Minter-1389-PBcR_C01g00278	3552	3038	3373
Minter-1389-PBcR_C01g00280	5932	6941	4534
Minter-1389-PBcR_C01g00281	1222	1382	922
Minter-1389-PBcR_C01g00282	2751	2816	2012
Minter-1389-PBcR_C01g00284	6	4	2
Minter-1389-PBcR_C01g00285	1554	1477	1121
Minter-1389-PBcR_C01g00286	3895	4347	2300
Minter-1389-PBcR_C01g00287	1543	1577	1273
Minter-1389-PBcR_C01g00289	366	619	223
Minter-1389-PBcR_C01g00293	1747	1574	435
Minter-1389-PBcR_C01g00295	3123	2747	3039
Minter-1389-PBcR_C01g00297	3552	3836	2183
Minter-1389-PBcR_C01g00303	1319.89	870.624	917.689
Minter-1389-PBcR_C01g00304	1510	1523	458
Minter-1389-PBcR_C01g00305	549	679	394
Minter-1389-PBcR_C01g00306	896	974	361
Minter-1389-PBcR_C01g00309	1753	1993	897
Minter-1389-PBcR_C01g00310	4550	4882	3412
Minter-1389-PBcR_C01g00311	2101	2588	1160
Minter-1389-PBcR_C01g00313	1579	1970	1002
Minter-1389-PBcR_C01g00314	4896	5045	4254
Minter-1389-PBcR_C01g00315	3251	2641	3047
Minter-1389-PBcR_C01g00316	3422	3601	2507
Minter-1389-PBcR_C01g00317	2561	2828	1399
Minter-1389-PBcR_C01g00318	726	663	409
Minter-1389-PBcR_C01g00321	3752	3843	1283
Minter-1389-PBcR_C01g00322	2249	2161	1943
Minter-1389-PBcR_C01g00323	1272	1550	867
Minter-1389-PBcR_C01g00324	44	38	17
Minter-1389-PBcR_C01g00326	2061	2450	1467
Minter-1389-PBcR_C01g00328	13738	10674	4004
Minter-1389-PBcR_C01g00329	3172	3980	1767
Minter-1389-PBcR_C01g00330	137	73	32
Minter-1389-PBcR_C01g00331	734	869	312
Minter-1389-PBcR_C01g00332	1117	1287	675
