gene A1 A2 ave_count
MvSl-1064-A1-R4_A1g00236 13301.3 14866 14083.6
MvSl-1064-A1-R4_A1g00239 672.591 1304.07 988.331
MvSl-1064-A1-R4_A1g00244 214 174 194
MvSl-1064-A1-R4_A1g00250 150.312 113.397 131.855
MvSl-1064-A1-R4_A1g00255 182 127.3 154.65
MvSl-1064-A1-R4_A1g00257 1259.87 1375.21 1317.54
MvSl-1064-A1-R4_A1g00266 814.449 892.439 853.444
MvSl-1064-A1-R4_A1g00282 29.2357 23.281 26.2584
MvSl-1064-A1-R4_A1g00293 400.366 424.723 412.544
MvSl-1064-A1-R4_A1g00294 634.094 451.384 542.739
MvSl-1064-A1-R4_A1g00296 213.888 227.481 220.685
MvSl-1064-A1-R4_A1g00298 227.595 194.23 210.912
MvSl-1064-A1-R4_A1g00299 81.0914 83.2397 82.1655
MvSl-1064-A1-R4_A1g00301 24.8306 25.465 25.1478
MvSl-1064-A1-R4_A1g00314 44.5148 48.4155 46.4652
MvSl-1064-A1-R4_A1g00317 247.647 192.255 219.951
MvSl-1064-A1-R4_A1g00328 115 182 148.5
MvSl-1064-A1-R4_A1g00330 296.023 299.726 297.875
MvSl-1064-A1-R4_A1g00332 13 15 14
MvSl-1064-A1-R4_A1g00336 17 8 12.5
MvSl-1064-A1-R4_A1g00338 20 18 19
MvSl-1064-A1-R4_A1g00340 2410.91 4041.22 3226.06
MvSl-1064-A1-R4_A1g00342 1108 1368.86 1238.43
MvSl-1064-A1-R4_A1g00345 28 16.4049 22.2024
MvSl-1064-A1-R4_A1g00346 850.301 1091.24 970.771
MvSl-1064-A1-R4_A1g00353 1940.05 2831.69 2385.87
MvSl-1064-A1-R4_A1g00355 9439.36 18802.6 14121
MvSl-1064-A1-R4_A1g00362 33.869 37.4396 35.6543
MvSl-1064-A1-R4_A1g00388 89.6063 85.129 87.3676
MvSl-1064-A1-R4_A1g00410 656.562 794.334 725.448
MvSl-1064-A1-R4_A1g00413 3802.36 6796.35 5299.36
MvSl-1064-A1-R4_A1g00416 217.449 208.543 212.996
MvSl-1064-A1-R4_A1g00429 467.191 489.535 478.363
MvSl-1064-A1-R4_A1g00431 81.6072 106.18 93.8936
MvSl-1064-A1-R4_A1g00435 391.634 406.277 398.956
MvSl-1064-A1-R4_A1g00443 284.901 296.115 290.508
MvSl-1064-A1-R4_A1g00450 15.447 22.1523 18.7996
MvSl-1064-A1-R4_A1g00451 5.7678 6.22665 5.99723
MvSl-1064-A1-R4_A1g00452 529.137 684.088 606.612
MvSl-1064-A1-R4_A1g00454 118.603 93.8924 106.248
MvSl-1064-A1-R4_A1g00460 87.7431 72.5893 80.1662
MvSl-1064-A1-R4_A1g00461 100.552 144.165 122.358
MvSl-1064-A1-R4_A1g00480 36.319 37.9459 37.1325
MvSl-1064-A1-R4_A1g00484 9 5 7
MvSl-1064-A1-R4_A1g00489 2116.48 2405.19 2260.84
MvSl-1064-A1-R4_A1g00493 23.6165 43 33.3083
MvSl-1064-A1-R4_A1g00526 1091 1098 1094.5
MvSl-1064-A1-R4_A1g00531 16 10 13
MvSl-1064-A1-R4_A1g00536 122.178 121.824 122.001
MvSl-1064-A1-R4_A1g00539 72.1123 58.189 65.1506
MvSl-1064-A1-R4_A1g00545 92 69 80.5
MvSl-1064-A1-R4_A1g00548 132.184 87.2017 109.693
MvSl-1064-A1-R4_A1g00550 281 290 285.5
MvSl-1064-A1-R4_A1g00551 1245.24 1225.45 1235.35
MvSl-1064-A1-R4_A1g00552 70.3145 87.7036 79.0091
MvSl-1064-A1-R4_A1g00555 20.9423 21.2808 21.1116
MvSl-1064-A1-R4_A1g00557 174.9 76.4573 125.679
MvSl-1064-A1-R4_A1g00560 164.917 155 159.959
MvSl-1064-A1-R4_A1g00565 15.6962 8.97974 12.338
MvSl-1064-A1-R4_A1g00567 706.645 721.161 713.903
MvSl-1064-A1-R4_A1g00578 69.1177 108.927 89.0224
MvSl-1064-A1-R4_A1g00582 2196.4 3563.61 2880.01
MvSl-1064-A1-R4_A1g00595 325.018 302.897 313.957
MvSl-1064-A1-R4_A1g00596 6.73545 7.59875 7.1671
MvSl-1064-A1-R4_A1g00607 37.066 47.4779 42.272
MvSl-1064-A1-R4_A1g00619 5.31879 7.56251 6.44065
MvSl-1064-A1-R4_A1g00620 392 491 441.5
MvSl-1064-A1-R4_A1g00621 134.196 215 174.598
MvSl-1064-A1-R4_A1g00622 2253.16 2074.22 2163.69
MvSl-1064-A1-R4_A1g00628 170.831 239.041 204.936
MvSl-1064-A1-R4_A1g00630 784 719 751.5
MvSl-1064-A1-R4_A1g00631 528 482 505
MvSl-1064-A1-R4_A1g00632 163 180 171.5
MvSl-1064-A1-R4_A1g00633 1184 1142 1163
MvSl-1064-A1-R4_A1g00636 1192.85 2268.35 1730.6
MvSl-1064-A1-R4_A1g00638 19.1645 24.1063 21.6354
MvSl-1064-A1-R4_A1g00640 838 1125 981.5
MvSl-1064-A1-R4_A1g00659 85 67 76
MvSl-1064-A1-R4_A1g00666 7.38067 6.09089 6.73578
MvSl-1064-A1-R4_A1g00673 92.2599 97.0549 94.6574
MvSl-1064-A1-R4_A1g00676 2005.39 3293.89 2649.64
MvSl-1064-A1-R4_A1g00685 83.9595 57.183 70.5713
MvSl-1064-A1-R4_A1g00686 43.7185 37.5122 40.6153
MvSl-1064-A1-R4_A1g00688 32.5056 34.7545 33.63
MvSl-1064-A1-R4_A1g00690 1558.2 1615.34 1586.77
MvSl-1064-A1-R4_A1g00697 940.429 1108.8 1024.61
MvSl-1064-A1-R4_A1g00698 568.905 660.267 614.586
MvSl-1064-A1-R4_A1g00705 442.751 558.706 500.728
MvSl-1064-A1-R4_A1g00707 2305.07 2846 2575.53
MvSl-1064-A1-R4_A1g00716 93.1825 87.5435 90.363
MvSl-1064-A1-R4_A1g00720 888.818 879.569 884.193
MvSl-1064-A1-R4_A1g00724 67.7901 79.218 73.5041
MvSl-1064-A1-R4_A1g00736 114.211 85.4713 99.8411
MvSl-1064-A1-R4_A1g00748 816 804 810
MvSl-1064-A1-R4_A1g00754 3521.47 3051.29 3286.38
MvSl-1064-A1-R4_A1g00758 635.457 650.442 642.949
