gid	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_A1g00002	516.103	589.477	384.318	437.596
MvSl-1064-A1-R4_A1g00004	1854	1780	1469	1504
MvSl-1064-A1-R4_A1g00005	1273	1424	1218	1042
MvSl-1064-A1-R4_A1g00006	3552	3849	3521	2957
MvSl-1064-A1-R4_A1g00007	4203	4281	4632	3947
MvSl-1064-A1-R4_A1g00008	2954	4632	5403	3567
MvSl-1064-A1-R4_A1g00009	2517	3442	5574	2951
MvSl-1064-A1-R4_A1g00010	128	131.824	80.9178	50.8896
MvSl-1064-A1-R4_A1g00011	39	42	75	37
MvSl-1064-A1-R4_A1g00013	1987.4	1896.73	1328.39	1366.4
MvSl-1064-A1-R4_A1g00014	117	207	485	403
MvSl-1064-A1-R4_A1g00015	127	226	903	751
MvSl-1064-A1-R4_A1g00016	13	27	119	105
MvSl-1064-A1-R4_A1g00017	78	52	39	22
MvSl-1064-A1-R4_A1g00018	0	0	0	0
MvSl-1064-A1-R4_A1g00019	127.274	90.4727	73.9291	67.1505
MvSl-1064-A1-R4_A1g00020	108.037	144.419	114.753	74.7711
MvSl-1064-A1-R4_A1g00021	1164.35	1258.18	833.708	1016.89
MvSl-1064-A1-R4_A1g00022	2.36729	2.56753	5.84215	10.8065
MvSl-1064-A1-R4_A1g00023	11.9261	18.2213	18.9122	28.8157
MvSl-1064-A1-R4_A1g00024	496	579	263	339
MvSl-1064-A1-R4_A1g00025	50	31	23	48
MvSl-1064-A1-R4_A1g00026	938.864	689.022	455.49	559.342
MvSl-1064-A1-R4_A1g00027	64	52	49	43
MvSl-1064-A1-R4_A1g00028	702	678	471	420
MvSl-1064-A1-R4_A1g00029	3617	2829	85	92
MvSl-1064-A1-R4_A1g00030	9507.62	8343.43	1331.85	1174.52
MvSl-1064-A1-R4_A1g00031	649	448	467	401
MvSl-1064-A1-R4_A1g00032	13540	14317	13036	12303
MvSl-1064-A1-R4_A1g00033	587	568	424	401
MvSl-1064-A1-R4_A1g00034	0	0	0	1
MvSl-1064-A1-R4_A1g00035	605	696	815	711
MvSl-1064-A1-R4_A1g00036	870	887	788	748
MvSl-1064-A1-R4_A1g00037	596	509	504	555
MvSl-1064-A1-R4_A1g00038	0	0	3	0
MvSl-1064-A1-R4_A1g00039	4884	5955	6188	5435
MvSl-1064-A1-R4_A1g00040	56	46	43	34
MvSl-1064-A1-R4_A1g00041	2	0	2	1
MvSl-1064-A1-R4_A1g00042	4.71596	1.54798	0	1.21039
MvSl-1064-A1-R4_A1g00043	0	0	14.9065	12.5386
MvSl-1064-A1-R4_A1g00044	0	0	0	0
MvSl-1064-A1-R4_A1g00045	0	0	0	1
MvSl-1064-A1-R4_A1g00046	294	320	288	314
MvSl-1064-A1-R4_A1g00047	658	708	705	581
MvSl-1064-A1-R4_A1g00048	612	610	538	532
MvSl-1064-A1-R4_A1g00049	966	791	786	761
MvSl-1064-A1-R4_A1g00050	998	1202	1064	497
MvSl-1064-A1-R4_A1g00051	1746	2418	3159	2078
MvSl-1064-A1-R4_A1g00052	33	68	42	33
MvSl-1064-A1-R4_A1g00053	1915	2226	2083	1752
MvSl-1064-A1-R4_A1g00054	106	161	108	86
MvSl-1064-A1-R4_A1g00055	1206	945	606	752
MvSl-1064-A1-R4_A1g00056	7394	7298	8636	5525
MvSl-1064-A1-R4_A1g00057	529	557	530	385
MvSl-1064-A1-R4_A1g00058	13	14	28	18
MvSl-1064-A1-R4_A1g00059	200.944	217	234	131.919
MvSl-1064-A1-R4_A1g00060	182	99	97	174
MvSl-1064-A1-R4_A1g00061	2687	2881	2797	2643
MvSl-1064-A1-R4_A1g00062	1499	1697.71	1272.97	1228.27
MvSl-1064-A1-R4_A1g00063	675	688	641	602
MvSl-1064-A1-R4_A1g00064	6593	7285	5711	5025
MvSl-1064-A1-R4_A1g00065	2992	3059	3083	3216
MvSl-1064-A1-R4_A1g00066	4239.59	5799.03	4772.09	4108.49
MvSl-1064-A1-R4_A1g00067	79	43	42	49
MvSl-1064-A1-R4_A1g00068	69	32	33	33
MvSl-1064-A1-R4_A1g00069	1667	1315	944	1222
MvSl-1064-A1-R4_A1g00070	3071	2777	3202	3240
MvSl-1064-A1-R4_A1g00071	280	290	366	342
MvSl-1064-A1-R4_A1g00072	5260	4067	3519	5193
MvSl-1064-A1-R4_A1g00073	827	1023	385	533
MvSl-1064-A1-R4_A1g00074	6311	8453	11712	7314
MvSl-1064-A1-R4_A1g00075	1	0	0	2
MvSl-1064-A1-R4_A1g00076	3067	3009	2733	2412
MvSl-1064-A1-R4_A1g00077	1876	2221	1997	1703
MvSl-1064-A1-R4_A1g00078	1541	2518	4108	2963
MvSl-1064-A1-R4_A1g00079	611	450	1131	1761
MvSl-1064-A1-R4_A1g00080	537	565	1130	1350
MvSl-1064-A1-R4_A1g00081	312.881	239.385	1411.93	1857.87
MvSl-1064-A1-R4_A1g00083	0	2.17326	2.02479	1.0251
MvSl-1064-A1-R4_A1g00084	0	0	1	1
MvSl-1064-A1-R4_A1g00106	184.768	88.245	51.7683	45.3465
MvSl-1064-A1-R4_A1g00107	1.11874	4.44133	1.04227	2.10855
MvSl-1064-A1-R4_A1g00108	599	623	784	550
MvSl-1064-A1-R4_A1g00109	1653	2139	2174	1496
MvSl-1064-A1-R4_A1g00110	7353	6724	4951	5441
MvSl-1064-A1-R4_A1g00111	0	0	1	0
MvSl-1064-A1-R4_A1g00112	6526.3	5269.88	441.347	507.607
MvSl-1064-A1-R4_A1g00113	5291	5124	4276	5288
MvSl-1064-A1-R4_A1g00367	281	275	371	342
MvSl-1064-A1-R4_A1g00368	1370	1794	1612	1241
MvSl-1064-A1-R4_A1g00369	2721	2931	2869	2379
MvSl-1064-A1-R4_A1g00370	1954	1826	1660	1605
MvSl-1064-A1-R4_A1g00371	2044	1828	1936	1938
MvSl-1064-A1-R4_A1g00372	3747	3722	3018	2788
MvSl-1064-A1-R4_A1g00373	1087	1326	1012	690
MvSl-1064-A1-R4_A1g00374	5172	4718	3430	4451
MvSl-1064-A1-R4_A1g00375	294.435	267.325	215.806	254.171
MvSl-1064-A1-R4_A1g01392	789	792	956	683
MvSl-1064-A1-R4_A1g01393	1638	1568	1067	1058
MvSl-1064-A1-R4_A1g00209	825.156	787.764	656.152	604.158
MvSl-1064-A1-R4_A1g01415	2561	3214	1891	1930
MvSl-1064-A1-R4_A1g00290	3749	3208	2912	2464
MvSl-1064-A1-R4_A1g01138	1651.79	1317.84	280.492	224.439
MvSl-1064-A1-R4_A1g00772	204	314	409	211
MvSl-1064-A1-R4_A1g01389	1388	1815	2035	1519
MvSl-1064-A1-R4_A1g01388	962	1200	958	474
MvSl-1064-A1-R4_A1g01252	1986	1975	1883	1854
MvSl-1064-A1-R4_A1g01253	1313	1754	2636	2214
MvSl-1064-A1-R4_A1g00800	2085.86	2267.46	2341.94	1839.06
MvSl-1064-A1-R4_A1g00801	228	319	300	190
