gida1	A1_1	A1_2	A2_1	A2_2						
MvSl-1064-A1-R4_MC02g03843	989	1301	1407	1680						
MvSl-1064-A1-R4_MC02g03844	2637	2179	2755	2661						
MvSl-1064-A1-R4_MC02g03845	3190	2487	2762	2469						
MvSl-1064-A1-R4_MC02g03846	5682	5436	5095	5575						
MvSl-1064-A1-R4_MC02g03847	1056	1108	1192	1333						
MvSl-1064-A1-R4_MC02g03848	634	622	589	623						
MvSl-1064-A1-R4_MC02g03849	12456	11037	13801	13298						
MvSl-1064-A1-R4_MC02g03850	61	91	31	66						
MvSl-1064-A1-R4_MC02g03851	22	20	14	10						
MvSl-1064-A1-R4_MC02g03852	70	130	26	63						
MvSl-1064-A1-R4_MC02g03853	2539	3166	2469	3438						
MvSl-1064-A1-R4_MC02g03854	196.334	184.173	243.554	266.792						
MvSl-1064-A1-R4_MC02g03855	47.4714	43.8728	81.2343	47.0964						
MvSl-1064-A1-R4_MC02g03856	214.172	297.529	208.801	268.336						
MvSl-1064-A1-R4_MC02g03857	2463.87	2986.78	3263.83	3318.43						
MvSl-1064-A1-R4_MC02g03858	285.063	285.045	397	386.119						
MvSl-1064-A1-R4_MC02g03859	112	113	98	116						
MvSl-1064-A1-R4_MC02g03860	88.3924	84.2857	191.078	169.675						
MvSl-1064-A1-R4_MC02g03864	2756	3047	2277	2909						
MvSl-1064-A1-R4_MC02g03865	655	683	739	919						
MvSl-1064-A1-R4_MC02g03866	1149	1231	1244	1254						
MvSl-1064-A1-R4_MC02g03867	3220	4451	3269	3798						
MvSl-1064-A1-R4_MC02g03868	3452.98	3307.29	3393.73	3471.32						
MvSl-1064-A1-R4_MC02g03869	2593	3015	2731	3218						
MvSl-1064-A1-R4_MC02g03870	1831	1752	1944	1647						
MvSl-1064-A1-R4_MC02g03871	1.32886	0	2.2429	11.9982						
MvSl-1064-A1-R4_MC02g03872	155.72	163.002	180.212	146.06						
MvSl-1064-A1-R4_MC02g03873	51.6931	70.7255	70.1435	59.9866						
MvSl-1064-A1-R4_MC02g03874	291.564	316.713	163	184						
MvSl-1064-A1-R4_MC02g03875	328	305	430	305						
MvSl-1064-A1-R4_MC02g03876	126	133	156	138						
MvSl-1064-A1-R4_MC02g03877	646	947	918	1134						
MvSl-1064-A1-R4_MC02g03878	229	170	238	209						
MvSl-1064-A1-R4_MC02g03879	5760	3089	6804	4127						
MvSl-1064-A1-R4_MC02g03880	467	472	603	603						
MvSl-1064-A1-R4_MC02g03881	483.369	498.399	638.326	558.154						
MvSl-1064-A1-R4_MC02g03882	341	305	364	396						
MvSl-1064-A1-R4_MC02g03883	29	19	58	31						
MvSl-1064-A1-R4_MC02g03884	2324	2446	2647	2779						
MvSl-1064-A1-R4_MC02g03885	0	0	0	0						
MvSl-1064-A1-R4_MC02g03887	25.4607	23.8181	57.0465	12.043						
MvSl-1064-A1-R4_MC02g03888	27.1885	22.0639	42.1941	40.2726						
MvSl-1064-A1-R4_MC02g03889	613.705	483.116	931.918	659.364						
MvSl-1064-A1-R4_MC02g03890	818.709	673	1479.14	1228						
MvSl-1064-A1-R4_MC02g03891	503.525	425.413	1813.58	1111.51						
MvSl-1064-A1-R4_MC02g03892	23.6592	19	43.5367	31.1014						
MvSl-1064-A1-R4_MC02g03893	207.276	196.59	249.19	251.187						
MvSl-1064-A1-R4_MC02g03894	2	1	3	2						
MvSl-1064-A1-R4_MC02g03895	20	10	20	18						
MvSl-1064-A1-R4_MC02g03896	302	474	341	407						
MvSl-1064-A1-R4_MC02g03897	2352	2559	2357	2707						
MvSl-1064-A1-R4_MC02g03898	296	322	406	465						
MvSl-1064-A1-R4_MC02g03899	1676	1491	2227	2320						
MvSl-1064-A1-R4_MC02g03900	3687	3515	3099	3529						
MvSl-1064-A1-R4_MC02g03901	1	1	3	4						
MvSl-1064-A1-R4_MC02g03902	917	966	1136	1002						
MvSl-1064-A1-R4_MC02g03903	845	846	1076	1031						
MvSl-1064-A1-R4_MC02g03904	742	879	953	1080						
MvSl-1064-A1-R4_MC02g03905	9550	6278	10141	7034						
MvSl-1064-A1-R4_MC02g03906	1555	1958	2018	2640						
MvSl-1064-A1-R4_MC02g03907	135	124	178	195						
MvSl-1064-A1-R4_MC02g03908	336	469	425	476						
MvSl-1064-A1-R4_MC02g03909	4634	5020	4650	5062						
MvSl-1064-A1-R4_MC02g03910	2149	2006	2400	2558						
MvSl-1064-A1-R4_MC02g03911	712	1104	712	839						
MvSl-1064-A1-R4_MC02g03912	1554	1495	1641	1687						
MvSl-1064-A1-R4_MC02g03913	939	819	1126	1131						
MvSl-1064-A1-R4_MC02g03914	7	9	15.0024	8.00125						
MvSl-1064-A1-R4_MC02g03915	153	133	333	279						
MvSl-1064-A1-R4_MC02g03916	4790.91	6042.59	5280.49	6676.09						
MvSl-1064-A1-R4_MC02g03917	1030	1213	1080	1323						
MvSl-1064-A1-R4_MC02g03918	2085	2281	2340	2250						
MvSl-1064-A1-R4_MC02g03919	1843	3225	2093	2737						
MvSl-1064-A1-R4_MC02g03920	2064	2197	2001	2456						
MvSl-1064-A1-R4_MC02g03921	426	362	470	469						
MvSl-1064-A1-R4_MC02g03922	294	163	693	565						
MvSl-1064-A1-R4_MC02g03923	4000	3231	4593	4659						
MvSl-1064-A1-R4_MC02g03924	296.846	374.851	439.544	612.47						
MvSl-1064-A1-R4_MC02g03925	60473	102216	81601	122753						
MvSl-1064-A1-R4_MC02g03926	2576	2662	2610	2820						
MvSl-1064-A1-R4_MC02g03927	16	19	33	28						
MvSl-1064-A1-R4_MC02g03928	127	156	183	108						
MvSl-1064-A1-R4_MC02g03929	1035	1420	1279	1322						
MvSl-1064-A1-R4_MC02g03930	490	444	734	795						
MvSl-1064-A1-R4_MC02g03931	1185	1145	1130	1301						
MvSl-1064-A1-R4_MC02g03932	326	331	404	409						
MvSl-1064-A1-R4_MC02g03933	7505	5597	7730	6697						
MvSl-1064-A1-R4_MC02g03934	13	5	19	11						
MvSl-1064-A1-R4_MC02g03935	710	1114	956	1279						
MvSl-1064-A1-R4_MC02g03936	965	1223	1081	1148						
MvSl-1064-A1-R4_MC02g03937	2658	2664	3351	3194						
MvSl-1064-A1-R4_MC02g03938	22	36	32	43						
MvSl-1064-A1-R4_MC02g03939	0	0	0	0						
MvSl-1064-A1-R4_MC02g03940	6.21047	7.8419	12.9086	7.8832						
MvSl-1064-A1-R4_MC02g03941	11.7945	15.7366	16.5969	18.8711						
MvSl-1064-A1-R4_MC02g03943	9	8	2	5						
MvSl-1064-A1-R4_MC02g03944	1401	1242	1599	1748						
MvSl-1064-A1-R4_MC02g03945	716	858	763	967						
MvSl-1064-A1-R4_MC02g03946	247	286	237	251						
MvSl-1064-A1-R4_MC02g03948	129.169	132.277	161.351	167.091						
MvSl-1064-A1-R4_MC02g03949	49	40	71	35						
MvSl-1064-A1-R4_MC02g03950	7402	4960	10406	8243						
MvSl-1064-A1-R4_MC02g03951	1316	1514	1375	1655						
MvSl-1064-A1-R4_MC02g03952	3779	3858	3870	4077						
MvSl-1064-A1-R4_MC02g03953	597	296	699	476						
MvSl-1064-A1-R4_MC02g03954	1326	1148	1167	1299						
MvSl-1064-A1-R4_MC02g03955	2503	2347	2919	2985						
MvSl-1064-A1-R4_MC02g03956	5	7	8	3						
MvSl-1064-A1-R4_MC02g03957	234	263	215	265						
MvSl-1064-A1-R4_MC02g03958	501	582	651	635						
MvSl-1064-A1-R4_MC02g03959	316	333	353	345						
MvSl-1064-A1-R4_MC02g03960	2010	2794	2401	2895						
MvSl-1064-A1-R4_MC02g03961	1234	1522	1197	1433						
MvSl-1064-A1-R4_MC02g03962	1150	1120	1115	1211						
MvSl-1064-A1-R4_MC02g03963	692	444	720	536						
MvSl-1064-A1-R4_MC02g03964	424	423	629	529						
MvSl-1064-A1-R4_MC02g03965	1449	1275	1474	1762						
MvSl-1064-A1-R4_MC02g03966	0	0	0	1						
MvSl-1064-A1-R4_MC02g03967	813	627	951	689						
MvSl-1064-A1-R4_MC02g03968	264	234	252	242						
MvSl-1064-A1-R4_MC02g03969	1673	1918	1919	2270						
MvSl-1064-A1-R4_MC02g03970	614	592	752	947						
MvSl-1064-A1-R4_MC02g03971	626	760	799	767						
MvSl-1064-A1-R4_MC02g03972	2048	1913	2110	1888						
MvSl-1064-A1-R4_MC02g03973	1027	709	1641	1487						
MvSl-1064-A1-R4_MC02g03974	1402	1278	1887	1980						
MvSl-1064-A1-R4_MC02g03975	376	352	461	449						
MvSl-1064-A1-R4_MC02g03976	613	523	821	709						
MvSl-1064-A1-R4_MC02g03977	256	64	504	238						
MvSl-1064-A1-R4_MC02g03978	182	172	294	243						
MvSl-1064-A1-R4_MC02g03979	16658	16646	17933	16205						
MvSl-1064-A1-R4_MC02g03980	813	840	990	1000						
MvSl-1064-A1-R4_MC02g03981	657	715	807	885						
MvSl-1064-A1-R4_MC02g03982	169	88	187	139						
MvSl-1064-A1-R4_MC02g03983	3082	4564	4304	5658						
MvSl-1064-A1-R4_MC02g03984	387	616	650	670						
MvSl-1064-A1-R4_MC02g03985	815	1134	875	1035						
MvSl-1064-A1-R4_MC02g03986	7389	7845	8685	9122						
MvSl-1064-A1-R4_MC02g03987	1645	2168	1748	2135						
MvSl-1064-A1-R4_MC02g03988	3565	3903	4003	4483						
MvSl-1064-A1-R4_MC02g03989	712	891	728	907						
MvSl-1064-A1-R4_MC02g03990	330	313	394	353						
MvSl-1064-A1-R4_MC02g03991	1707	1541	1657	1591						
MvSl-1064-A1-R4_MC02g03992	691	617	588	383						
MvSl-1064-A1-R4_MC02g03993	633	700	862	831						
MvSl-1064-A1-R4_MC02g03994	4567	4791	5498	5421						
MvSl-1064-A1-R4_MC02g03995	4784	5504	4763	5946						
MvSl-1064-A1-R4_MC02g03996	64	42	64	24						
MvSl-1064-A1-R4_MC02g03997	28.6218	58.5276	105.319	65.9492						
MvSl-1064-A1-R4_MC02g03998	16.7284	20.2991	34.3102	28.8885						
MvSl-1064-A1-R4_MC02g03999	42.0495	25.6233	44.297	29.6553						
MvSl-1064-A1-R4_MC02g04000	76.2017	47.928	60.8232	48.0589						
MvSl-1064-A1-R4_MC02g04001	292.051	224.97	416.069	248.135						
MvSl-1064-A1-R4_MC02g04002	126.216	130.329	227.879	211.896						
MvSl-1064-A1-R4_MC02g04003	10	12	10	12						
MvSl-1064-A1-R4_MC02g04004	525	601	622	675						
MvSl-1064-A1-R4_MC02g04005	4488	5244	4287	4699						
MvSl-1064-A1-R4_MC02g04006	899	990	893	1063						
MvSl-1064-A1-R4_MC02g04007	755	852	661	712						
MvSl-1064-A1-R4_MC02g04008	3963	3091	5290	3843						
MvSl-1064-A1-R4_MC02g04009	137	141	222	166						
MvSl-1064-A1-R4_MC02g04010	61	43	91	71						
MvSl-1064-A1-R4_MC02g04011	1380	1507	1688	1673						
MvSl-1064-A1-R4_MC02g04012	564	488	645	452						
MvSl-1064-A1-R4_MC02g04013	1546	1265	2479	1609						
MvSl-1064-A1-R4_MC02g04014	240.078	171.505	224.615	201.407						
MvSl-1064-A1-R4_MC02g04015	3635.34	4916.1	3351.07	3653.58						
MvSl-1064-A1-R4_MC02g04016	296	276	413	392						
MvSl-1064-A1-R4_MC02g04017	61	42	53	40						
MvSl-1064-A1-R4_MC02g04018	2278	2274	2987	2906						
MvSl-1064-A1-R4_MC02g04019	850	1018	1044	1221						
MvSl-1064-A1-R4_MC02g04020	601	482	742	664						
MvSl-1064-A1-R4_MC02g04021	830	870	884	891						
MvSl-1064-A1-R4_MC02g04022	149	139	162	165						
MvSl-1064-A1-R4_MC02g04023	28	18	37	30						
MvSl-1064-A1-R4_MC02g04024	273	327	298	315						
MvSl-1064-A1-R4_MC02g04025	131	145	138	137						
MvSl-1064-A1-R4_MC02g04026	1089	1213	1137	1320						
MvSl-1064-A1-R4_MC02g04027	2017	2189	2268	2534						
MvSl-1064-A1-R4_MC02g04028	0	3	1	2						
MvSl-1064-A1-R4_MC02g04029	719	797	876	889						
MvSl-1064-A1-R4_MC02g04030	3076	2675	2548	2754						
MvSl-1064-A1-R4_MC02g04031	3751	3820	3667	4113						
MvSl-1064-A1-R4_MC02g04032	16	13	19	17						
MvSl-1064-A1-R4_MC02g04033	1755.65	1593.71	2045.96	1721.16						
MvSl-1064-A1-R4_MC02g04034	1267	1435	1955	1875						
MvSl-1064-A1-R4_MC02g04035	1284	1430	1864	2118						
MvSl-1064-A1-R4_MC02g04036	500	367	584	534						
MvSl-1064-A1-R4_MC02g04037	902	1183	1087	1379						
MvSl-1064-A1-R4_MC02g04038	470	713	614	705						
MvSl-1064-A1-R4_MC02g04039	3766	4176	4053	4400						
MvSl-1064-A1-R4_MC02g04040	6694	7840	6340	6713						
MvSl-1064-A1-R4_MC02g04041	2298	1121	2392	955						
MvSl-1064-A1-R4_MC02g04042	11743.9	9307.66	17867.4	16846.4						
MvSl-1064-A1-R4_MC02g04043	0	0	0	2.0001						
MvSl-1064-A1-R4_MC02g04044	6.00339	4.00752	9.01852	5.00816						
MvSl-1064-A1-R4_MC02g04045	0	0	0	0						
MvSl-1064-A1-R4_MC02g04046	3584	2834	4822	3825						
MvSl-1064-A1-R4_MC02g04047	33	44	72	59						
MvSl-1064-A1-R4_MC02g04048	4469	7054	5258	6892						
MvSl-1064-A1-R4_MC02g04049	5270	5773	6693	6542						
MvSl-1064-A1-R4_MC02g04050	2310	2236	2726	2617						
MvSl-1064-A1-R4_MC02g04051	896	903	970	1034						
MvSl-1064-A1-R4_MC02g04052	1374	1563	1954	2023						
MvSl-1064-A1-R4_MC02g04053	827	535	914	762						
MvSl-1064-A1-R4_MC02g04054	487	567	787	714						
MvSl-1064-A1-R4_MC02g04055	1924	1949	2063	1816						
MvSl-1064-A1-R4_MC02g04056	1735	2197	1943	2288						
MvSl-1064-A1-R4_MC02g04057	2788	2667	3153	2925						
MvSl-1064-A1-R4_MC02g04058	2501	2381	2510	2310						
MvSl-1064-A1-R4_MC02g04059	1581	2026	1777	2269						
MvSl-1064-A1-R4_MC02g04060	29907	72279	30601	58606						
MvSl-1064-A1-R4_MC02g04061	4	13	17	14						
MvSl-1064-A1-R4_MC02g04062	2159	1974	2768	2273						
MvSl-1064-A1-R4_MC02g04063	1043	1277	1061	1199						
MvSl-1064-A1-R4_MC02g04064	4416	4474	4868	5116						
MvSl-1064-A1-R4_MC02g04065	607	425	647	381						
MvSl-1064-A1-R4_MC02g04066	442	333	488	266						
MvSl-1064-A1-R4_MC02g04067	139	234	210	237						
MvSl-1064-A1-R4_MC02g04068	4098	4251	4343	4834						
MvSl-1064-A1-R4_MC02g04069	2661	3531	3120	3895						
MvSl-1064-A1-R4_MC02g04070	617	1023	609	833						
MvSl-1064-A1-R4_MC02g04071	544	568	570	639						
MvSl-1064-A1-R4_MC02g04072	0.284344	3.82206	5.337	2.09485						
MvSl-1064-A1-R4_MC02g04073	1.72198	1.86547	4.40678	2.95785						
MvSl-1064-A1-R4_MC02g04074	2	36	2	12						
MvSl-1064-A1-R4_MC02g04075	3095	2728	2881	2945						
MvSl-1064-A1-R4_MC02g04076	517	683	580	689						
MvSl-1064-A1-R4_MC02g04077	187	152	240	191						
MvSl-1064-A1-R4_MC02g04078	30	24	37	35						
MvSl-1064-A1-R4_MC02g04080	28.7849	19.7713	33.7129	38.9492						
MvSl-1064-A1-R4_MC02g04081	0	2.16699	0	0						
MvSl-1064-A1-R4_MC02g04082	2517.23	2375.08	3045.55	3840.3						
MvSl-1064-A1-R4_MC02g04083	1444	1580	1557	1897						
MvSl-1064-A1-R4_MC02g04084	1760	1689	1931	2157						
MvSl-1064-A1-R4_MC02g04085	4193	4096	5264	4716						
MvSl-1064-A1-R4_MC02g04086	2772	3133	2790	3110						
MvSl-1064-A1-R4_MC02g04087	525	286	575	356						
MvSl-1064-A1-R4_MC02g04088	479	341	515	400						
MvSl-1064-A1-R4_MC02g04089	1029	1058	1268	1140						
MvSl-1064-A1-R4_MC02g04090	3744	2794	4385	3350						
MvSl-1064-A1-R4_MC02g04091	2735	1731	3259	2040						
MvSl-1064-A1-R4_MC02g04092	1833	1219	2568	2288						
MvSl-1064-A1-R4_MC02g04093	33.2131	11.7612	51.7529	28.2992						
MvSl-1064-A1-R4_MC02g04094	31.8286	21.0496	44.3052	22.9474						
MvSl-1064-A1-R4_MC02g04095	733	1031	920	1142						
MvSl-1064-A1-R4_MC02g04096	3767	3489	3624	3954						
MvSl-1064-A1-R4_MC02g04097	782	733	901	1068						
MvSl-1064-A1-R4_MC02g04098	341	294	319	367						
MvSl-1064-A1-R4_MC02g04099	572	514	893	550						
MvSl-1064-A1-R4_MC02g04100	503	529	601	712						
MvSl-1064-A1-R4_MC02g04101	138	168	125	92						
MvSl-1064-A1-R4_MC02g04102	899	656	1073	1042						
MvSl-1064-A1-R4_MC02g04103	4797	4757	4977	4776						
MvSl-1064-A1-R4_MC02g04104	727	790	848	946						
MvSl-1064-A1-R4_MC02g04105	727	698	806	746						
MvSl-1064-A1-R4_MC02g04106	482	513	695	692						
MvSl-1064-A1-R4_MC02g04107	630	923	648	855						
MvSl-1064-A1-R4_MC02g04108	882	854	1252	1461						
MvSl-1064-A1-R4_MC02g04109	186	143	539	376						
MvSl-1064-A1-R4_MC02g04110	520	892	658	802						
MvSl-1064-A1-R4_MC02g04111	3068	3271	2901	3334						
MvSl-1064-A1-R4_MC02g04112	2.24073	0	0	1.03707						
MvSl-1064-A1-R4_MC02g04114	110.531	196.644	109.874	89.6093						
MvSl-1064-A1-R4_MC02g04115	99	163	105.904	101.575						
MvSl-1064-A1-R4_MC02g04116	506	1059	685	1097						
MvSl-1064-A1-R4_MC02g04117	15704	24304	21741	27622						
MvSl-1064-A1-R4_MC02g04118	38	33	97	50						
MvSl-1064-A1-R4_MC02g04119	898	1032	1591	1571						
MvSl-1064-A1-R4_MC02g04120	880	1125	1155	1269						
MvSl-1064-A1-R4_MC02g04121	1254	708	1306	1001						
MvSl-1064-A1-R4_MC02g04122	251	298	235	355						
MvSl-1064-A1-R4_MC02g04123	112	168	125	264						
MvSl-1064-A1-R4_MC02g04124	2155	2410	1671	3224						
MvSl-1064-A1-R4_MC02g04125	232	189	255	239						
MvSl-1064-A1-R4_MC02g04126	1931	2597	2140	2902						
MvSl-1064-A1-R4_MC02g04127	790	901	844	864						
MvSl-1064-A1-R4_MC02g04128	118.14	110.802	118.982	93.8078						
MvSl-1064-A1-R4_MC02g04129	3535	5611	4190	6286						
MvSl-1064-A1-R4_MC02g04130	3088	3173	3307	3214						
MvSl-1064-A1-R4_MC02g04131	278	132	516	341						
MvSl-1064-A1-R4_MC02g04132	6816	3993	8928	7151						
MvSl-1064-A1-R4_MC02g04133	1237	1127	1973	1974						
MvSl-1064-A1-R4_MC02g04134	2212	2219	3006	2620						
MvSl-1064-A1-R4_MC02g04135	470	611	528	438						
MvSl-1064-A1-R4_MC02g04136	542	671	590	415						
MvSl-1064-A1-R4_MC02g04137	673	767	550	715						
MvSl-1064-A1-R4_MC02g04138	1894	2259	2202	2402						
MvSl-1064-A1-R4_MC02g04139	3310	3236	3159	3236						
MvSl-1064-A1-R4_MC02g04140	3183	2627	3112	2673						
MvSl-1064-A1-R4_MC02g04141	2644	2711	2051	2377						
MvSl-1064-A1-R4_MC02g04142	17	14	17	8						
MvSl-1064-A1-R4_MC02g04143	0	0	0	0						
MvSl-1064-A1-R4_MC02g04144	3769	3782	4130	4409						
MvSl-1064-A1-R4_MC02g04145	1428	1562	1554	1652						
MvSl-1064-A1-R4_MC02g04146	1875	2335	1674	1932						
MvSl-1064-A1-R4_MC02g04147	296	420	358	422						
MvSl-1064-A1-R4_MC02g04148	929	1136	1120	1335						
MvSl-1064-A1-R4_MC02g04149	1812	1544	2269	1772						
MvSl-1064-A1-R4_MC02g04150	2739	3113	2799	3329						
MvSl-1064-A1-R4_MC02g04151	1356	1733	1166	1240						
MvSl-1064-A1-R4_MC02g04152	18130	15710	23517	21482						
MvSl-1064-A1-R4_MC02g04153	2054	2117	2547	2330						
MvSl-1064-A1-R4_MC02g04154	4326	4887	5100	5529						
MvSl-1064-A1-R4_MC02g04155	589	715	642	867						
MvSl-1064-A1-R4_MC02g04156	1305	1453	1642	1648						
MvSl-1064-A1-R4_MC02g04157	1279	1475	1461	1503						
MvSl-1064-A1-R4_MC02g04158	588	738	674	719						
MvSl-1064-A1-R4_MC02g04159	324	303	416	402						
MvSl-1064-A1-R4_MC02g04160	512	398	870	642						
MvSl-1064-A1-R4_MC02g04161	521	495	533	586						
MvSl-1064-A1-R4_MC02g04162	195	265	265	318						
MvSl-1064-A1-R4_MC02g04163	1307	1265	1382	1466						
MvSl-1064-A1-R4_MC02g04164	943	934	1121	1157						
MvSl-1064-A1-R4_MC02g04165	51801	78811	68519	102888						
MvSl-1064-A1-R4_MC02g04166	1840	2110	1925	2334						
MvSl-1064-A1-R4_MC02g04167	1739	2238	2262	2574						
MvSl-1064-A1-R4_MC02g04168	162	207	216	255						
MvSl-1064-A1-R4_MC02g04169	2160.33	1991.21	3221.45	2537.26						
MvSl-1064-A1-R4_MC02g04170	9	12	7	8						
MvSl-1064-A1-R4_MC02g04171	1052	1385	740	960						
MvSl-1064-A1-R4_MC02g04172	912	1108	895	972						
MvSl-1064-A1-R4_MC02g04173	48.9837	37.8954	74.1549	61.0069						
MvSl-1064-A1-R4_MC02g04174	0	0	0	0						
MvSl-1064-A1-R4_MC02g04175	0	0	2	0						
MvSl-1064-A1-R4_MC02g04176	391	768	507	698						
MvSl-1064-A1-R4_MC02g04177	2759	2287	3273	3110						
MvSl-1064-A1-R4_MC02g04178	513	700	469	538						
MvSl-1064-A1-R4_MC02g04179	1908	2111	1981	2213						
MvSl-1064-A1-R4_MC02g04180	652	788	718	714						
MvSl-1064-A1-R4_MC02g04181	538.335	692.637	776.688	971.912						
MvSl-1064-A1-R4_MC02g04182	17.5771	10.4391	9.08558	7.39635						
MvSl-1064-A1-R4_MC02g04183	3.07832	3.87089	3.20743	3.13695						
MvSl-1064-A1-R4_MC02g04184	46.8617	26.688	38.281	36.9084						
MvSl-1064-A1-R4_MC02g04185	85.617	90.332	131.147	149						
MvSl-1064-A1-R4_MC02g04186	1482	1471	1549	1477						
MvSl-1064-A1-R4_MC02g04187	3897	3247	4328	3920						
MvSl-1064-A1-R4_MC02g04188	4605	2786	8410	5717						
MvSl-1064-A1-R4_MC02g04189	1966	2312	2471	2705						
MvSl-1064-A1-R4_MC02g04190	581	569	733	699						
MvSl-1064-A1-R4_MC02g04191	1555.02	1173.85	2343.17	1924.18						
MvSl-1064-A1-R4_MC02g04192	14	15	24.01	13.0073						
MvSl-1064-A1-R4_MC02g04193	0	0	0	0						
MvSl-1064-A1-R4_MC02g04194	348.606	260.409	463.865	305.576						
MvSl-1064-A1-R4_MC02g04195	17.0601	18.2221	63.7004	39.2295						
MvSl-1064-A1-R4_MC02g04196	1.34672	0	2.50081	0						
MvSl-1064-A1-R4_MC02g04197	36.0128	14.7423	46.9218	27.7469						
MvSl-1064-A1-R4_MC02g04198	5.44246	2.11874	10.936	8.94254						
MvSl-1064-A1-R4_MC02g04199	2.10107	2	3.40126	1.23719						
MvSl-1064-A1-R4_MC02g04200	1523.37	1144.59	2383.13	1775.42						
MvSl-1064-A1-R4_MC02g04201	68.9756	57.1468	115.829	94.8188						
MvSl-1064-A1-R4_MC02g04202	38.0204	35	62	34						
MvSl-1064-A1-R4_MC02g04203	785	475	807	724						
MvSl-1064-A1-R4_MC02g04204	1316	1301	1488	1572						
MvSl-1064-A1-R4_MC02g04205	47.3578	53.076	63.8446	54.5044						
MvSl-1064-A1-R4_MC02g04206	27	28	83	72						
MvSl-1064-A1-R4_MC02g04207	965.185	975.779	2184.26	1607.57						
MvSl-1064-A1-R4_MC02g04208	287.686	259.772	608.147	501.56						
MvSl-1064-A1-R4_MC02g04209	1891	1346	2452	1728						
MvSl-1064-A1-R4_MC02g04210	90	252	138	225						
MvSl-1064-A1-R4_MC02g04211	969	851	888	795						
MvSl-1064-A1-R4_MC02g04212	1538	1380	2229	2080						
MvSl-1064-A1-R4_MC02g04213	359	257	552	364						
MvSl-1064-A1-R4_MC02g04214	0	0	0	0						
MvSl-1064-A1-R4_MC02g04215	0	0	0	1						
MvSl-1064-A1-R4_MC02g04216	0	0	11.3139	7.11967						
MvSl-1064-A1-R4_MC02g04217	150.236	205.93	239.881	235.425						
MvSl-1064-A1-R4_MC02g04218	1241	905	1335	1118						
MvSl-1064-A1-R4_MC02g04219	241	136	291	252						
MvSl-1064-A1-R4_MC02g04220	64.4428	44	91	100						
MvSl-1064-A1-R4_MC02g04221	0	5	3	3						
MvSl-1064-A1-R4_MC02g04222	923	1629	888	1139						
MvSl-1064-A1-R4_MC02g04223	81	126	143	139						
MvSl-1064-A1-R4_MC02g04224	607	320	1494	900						
MvSl-1064-A1-R4_MC02g04225	1	0	0	0						
MvSl-1064-A1-R4_MC02g04226	443.341	407.549	541.679	447.909						
MvSl-1064-A1-R4_MC02g04227	33.9825	52.7065	23	24						
MvSl-1064-A1-R4_MC02g04228	256	222	429	380						
MvSl-1064-A1-R4_MC02g04229	844	1017	1294	1362						
MvSl-1064-A1-R4_MC02g04230	1169	1240	1230	1313						
MvSl-1064-A1-R4_MC02g04231	882	959	1116	1240						
MvSl-1064-A1-R4_MC02g04232	4440	3389	4570	3889						
MvSl-1064-A1-R4_MC02g04233	19.5081	16.2473	31.1638	28.6011						
MvSl-1064-A1-R4_MC02g04234	1001.63	932.971	1492.41	1203.85						
MvSl-1064-A1-R4_MC02g04245	88	99	91.7387	87.9968						
MvSl-1064-A1-R4_MC02g04246	11.2555	5	2.26917	2.28702						
MvSl-1064-A1-R4_MC02g04247	15	14	25	13						
MvSl-1064-A1-R4_MC02g04248	644.384	504.276	490.911	313.631						
MvSl-1064-A1-R4_MC02g04249	592.729	389.037	784.789	505.069						
MvSl-1064-A1-R4_MC02g04250	3197.63	2980.12	3886.08	3532.75						
MvSl-1064-A1-R4_MC02g04251	410.273	413.815	540.27	618.536						
MvSl-1064-A1-R4_MC02g04252	406.998	250.386	420.992	325.618						
MvSl-1064-A1-R4_MC02g04253	7816.32	7319.37	9900.12	9368.29						
MvSl-1064-A1-R4_MC03g04271	0	0	0	0						
MvSl-1064-A1-R4_MC03g04272	0	2.33333	0	0						
MvSl-1064-A1-R4_MC03g04273	8.18563	33.0021	16.9272	12.1479						
MvSl-1064-A1-R4_MC03g04274	1.22972	1.59459	0	0						
MvSl-1064-A1-R4_MC03g04275	5.3347	9.55663	17.2411	26.4264						
MvSl-1064-A1-R4_MC03g04276	42.3283	112.488	45.0419	123.828						
MvSl-1064-A1-R4_MC03g04277	140.435	377.731	156.397	358.828						
MvSl-1064-A1-R4_MC03g04278	19.8454	41.2785	27.1563	36.4836						
MvSl-1064-A1-R4_MC03g04279	312.515	450.25	462.346	623.338						
MvSl-1064-A1-R4_MC03g04280	337.763	371.279	369.098	406.374						
MvSl-1064-A1-R4_MC03g04281	1795	1165	2292	1419						
MvSl-1064-A1-R4_MC03g04282	1100.01	809.871	1227.25	1043.08						
MvSl-1064-A1-R4_MC03g04283	299	216	326	283						
MvSl-1064-A1-R4_MC03g04284	5708	6442	6852	6086						
MvSl-1064-A1-R4_MC03g04285	846	908	933	934						
MvSl-1064-A1-R4_MC03g04286	644	889	584	776						
MvSl-1064-A1-R4_MC03g04287	725	813	812	854						
MvSl-1064-A1-R4_MC03g04288	66	41	111	73						
MvSl-1064-A1-R4_MC03g04289	1087	1469	1387	1572						
MvSl-1064-A1-R4_MC03g04290	2376	2499	2717	3081						
MvSl-1064-A1-R4_MC03g04291	334	172	423	333						
MvSl-1064-A1-R4_MC03g04292	664	519	688	594						
MvSl-1064-A1-R4_MC03g04293	1606	1344	1868	1604						
