gida1	A1_1	A1_2	A2_1	A2_2						
MvSl-1064-A1-R4_A1g00057	385	530	529	557						
MvSl-1064-A1-R4_A1g00058	18	28	13	14						
MvSl-1064-A1-R4_A1g00059	131.919	234	200.944	217						
MvSl-1064-A1-R4_A1g00060	174	97	182	99						
MvSl-1064-A1-R4_A1g00061	2640	2795	2686	2881						
MvSl-1064-A1-R4_A1g00062	1194.59	1243.78	1452.41	1636.88						
MvSl-1064-A1-R4_A1g00063	602	641	674	688						
MvSl-1064-A1-R4_A1g00064	5023	5705	6591	7285						
MvSl-1064-A1-R4_A1g00065	3215	3082	2990	3059						
MvSl-1064-A1-R4_A1g00066	4107.89	4772.12	4239.59	5798						
MvSl-1064-A1-R4_A1g00067	49	42	79	43						
MvSl-1064-A1-R4_A1g00068	33	33	69	32						
MvSl-1064-A1-R4_A1g00069	1221	944	1667	1315						
MvSl-1064-A1-R4_A1g00070	3236	3201	3069	2776						
MvSl-1064-A1-R4_A1g00071	342	366	280	290						
MvSl-1064-A1-R4_A1g00072	5193	3519	5258	4067						
MvSl-1064-A1-R4_A1g00073	533	385	827	1023						
MvSl-1064-A1-R4_A1g00074	7311	11706	6307	8453						
MvSl-1064-A1-R4_A1g00075	2	0	1	0						
MvSl-1064-A1-R4_A1g00076	2411	2731	3064	3008						
MvSl-1064-A1-R4_A1g00077	1703	1997	1874	2221						
MvSl-1064-A1-R4_A1g00078	2962	4104	1540	2518						
MvSl-1064-A1-R4_A1g00079	1756	1128	611	448						
MvSl-1064-A1-R4_A1g00080	1349	1130	536	563						
MvSl-1064-A1-R4_A1g00081	1854.51	1405.71	296.899	227.638						
MvSl-1064-A1-R4_A1g00083	1.02514	2.0249	0	1.07033						
MvSl-1064-A1-R4_A1g00084	1	1	0	0						
MvSl-1064-A1-R4_A1g00106	26.3788	35.6234	65.6439	36.7502						
MvSl-1064-A1-R4_A1g00107	2.10863	1.04241	1.10072	3.29196						
MvSl-1064-A1-R4_A1g00108	548	780	596	622						
MvSl-1064-A1-R4_A1g00109	2185	3140	2278	3008						
MvSl-1064-A1-R4_A1g00110	5438	4947	7352	6724						
MvSl-1064-A1-R4_A1g00111	0	1	0	0						
MvSl-1064-A1-R4_A1g00112	76.2911	54.0577	5463.52	3840.76						
MvSl-1064-A1-R4_A1g00113	5285	4276	5290	5122						
MvSl-1064-A1-R4_A1g00367	342	371	281	275						
MvSl-1064-A1-R4_A1g00368	1240	1611	1369	1794						
MvSl-1064-A1-R4_A1g00369	2374	2868	2718	2931						
MvSl-1064-A1-R4_A1g00370	2395	2572	2741	2676						
MvSl-1064-A1-R4_A1g00371	3488	3778	3134	2991						
MvSl-1064-A1-R4_A1g00372	2958	3261	3917	4012						
MvSl-1064-A1-R4_A1g00373	689	1011	1087	1325						
MvSl-1064-A1-R4_A1g00374	4445	3428	5165	4714						
MvSl-1064-A1-R4_A1g00375	505.371	405.34	481.171	345.225						
MvSl-1064-A1-R4_A1g01392	832	1188	937	1041						
MvSl-1064-A1-R4_A1g01393	1447	1493	2340	2151						
MvSl-1064-A1-R4_A1g00209	569.918	650.699	821.825	804.562						
MvSl-1064-A1-R4_A1g01415	1928	1891	2558	3213						
MvSl-1064-A1-R4_A1g00290	2464	2912	3748	3208						
MvSl-1064-A1-R4_A1g01138	7.44452	11.3322	2101.94	1744.35						
MvSl-1064-A1-R4_A1g00772	269	504	264	400						
MvSl-1064-A1-R4_A1g01389	1962	2659	1734	2205						
MvSl-1064-A1-R4_A1g01388	474	958	965	1202						
MvSl-1064-A1-R4_A1g01252	2207	2319	2501	2506						
MvSl-1064-A1-R4_A1g01253	2239	2667	1313	1754						
MvSl-1064-A1-R4_A1g00800	1828.83	2326.87	1287.51	1382.71						
MvSl-1064-A1-R4_A1g00801	190	299	228	319						
MvSl-1064-A1-R4_A1g00589	5	3	2	1						
MvSl-1064-A1-R4_A1g00591	754	480	45	23						
MvSl-1064-A1-R4_A1g00593	5333	4690	6242	5533						
MvSl-1064-A1-R4_A1g00608	78.3079	106.07	21.5516	0						
MvSl-1064-A1-R4_A1g00641	317	465	231	203.993						
MvSl-1064-A1-R4_A1g00726	3308	4277	3367	3673						
MvSl-1064-A1-R4_A1g00120	466.653	356.721	859.48	690.555						
MvSl-1064-A1-R4_A1g00246	1098	1069	2594.3	2477.97						
MvSl-1064-A1-R4_A1g00215	281.644	321.938	322.4	320.261						
MvSl-1064-A1-R4_A1g00233	7.09385	12.3387	1.01246	1.02578						
MvSl-1064-A1-R4_A1g00165	4853	4550	3329	3270						
MvSl-1064-A1-R4_A1g00481	98.9891	76.3304	177.456	182.115						
MvSl-1064-A1-R4_A1g00718	405	532	919	1287						
MvSl-1064-A1-R4_A1g00254	908	740	291	207						
MvSl-1064-A1-R4_A1g00359	7526	8885	6546	9274						
MvSl-1064-A1-R4_A1g00281	1636	1464	2114	1683						
MvSl-1064-A1-R4_A1g00280	4000	4258	5247	5828						
MvSl-1064-A1-R4_A1g00168	899.94	664.776	261.317	161.059						
MvSl-1064-A1-R4_A1g00648	1311	1308	2375	2322						
MvSl-1064-A1-R4_A1g00647	4795	7789	5730	6832						
MvSl-1064-A1-R4_A1g00492	474.418	458.883	632.97	331.224						
MvSl-1064-A1-R4_A1g00778	561	373	693	711						
MvSl-1064-A1-R4_A1g00779	3986	3791	7347	6691						
MvSl-1064-A1-R4_A1g01282	2.0521	0	100.62	107.724						
MvSl-1064-A1-R4_A1g00869	11088	18755	8628	11218						
MvSl-1064-A1-R4_A1g00405	453	728	442	477						
MvSl-1064-A1-R4_A1g00404	181	177	244	269						
MvSl-1064-A1-R4_A1g00403	2204	2501	1870	2003						
MvSl-1064-A1-R4_A1g00402	4415	4628	5124	5039						
MvSl-1064-A1-R4_A1g00401	2470	4597	2295	4021						
MvSl-1064-A1-R4_A1g00400	749	633	468	281						
MvSl-1064-A1-R4_A1g00399	3695	5935	4277	6947						
MvSl-1064-A1-R4_A1g00398	4917	5722	5099	5890						
MvSl-1064-A1-R4_A1g00397	9257	13495	10540	13418						
MvSl-1064-A1-R4_A1g00396	3429	4227	3585	4209						
MvSl-1064-A1-R4_A1g00395	6196	5922	5773	5744						
MvSl-1064-A1-R4_A1g00394	1183	1762	1447	1903						
MvSl-1064-A1-R4_A1g00393	2	1	3	2						
MvSl-1064-A1-R4_A1g00392	1	0	3	2						
MvSl-1064-A1-R4_A1g00391	2442	2354	2760	2846						
MvSl-1064-A1-R4_A1g00390	676	623	745	722						
MvSl-1064-A1-R4_A1g00389	1765.37	1657.89	539	502						
MvSl-1064-A1-R4_A1g00384	1	1	8.12988	1.74181						
MvSl-1064-A1-R4_A1g00383	996	711	2084	1805						
MvSl-1064-A1-R4_A1g00380	1588	1735	1366	1255						
MvSl-1064-A1-R4_A1g00379	37	29	25	17						
MvSl-1064-A1-R4_A1g01189	2418	1899	3569	3519						
MvSl-1064-A1-R4_A1g01375	596.687	761.193	1073	1171						
MvSl-1064-A1-R4_A1g01376	1668	1508	3832	2810						
MvSl-1064-A1-R4_A1g01378	271.976	276.814	247.892	120.602						
MvSl-1064-A1-R4_A1g00624	4021	4842	2739	2942						
MvSl-1064-A1-R4_A1g00185	5408	5796	8596	8240						
MvSl-1064-A1-R4_A1g00186	3344	3399	3745	4278						
MvSl-1064-A1-R4_A1g01038	1103	2125	8301	11805						
MvSl-1064-A1-R4_A1g01383	602.876	651.279	1922.09	1475.2						
MvSl-1064-A1-R4_A1g00230	460	359	10573	9851						
MvSl-1064-A1-R4_A1g00824	806.075	1235.85	938.532	1421.52						
MvSl-1064-A1-R4_A1g00568	848	739	937	733						
MvSl-1064-A1-R4_A1g00575	3866	3719	2978	3518						
MvSl-1064-A1-R4_A1g00576	466.09	333.789	376	269						
MvSl-1064-A1-R4_A1g00757	36.8644	77	71	43						
MvSl-1064-A1-R4_A1g00756	26	23	32	23.4419						
MvSl-1064-A1-R4_A1g00752	477.458	533.369	20	13						
MvSl-1064-A1-R4_A1g00751	5845	5631	5510	4970						
MvSl-1064-A1-R4_A1g00750	1353	1161	1522	1389						
MvSl-1064-A1-R4_A1g00594	1017.51	1250.16	748	505						
MvSl-1064-A1-R4_A1g00749	4809	3170	4237	2272						
MvSl-1064-A1-R4_A1g00745	721.074	797.643	3632	3412						
MvSl-1064-A1-R4_A1g01135	1044	1199	2856	3151						
MvSl-1064-A1-R4_A1g00245	482	725	282	514						
MvSl-1064-A1-R4_A1g00635	573.605	444.571	74.5794	27.3272						
MvSl-1064-A1-R4_A1g00241	2788	2862	4865	5361						
MvSl-1064-A1-R4_A1g00242	764	711	1266	1367						
MvSl-1064-A1-R4_A1g00270	1126	1170	653	516						
MvSl-1064-A1-R4_A1g00269	7542	7736	433	262						
MvSl-1064-A1-R4_A1g00098	0	0	0	0						
MvSl-1064-A1-R4_A1g00763	212.031	162.944	121.535	63.354						
MvSl-1064-A1-R4_A1g00211	9186.2	9461	12812	11472						
MvSl-1064-A1-R4_A1g00210	735.776	787	762	861						
MvSl-1064-A1-R4_A1g01418	251.849	164.63	438.173	299.288						
MvSl-1064-A1-R4_A1g00292	2548	3169	1562	1927						
MvSl-1064-A1-R4_A1g00406	740	909	1117	1122						
MvSl-1064-A1-R4_A1g00441	628.202	986.009	802	903						
MvSl-1064-A1-R4_A1g00144	1783	2480	1736	2035						
MvSl-1064-A1-R4_A1g01369	7653	8467	12217	16101						
MvSl-1064-A1-R4_A1g01368	1626	1072	1537	1165						
MvSl-1064-A1-R4_A1g01367	445	361	590	613						
MvSl-1064-A1-R4_A1g01366	1589	1575	1686	1768						
MvSl-1064-A1-R4_A1g00194	88.3816	73.9823	122.131	97.7019						
MvSl-1064-A1-R4_A1g01290	793	847	1083.32	945.607						
MvSl-1064-A1-R4_A1g01288	405	583	384.12	570.202						
MvSl-1064-A1-R4_A1g00327	357	355	371	393						
MvSl-1064-A1-R4_A1g00326	0	0	854	717						
MvSl-1064-A1-R4_A1g01404	447	458	5	8						
MvSl-1064-A1-R4_A1g01405	549	679	505	532						
MvSl-1064-A1-R4_A1g01137	2276	2316	1736	1654						
MvSl-1064-A1-R4_A1g01136	576	354	35	34						
MvSl-1064-A1-R4_A1g00475	23.4155	38.5332	17.2123	10.9267						
MvSl-1064-A1-R4_A1g01154	2909	3253	3096	3625						
MvSl-1064-A1-R4_A1g01159	2008	2308	2980	3346						
MvSl-1064-A1-R4_A1g01160	2557	2461	3429	3652						
MvSl-1064-A1-R4_A1g01161	1171	1142	1023	1167						
MvSl-1064-A1-R4_A1g01162	9	4	290	390						
MvSl-1064-A1-R4_A1g01163	46	42	644	596						
MvSl-1064-A1-R4_A1g01212	524	251	108	119						
MvSl-1064-A1-R4_A1g01049	523.955	445.991	3186.58	3063.99						
MvSl-1064-A1-R4_A1g00533	1200	1308	1372	1418						
MvSl-1064-A1-R4_A1g00534	4027	4175	3513	3879						
MvSl-1064-A1-R4_A1g00541	1910	1153	1883	1345						
MvSl-1064-A1-R4_A1g00542	644	611	872.453	837.301						
MvSl-1064-A1-R4_A1g00543	2837	2164	3167	2791						
MvSl-1064-A1-R4_A1g00544	864	1037	1098	1199						
MvSl-1064-A1-R4_A1g00527	744	551	621.613	400.946						
MvSl-1064-A1-R4_A1g00525	3461	3430	2992	2883						
MvSl-1064-A1-R4_A1g00524	6	3	0	0						
MvSl-1064-A1-R4_A1g00523	6	10	0	0						
MvSl-1064-A1-R4_A1g00522	81	101	1	7						
MvSl-1064-A1-R4_A1g01007	87.7487	59.8709	898.517	806.3						
