gene	MvSlM1	MvSlM2
MvSl-1064-A1-R4_MC02g03506	44	60
MvSl-1064-A1-R4_MC02g03507	10570	9528
MvSl-1064-A1-R4_MC02g03524	1029	891
MvSl-1064-A1-R4_MC02g03525	828	724
MvSl-1064-A1-R4_MC02g03527	583	483
MvSl-1064-A1-R4_MC02g03528	2157	1836
MvSl-1064-A1-R4_MC02g03529	2434	1995
MvSl-1064-A1-R4_MC02g03530	3105.37	2920.29
MvSl-1064-A1-R4_MC02g03531	1406	1036
MvSl-1064-A1-R4_MC02g03532	4650	4196
MvSl-1064-A1-R4_MC02g03535	3159	3010
MvSl-1064-A1-R4_MC02g03536	2247	2428
MvSl-1064-A1-R4_MC02g03537	71	60
MvSl-1064-A1-R4_MC02g03538	1080	1143
MvSl-1064-A1-R4_MC02g03539	7284	8653
MvSl-1064-A1-R4_MC02g03541	172	126
MvSl-1064-A1-R4_MC02g03542	700	611
MvSl-1064-A1-R4_MC02g03543	2383	2875
MvSl-1064-A1-R4_MC02g03544	8167	6197
MvSl-1064-A1-R4_MC02g03546	1919	2521
MvSl-1064-A1-R4_MC02g03547	2645	2526
MvSl-1064-A1-R4_MC02g03551	1724	1425
MvSl-1064-A1-R4_MC02g03552	1248	1106
MvSl-1064-A1-R4_MC02g03561	5693	5815
MvSl-1064-A1-R4_MC02g03562	1087	947
MvSl-1064-A1-R4_MC02g03563	70	66
MvSl-1064-A1-R4_MC02g03568	1125.59	1350.86
MvSl-1064-A1-R4_MC02g03569	13700	11389
MvSl-1064-A1-R4_MC02g03572	5440	5117
MvSl-1064-A1-R4_MC02g03573	399	382
MvSl-1064-A1-R4_MC02g03580	508	482
MvSl-1064-A1-R4_MC02g03581	1391	2009
MvSl-1064-A1-R4_MC02g03582	2460	2525
MvSl-1064-A1-R4_MC02g03583	2666	2484
MvSl-1064-A1-R4_MC02g03585	6870	8338
MvSl-1064-A1-R4_MC02g03586	163	135
MvSl-1064-A1-R4_MC02g03587	3796	3593
MvSl-1064-A1-R4_MC02g03588	2010	2561
MvSl-1064-A1-R4_MC02g03589	1921	1783
MvSl-1064-A1-R4_MC02g03590	8009	10862
MvSl-1064-A1-R4_MC02g03591	9037	8623
MvSl-1064-A1-R4_MC02g03592	2246	2787
MvSl-1064-A1-R4_MC02g03593	1887	1676
MvSl-1064-A1-R4_MC02g03594	3	7
MvSl-1064-A1-R4_MC02g03596	1272	1074
MvSl-1064-A1-R4_MC02g03597	850	504
MvSl-1064-A1-R4_MC02g03598	729	439
MvSl-1064-A1-R4_MC02g03599	152	148
MvSl-1064-A1-R4_MC02g03600	1159	1111
MvSl-1064-A1-R4_MC02g03602	5749	5390
MvSl-1064-A1-R4_MC02g03603	942	1350
MvSl-1064-A1-R4_MC02g03608	9225	8630
MvSl-1064-A1-R4_MC02g03610	8375	6693
MvSl-1064-A1-R4_MC02g03613	665	1840
MvSl-1064-A1-R4_MC02g03614	1583	1481
MvSl-1064-A1-R4_MC02g03615	2869	2639
MvSl-1064-A1-R4_MC02g03616	3061	3773
MvSl-1064-A1-R4_MC02g03617	1236	596
MvSl-1064-A1-R4_MC02g03618	2722	3040
MvSl-1064-A1-R4_MC02g03619	5168	5546
MvSl-1064-A1-R4_MC02g03620	2102	2236
MvSl-1064-A1-R4_MC02g03621	6846	5942
MvSl-1064-A1-R4_MC02g03622	3838	3979
MvSl-1064-A1-R4_MC02g03625	7114	5929
MvSl-1064-A1-R4_MC02g03626	2745	3183
MvSl-1064-A1-R4_MC02g03627	731	610
MvSl-1064-A1-R4_MC02g03628	2150	2047
MvSl-1064-A1-R4_MC02g03629	3673	3325
MvSl-1064-A1-R4_MC02g03631	618	534
MvSl-1064-A1-R4_MC02g03632	2000	1677
MvSl-1064-A1-R4_MC02g03633	2751	2828
MvSl-1064-A1-R4_MC02g03634	2698	2343
MvSl-1064-A1-R4_MC02g03636	1148	971
MvSl-1064-A1-R4_MC02g03637	8897	7186
MvSl-1064-A1-R4_MC02g03639	632	425
MvSl-1064-A1-R4_MC02g03641	637	493
MvSl-1064-A1-R4_MC02g03645	2207	2184
MvSl-1064-A1-R4_MC02g03646	39	37
MvSl-1064-A1-R4_MC02g03648	1194	1193
MvSl-1064-A1-R4_MC02g03649	197	193
MvSl-1064-A1-R4_MC02g03650	5473	4133
MvSl-1064-A1-R4_MC02g03655	6.17616	11.3242
MvSl-1064-A1-R4_MC02g03656	1442	1307
MvSl-1064-A1-R4_MC02g03657	1451	1393
MvSl-1064-A1-R4_MC02g03658	193	238
MvSl-1064-A1-R4_MC02g03659	41057	32641
MvSl-1064-A1-R4_MC02g03662	295.515	285.627
MvSl-1064-A1-R4_MC02g03664	79	302
MvSl-1064-A1-R4_MC02g03665	43	37
MvSl-1064-A1-R4_MC02g03669	258	237
MvSl-1064-A1-R4_MC02g03670	1537	1583
MvSl-1064-A1-R4_MC02g03671	1562	1029
MvSl-1064-A1-R4_MC02g03672	275	159
MvSl-1064-A1-R4_MC02g03673	33	34
MvSl-1064-A1-R4_MC02g03679	1615	1453
MvSl-1064-A1-R4_MC02g03681	2183	2256
MvSl-1064-A1-R4_MC02g03682	823	786
MvSl-1064-A1-R4_MC02g03683	906	978
MvSl-1064-A1-R4_MC02g03684	3820	4519
MvSl-1064-A1-R4_MC02g03685	3237	3446
MvSl-1064-A1-R4_MC02g03686	664	1076
MvSl-1064-A1-R4_MC02g03687	349	343
MvSl-1064-A1-R4_MC02g03688	5150	4239
MvSl-1064-A1-R4_MC02g03689	1767	1660
MvSl-1064-A1-R4_MC02g03690	9839	8286
MvSl-1064-A1-R4_MC02g03691	736	668
MvSl-1064-A1-R4_MC02g03692	2100	1911
MvSl-1064-A1-R4_MC02g03693	760	765
MvSl-1064-A1-R4_MC02g03694	781	560
MvSl-1064-A1-R4_MC02g03695	2666	2293
MvSl-1064-A1-R4_MC02g03696	1799	1406
MvSl-1064-A1-R4_MC02g03697	1842	1647
MvSl-1064-A1-R4_MC02g03698	639	680
MvSl-1064-A1-R4_MC02g03702	674	618
MvSl-1064-A1-R4_MC02g03703	753	593
MvSl-1064-A1-R4_MC02g03704	6607	7492
MvSl-1064-A1-R4_MC02g03706	116	119
MvSl-1064-A1-R4_MC02g03707	1779	1652
MvSl-1064-A1-R4_MC02g03708	1081	812
MvSl-1064-A1-R4_MC02g03709	980	861
MvSl-1064-A1-R4_MC02g03710	1020	977
MvSl-1064-A1-R4_MC02g03711	1844	1425
MvSl-1064-A1-R4_MC02g03712	1166	723
MvSl-1064-A1-R4_MC02g03713	2100	1294
MvSl-1064-A1-R4_MC02g03715	425	291
MvSl-1064-A1-R4_MC02g03717	583	707
MvSl-1064-A1-R4_MC02g03718	556.744	628.258
MvSl-1064-A1-R4_MC02g03720	2246	2424
MvSl-1064-A1-R4_MC02g03721	2105	2284
MvSl-1064-A1-R4_MC02g03722	3143	5558
MvSl-1064-A1-R4_MC02g03723	5313	4119
MvSl-1064-A1-R4_MC02g03724	601	486
MvSl-1064-A1-R4_MC02g03725	1262	1049
MvSl-1064-A1-R4_MC02g03726	1769	1592
MvSl-1064-A1-R4_MC02g03727	1301	939
MvSl-1064-A1-R4_MC02g03728	204	285
MvSl-1064-A1-R4_MC02g03730	817	709
MvSl-1064-A1-R4_MC02g03731	50	44
MvSl-1064-A1-R4_MC02g03732	67	61
MvSl-1064-A1-R4_MC02g03733	777	782
MvSl-1064-A1-R4_MC02g03734	1889	1248
MvSl-1064-A1-R4_MC02g03735	2097	4433
MvSl-1064-A1-R4_MC02g03736	6990	6748
MvSl-1064-A1-R4_MC02g03737	7	6
MvSl-1064-A1-R4_MC02g03738	5337	4689
MvSl-1064-A1-R4_MC02g03739	4987	4481
MvSl-1064-A1-R4_MC02g03741	685	745
MvSl-1064-A1-R4_MC02g03742	4060	3919
MvSl-1064-A1-R4_MC02g03744	2640	1392
MvSl-1064-A1-R4_MC02g03745	5711	5614
MvSl-1064-A1-R4_MC02g03746	1587	1750
MvSl-1064-A1-R4_MC02g03747	584	591
MvSl-1064-A1-R4_MC02g03748	1770	2134
MvSl-1064-A1-R4_MC02g03749	7359	8942
MvSl-1064-A1-R4_MC02g03750	294	443
MvSl-1064-A1-R4_MC02g03751	3138	2791
MvSl-1064-A1-R4_MC02g03752	6322	5871
MvSl-1064-A1-R4_MC02g03753	3781	3351
MvSl-1064-A1-R4_MC02g03754	4259	3985
MvSl-1064-A1-R4_MC02g03755	129	165
MvSl-1064-A1-R4_MC02g03757	478	426
MvSl-1064-A1-R4_MC02g03758	1351	1002
MvSl-1064-A1-R4_MC02g03759	2329	2394
MvSl-1064-A1-R4_MC02g03760	284	344
MvSl-1064-A1-R4_MC02g03761	2512	2420
MvSl-1064-A1-R4_MC02g03762	572	530
MvSl-1064-A1-R4_MC02g03763	1277	1132
MvSl-1064-A1-R4_MC02g03764	6640	4630
MvSl-1064-A1-R4_MC02g03769	2626	2124
MvSl-1064-A1-R4_MC02g03770	2232	2698
MvSl-1064-A1-R4_MC02g03775	2093	1902
MvSl-1064-A1-R4_MC02g03776	731	817
MvSl-1064-A1-R4_MC02g03777	4176	3806
MvSl-1064-A1-R4_MC02g03778	3272	2881
MvSl-1064-A1-R4_MC02g03781	25613	21571
MvSl-1064-A1-R4_MC02g03783	4275	2592
MvSl-1064-A1-R4_MC02g03784	471	342
MvSl-1064-A1-R4_MC02g03785	577	613
MvSl-1064-A1-R4_MC02g03786	4302	3479
MvSl-1064-A1-R4_MC02g03787	3191	3674
MvSl-1064-A1-R4_MC02g03788	3644	2754
MvSl-1064-A1-R4_MC02g03789	1295	1187
MvSl-1064-A1-R4_MC02g03790	1191	1275
MvSl-1064-A1-R4_MC02g03791	4243	5013
MvSl-1064-A1-R4_MC02g03792	483	523
MvSl-1064-A1-R4_MC02g03793	2513	2634
MvSl-1064-A1-R4_MC02g03794	1884	2102
MvSl-1064-A1-R4_MC02g03795	487	566
MvSl-1064-A1-R4_MC02g03796	1234	1045
MvSl-1064-A1-R4_MC02g03797	662	714
MvSl-1064-A1-R4_MC02g03798	501	946
MvSl-1064-A1-R4_MC02g03799	1455	1311
MvSl-1064-A1-R4_MC02g03800	1164	922
MvSl-1064-A1-R4_MC02g03803	6053	3833
MvSl-1064-A1-R4_MC02g03809	2525	2512
MvSl-1064-A1-R4_MC02g03810	1999	1728
MvSl-1064-A1-R4_MC02g03811	2982	3156
MvSl-1064-A1-R4_MC02g03812	961.127	956.28
MvSl-1064-A1-R4_MC02g03813	646	513
MvSl-1064-A1-R4_MC02g03814	283	338
MvSl-1064-A1-R4_MC02g03815	496	375
MvSl-1064-A1-R4_MC02g03816	2800	3256
MvSl-1064-A1-R4_MC02g03817	2057	1639
MvSl-1064-A1-R4_MC02g03821	5074	4108
MvSl-1064-A1-R4_MC02g03822	5056	3114
MvSl-1064-A1-R4_MC02g03823	2486	2108
MvSl-1064-A1-R4_MC02g03824	1467	1599
MvSl-1064-A1-R4_MC02g03825	1095	1085
MvSl-1064-A1-R4_MC02g03826	1150	1025
MvSl-1064-A1-R4_MC02g03827	4452	3765
MvSl-1064-A1-R4_MC02g03828	166	156
MvSl-1064-A1-R4_MC02g03829	483	453
MvSl-1064-A1-R4_MC02g03830	244	260
MvSl-1064-A1-R4_MC02g03831	4272	4352
MvSl-1064-A1-R4_MC02g03832	4239	3451
MvSl-1064-A1-R4_MC02g03833	435	550
MvSl-1064-A1-R4_MC02g03836	2110	2113
MvSl-1064-A1-R4_MC02g03837	1312	976
MvSl-1064-A1-R4_MC02g03838	901	737
MvSl-1064-A1-R4_MC02g03839	469	474
MvSl-1064-A1-R4_MC02g03840	2356	2159
MvSl-1064-A1-R4_MC02g03841	7493	11951
MvSl-1064-A1-R4_MC02g03842	3527	3215
MvSl-1064-A1-R4_MC02g03843	1446	1406
MvSl-1064-A1-R4_MC02g03844	3473	2561
MvSl-1064-A1-R4_MC02g03845	4488	5798
MvSl-1064-A1-R4_MC02g03846	9814	10267
MvSl-1064-A1-R4_MC02g03847	1407	1323
MvSl-1064-A1-R4_MC02g03848	819	851
MvSl-1064-A1-R4_MC02g03849	17909	18647
MvSl-1064-A1-R4_MC02g03850	193	39
MvSl-1064-A1-R4_MC02g03852	255	31
MvSl-1064-A1-R4_MC02g03853	4603.77	3236.66
MvSl-1064-A1-R4_MC02g03858	425	344
MvSl-1064-A1-R4_MC02g03859	187	145
MvSl-1064-A1-R4_MC02g03864	6700	7190
MvSl-1064-A1-R4_MC02g03865	1003	1021
MvSl-1064-A1-R4_MC02g03866	1473	1728
MvSl-1064-A1-R4_MC02g03867	3119	5527
MvSl-1064-A1-R4_MC02g03868	4614.52	4345.32
MvSl-1064-A1-R4_MC02g03870	2558	2118
MvSl-1064-A1-R4_MC02g03871	19.9836	17.7533
MvSl-1064-A1-R4_MC02g03875	588	403
MvSl-1064-A1-R4_MC02g03876	210	132
MvSl-1064-A1-R4_MC02g03877	1306	1056
MvSl-1064-A1-R4_MC02g03879	3574	2389
MvSl-1064-A1-R4_MC02g03883	69	96
MvSl-1064-A1-R4_MC02g03884	3470	2774
MvSl-1064-A1-R4_MC02g03891	1109.82	1123.89
MvSl-1064-A1-R4_MC02g03894	3	3
MvSl-1064-A1-R4_MC02g03895	117	96
MvSl-1064-A1-R4_MC02g03896	452	432
MvSl-1064-A1-R4_MC02g03897	4312	3981
MvSl-1064-A1-R4_MC02g03898	853	519
MvSl-1064-A1-R4_MC02g03899	2424	2078
MvSl-1064-A1-R4_MC02g03900	2610	3034
MvSl-1064-A1-R4_MC02g03902	1453	1236
MvSl-1064-A1-R4_MC02g03903	1092	1277
MvSl-1064-A1-R4_MC02g03904	1234	1268
MvSl-1064-A1-R4_MC02g03905	7384	9938
MvSl-1064-A1-R4_MC02g03906	3079	2349
MvSl-1064-A1-R4_MC02g03907	420	381
MvSl-1064-A1-R4_MC02g03908	630	464
MvSl-1064-A1-R4_MC02g03909	4772	4881
MvSl-1064-A1-R4_MC02g03910	3767	2475
MvSl-1064-A1-R4_MC02g03911	890	895
MvSl-1064-A1-R4_MC02g03912	2830	2679
MvSl-1064-A1-R4_MC02g03913	1383	631
MvSl-1064-A1-R4_MC02g03914	35	36.0076
MvSl-1064-A1-R4_MC02g03915	906	967
MvSl-1064-A1-R4_MC02g03916	9056.02	7619.73
MvSl-1064-A1-R4_MC02g03917	1354	1216
MvSl-1064-A1-R4_MC02g03918	2559	2374
MvSl-1064-A1-R4_MC02g03919	1896	1953
MvSl-1064-A1-R4_MC02g03920	2667	2855
MvSl-1064-A1-R4_MC02g03921	763	836
MvSl-1064-A1-R4_MC02g03922	985	942
MvSl-1064-A1-R4_MC02g03923	4530	3364
MvSl-1064-A1-R4_MC02g03925	82783	83313
MvSl-1064-A1-R4_MC02g03926	3492	2893
MvSl-1064-A1-R4_MC02g03927	1301	1555
MvSl-1064-A1-R4_MC02g03930	658	464
MvSl-1064-A1-R4_MC02g03931	1290	999
MvSl-1064-A1-R4_MC02g03932	682	549
MvSl-1064-A1-R4_MC02g03933	9653	11970
MvSl-1064-A1-R4_MC02g03935	1204	1119
MvSl-1064-A1-R4_MC02g03936	1327	1295
MvSl-1064-A1-R4_MC02g03937	3837	3225
MvSl-1064-A1-R4_MC02g03938	29	15
MvSl-1064-A1-R4_MC02g03944	3717	4705
MvSl-1064-A1-R4_MC02g03945	19017	15378
MvSl-1064-A1-R4_MC02g03946	270	164
MvSl-1064-A1-R4_MC02g03950	2300	1504
MvSl-1064-A1-R4_MC02g03951	1716	1712
MvSl-1064-A1-R4_MC02g03952	11833	16447
MvSl-1064-A1-R4_MC02g03953	659	425
MvSl-1064-A1-R4_MC02g03954	1548	1353
MvSl-1064-A1-R4_MC02g03955	4764	5057
MvSl-1064-A1-R4_MC02g03956	3	3
MvSl-1064-A1-R4_MC02g03957	346	273
MvSl-1064-A1-R4_MC02g03958	970	864
MvSl-1064-A1-R4_MC02g03960	4640	5836
MvSl-1064-A1-R4_MC02g03961	1403	1408
MvSl-1064-A1-R4_MC02g03962	1663	1469
MvSl-1064-A1-R4_MC02g03963	728	696
MvSl-1064-A1-R4_MC02g03964	648	506
MvSl-1064-A1-R4_MC02g03965	3122	2409
MvSl-1064-A1-R4_MC02g03970	4079	1594
MvSl-1064-A1-R4_MC02g03971	772	621
MvSl-1064-A1-R4_MC02g03972	2772	2660
MvSl-1064-A1-R4_MC02g03973	1362	333
MvSl-1064-A1-R4_MC02g03974	2421	2048
MvSl-1064-A1-R4_MC02g03976	1148	1416
MvSl-1064-A1-R4_MC02g03977	1015	845
MvSl-1064-A1-R4_MC02g03978	162	113
MvSl-1064-A1-R4_MC02g03979	18344	18993
MvSl-1064-A1-R4_MC02g03980	989	1007
MvSl-1064-A1-R4_MC02g03981	1282	821
MvSl-1064-A1-R4_MC02g03982	253	218
MvSl-1064-A1-R4_MC02g03984	722	634
MvSl-1064-A1-R4_MC02g03985	1255	1078
MvSl-1064-A1-R4_MC02g03986	10556	9299
MvSl-1064-A1-R4_MC02g03987	2301	1971
MvSl-1064-A1-R4_MC02g03988	4449	3549
MvSl-1064-A1-R4_MC02g03989	912	731
MvSl-1064-A1-R4_MC02g03990	434	507
MvSl-1064-A1-R4_MC02g03991	3240	3404
MvSl-1064-A1-R4_MC02g03992	350	364
MvSl-1064-A1-R4_MC02g03993	1681	1412
MvSl-1064-A1-R4_MC02g03994	5035	5964
MvSl-1064-A1-R4_MC02g03995	4978	5522
MvSl-1064-A1-R4_MC02g03996	32	49
MvSl-1064-A1-R4_MC02g04003	10	14
MvSl-1064-A1-R4_MC02g04004	806	798
MvSl-1064-A1-R4_MC02g04005	4761	5763
MvSl-1064-A1-R4_MC02g04006	1561	1723
MvSl-1064-A1-R4_MC02g04007	789	1373
MvSl-1064-A1-R4_MC02g04008	5878	5916
MvSl-1064-A1-R4_MC02g04009	176	149
MvSl-1064-A1-R4_MC02g04010	87	83
MvSl-1064-A1-R4_MC02g04011	2082	1790
MvSl-1064-A1-R4_MC02g04012	582	535
MvSl-1064-A1-R4_MC02g04013	1630	1835
MvSl-1064-A1-R4_MC02g04015	4459.26	5044.72
MvSl-1064-A1-R4_MC02g04016	2532	2050
MvSl-1064-A1-R4_MC02g04017	179	126
MvSl-1064-A1-R4_MC02g04018	3953	3546
MvSl-1064-A1-R4_MC02g04019	1923	2069
MvSl-1064-A1-R4_MC02g04021	995	965
MvSl-1064-A1-R4_MC02g04022	197	172
MvSl-1064-A1-R4_MC02g04023	37	25
MvSl-1064-A1-R4_MC02g04026	1706	1274
MvSl-1064-A1-R4_MC02g04028	2	2
MvSl-1064-A1-R4_MC02g04029	1058	914
MvSl-1064-A1-R4_MC02g04030	5637	5689
MvSl-1064-A1-R4_MC02g04031	8218	8563
MvSl-1064-A1-R4_MC02g04033	2463.66	2236.88
MvSl-1064-A1-R4_MC02g04034	1865	1472
MvSl-1064-A1-R4_MC02g04035	1774	1675
MvSl-1064-A1-R4_MC02g04036	835	625
MvSl-1064-A1-R4_MC02g04037	1105	1254
MvSl-1064-A1-R4_MC02g04038	538	703
MvSl-1064-A1-R4_MC02g04039	4412	5564
MvSl-1064-A1-R4_MC02g04040	5034	6638
MvSl-1064-A1-R4_MC02g04041	680	493
MvSl-1064-A1-R4_MC02g04043	0	0
MvSl-1064-A1-R4_MC02g04044	1.00145	1.00146
MvSl-1064-A1-R4_MC02g04046	6604	4914
MvSl-1064-A1-R4_MC02g04048	3415	5890
MvSl-1064-A1-R4_MC02g04049	6774	8447
MvSl-1064-A1-R4_MC02g04050	3112	2803
MvSl-1064-A1-R4_MC02g04051	1764	1570
MvSl-1064-A1-R4_MC02g04052	2788	2285
MvSl-1064-A1-R4_MC02g04053	1748	1207
MvSl-1064-A1-R4_MC02g04054	1099	599
MvSl-1064-A1-R4_MC02g04055	2576	2541
MvSl-1064-A1-R4_MC02g04056	3007	3065
MvSl-1064-A1-R4_MC02g04057	3381	3674
MvSl-1064-A1-R4_MC02g04058	2914	2583
MvSl-1064-A1-R4_MC02g04059	2170	2667
MvSl-1064-A1-R4_MC02g04060	30837	36574
MvSl-1064-A1-R4_MC02g04061	8	21
MvSl-1064-A1-R4_MC02g04062	2968	3642
MvSl-1064-A1-R4_MC02g04063	1222	1339
MvSl-1064-A1-R4_MC02g04064	5863	5320
MvSl-1064-A1-R4_MC02g04067	258	253
MvSl-1064-A1-R4_MC02g04068	4888	3255
MvSl-1064-A1-R4_MC02g04069	3925	3675
MvSl-1064-A1-R4_MC02g04070	599	745
MvSl-1064-A1-R4_MC02g04071	783	715
MvSl-1064-A1-R4_MC02g04074	3	0
MvSl-1064-A1-R4_MC02g04075	3797	3375
MvSl-1064-A1-R4_MC02g04076	582	530
MvSl-1064-A1-R4_MC02g04077	298	359
MvSl-1064-A1-R4_MC02g04078	83	88
MvSl-1064-A1-R4_MC02g04083	2674	2034
MvSl-1064-A1-R4_MC02g04084	2584	2541
MvSl-1064-A1-R4_MC02g04085	6801	5220
MvSl-1064-A1-R4_MC02g04086	3753	3032
MvSl-1064-A1-R4_MC02g04087	1030	671
MvSl-1064-A1-R4_MC02g04088	667	688
MvSl-1064-A1-R4_MC02g04089	1917	1624
MvSl-1064-A1-R4_MC02g04090	118709	70361
MvSl-1064-A1-R4_MC02g04091	8748	10512
MvSl-1064-A1-R4_MC02g04092	5819	4106
MvSl-1064-A1-R4_MC02g04095	1049	831
MvSl-1064-A1-R4_MC02g04096	5842	6407
MvSl-1064-A1-R4_MC02g04097	1647	646
MvSl-1064-A1-R4_MC02g04098	599	582
MvSl-1064-A1-R4_MC02g04099	683	1057
MvSl-1064-A1-R4_MC02g04100	875	689
MvSl-1064-A1-R4_MC02g04101	204	216
MvSl-1064-A1-R4_MC02g04102	2557	1759
MvSl-1064-A1-R4_MC02g04103	6387	6199
MvSl-1064-A1-R4_MC02g04105	952	929
MvSl-1064-A1-R4_MC02g04106	749	758
MvSl-1064-A1-R4_MC02g04107	894	760
MvSl-1064-A1-R4_MC02g04108	1788	1402
MvSl-1064-A1-R4_MC02g04110	461	606
MvSl-1064-A1-R4_MC02g04111	4003	4105
MvSl-1064-A1-R4_MC02g04116	891	743
MvSl-1064-A1-R4_MC02g04117	12592	16325
MvSl-1064-A1-R4_MC02g04119	2344.61	2563.23
MvSl-1064-A1-R4_MC02g04120	1841	1501
MvSl-1064-A1-R4_MC02g04121	1541	905
MvSl-1064-A1-R4_MC02g04122	629	295
MvSl-1064-A1-R4_MC02g04123	639	411
MvSl-1064-A1-R4_MC02g04124	3745	2341
MvSl-1064-A1-R4_MC02g04125	459	524
MvSl-1064-A1-R4_MC02g04126	3353	2486
MvSl-1064-A1-R4_MC02g04127	910	1367
MvSl-1064-A1-R4_MC02g04128	50.019	91.6034
MvSl-1064-A1-R4_MC02g04129	6332	4936
MvSl-1064-A1-R4_MC02g04130	11840	11373
MvSl-1064-A1-R4_MC02g04131	388	358
MvSl-1064-A1-R4_MC02g04132	18326	23257
MvSl-1064-A1-R4_MC02g04133	1913	2986
MvSl-1064-A1-R4_MC02g04134	2092	2300
MvSl-1064-A1-R4_MC02g04135	611	473
MvSl-1064-A1-R4_MC02g04136	753	530
MvSl-1064-A1-R4_MC02g04138	2830	2473
MvSl-1064-A1-R4_MC02g04139	5532	5393
MvSl-1064-A1-R4_MC02g04140	3878	3089
MvSl-1064-A1-R4_MC02g04141	7128	7291
MvSl-1064-A1-R4_MC02g04144	5963	5501
MvSl-1064-A1-R4_MC02g04145	1908	1753
MvSl-1064-A1-R4_MC02g04146	1598	2306
MvSl-1064-A1-R4_MC02g04147	529	541
MvSl-1064-A1-R4_MC02g04148	1577	1626
MvSl-1064-A1-R4_MC02g04149	2253	2589
MvSl-1064-A1-R4_MC02g04150	5568	5144
MvSl-1064-A1-R4_MC02g04151	1550	2296
MvSl-1064-A1-R4_MC02g04152	23753	21046
MvSl-1064-A1-R4_MC02g04153	2833	2674
MvSl-1064-A1-R4_MC02g04154	5399	5678
MvSl-1064-A1-R4_MC02g04155	1272	924
MvSl-1064-A1-R4_MC02g04156	1825	1846
MvSl-1064-A1-R4_MC02g04157	1432	1372
MvSl-1064-A1-R4_MC02g04158	807	803
MvSl-1064-A1-R4_MC02g04159	554	420
MvSl-1064-A1-R4_MC02g04160	661	479
MvSl-1064-A1-R4_MC02g04161	854	772
MvSl-1064-A1-R4_MC02g04162	315	275
MvSl-1064-A1-R4_MC02g04163	1670	1782
MvSl-1064-A1-R4_MC02g04164	1307	1180
MvSl-1064-A1-R4_MC02g04165	57548	61475
MvSl-1064-A1-R4_MC02g04166	3039	2658
MvSl-1064-A1-R4_MC02g04167	2629	2477
MvSl-1064-A1-R4_MC02g04168	263	306
MvSl-1064-A1-R4_MC02g04169	3175.41	2437.43
MvSl-1064-A1-R4_MC02g04171	567	1151
MvSl-1064-A1-R4_MC02g04172	340	555
MvSl-1064-A1-R4_MC02g04176	343	256
MvSl-1064-A1-R4_MC02g04177	4767	3949
MvSl-1064-A1-R4_MC02g04178	519	994
MvSl-1064-A1-R4_MC02g04179	3339	2686
MvSl-1064-A1-R4_MC02g04187	8174	7718
MvSl-1064-A1-R4_MC02g04188	9235	9549
MvSl-1064-A1-R4_MC02g04189	2856	2614
MvSl-1064-A1-R4_MC02g04190	883	732
MvSl-1064-A1-R4_MC02g04191	2826.9	2239.13
MvSl-1064-A1-R4_MC02g04200	7030.18	7071.43
MvSl-1064-A1-R4_MC02g04203	1131	680
MvSl-1064-A1-R4_MC02g04204	2049	1643
MvSl-1064-A1-R4_MC02g04206	121	111
MvSl-1064-A1-R4_MC02g04209	409	544
MvSl-1064-A1-R4_MC02g04210	173	166
MvSl-1064-A1-R4_MC02g04211	891	1170
MvSl-1064-A1-R4_MC02g04212	1974.84	1973.29
MvSl-1064-A1-R4_MC02g04213	209	258
MvSl-1064-A1-R4_MC02g04218	3264	2667
MvSl-1064-A1-R4_MC02g04222	1328	1511
MvSl-1064-A1-R4_MC02g04223	189	165
MvSl-1064-A1-R4_MC02g04224	23332	26919
MvSl-1064-A1-R4_MC02g04229	1810	1563
MvSl-1064-A1-R4_MC02g04230	1999	1722
MvSl-1064-A1-R4_MC02g04231	1376	1143
MvSl-1064-A1-R4_MC02g04232	5742	4984
MvSl-1064-A1-R4_MC02g04245	242.344	278.501
MvSl-1064-A1-R4_MC02g04253	12623.1	11336.1
MvSl-1064-A1-R4_MC03g04283	509	743
MvSl-1064-A1-R4_MC03g04284	5205	5892
MvSl-1064-A1-R4_MC03g04285	1141	1026
MvSl-1064-A1-R4_MC03g04286	338	628
MvSl-1064-A1-R4_MC03g04288	83	59
MvSl-1064-A1-R4_MC03g04289	1777	1740
MvSl-1064-A1-R4_MC03g04290	3366	3868
MvSl-1064-A1-R4_MC03g04291	529	442
MvSl-1064-A1-R4_MC03g04292	1776	1354
MvSl-1064-A1-R4_MC03g04293	2469	1806
MvSl-1064-A1-R4_MC03g04294	2044	2076
MvSl-1064-A1-R4_MC03g04295	13256	10457
MvSl-1064-A1-R4_MC03g04296	897	705
MvSl-1064-A1-R4_MC03g04297	953	1070
MvSl-1064-A1-R4_MC03g04298	2027	2128
MvSl-1064-A1-R4_MC03g04299	1029	1217
MvSl-1064-A1-R4_MC03g04301	2772	2210
MvSl-1064-A1-R4_MC03g04302	1156	1277
MvSl-1064-A1-R4_MC03g04305	689	755
MvSl-1064-A1-R4_MC03g04306	4959	10412
MvSl-1064-A1-R4_MC03g04308	1028	1097
MvSl-1064-A1-R4_MC03g04309	556	709
MvSl-1064-A1-R4_MC03g04310	735	1051
MvSl-1064-A1-R4_MC03g04311	3268	3185
MvSl-1064-A1-R4_MC03g04312	4409	3934
MvSl-1064-A1-R4_MC03g04313	813	815
MvSl-1064-A1-R4_MC03g04314	1922	1479
MvSl-1064-A1-R4_MC03g04315	1732	1876
