gene	MvSlM1	MvSlM2
MvSl-1064-A1-R4_A1g00433	1208	1211
MvSl-1064-A1-R4_A1g00441	875.842	768.427
MvSl-1064-A1-R4_A1g00448	2259	4424
MvSl-1064-A1-R4_A1g00476	186.562	368.468
MvSl-1064-A1-R4_A1g00478	3441.01	3053.04
MvSl-1064-A1-R4_A1g00492	857.691	1132.24
MvSl-1064-A1-R4_A1g00495	2861	2561
MvSl-1064-A1-R4_A1g00506	868	699
MvSl-1064-A1-R4_A1g00507	2301.85	1958.08
MvSl-1064-A1-R4_A1g00508	6514	13549
MvSl-1064-A1-R4_A1g00509	470	605
MvSl-1064-A1-R4_A1g00510	1609	1353
MvSl-1064-A1-R4_A1g00511	3186	2840
MvSl-1064-A1-R4_A1g00512	775	674
MvSl-1064-A1-R4_A1g00513	1405	1226
MvSl-1064-A1-R4_A1g00514	11990	9669
MvSl-1064-A1-R4_A1g00515	497	558
MvSl-1064-A1-R4_A1g00516	4764	5697
MvSl-1064-A1-R4_A1g00518	3163	3105
MvSl-1064-A1-R4_A1g00519	3583	3390
MvSl-1064-A1-R4_A1g00520	1212	1136
MvSl-1064-A1-R4_A1g00521	2262	1507
MvSl-1064-A1-R4_A1g00522	24	17
MvSl-1064-A1-R4_A1g00525	3354	3163
MvSl-1064-A1-R4_A1g00527	1150	1415
MvSl-1064-A1-R4_A1g00528	273	303
MvSl-1064-A1-R4_A1g00530	2727	2155
MvSl-1064-A1-R4_A1g00532	1164	849
MvSl-1064-A1-R4_A1g00533	1596	1462
MvSl-1064-A1-R4_A1g00534	5131	4991
MvSl-1064-A1-R4_A1g00541	2290	1688
MvSl-1064-A1-R4_A1g00542	1240.93	1287.89
MvSl-1064-A1-R4_A1g00543	3857	3091
MvSl-1064-A1-R4_A1g00544	1225	835
MvSl-1064-A1-R4_A1g00545	18	18
MvSl-1064-A1-R4_A1g00567	562.634	609.863
MvSl-1064-A1-R4_A1g00568	759	804
MvSl-1064-A1-R4_A1g00575	3200	4022
MvSl-1064-A1-R4_A1g00591	6288	4571
MvSl-1064-A1-R4_A1g00593	6438	5702
MvSl-1064-A1-R4_A1g00594	925.741	927.323
MvSl-1064-A1-R4_A1g00624	4924	5734
MvSl-1064-A1-R4_A1g00635	195.022	275.203
MvSl-1064-A1-R4_A1g00644	937	858
MvSl-1064-A1-R4_A1g00645	1635	1355
MvSl-1064-A1-R4_A1g00646	5129	5485
MvSl-1064-A1-R4_A1g00647	4863	8064
MvSl-1064-A1-R4_A1g00648	1693	1518
MvSl-1064-A1-R4_A1g00659	313	261
MvSl-1064-A1-R4_A1g00668	5778.8	8195.62
MvSl-1064-A1-R4_A1g00669	1876	1774
MvSl-1064-A1-R4_A1g00678	429.473	311.452
MvSl-1064-A1-R4_A1g00686	66.4448	88.8671
MvSl-1064-A1-R4_A1g00693	3637	3697
MvSl-1064-A1-R4_A1g00694	3704	3549.02
MvSl-1064-A1-R4_A1g00697	1210.94	1412.82
MvSl-1064-A1-R4_A1g00699	74.8175	95.9293
MvSl-1064-A1-R4_A1g00700	126.144	135.841
MvSl-1064-A1-R4_A1g00702	79.9825	64.0662
MvSl-1064-A1-R4_A1g00716	296.99	353.656
MvSl-1064-A1-R4_A1g00718	1810	1205
MvSl-1064-A1-R4_A1g00720	862.19	799.483
MvSl-1064-A1-R4_A1g00732	1873	1868
MvSl-1064-A1-R4_A1g00749	14366	10379
MvSl-1064-A1-R4_A1g00750	2151	1677
MvSl-1064-A1-R4_A1g00751	8049	5886
MvSl-1064-A1-R4_A1g00752	171.553	193.114
MvSl-1064-A1-R4_A1g00755	319.309	422.316
MvSl-1064-A1-R4_A1g00756	9	13
MvSl-1064-A1-R4_A1g00772	487	463
MvSl-1064-A1-R4_A1g00778	1296	1006
MvSl-1064-A1-R4_A1g00779	7853	6523
MvSl-1064-A1-R4_A1g00794	973	895
MvSl-1064-A1-R4_A1g00801	283	345
MvSl-1064-A1-R4_A1g00832	4257	4382
MvSl-1064-A1-R4_A1g00834	10321.5	12360.9
MvSl-1064-A1-R4_A1g00840	3211	3447
MvSl-1064-A1-R4_A1g00841	62	68
MvSl-1064-A1-R4_A1g00842	5034	3605
MvSl-1064-A1-R4_A1g00843	400	276
MvSl-1064-A1-R4_A1g00844	6	15
MvSl-1064-A1-R4_A1g00845	4597	3395
MvSl-1064-A1-R4_A1g00852	0	13.2569
MvSl-1064-A1-R4_A1g00853	4924	4882
MvSl-1064-A1-R4_A1g00854	9457	7163
MvSl-1064-A1-R4_A1g00855	6846	7042
MvSl-1064-A1-R4_A1g00856	3957	3648
MvSl-1064-A1-R4_A1g00869	7101	12088
MvSl-1064-A1-R4_A1g00875	4	4
MvSl-1064-A1-R4_A1g00895	1.6341	1.62325
MvSl-1064-A1-R4_A1g00911	2445	2639
MvSl-1064-A1-R4_A1g00912	1108	1008
MvSl-1064-A1-R4_A1g00913	2559	2258
MvSl-1064-A1-R4_A1g00920	1812	1337
MvSl-1064-A1-R4_A1g00921	4222	5369
MvSl-1064-A1-R4_A1g00922	2468	2444
MvSl-1064-A1-R4_A1g00956	862	1237
MvSl-1064-A1-R4_A1g00957	876	819
MvSl-1064-A1-R4_A1g00958	2301	2443
MvSl-1064-A1-R4_A1g00960	1837	2000
MvSl-1064-A1-R4_A1g00969	134	86
MvSl-1064-A1-R4_A1g00970	3081	2723
MvSl-1064-A1-R4_A1g00971	1474	1893
MvSl-1064-A1-R4_A1g00972	3992	4558
MvSl-1064-A1-R4_A1g00996	2055.19	2065.75
MvSl-1064-A1-R4_A1g00997	1891	2329
MvSl-1064-A1-R4_A1g00998	658	615
MvSl-1064-A1-R4_A1g01009	549.799	499.197
MvSl-1064-A1-R4_A1g01017	8320	6478
MvSl-1064-A1-R4_A1g01038	3148	4098
MvSl-1064-A1-R4_A1g01129	2305	2368
MvSl-1064-A1-R4_A1g01135	2856	3590
MvSl-1064-A1-R4_A1g01136	306	337
MvSl-1064-A1-R4_A1g01137	2483	2465
MvSl-1064-A1-R4_A1g01154	4378	4195
MvSl-1064-A1-R4_A1g01159	3150	3717
MvSl-1064-A1-R4_A1g01160	3522	3308
MvSl-1064-A1-R4_A1g01161	1706	1565
