gene	rich1	rich2	water1	water2	di1	di2
MvSl-1064-A2-R4_A2g00360	0	0	1	12	2	2
MvSl-1064-A2-R4_A2g00361	2.21576	2	12	20	25.7678	28.0395
MvSl-1064-A2-R4_A2g00362	1	2	8	17	76	77
MvSl-1064-A2-R4_A2g00364	21.9034	30.5119	24.5993	13.7906	15.0055	14.9797
MvSl-1064-A2-R4_A2g00385	3	3	15	24	3	7
MvSl-1064-A2-R4_A2g00390	540.276	518.303	98.6989	99	151.123	145.424
MvSl-1064-A2-R4_A2g00396	4	3	12	12	14	14
MvSl-1064-A2-R4_A2g00399	2	0	1	1	1	1
MvSl-1064-A2-R4_A2g00401	690.297	709.836	987.879	823.727	1421.99	1309.83
MvSl-1064-A2-R4_A2g00402	77.7218	116.22	28.5989	15.4337	114.924	174.435
MvSl-1064-A2-R4_A2g00404	173.135	133.024	898.363	1147.53	896.851	859.554
MvSl-1064-A2-R4_A2g00408	2.30576	1.20454	1.3636	3.63537	0	17.5698
MvSl-1064-A2-R4_A2g00411	1.14147	0	0	0	0	0.788221
MvSl-1064-A2-R4_A2g00412	0	0	1	0	0	0
MvSl-1064-A2-R4_A2g00415	228.471	217.403	137.372	193.043	189.559	154.19
MvSl-1064-A2-R4_A2g00419	154	166	164	338	207	155
MvSl-1064-A2-R4_A2g00424	583.81	614.265	382.595	484.668	226.214	336.29
MvSl-1064-A2-R4_A2g00426	5	3	3	3	79.2103	149.495
MvSl-1064-A2-R4_A2g00427	4.00136	3.00153	6.00421	12.0364	1.00208	3.00954
MvSl-1064-A2-R4_A2g00428	0	0	0	3	1	0
MvSl-1064-A2-R4_A2g00429	1	3	8.00608	19.0081	5	1
MvSl-1064-A2-R4_A2g00430	164.163	170.201	261	228.183	195	176.113
MvSl-1064-A2-R4_A2g00433	1034	1125	1458	1361	750	694
MvSl-1064-A2-R4_A2g00436	5.02152	9.03673	19.5421	11.0901	3.01532	1.00095
MvSl-1064-A2-R4_A2g00438	63.5417	72.759	158.579	138.489	72.3016	89.5547
MvSl-1064-A2-R4_A2g00449	95.4133	63.5932	76.9899	147.791	44.1302	44.7789
MvSl-1064-A2-R4_A2g00450	6.1712	12	30.8185	50.7735	19.4319	17.7093
MvSl-1064-A2-R4_A2g00452	519.507	413.033	815.477	791.221	740.244	741.106
MvSl-1064-A2-R4_A2g00454	49	41.0957	62.3536	42.4325	40.3863	58.6684
MvSl-1064-A2-R4_A2g00458	15.8927	36.1255	54.1733	54.3751	16.3153	22.5451
MvSl-1064-A2-R4_A2g00459	13	27	35.1245	46	20	27
MvSl-1064-A2-R4_A2g00460	1803.73	1831.85	1453.48	1414.3	1035.38	1083.04
MvSl-1064-A2-R4_A2g00461	43	78.5821	31	53.7062	19	11
MvSl-1064-A2-R4_A2g00483	418.496	858.806	2423.59	2166.71	926.515	1327.32
MvSl-1064-A2-R4_A2g00496	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g00497	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g00502	49	47	448	708	203	116
MvSl-1064-A2-R4_A2g00503	24.8871	31.8933	242.855	410.489	118.919	99.6034
MvSl-1064-A2-R4_A2g00504	32.2692	38.1421	252.909	425.704	140.291	79.3204
MvSl-1064-A2-R4_A2g00509	32.5291	30.1581	79.7451	46.6237	64.492	121.885
MvSl-1064-A2-R4_A2g00510	0	1.0011	8.02136	11.0636	5.34988	5.25863
MvSl-1064-A2-R4_A2g00511	67.7291	58.6304	128.985	155.058	105.774	153.925
MvSl-1064-A2-R4_A2g00512	8.43727	8.03178	18.1789	32.9077	26.3383	35.1454
MvSl-1064-A2-R4_A2g00518	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g00523	2.5912	3.14518	5.54517	5.28783	3.38069	0
MvSl-1064-A2-R4_A2g00524	0	0	4.22306	10.3619	2	3.10855
MvSl-1064-A2-R4_A2g00538	519.874	1642.71	627.942	282.888	279.772	197.433
MvSl-1064-A2-R4_A2g00540	49.9271	113.597	54.212	71.1205	48.232	76.1901
MvSl-1064-A2-R4_A2g00541	70.8352	37	213.257	144.555	137.248	74.4796
MvSl-1064-A2-R4_A2g00542	245.156	210.264	505.118	502.27	633.05	554.516
MvSl-1064-A2-R4_A2g00546	121.762	184.255	212.716	257.373	186.617	160.156
MvSl-1064-A2-R4_A2g00548	280	387	733	937	463	674
MvSl-1064-A2-R4_A2g00550	53	79	290	284	350	308
MvSl-1064-A2-R4_A2g00554	27.5142	66.0034	126.797	207.856	28.5453	29.3327
MvSl-1064-A2-R4_A2g00564	1097.7	1098.71	987.022	927.419	526.068	565.487
MvSl-1064-A2-R4_A2g00572	3.66365	1.20229	99.3467	153.98	42.0057	47.6284
MvSl-1064-A2-R4_A2g00574	15.3488	6.00431	32.0397	44.353	25.191	33.4764
MvSl-1064-A2-R4_A2g00588	29.1436	33.2818	15.4108	43.3515	14.4298	19.5673
MvSl-1064-A2-R4_A2g00590	0	0	1	1	0	0
MvSl-1064-A2-R4_A2g00594	393.546	590.57	78.7854	109.421	44.0585	50.9412
MvSl-1064-A2-R4_A2g00595	147.908	99.061	106.251	91.2466	55.3131	50.3093
MvSl-1064-A2-R4_A2g00598	263.591	254.328	124.381	155.015	94.2324	138.753
MvSl-1064-A2-R4_A2g00607	398.578	538.484	474.72	538.579	287.491	258.757
MvSl-1064-A2-R4_A2g00612	81	145	97	98	63	105
MvSl-1064-A2-R4_A2g00620	0	2.95075	0	0	0	0
MvSl-1064-A2-R4_A2g00623	0	0	1	0	10	1
MvSl-1064-A2-R4_A2g00625	18	21	554	1812	183	281
MvSl-1064-A2-R4_A2g00626	0	0	0	3.27378	1.10457	0
MvSl-1064-A2-R4_A2g00627	4.16376	8.55845	68.2227	87.3176	275.782	326.719
MvSl-1064-A2-R4_A2g00628	1.03844	1.01229	7	13	23.6642	26.2573
MvSl-1064-A2-R4_A2g00629	35.8485	24.9828	46.8548	61.2403	47.8612	92.2844
MvSl-1064-A2-R4_A2g00631	1.12848	2.26535	0.476456	0	5.16966	0.582933
MvSl-1064-A2-R4_A2g00634	0	3.02305	0	0	0	0
