gene	rich1	rich2	water1	water2	di1	di2
MvSl-1064-A2-R4_A2g01174	59.3546	75.9327	27.091	11.2792	26.5624	16.5534
MvSl-1064-A2-R4_A2g01175	0	0	0	0.0298812	0	0
MvSl-1064-A2-R4_A2g01176	5314.97	4612.47	2344.11	1978.12	1318.27	1127.85
MvSl-1064-A2-R4_A2g01177	2894.93	2465.22	3087.61	2426.54	2166.6	2699
MvSl-1064-A2-R4_A2g01178	1590.95	1454.47	1011.63	806.579	519.611	539.337
MvSl-1064-A2-R4_A2g01183	6	7	7	12.1085	6	2
MvSl-1064-A2-R4_A2g01184	5	1	18	15	5	3.06744
MvSl-1064-A2-R4_A2g01185	57	41.9737	317.377	331.492	201.111	224.345
MvSl-1064-A2-R4_A2g01195	3	5	19.2113	16.0297	13	10.0312
MvSl-1064-A2-R4_A2g01199	452.499	363.556	1217.91	1085.78	627.617	578.871
MvSl-1064-A2-R4_A2g01200	18	7	2	2	1	1
MvSl-1064-A2-R4_A2g01205	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g01206	0	0	4.04289	2.02333	4.01757	3.11109
MvSl-1064-A2-R4_A2g01207	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g01208	44.4315	47.3507	96.9748	153.397	82.0866	88.8814
MvSl-1064-A2-R4_A2g01211	2.97718	0.938401	1.50566	1.12617	2.23438	3.41069
MvSl-1064-A2-R4_A2g01212	14.6527	15.8576	30.3142	62.225	19.0792	21.5019
MvSl-1064-A2-R4_A2g01216	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g01218	7.82527	2.24537	3.32704	7.99818	0	3.26374
MvSl-1064-A2-R4_A2g01220	0	2.41162	29.4964	27.5211	24.9997	49.0537
MvSl-1064-A2-R4_A2g01221	19.1731	22.5801	39.4001	85.2556	9.90306	13.2241
MvSl-1064-A2-R4_A2g01222	279.93	299.083	596.284	659.649	453.421	355.991
MvSl-1064-A2-R4_A2g01224	291.829	318.732	254.132	451.67	221.201	176.424
MvSl-1064-A2-R4_A2g01225	186.36	205.535	173.149	225.095	198.111	244.061
MvSl-1064-A2-R4_A2g01229	44.5954	40.2304	40.3735	70.7165	40.0718	45.1268
MvSl-1064-A2-R4_A2g01234	1	3	7.26875	10.1833	1.07288	5.35569
MvSl-1064-A2-R4_A2g01236	3.57122	11.1902	18.919	36.9782	13.9741	4.90915
MvSl-1064-A2-R4_A2g01239	0	1.34282	10.4435	21.3792	9.8621	2.76722
MvSl-1064-A2-R4_A2g01245	65	145	105	96	21	25
MvSl-1064-A2-R4_A2g01248	22.8653	10.5059	18.5595	14.4744	14.6357	19.229
MvSl-1064-A2-R4_A2g01251	220.122	149.036	504.016	485.659	464.386	456.314
MvSl-1064-A2-R4_A2g01254	92.7783	147.686	170.422	164.795	97.2391	116.276
MvSl-1064-A2-R4_A2g01255	1321.74	1549.25	1331.71	1271.37	1249.16	1300
MvSl-1064-A2-R4_A2g01257	129.533	114.29	110.532	108.37	116.102	142.328
MvSl-1064-A2-R4_A2g01263	223.108	225.752	151.311	222.634	172.909	139.755
MvSl-1064-A2-R4_A2g01272	23	11	154	212	486	429
MvSl-1064-A2-R4_A2g01281	174	193	141	165	329	458
MvSl-1064-A2-R4_A2g01282	526.813	777	213	331.349	180	239
MvSl-1064-A2-R4_A2g01283	121	131	72	92	64.348	64
MvSl-1064-A2-R4_A2g01290	1.21547	9.8047	4.6695	6.828	3.62848	2.46404
MvSl-1064-A2-R4_A2g01297	58.4598	41.4279	773.903	1343.82	129.749	168.668
MvSl-1064-A2-R4_A2g01298	56	52	148	166	96.5899	114
MvSl-1064-A2-R4_A2g01300	20	13	32	56	31.0234	26.0363
MvSl-1064-A2-R4_A2g01302	1	0	17.0263	30.0327	2.10232	9.97016
MvSl-1064-A2-R4_A2g01303	8	9	21	35	9	15
MvSl-1064-A2-R4_A2g01304	189	182	144	210	58.3602	105.31
MvSl-1064-A2-R4_A2g01307	16	10	9	15	3	1.1523
MvSl-1064-A2-R4_A2g01318	0	1.01286	1.025	2.04866	1.05004	0
MvSl-1064-A2-R4_A2g01324	1026.69	858.715	600.554	637.333	450.662	545.494
MvSl-1064-A2-R4_A2g01325	0	0	1	3	1.10028	0
MvSl-1064-A2-R4_A2g01327	68.1653	40.8915	193.465	203.194	128.989	163.137
MvSl-1064-A2-R4_A2g01330	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g01336	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g01339	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g01340	0	0	0	0	1.9915	0
MvSl-1064-A2-R4_A2g01342	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g01344	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g01345	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g01348	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g01351	0	0	1.52271	9.30289	2.40608	3.59639
MvSl-1064-A2-R4_A2g01353	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g01354	0	1.84823	0	2.31933	0	0
MvSl-1064-A2-R4_A2g01363	4.08765	3.16972	4.03633	8.84213	10.1387	17.1424
MvSl-1064-A2-R4_A2g01367	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g01372	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g01373	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g01374	0	0	0	0	1	0
MvSl-1064-A2-R4_A2g01375	3.02049	3.0339	3.00895	2.00608	2.02927	4.03496
MvSl-1064-A2-R4_A2g01377	1.68917	8.41176	11.8201	15.7066	1.95008	0
MvSl-1064-A2-R4_A2g01380	0	0	10	16.5092	3	3.03273
MvSl-1064-A2-R4_A2g01382	1769	1561	2408	2814	2732	2528
MvSl-1064-A2-R4_A2g01385	131.157	141.121	47.1424	56.7331	50.9975	27.7729
MvSl-1064-A2-R4_A2g01386	25.7061	17.4962	109.5	74.8917	57.6629	72.5656
MvSl-1064-A2-R4_A2g01389	202.771	201.022	917.797	805.443	905.025	921.76
MvSl-1064-A2-R4_A2g01391	52	44	3	5	45	47
MvSl-1064-A2-R4_A2g01398	0	0	0	1.06588	0	0
MvSl-1064-A2-R4_A2g01399	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g01405	248.383	341.039	333.004	390.461	194.994	223.351
MvSl-1064-A2-R4_A2g01406	96	106.729	255.761	430.511	174.462	177.329
MvSl-1064-A2-R4_A2g01407	341.86	250.231	1081.86	1305.01	1063.34	1320.06
MvSl-1064-A2-R4_A2g01408	8	5	151.166	334.456	64.3655	101.35
MvSl-1064-A2-R4_A2g01418	18.4707	30.7826	11.1082	19.3349	7.37165	6.10705
MvSl-1064-A2-R4_A2g01420	1750.11	1435.99	765.92	702.576	461.088	459.639
MvSl-1064-A2-R4_A2g01422	41.9466	32.4066	17.5933	23.2203	29.0493	35.2751
MvSl-1064-A2-R4_A2g01425	52.76	30.821	63.2978	88.2229	58.3049	66.3515
MvSl-1064-A2-R4_A2g01429	4	8	5	13.0057	48.04	60.0789
MvSl-1064-A2-R4_A2g01438	13.6672	3.42594	0	0	2.63822	0.161326
MvSl-1064-A2-R4_A2g01446	880	722	599	555	291	335
MvSl-1064-A2-R4_A2g01448	124.617	85.6177	57.899	87.2053	30.4214	40.583
MvSl-1064-A2-R4_A2g01449	99	102	112	118.049	100.64	194.819
MvSl-1064-A2-R4_A2g01451	1342.36	1402.42	4157.91	3988.37	1781	3603.81
MvSl-1064-A2-R4_A2g01460	3.86254	2.41388	1.05749	7.10232	5.85312	4.51267
MvSl-1064-A2-R4_A2g01466	10.2057	13.1469	11.3503	16.3628	4.13978	10.5028
MvSl-1064-A2-R4_A2g01467	4	3	6	10	0	2
MvSl-1064-A2-R4_A2g01474	3.28932	5.29488	9.50897	7.57147	6.3452	7.24955
MvSl-1064-A2-R4_A2g01475	84.9349	76.8745	76.3342	65.4091	69.5734	82.6464
MvSl-1064-A2-R4_A2g01476	59.9261	55.1472	85.0384	100.001	374.11	458.862
MvSl-1064-A2-R4_A2g01479	33	36	7	11	13	22
MvSl-1064-A2-R4_A2g01481	13	25	88	105	51	49
MvSl-1064-A2-R4_A2g01482	47.0239	58.0701	298.408	314.268	182.206	156.94
MvSl-1064-A2-R4_A2g01483	211.63	205.798	609.378	1004.26	553.783	658.966
MvSl-1064-A2-R4_A2g01484	39	38	221	327	235.835	276
MvSl-1064-A2-R4_A2g01485	8.97474	5.86169	83.7431	125.771	53.4372	55.0922
MvSl-1064-A2-R4_A2g01487	0	0	0	2	0	0
MvSl-1064-A2-R4_A2g01488	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g01489	11883.6	11442.3	10604.3	13985.9	4712.29	6269.55
MvSl-1064-A2-R4_A2g01492	38.5926	43.7299	125.985	109.741	101.078	164.751
MvSl-1064-A2-R4_A2g01493	31.123	130.458	198.086	168.827	246.478	379.644
MvSl-1064-A2-R4_A2g01496	4.75694	4.03313	27.8732	27.5414	10.6162	29.2142
MvSl-1064-A2-R4_A2g01498	66.6897	124.124	520.809	435.665	129.968	130.858
MvSl-1064-A2-R4_A2g01499	0	0	1	0	0	0
MvSl-1064-A2-R4_A2g01500	7.17426	8.13264	8.89904	14.0663	10.453	7.34011
MvSl-1064-A2-R4_A2g01501	0	0	0	0	2.78972	0
MvSl-1064-A2-R4_A2g01508	12.4213	5.27198	26.1461	42.9252	11.3245	20.4598
MvSl-1064-A2-R4_A2g01517	228	266	312	607	171	158
MvSl-1064-A2-R4_A2g01518	86.3575	93.0202	152.102	196.453	89.1407	113.223
MvSl-1064-A2-R4_A2g01524	0	2	3.10161	3.9559	8.41637	17.3696
MvSl-1064-A2-R4_A2g01528	0	0	0	5.0591	3.09879	3.39535
MvSl-1064-A2-R4_A2g01533	5.77489	7.93471	24.8824	41.9134	8.94464	16.7991
MvSl-1064-A2-R4_A2g01539	280.277	197.603	48.8043	51.9236	44.6054	60.8664
MvSl-1064-A2-R4_A2g01540	8.28886	31.5931	10.1131	8.18291	3.4305	2.65217
MvSl-1064-A2-R4_A2g01541	17.495	31.808	5.18056	10.1758	1	0
MvSl-1064-A2-R4_A2g01542	40.4956	74	184.405	121.713	108.391	88.9488
MvSl-1064-A2-R4_A2g01550	0	0	7.53653	16.4932	1.04203	0
MvSl-1064-A2-R4_A2g01551	10.8327	7.10041	3.41423	1.22632	3.18787	7.08413
MvSl-1064-A2-R4_A2g01552	12.3267	7.20476	8.27349	12.5956	8.74791	12.2328
MvSl-1064-A2-R4_A2g01553	47.9038	41.9626	73.8358	63.2047	69.7879	70.0982
MvSl-1064-A2-R4_A2g01560	392.117	497.946	591.734	656.83	445.902	397.834
MvSl-1064-A2-R4_A2g01567	178.755	153.911	253.263	244.347	194.528	204.323
MvSl-1064-A2-R4_A2g01568	4.04327	1.00835	3.11413	6.38784	1.06535	3.97029
MvSl-1064-A2-R4_A2g01570	666	595	228	411	497	396
MvSl-1064-A2-R4_A2g01571	56	51	24	25	64	52
MvSl-1064-A2-R4_A2g01573	2.18185	7.53556	1.33918	3.1992	6.6975	2.21615
MvSl-1064-A2-R4_A2g01574	7	3.16843	96.8467	178.41	18.241	50.3385
MvSl-1064-A2-R4_A2g01576	379	552	45	96	152	102
MvSl-1064-A2-R4_A2g01581	53.8558	71.4298	57.8256	74.7714	25.1199	34.9846
MvSl-1064-A2-R4_A2g01587	0	0	2	2	79.9997	162.841
MvSl-1064-A2-R4_A2g01591	0	0	1	3	17.3908	8.12229
MvSl-1064-A2-R4_A2g01592	19.8641	21.9254	13.8655	15.1783	23.6836	32.163
MvSl-1064-A2-R4_A2g01593	5.34836	1.10123	2.1653	4.22679	73.5977	86.8545
MvSl-1064-A2-R4_A2g01597	0	0	5	5	1	1
MvSl-1064-A2-R4_A2g01598	0	4.00702	5.36745	13.6574	0.51181	2.5453
MvSl-1064-A2-R4_A2g01603	204.56	149.895	2420.77	3109.78	839.453	1322.66
MvSl-1064-A2-R4_A2g01611	1008.04	1085.69	2322.31	3151.33	626.435	486.374
MvSl-1064-A2-R4_A2g01616	7	11.0215	54.0211	80.0385	203.252	172.174
MvSl-1064-A2-R4_A2g01630	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g01641	3355	2790	4454	4916	4899	4932
MvSl-1064-A2-R4_A2g01645	77.368	36.7512	59.9032	62.6385	12.3826	12.7887
MvSl-1064-A2-R4_A2g01647	0	3.41726	0.606027	0	0	0
MvSl-1064-A2-R4_A2g01654	142.585	107.263	148.719	210.905	236.663	278.118
MvSl-1064-A2-R4_A2g01655	380.117	385.721	279.948	308.284	148.223	163.659
MvSl-1064-A2-R4_A2g01659	12	14.3145	0	0	1.27843	1.27357
MvSl-1064-A2-R4_A2g01660	13.8518	11.4218	0	1.46574	0	2.38568
MvSl-1064-A2-R4_A2g01661	80.1223	88.8891	71.9869	130.861	63.0671	63.1451
MvSl-1064-A2-R4_A2g01671	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g01676	269.003	351.356	65.1795	59.0473	93.0449	82.6763
MvSl-1064-A2-R4_A2g01677	4.37593	9.66167	1.4665	0	2.55825	0
MvSl-1064-A2-R4_A2g01683	419.782	396.777	777.46	751.831	498.507	563.861
MvSl-1064-A2-R4_A2g01685	472.486	647.419	382.829	253.615	248.86	241.399
MvSl-1064-A2-R4_A2g01689	556.592	673.557	563.596	528.417	711.006	689.426
MvSl-1064-A2-R4_A2g01690	4	7	14	3	3	2.02321
MvSl-1064-A2-R4_A2g01691	50.9708	46.1355	54.2834	33.2636	25.9775	34.7169
MvSl-1064-A2-R4_A2g01696	755.099	760.8	1061.29	948.691	701.264	564.786
MvSl-1064-A2-R4_A2g01699	200.573	131.895	137.183	195.532	139.409	203.536
MvSl-1064-A2-R4_A2g01702	3.00945	1	17.1209	20.0283	48.8716	81.6599
MvSl-1064-A2-R4_A2g01703	6	2	0	3.08319	53.6557	96.6995
MvSl-1064-A2-R4_A2g01704	13.0513	10.0254	21.0752	28.0859	24.9273	45.4465
MvSl-1064-A2-R4_A2g01707	0	0	4.68473	14.3757	0	0
MvSl-1064-A2-R4_A2g01708	0	0	9.71451	95.7464	4.46413	3.43184
MvSl-1064-A2-R4_A2g01709	7	11.0119	37.0495	117	14.9073	4.07443
MvSl-1064-A2-R4_A2g01712	7.24286	37.673	16.9637	47.5788	2.74658	3.45485
MvSl-1064-A2-R4_A2g01714	61.2049	55.9934	298.207	407.877	179.629	247.538
MvSl-1064-A2-R4_A2g01716	0	0	1.1044	1.03849	1.1334	2.35144
MvSl-1064-A2-R4_A2g01717	9.94357	0	2.54774	2.93349	88.2076	100.67
MvSl-1064-A2-R4_A2g01718	49	53	261.671	345.72	188.291	413.22
MvSl-1064-A2-R4_A2g01722	70.5415	86.2215	221.287	214.195	143.751	323.867
MvSl-1064-A2-R4_A2g01723	13.1312	23.3435	66.5642	72.8433	69.5553	112.383
MvSl-1064-A2-R4_A2g01726	0	1.07206	0	1.03555	1.09752	2.06326
MvSl-1064-A2-R4_A2g01727	0	0	0	2	0	0
MvSl-1064-A2-R4_A2g01730	1.30867	1	98.2248	164.228	7	13
MvSl-1064-A2-R4_A2g01731	1	1	7	10.3253	0	1
MvSl-1064-A2-R4_A2g01733	309.142	587.402	2047.06	1649.5	613.055	1044.58
MvSl-1064-A2-R4_A2g01735	126.619	148.907	172.112	311.25	261.472	277.699
MvSl-1064-A2-R4_A2g01738	12.023	0	16.2761	33.3991	21.8976	18.5609
MvSl-1064-A2-R4_A2g01740	483.237	430.198	1364.09	1363.55	973.184	1088.11
MvSl-1064-A2-R4_A2g01741	222.245	220.787	484.432	657.041	397.08	431.572
MvSl-1064-A2-R4_A2g01742	6.22719	0	1.01375	2.06656	0	1.03443
MvSl-1064-A2-R4_A2g01743	0.0112384	19.2833	3.87473	1.94E-05	0	0.106911
MvSl-1064-A2-R4_A2g01744	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g01746	110.561	173.116	310.504	260.29	166.857	146.467
MvSl-1064-A2-R4_A2g01748	14.8722	7.95765	0	2.17799	0	1.12954
MvSl-1064-A2-R4_A2g01749	0.000173614	0	0	0	3.23762	0
MvSl-1064-A2-R4_A2g01750	3.51635	0	0	1.37756	11.9258	7.95328
