gene	haploid	cdslength	protleng	chr	chr1	DE_status	DE_status2	mean_exp
MvSl-1064-A1-R4_MC11g10654	A1	609	78	aAutosome	aAutosome	Down	DE	0.976639
MvSl-1064-A1-R4_MC14g11804	A1	1665	479	aAutosome	aAutosome	Down	DE	7.47689
MvSl-1064-A1-R4_MC10-1g09730	A1	1866	443	aAutosome	aAutosome	Down	DE	3.33667
MvSl-1064-A1-R4_MC05-2g06485	A1	3982	1074	aAutosome	aAutosome	Down	DE	0.290143
MvSl-1064-A1-R4_A1g01515	A1	210	69	bPAR	bPAR	Down	DE	4.63554
MvSl-1064-A1-R4_MC11g10722	A1	957	151	aAutosome	aAutosome	Down	DE	4.2188
MvSl-1064-A1-R4_MC09-2g09541	A1	2132	540	aAutosome	aAutosome	Down	DE	6.08845
MvSl-1064-A1-R4_MC12g11112	A1	2479	615	aAutosome	aAutosome	Down	DE	9.03534
MvSl-1064-A1-R4_MC02g03606	A1	6578	2051	aAutosome	aAutosome	Down	DE	6.5833
MvSl-1064-A1-R4_A1g00956	A1	2384	766	faBlack	NRR	Down	DE	5.00345
MvSl-1064-A1-R4_MC02g03274	A1	1021	171	aAutosome	aAutosome	Down	DE	2.05558
MvSl-1064-A1-R4_MC08g08835	A1	1856	511	aAutosome	aAutosome	Down	DE	-0.364397
MvSl-1064-A1-R4_MC11g10629	A1	198	65	aAutosome	aAutosome	Down	DE	0.406461
MvSl-1064-A1-R4_MC02g03373	A1	737	133	aAutosome	aAutosome	Down	DE	2.42999
MvSl-1064-A1-R4_MC11g10255	A1	915	145	aAutosome	aAutosome	Down	DE	5.35155
MvSl-1064-A1-R4_MC11g10508	A1	4002	1220	aAutosome	aAutosome	Down	DE	1.19518
MvSl-1064-A1-R4_MC04-1g06004	A1	186	61	aAutosome	aAutosome	Down	DE	1.62451
MvSl-1064-A1-R4_MC13g11715	A1	922	200	aAutosome	aAutosome	Down	DE	5.33312
MvSl-1064-A1-R4_MC05-2g06461	A1	1421	401	aAutosome	aAutosome	Down	DE	1.86227
MvSl-1064-A1-R4_MC01-1g02725	A1	952	295	aAutosome	aAutosome	Down	DE	3.84516
MvSl-1064-A1-R4_MC12g10779	A1	326	76	aAutosome	aAutosome	Down	DE	4.75143
MvSl-1064-A1-R4_MC01-1g02046	A1	318	105	aAutosome	aAutosome	Down	DE	2.54124
MvSl-1064-A1-R4_MC13g11418	A1	923	289	aAutosome	aAutosome	Down	DE	2.3936
MvSl-1064-A1-R4_A1g01358	A1	520	154	faBlack	NRR	Down	DE	1.34116
MvSl-1064-A1-R4_MC01-1g02422	A1	196	50	aAutosome	aAutosome	Down	DE	1.67394
MvSl-1064-A1-R4_MC02g04206	A1	1825	535	aAutosome	aAutosome	Down	DE	0.62111
MvSl-1064-A1-R4_MC06g07471	A1	2754	590	aAutosome	aAutosome	Down	DE	2.20893
MvSl-1064-A1-R4_MC04-1g05801	A1	956	171	aAutosome	aAutosome	Down	DE	3.15665
MvSl-1064-A1-R4_MC11g10231	A1	769	201	aAutosome	aAutosome	Down	DE	1.23139
MvSl-1064-A1-R4_MC04-1g05858	A1	2688	859	aAutosome	aAutosome	Down	DE	4.17134
MvSl-1064-A1-R4_MC02g04109	A1	354	117	aAutosome	aAutosome	Down	DE	3.11149
MvSl-1064-A1-R4_MC09-2g09380	A1	1326	357	aAutosome	aAutosome	Down	DE	4.16675
MvSl-1064-A1-R4_MC04-1g06041	A1	1643	404	aAutosome	aAutosome	Down	DE	4.45775
MvSl-1064-A1-R4_MC13g11416	A1	318	105	aAutosome	aAutosome	Down	DE	0.946573
MvSl-1064-A1-R4_MC01-1g02753	A1	156	51	aAutosome	aAutosome	Down	DE	2.57634
MvSl-1064-A1-R4_MC02g03922	A1	2763	778	aAutosome	aAutosome	Down	DE	3.53242
MvSl-1064-A1-R4_MC06g07191	A1	5229	776	aAutosome	aAutosome	Down	DE	4.47835
MvSl-1064-A1-R4_A1g00112	A1	620	107	cGreen	NRR	Down	DE	2.22216
MvSl-1064-A1-R4_MC06g07420	A1	273	90	aAutosome	aAutosome	Down	DE	1.84129
MvSl-1064-A1-R4_MC01-2g03005	A1	4178	1247	aAutosome	aAutosome	Down	DE	6.82674
MvSl-1064-A1-R4_MC09-2g09507	A1	186	61	aAutosome	aAutosome	Down	DE	1.62829
MvSl-1064-A1-R4_MC02g04224	A1	1814	424	aAutosome	aAutosome	Down	DE	4.53782
MvSl-1064-A1-R4_A1g01432	A1	841	167	fBlue	NRR	Down	DE	4.06789
MvSl-1064-A1-R4_MC05-1g06258	A1	210	69	aAutosome	aAutosome	Down	DE	2.92513
MvSl-1064-A1-R4_A1g00923	A1	312	103	faBlack	NRR	Down	DE	3.10884
MvSl-1064-A1-R4_MC10-1g09732	A1	2407	578	aAutosome	aAutosome	Down	DE	3.98561
MvSl-1064-A1-R4_MC10-2g10125	A1	2001	358	aAutosome	aAutosome	Down	DE	2.05935
MvSl-1064-A1-R4_MC10-2g09980	A1	551	137	aAutosome	aAutosome	Down	DE	2.81978
MvSl-1064-A1-R4_MC11g10248	A1	1670	408	aAutosome	aAutosome	Down	DE	3.17413
MvSl-1064-A1-R4_A1g01347	A1	6825	2125	faBlack	NRR	Down	DE	6.26581
MvSl-1064-A1-R4_MC13g11714	A1	192	63	aAutosome	aAutosome	Down	DE	4.14176
MvSl-1064-A1-R4_MC07g07592	A1	245	53	aAutosome	aAutosome	Down	DE	2.49194
MvSl-1064-A1-R4_MC08g08447	A1	183	60	aAutosome	aAutosome	Down	DE	2.90987
MvSl-1064-A1-R4_MC14g11772	A1	237	78	aAutosome	aAutosome	Down	DE	2.62621
MvSl-1064-A1-R4_MC10-2g09962	A1	309	102	aAutosome	aAutosome	Down	DE	2.29582
MvSl-1064-A1-R4_MC09-2g09506	A1	455	124	aAutosome	aAutosome	Down	DE	2.82949
MvSl-1064-A1-R4_MC03g04831	A1	403	92	aAutosome	aAutosome	Down	DE	2.9569
MvSl-1064-A1-R4_A1g00718	A1	1526	460	faBlack	NRR	Down	DE	4.61018
MvSl-1064-A1-R4_MC08g08762	A1	886	280	aAutosome	aAutosome	Down	DE	5.38893
MvSl-1064-A1-R4_MC01-1g02769	A1	1180	363	aAutosome	aAutosome	Down	DE	3.39906
MvSl-1064-A1-R4_MC08g08498	A1	1595	250	aAutosome	aAutosome	Down	DE	8.31837
MvSl-1064-A1-R4_MC02g03327	A1	1152	276	aAutosome	aAutosome	Down	DE	4.24192
MvSl-1064-A1-R4_MC04-1g05592	A1	1380	347	aAutosome	aAutosome	Down	DE	4.16108
MvSl-1064-A1-R4_MC11g10369	A1	2487	750	aAutosome	aAutosome	Down	DE	4.59198
MvSl-1064-A1-R4_MC04-1g05308	A1	2179	699	aAutosome	aAutosome	Down	DE	3.72252
MvSl-1064-A1-R4_MC02g03205	A1	2261	634	aAutosome	aAutosome	Down	DE	5.60122
MvSl-1064-A1-R4_MC10-1g09727	A1	222	73	aAutosome	aAutosome	Down	DE	4.55634
MvSl-1064-A1-R4_MC04-1g05677	A1	174	57	aAutosome	aAutosome	Down	DE	4.87663
MvSl-1064-A1-R4_MC12g10792	A1	1212	287	aAutosome	aAutosome	Down	DE	8.21309
MvSl-1064-A1-R4_MC01-1g02764	A1	3235	580	aAutosome	aAutosome	Down	DE	7.55118
MvSl-1064-A1-R4_MC14g11916	A1	2543	484	aAutosome	aAutosome	Down	DE	4.34294
MvSl-1064-A1-R4_MC13g11325	A1	1231	263	aAutosome	aAutosome	Down	DE	4.35385
MvSl-1064-A1-R4_MC05-2g06481	A1	2793	784	aAutosome	aAutosome	Down	DE	4.15891
MvSl-1064-A1-R4_A1g01376	A1	3313	840	faBlack	NRR	Down	DE	6.37736
MvSl-1064-A1-R4_MC10-2g10108	A1	3243	1019	aAutosome	aAutosome	Down	DE	4.52132
MvSl-1064-A1-R4_MC01-2g03070	A1	924	231	aAutosome	aAutosome	Down	DE	3.75722
MvSl-1064-A1-R4_MC13g11584	A1	2599	640	aAutosome	aAutosome	Down	DE	3.93702
MvSl-1064-A1-R4_MC10-2g10116	A1	1908	401	aAutosome	aAutosome	Down	DE	5.19409
MvSl-1064-A1-R4_MC03g04760	A1	866	139	aAutosome	aAutosome	Down	DE	4.06983
MvSl-1064-A1-R4_MC06g07527	A1	2446	735	aAutosome	aAutosome	Down	DE	5.40024
MvSl-1064-A1-R4_MC14g11775	A1	2171	625	aAutosome	aAutosome	Down	DE	4.18774
MvSl-1064-A1-R4_A1g00246	A1	1381	344	faBlack	NRR	Down	DE	5.84973
MvSl-1064-A1-R4_MC10-2g10050	A1	854	229	aAutosome	aAutosome	Down	DE	6.77851
MvSl-1064-A1-R4_MC02g03617	A1	1798	499	aAutosome	aAutosome	Down	DE	4.76733
MvSl-1064-A1-R4_MC01-2g03146	A1	599	71	aAutosome	aAutosome	Down	DE	5.30689
MvSl-1064-A1-R4_MC01-1g02779	A1	717	133	aAutosome	aAutosome	Down	DE	5.37687
MvSl-1064-A1-R4_A1g00073	A1	1451	375	bPAR	bPAR	Down	DE	4.57478
MvSl-1064-A1-R4_MC02g03229	A1	5028	1349	aAutosome	aAutosome	Down	DE	4.25007
MvSl-1064-A1-R4_MC06g06943	A1	2333	548	aAutosome	aAutosome	Down	DE	5.47918
MvSl-1064-A1-R4_MC08g08472	A1	732	177	aAutosome	aAutosome	Down	DE	5.42517
MvSl-1064-A1-R4_MC08g08445	A1	3494	687	aAutosome	aAutosome	Down	DE	4.88316
MvSl-1064-A1-R4_MC01-1g02763	A1	1829	379	aAutosome	aAutosome	Down	DE	8.30398
MvSl-1064-A1-R4_A1g00854	A1	3480	900	gPurple	NRR	Down	DE	7.50358
MvSl-1064-A1-R4_MC07g07612	A1	1201	268	aAutosome	aAutosome	Down	DE	6.54829
MvSl-1064-A1-R4_MC02g04208	A1	352	90	aAutosome	aAutosome	Down	DE	4.32214
MvSl-1064-A1-R4_MC10-2g10037	A1	258	85	aAutosome	aAutosome	Down	DE	5.71593
MvSl-1064-A1-R4_MC03g05112	A1	2301	673	aAutosome	aAutosome	Down	DE	5.22058
MvSl-1064-A1-R4_MC13g11692	A1	1914	460	aAutosome	aAutosome	Down	DE	4.8378
