target_id	a1s1	a1s2
MvSl-1064-A1-R4_A1g00281	1156	1398
MvSl-1064-A1-R4_A1g00283	22.9285	39.3155
MvSl-1064-A1-R4_A1g00290	2912	2464
MvSl-1064-A1-R4_A1g00292	3171	2554
MvSl-1064-A1-R4_A1g00307	2291	1932
MvSl-1064-A1-R4_A1g00311	4602	4973
MvSl-1064-A1-R4_A1g00312	14737	9920
MvSl-1064-A1-R4_A1g00316	138.036	176.799
MvSl-1064-A1-R4_A1g00326	0	0
MvSl-1064-A1-R4_A1g00327	337	330
MvSl-1064-A1-R4_A1g00328	192	121
MvSl-1064-A1-R4_A1g00349	9721	12086
MvSl-1064-A1-R4_A1g00350	350	306
MvSl-1064-A1-R4_A1g00351	1366	1746
MvSl-1064-A1-R4_A1g00352	807	614
MvSl-1064-A1-R4_A1g00359	8885	7526
MvSl-1064-A1-R4_A1g00367	371	342
MvSl-1064-A1-R4_A1g00368	1612	1241
MvSl-1064-A1-R4_A1g00369	2869	2379
MvSl-1064-A1-R4_A1g00370	1660	1605
MvSl-1064-A1-R4_A1g00371	1936	1938
MvSl-1064-A1-R4_A1g00372	3018	2788
MvSl-1064-A1-R4_A1g00373	1012	690
MvSl-1064-A1-R4_A1g00374	3430	4451
MvSl-1064-A1-R4_A1g00375	215.806	254.171
MvSl-1064-A1-R4_A1g00379	80	93
MvSl-1064-A1-R4_A1g00380	1735	1589
MvSl-1064-A1-R4_A1g00383	39	77
MvSl-1064-A1-R4_A1g00384	1	1
MvSl-1064-A1-R4_A1g00389	496	546
MvSl-1064-A1-R4_A1g00390	623	677
MvSl-1064-A1-R4_A1g00391	1597	1763
MvSl-1064-A1-R4_A1g00392	0	1
MvSl-1064-A1-R4_A1g00393	1	2
MvSl-1064-A1-R4_A1g00394	1763	1186
MvSl-1064-A1-R4_A1g00395	5924	6198
MvSl-1064-A1-R4_A1g00396	4234	3433
MvSl-1064-A1-R4_A1g00397	13503	9259
MvSl-1064-A1-R4_A1g00398	5722	4919
MvSl-1064-A1-R4_A1g00399	5936	3696
MvSl-1064-A1-R4_A1g00400	633	749
MvSl-1064-A1-R4_A1g00401	4599	2470
MvSl-1064-A1-R4_A1g00402	1562	1876
MvSl-1064-A1-R4_A1g00403	2503	2207
MvSl-1064-A1-R4_A1g00404	135	145
MvSl-1064-A1-R4_A1g00405	729	453
MvSl-1064-A1-R4_A1g00406	910	740
MvSl-1064-A1-R4_A1g00407	1944	1628
MvSl-1064-A1-R4_A1g00432	2675	2373
MvSl-1064-A1-R4_A1g00433	808	904
MvSl-1064-A1-R4_A1g00441	1051	680
MvSl-1064-A1-R4_A1g00448	3779	2866
MvSl-1064-A1-R4_A1g00475	93.7579	56.1072
MvSl-1064-A1-R4_A1g00478	2752.34	2533.7
MvSl-1064-A1-R4_A1g00481	70.7679	98.9624
MvSl-1064-A1-R4_A1g00492	205.085	243.707
MvSl-1064-A1-R4_A1g00495	2549	2613
MvSl-1064-A1-R4_A1g00503	1822	1425
MvSl-1064-A1-R4_A1g00504	252	219
MvSl-1064-A1-R4_A1g00505	509	924
MvSl-1064-A1-R4_A1g00506	578	595
MvSl-1064-A1-R4_A1g00507	911	1272
MvSl-1064-A1-R4_A1g00510	1070	1047
MvSl-1064-A1-R4_A1g00511	2178	2168
MvSl-1064-A1-R4_A1g00512	642	641
MvSl-1064-A1-R4_A1g00513	1057	984
MvSl-1064-A1-R4_A1g00514	2319	3588
MvSl-1064-A1-R4_A1g00515	962	768
MvSl-1064-A1-R4_A1g00516	11318	8465
MvSl-1064-A1-R4_A1g00517	5185	6349
MvSl-1064-A1-R4_A1g00518	1955	1467
MvSl-1064-A1-R4_A1g00519	3084	3009
MvSl-1064-A1-R4_A1g00520	1056	881
MvSl-1064-A1-R4_A1g00521	1719	1020
MvSl-1064-A1-R4_A1g00522	101	81
MvSl-1064-A1-R4_A1g00523	10	6
MvSl-1064-A1-R4_A1g00524	3	6
MvSl-1064-A1-R4_A1g00525	3430	3461
MvSl-1064-A1-R4_A1g00527	508	700
MvSl-1064-A1-R4_A1g00528	139	100
MvSl-1064-A1-R4_A1g00529	193	225
MvSl-1064-A1-R4_A1g00530	2239	2194
MvSl-1064-A1-R4_A1g00532	698	669
MvSl-1064-A1-R4_A1g00533	1299	1183
MvSl-1064-A1-R4_A1g00534	4177	4027
MvSl-1064-A1-R4_A1g00541	1000	1593
MvSl-1064-A1-R4_A1g00542	613	646
MvSl-1064-A1-R4_A1g00543	2165	2837
MvSl-1064-A1-R4_A1g00544	1038	864
MvSl-1064-A1-R4_A1g00546	275.551	341.7
MvSl-1064-A1-R4_A1g00568	582	665
MvSl-1064-A1-R4_A1g00575	1773	2077
MvSl-1064-A1-R4_A1g00576	236	353
MvSl-1064-A1-R4_A1g00589	3	5
MvSl-1064-A1-R4_A1g00591	390	640
MvSl-1064-A1-R4_A1g00593	4696	5339
MvSl-1064-A1-R4_A1g00594	1038	895
MvSl-1064-A1-R4_A1g00608	44.1958	38
MvSl-1064-A1-R4_A1g00624	2728	2410
MvSl-1064-A1-R4_A1g00626	231.423	197.062
MvSl-1064-A1-R4_A1g00628	3677.6	2583.33
MvSl-1064-A1-R4_A1g00635	487	591
MvSl-1064-A1-R4_A1g00641	715	482
MvSl-1064-A1-R4_A1g00642	77	76.5122
MvSl-1064-A1-R4_A1g00644	981	798
MvSl-1064-A1-R4_A1g00645	1480	1140
MvSl-1064-A1-R4_A1g00646	8614	6051
MvSl-1064-A1-R4_A1g00647	4169	2606
MvSl-1064-A1-R4_A1g00648	1277	1286
MvSl-1064-A1-R4_A1g00653	1030	584
MvSl-1064-A1-R4_A1g00668	2630	2419
MvSl-1064-A1-R4_A1g00669	820	747
MvSl-1064-A1-R4_A1g00693	2918	2907
MvSl-1064-A1-R4_A1g00694	2889.42	2715
MvSl-1064-A1-R4_A1g00718	532	405
MvSl-1064-A1-R4_A1g00726	4244	3285
MvSl-1064-A1-R4_A1g00732	2021	1585
MvSl-1064-A1-R4_A1g00745	425	488
MvSl-1064-A1-R4_A1g00749	1536	2571
MvSl-1064-A1-R4_A1g00750	1162	1353
MvSl-1064-A1-R4_A1g00751	5636	5850
MvSl-1064-A1-R4_A1g00752	463	399
MvSl-1064-A1-R4_A1g00756	23	26
MvSl-1064-A1-R4_A1g00757	66	33.9299
MvSl-1064-A1-R4_A1g00763	36	67
MvSl-1064-A1-R4_A1g00772	409	211
MvSl-1064-A1-R4_A1g00778	373	561
MvSl-1064-A1-R4_A1g00779	3251	3183
MvSl-1064-A1-R4_A1g00794	774	708
MvSl-1064-A1-R4_A1g00800	2341.94	1839.06
MvSl-1064-A1-R4_A1g00801	300	190
MvSl-1064-A1-R4_A1g00804	715.052	428.17
MvSl-1064-A1-R4_A1g00820	0	1.26357
MvSl-1064-A1-R4_A1g00824	25	12
MvSl-1064-A1-R4_A1g00832	3121	3099
MvSl-1064-A1-R4_A1g00835	0	0
MvSl-1064-A1-R4_A1g00840	1837	1677
MvSl-1064-A1-R4_A1g00842	2055	1653
MvSl-1064-A1-R4_A1g00843	251	231
MvSl-1064-A1-R4_A1g00844	22	17
MvSl-1064-A1-R4_A1g00845	1070	1228
MvSl-1064-A1-R4_A1g00853	3589	3351
MvSl-1064-A1-R4_A1g00854	1886	2371
MvSl-1064-A1-R4_A1g00869	19059	11359
MvSl-1064-A1-R4_A1g00886	314	280
MvSl-1064-A1-R4_A1g00909	2007.19	1179.09
MvSl-1064-A1-R4_A1g00911	2526	1867
MvSl-1064-A1-R4_A1g00912	1018	776
MvSl-1064-A1-R4_A1g00913	694	777
MvSl-1064-A1-R4_A1g00920	258	363
MvSl-1064-A1-R4_A1g00921	3154	2717
MvSl-1064-A1-R4_A1g00922	1653	1519
MvSl-1064-A1-R4_A1g00923	163	220
MvSl-1064-A1-R4_A1g00929	16.2745	22.0919
MvSl-1064-A1-R4_A1g00956	482	379
MvSl-1064-A1-R4_A1g00957	561	531
MvSl-1064-A1-R4_A1g00958	2801	2430
