target_id	length	eff_length	est_counts	tpm	target_id	length	eff_length	est_counts	tpm	target_id	length	eff_length	est_counts	tpm	target_id	length	eff_length	est_counts	tpm
MvSl-1064-A1-R4_MC14g11774	195	32.7618	8	5.88234	MvSl-1064-A2-R4_MC14g12035	195	33.6702	27	14.5045	MvSl-1064-A2-R4_MC14g12035	195	32.2795	27	13.8359	MvSl-1064-A2-R4_MC14g12035	195	33.6702	27	14.5045
MvSl-1064-A1-R4_MC14g11775	1878	1555.01	374	5.79383	MvSl-1064-A2-R4_MC14g12036	1878	1542	808	9.47789	MvSl-1064-A2-R4_MC14g12036	1878	1546.77	631	6.74798	MvSl-1064-A2-R4_MC14g12036	1878	1542	808	9.47789
MvSl-1064-A1-R4_MC14g11776	834	513.321	2103	98.691	MvSl-1064-A2-R4_MC14g12037	834	500.347	2462	89.0026	MvSl-1064-A2-R4_MC14g12037	834	504.148	2614	85.7668	MvSl-1064-A2-R4_MC14g12037	834	500.347	2462	89.0026
MvSl-1064-A1-R4_MC14g11777	1320	997.009	2947	71.2046	MvSl-1064-A2-R4_MC14g12038	1320	984.004	3410	62.6821	MvSl-1064-A2-R4_MC14g12038	1320	988.773	3118	52.1616	MvSl-1064-A2-R4_MC14g12038	1320	984.004	3410	62.6821
MvSl-1064-A1-R4_MC14g11778	945	622.653	582	22.5167	MvSl-1064-A2-R4_MC14g12039	945	609.38	628	18.6405	MvSl-1064-A2-R4_MC14g12039	945	614.151	488	13.1437	MvSl-1064-A2-R4_MC14g12039	945	609.38	628	18.6405
MvSl-1064-A1-R4_MC14g11779	1683	1360.01	4492	79.5656	MvSl-1064-A2-R4_MC14g12040	1683	1347	5543	74.4324	MvSl-1064-A2-R4_MC14g12040	1683	1351.77	7331	89.7079	MvSl-1064-A2-R4_MC14g12040	1683	1347	5543	74.4324
MvSl-1064-A1-R4_MC14g11780	165	23.4176	1	1.02869	MvSl-1064-A2-R4_MC14g12041	165	24.3354	0	0	MvSl-1064-A2-R4_MC14g12041	165	24.9448	1	0.663118	MvSl-1064-A2-R4_MC14g12041	165	24.3354	0	0
MvSl-1064-A1-R4_MC14g11781	156	20.8623	6.24072	7.20609	MvSl-1064-A2-R4_MC14g12042	156	22.5307	16.1203	12.9414	MvSl-1064-A2-R4_MC14g12042	156	21.9377	27.6714	20.8647	MvSl-1064-A2-R4_MC14g12042	156	22.5307	16.1203	12.9414
MvSl-1064-A1-R4_MC01-1g02264	1818	1495.01	956	15.4043	MvSl-1064-A2-R4_MC01g02546	1818	1482	1192	14.5483	MvSl-1064-A2-R4_MC01g02546	1818	1486.77	1212	13.4843	MvSl-1064-A2-R4_MC01g02546	1818	1482	1192	14.5483
MvSl-1064-A1-R4_MC14g11782	291	66.8364	8	2.8834	MvSl-1064-A2-R4_MC14g12043	291	65.0081	18	5.00831	MvSl-1064-A2-R4_MC14g12043	291	62.3955	5	1.32552	MvSl-1064-A2-R4_MC14g12043	291	65.0081	18	5.00831
MvSl-1064-A1-R4_MC14g11783	666	353.547	753	51.3069	MvSl-1064-A2-R4_MC14g12044	666	340.393	950	50.4811	MvSl-1064-A2-R4_MC14g12044	666	343.779	852	40.9951	MvSl-1064-A2-R4_MC14g12044	666	340.393	950	50.4811
MvSl-1064-A1-R4_MC14g11784	231	43.258	72.2442	40.2313	MvSl-1064-A2-R4_MC14g12045	231	44.9704	81.7599	32.8852	MvSl-1064-A2-R4_MC14g12045	231	41.8043	65.5607	25.9414	MvSl-1064-A2-R4_MC14g12045	231	44.9704	81.7599	32.8852
MvSl-1064-A1-R4_MC14g11785	480	191.078	314.138	39.6038	MvSl-1064-A2-R4_MC14g12046	480	181.164	594.828	59.389	MvSl-1064-A2-R4_MC14g12046	480	182.501	564.739	51.1864	MvSl-1064-A2-R4_MC14g12046	480	181.164	594.828	59.389
MvSl-1064-A1-R4_MC14g11786	156	20.8623	181	208.999	MvSl-1064-A2-R4_MC14g12047	156	22.5307	139	111.59	MvSl-1064-A2-R4_MC14g12047	156	21.9377	202	152.311	MvSl-1064-A2-R4_MC14g12047	156	22.5307	139	111.59
MvSl-1064-A1-R4_MC14g11787	198	33.431	81	58.3664	MvSl-1064-A2-R4_MC14g12048	198	34.6466	96	50.1183	MvSl-1064-A2-R4_MC14g12048	198	33.4927	79	39.0165	MvSl-1064-A2-R4_MC14g12048	198	34.6466	96	50.1183
MvSl-1064-A1-R4_MC14g11788	315	78.8985	35	10.6863	MvSl-1064-A2-R4_MC14g12049	315	75.8242	39	9.30342	MvSl-1064-A2-R4_MC14g12049	315	74.4334	30	6.66691	MvSl-1064-A2-R4_MC14g12049	315	75.8242	39	9.30342
