aa	bb	cc	dd	ee	target_id	A2_1	A2_2
MvSl-1064-A1-R4_A1g00021	MvSl-1064-A2-R4_A2g00021	MvSl-1064-A1-R4_A1g00021	1145.95	950.048	MvSl-1064-A2-R4_A2g00021	1383.52	1523.95
MvSl-1064-A1-R4_A1g00022	MvSl-1064-A2-R4_A2g00022	MvSl-1064-A1-R4_A1g00022	10.8065	5.84215	MvSl-1064-A2-R4_A2g00022	2.3673	2.56753
MvSl-1064-A1-R4_A1g00023	MvSl-1064-A2-R4_A2g00023	MvSl-1064-A1-R4_A1g00023	37.8157	24.8516	MvSl-1064-A2-R4_A2g00023	17.7684	19.5326
MvSl-1064-A1-R4_A1g00024	MvSl-1064-A2-R4_A2g00024	MvSl-1064-A1-R4_A1g00024	339	263	MvSl-1064-A2-R4_A2g00024	496	579
MvSl-1064-A1-R4_A1g00025	MvSl-1064-A2-R4_A2g00025	MvSl-1064-A1-R4_A1g00025	48	23	MvSl-1064-A2-R4_A2g00025	50	31
MvSl-1064-A1-R4_A1g00026	MvSl-1064-A2-R4_A2g00026	MvSl-1064-A1-R4_A1g00026	560.261	456.228	MvSl-1064-A2-R4_A2g00026	944.122	688.4
MvSl-1064-A1-R4_A1g00028	MvSl-1064-A2-R4_A2g00028	MvSl-1064-A1-R4_A1g00028	420	471	MvSl-1064-A2-R4_A2g00028	755	702
MvSl-1064-A1-R4_A1g00029	MvSl-1064-A2-R4_A2g00029	MvSl-1064-A1-R4_A1g00029	242	251	MvSl-1064-A2-R4_A2g00029	7006	5500
MvSl-1064-A1-R4_A1g00030	MvSl-1064-A2-R4_A2g00030	MvSl-1064-A1-R4_A1g00030	1848	2195	MvSl-1064-A2-R4_A2g00030	13483	12022
MvSl-1064-A1-R4_A1g00031	MvSl-1064-A2-R4_A2g00031	MvSl-1064-A1-R4_A1g00031	401	467	MvSl-1064-A2-R4_A2g00031	649	448
MvSl-1064-A1-R4_A1g00032	MvSl-1064-A2-R4_A2g00032	MvSl-1064-A1-R4_A1g00032	12304	13036	MvSl-1064-A2-R4_A2g00032	13541	14318
MvSl-1064-A1-R4_A1g00033	MvSl-1064-A2-R4_A2g00033	MvSl-1064-A1-R4_A1g00033	401	424	MvSl-1064-A2-R4_A2g00033	587	568
MvSl-1064-A1-R4_A1g00034	MvSl-1064-A2-R4_A2g00034	MvSl-1064-A1-R4_A1g00034	1	0	MvSl-1064-A2-R4_A2g00034	0	0
MvSl-1064-A1-R4_A1g00035	MvSl-1064-A2-R4_A2g00035	MvSl-1064-A1-R4_A1g00035	711	815	MvSl-1064-A2-R4_A2g00035	605	696
MvSl-1064-A1-R4_A1g00036	MvSl-1064-A2-R4_A2g00036	MvSl-1064-A1-R4_A1g00036	748	788	MvSl-1064-A2-R4_A2g00036	870	888
MvSl-1064-A1-R4_A1g00037	MvSl-1064-A2-R4_A2g00037	MvSl-1064-A1-R4_A1g00037	555	504	MvSl-1064-A2-R4_A2g00037	596	509
MvSl-1064-A1-R4_A1g00038	MvSl-1064-A2-R4_A2g00038	MvSl-1064-A1-R4_A1g00038	0	3	MvSl-1064-A2-R4_A2g00038	0	0
MvSl-1064-A1-R4_A1g00039	MvSl-1064-A2-R4_A2g00039	MvSl-1064-A1-R4_A1g00039	5435	6188	MvSl-1064-A2-R4_A2g00039	4886	5957
MvSl-1064-A1-R4_A1g00040	MvSl-1064-A2-R4_A2g00040	MvSl-1064-A1-R4_A1g00040	34	43	MvSl-1064-A2-R4_A2g00040	56	46
MvSl-1064-A1-R4_A1g00041	MvSl-1064-A2-R4_A2g00041	MvSl-1064-A1-R4_A1g00041	1	2	MvSl-1064-A2-R4_A2g00041	2	0
MvSl-1064-A1-R4_A1g00043	MvSl-1064-A2-R4_A2g00043	MvSl-1064-A1-R4_A1g00043	13.0794	14.1225	MvSl-1064-A2-R4_A2g00043	2.01835	2.03556
MvSl-1064-A1-R4_A1g00044	MvSl-1064-A2-R4_A2g00044	MvSl-1064-A1-R4_A1g00044	0	0	MvSl-1064-A2-R4_A2g00044	0	0
MvSl-1064-A1-R4_A1g00045	MvSl-1064-A2-R4_A2g00045	MvSl-1064-A1-R4_A1g00045	1	0	MvSl-1064-A2-R4_A2g00045	0	0
MvSl-1064-A1-R4_A1g00046	MvSl-1064-A2-R4_A2g00046	MvSl-1064-A1-R4_A1g00046	314	288	MvSl-1064-A2-R4_A2g00046	294	320
MvSl-1064-A1-R4_A1g00047	MvSl-1064-A2-R4_A2g00047	MvSl-1064-A1-R4_A1g00047	581	705	MvSl-1064-A2-R4_A2g00047	658	708
MvSl-1064-A1-R4_A1g00048	MvSl-1064-A2-R4_A2g00048	MvSl-1064-A1-R4_A1g00048	532	538	MvSl-1064-A2-R4_A2g00048	612	610
MvSl-1064-A1-R4_A1g00049	MvSl-1064-A2-R4_A2g00049	MvSl-1064-A1-R4_A1g00049	761	786	MvSl-1064-A2-R4_A2g00049	966	791
MvSl-1064-A1-R4_A1g00050	MvSl-1064-A2-R4_A2g00050	MvSl-1064-A1-R4_A1g00050	497	1064	MvSl-1064-A2-R4_A2g00050	998	1202
MvSl-1064-A1-R4_A1g00051	MvSl-1064-A2-R4_A2g00051	MvSl-1064-A1-R4_A1g00051	2078	3160	MvSl-1064-A2-R4_A2g00051	1746	2418
MvSl-1064-A1-R4_A1g00052	MvSl-1064-A2-R4_A2g00052	MvSl-1064-A1-R4_A1g00052	33	42	MvSl-1064-A2-R4_A2g00052	33	68
MvSl-1064-A1-R4_A1g00053	MvSl-1064-A2-R4_A2g00053	MvSl-1064-A1-R4_A1g00053	1752	2083	MvSl-1064-A2-R4_A2g00053	1915	2226
MvSl-1064-A1-R4_A1g00054	MvSl-1064-A2-R4_A2g00054	MvSl-1064-A1-R4_A1g00054	86	108	MvSl-1064-A2-R4_A2g00054	106	161
MvSl-1064-A1-R4_A1g00055	MvSl-1064-A2-R4_A2g00055	MvSl-1064-A1-R4_A1g00055	752	606	MvSl-1064-A2-R4_A2g00055	1207	945
MvSl-1064-A1-R4_A1g00056	MvSl-1064-A2-R4_A2g00056	MvSl-1064-A1-R4_A1g00056	5525	8636	MvSl-1064-A2-R4_A2g00056	7394	7298
MvSl-1064-A1-R4_A1g00057	MvSl-1064-A2-R4_A2g00057	MvSl-1064-A1-R4_A1g00057	385	530	MvSl-1064-A2-R4_A2g00057	529	557
MvSl-1064-A1-R4_A1g00058	MvSl-1064-A2-R4_A2g00058	MvSl-1064-A1-R4_A1g00058	18	28	MvSl-1064-A2-R4_A2g00058	13	14
MvSl-1064-A1-R4_A1g00059	MvSl-1064-A2-R4_A2g00059	MvSl-1064-A1-R4_A1g00059	131.91	234	MvSl-1064-A2-R4_A2g00059	200.94	217
