aa	bb	cc	dd	ee	target_id	A2_1	A2_2
MvSl-1064-A1-R4_MC01-1g02274	MvSl-1064-A2-R4_MC01g02556	MvSl-1064-A1-R4_MC01-1g02274	1962	1993	MvSl-1064-A2-R4_MC01g02556	2768	1971
MvSl-1064-A1-R4_MC01-1g02275	MvSl-1064-A2-R4_MC01g02557	MvSl-1064-A1-R4_MC01-1g02275	295	360	MvSl-1064-A2-R4_MC01g02557	287	387
MvSl-1064-A1-R4_MC01-1g02276	MvSl-1064-A2-R4_MC01g02558	MvSl-1064-A1-R4_MC01-1g02276	108	99	MvSl-1064-A2-R4_MC01g02558	95	94
MvSl-1064-A1-R4_MC01-1g02277	MvSl-1064-A2-R4_MC01g02559	MvSl-1064-A1-R4_MC01-1g02277	147	134	MvSl-1064-A2-R4_MC01g02559	160	186
MvSl-1064-A1-R4_MC01-1g02278	MvSl-1064-A2-R4_MC01g02560	MvSl-1064-A1-R4_MC01-1g02278	964	1122	MvSl-1064-A2-R4_MC01g02560	1035	1132
MvSl-1064-A1-R4_MC01-1g02279	MvSl-1064-A2-R4_MC01g02561	MvSl-1064-A1-R4_MC01-1g02279	390	368	MvSl-1064-A2-R4_MC01g02561	447	465
MvSl-1064-A1-R4_MC01-1g02280	MvSl-1064-A2-R4_MC01g02562	MvSl-1064-A1-R4_MC01-1g02280	5899	7155	MvSl-1064-A2-R4_MC01g02562	6565	8810
MvSl-1064-A1-R4_MC01-1g02281	MvSl-1064-A2-R4_MC01g02563	MvSl-1064-A1-R4_MC01-1g02281	1686	1808	MvSl-1064-A2-R4_MC01g02563	1706	1926
MvSl-1064-A1-R4_MC01-1g02282	MvSl-1064-A2-R4_MC01g02564	MvSl-1064-A1-R4_MC01-1g02282	39	50	MvSl-1064-A2-R4_MC01g02564	68	75
MvSl-1064-A1-R4_MC01-1g02283	MvSl-1064-A2-R4_MC01g02565	MvSl-1064-A1-R4_MC01-1g02283	5	7	MvSl-1064-A2-R4_MC01g02565	21.2326	26.3148
MvSl-1064-A1-R4_MC01-1g02284	MvSl-1064-A2-R4_MC01g02566	MvSl-1064-A1-R4_MC01-1g02284	654.223	664.07	MvSl-1064-A2-R4_MC01g02566	1374.74	1262.53
MvSl-1064-A1-R4_MC01-1g02285	MvSl-1064-A2-R4_MC01g02567	MvSl-1064-A1-R4_MC01-1g02285	0	1	MvSl-1064-A2-R4_MC01g02567	4.38818	1.05615
MvSl-1064-A1-R4_MC01-1g02286	MvSl-1064-A2-R4_MC01g02568	MvSl-1064-A1-R4_MC01-1g02286	589	871	MvSl-1064-A2-R4_MC01g02568	570	825
MvSl-1064-A1-R4_MC01-1g02288	MvSl-1064-A2-R4_MC01g02570	MvSl-1064-A1-R4_MC01-1g02288	186	145	MvSl-1064-A2-R4_MC01g02570	300	245
MvSl-1064-A1-R4_MC01-1g02289	MvSl-1064-A2-R4_MC01g02571	MvSl-1064-A1-R4_MC01-1g02289	547	525	MvSl-1064-A2-R4_MC01g02571	947	760
MvSl-1064-A1-R4_MC01-1g02290	MvSl-1064-A2-R4_MC01g02572	MvSl-1064-A1-R4_MC01-1g02290	70	61	MvSl-1064-A2-R4_MC01g02572	74	68
MvSl-1064-A1-R4_MC01-1g02291	MvSl-1064-A2-R4_MC01g02573	MvSl-1064-A1-R4_MC01-1g02291	28	40	MvSl-1064-A2-R4_MC01g02573	22	45
MvSl-1064-A1-R4_MC01-1g02292	MvSl-1064-A2-R4_MC01g02574	MvSl-1064-A1-R4_MC01-1g02292	611	779	MvSl-1064-A2-R4_MC01g02574	864	940
MvSl-1064-A1-R4_MC01-1g02293	MvSl-1064-A2-R4_MC01g02575	MvSl-1064-A1-R4_MC01-1g02293	1126	1257	MvSl-1064-A2-R4_MC01g02575	1140	1785
MvSl-1064-A1-R4_MC01-1g02294	MvSl-1064-A2-R4_MC01g02576	MvSl-1064-A1-R4_MC01-1g02294	2234	2347	MvSl-1064-A2-R4_MC01g02576	2295	2321
MvSl-1064-A1-R4_MC01-1g02295	MvSl-1064-A2-R4_MC01g02577	MvSl-1064-A1-R4_MC01-1g02295	117	256	MvSl-1064-A2-R4_MC01g02577	198	267
MvSl-1064-A1-R4_MC01-1g02296	MvSl-1064-A2-R4_MC01g02578	MvSl-1064-A1-R4_MC01-1g02296	573	654	MvSl-1064-A2-R4_MC01g02578	587	723
MvSl-1064-A1-R4_MC01-1g02297	MvSl-1064-A2-R4_MC01g02579	MvSl-1064-A1-R4_MC01-1g02297	1433	1798	MvSl-1064-A2-R4_MC01g02579	1436	1883
MvSl-1064-A1-R4_MC01-1g02298	MvSl-1064-A2-R4_MC01g02580	MvSl-1064-A1-R4_MC01-1g02298	887	943	MvSl-1064-A2-R4_MC01g02580	863	1081
MvSl-1064-A1-R4_MC01-1g02299	MvSl-1064-A2-R4_MC01g02581	MvSl-1064-A1-R4_MC01-1g02299	511	388	MvSl-1064-A2-R4_MC01g02581	268	296
MvSl-1064-A1-R4_MC01-1g02300	MvSl-1064-A2-R4_MC01g02582	MvSl-1064-A1-R4_MC01-1g02300	27	6	MvSl-1064-A2-R4_MC01g02582	16	1
MvSl-1064-A1-R4_MC01-1g02301	MvSl-1064-A2-R4_MC01g02583	MvSl-1064-A1-R4_MC01-1g02301	1130	1238	MvSl-1064-A2-R4_MC01g02583	1887	1801
MvSl-1064-A1-R4_MC01-1g02302	MvSl-1064-A2-R4_MC01g02584	MvSl-1064-A1-R4_MC01-1g02302	6741	5598	MvSl-1064-A2-R4_MC01g02584	7306	6309
MvSl-1064-A1-R4_MC01-1g02303	MvSl-1064-A2-R4_MC01g02585	MvSl-1064-A1-R4_MC01-1g02303	158	166	MvSl-1064-A2-R4_MC01g02585	250	235
MvSl-1064-A1-R4_MC01-1g02304	MvSl-1064-A2-R4_MC01g02586	MvSl-1064-A1-R4_MC01-1g02304	1003	1362	MvSl-1064-A2-R4_MC01g02586	859	1243
MvSl-1064-A1-R4_MC01-1g02305	MvSl-1064-A2-R4_MC01g02587	MvSl-1064-A1-R4_MC01-1g02305	2891	2094	MvSl-1064-A2-R4_MC01g02587	2490	2348
MvSl-1064-A1-R4_MC01-1g02306	MvSl-1064-A2-R4_MC01g02588	MvSl-1064-A1-R4_MC01-1g02306	1188	1401	MvSl-1064-A2-R4_MC01g02588	1536	1616
MvSl-1064-A1-R4_MC01-1g02307	MvSl-1064-A2-R4_MC01g02589	MvSl-1064-A1-R4_MC01-1g02307	1227	1157	MvSl-1064-A2-R4_MC01g02589	1204	1206
MvSl-1064-A1-R4_MC01-1g02308	MvSl-1064-A2-R4_MC01g02590	MvSl-1064-A1-R4_MC01-1g02308	3219	2651	MvSl-1064-A2-R4_MC01g02590	3684	3495
MvSl-1064-A1-R4_MC01-1g02309	MvSl-1064-A2-R4_MC01g02591	MvSl-1064-A1-R4_MC01-1g02309	189	242	MvSl-1064-A2-R4_MC01g02591	241	254
MvSl-1064-A1-R4_MC01-1g02310	MvSl-1064-A2-R4_MC01g02592	MvSl-1064-A1-R4_MC01-1g02310	931	947	MvSl-1064-A2-R4_MC01g02592	1135	1075
MvSl-1064-A1-R4_MC01-1g02311	MvSl-1064-A2-R4_MC01g02593	MvSl-1064-A1-R4_MC01-1g02311	3581	3056	MvSl-1064-A2-R4_MC01g02593	2896	2840
MvSl-1064-A1-R4_MC01-1g02312	MvSl-1064-A2-R4_MC01g02594	MvSl-1064-A1-R4_MC01-1g02312	14399	10574	MvSl-1064-A2-R4_MC01g02594	13469	13340
MvSl-1064-A1-R4_MC01-1g02313	MvSl-1064-A2-R4_MC01g02595	MvSl-1064-A1-R4_MC01-1g02313	1117	1487	MvSl-1064-A2-R4_MC01g02595	1050	1245
MvSl-1064-A1-R4_MC01-1g02314	MvSl-1064-A2-R4_MC01g02596	MvSl-1064-A1-R4_MC01-1g02314	94	179	MvSl-1064-A2-R4_MC01g02596	145	241
MvSl-1064-A1-R4_MC01-1g02315	MvSl-1064-A2-R4_MC01g02597	MvSl-1064-A1-R4_MC01-1g02315	3774	3412	MvSl-1064-A2-R4_MC01g02597	4439	3845
MvSl-1064-A1-R4_MC01-1g02316	MvSl-1064-A2-R4_MC01g02598	MvSl-1064-A1-R4_MC01-1g02316	2060	2432	MvSl-1064-A2-R4_MC01g02598	1712	1995
MvSl-1064-A1-R4_MC01-1g02317	MvSl-1064-A2-R4_MC01g02599	MvSl-1064-A1-R4_MC01-1g02317	3400	4066	MvSl-1064-A2-R4_MC01g02599	5977	5285
MvSl-1064-A1-R4_MC01-1g02319	MvSl-1064-A2-R4_MC01g02601	MvSl-1064-A1-R4_MC01-1g02319	35452	33270	MvSl-1064-A2-R4_MC01g02601	39258	39750
MvSl-1064-A1-R4_MC01-1g02320	MvSl-1064-A2-R4_MC01g02602	MvSl-1064-A1-R4_MC01-1g02320	252	295	MvSl-1064-A2-R4_MC01g02602	222	215
MvSl-1064-A1-R4_MC01-1g02321	MvSl-1064-A2-R4_MC01g02603	MvSl-1064-A1-R4_MC01-1g02321	4281	6376	MvSl-1064-A2-R4_MC01g02603	4757	5904
MvSl-1064-A1-R4_MC01-1g02322	MvSl-1064-A2-R4_MC01g02604	MvSl-1064-A1-R4_MC01-1g02322	3324	4678	MvSl-1064-A2-R4_MC01g02604	3038	3580
MvSl-1064-A1-R4_MC01-1g02323	MvSl-1064-A2-R4_MC01g02605	MvSl-1064-A1-R4_MC01-1g02323	722	1193	MvSl-1064-A2-R4_MC01g02605	756	908
MvSl-1064-A1-R4_MC01-1g02324	MvSl-1064-A2-R4_MC01g02606	MvSl-1064-A1-R4_MC01-1g02324	147	319	MvSl-1064-A2-R4_MC01g02606	162	240
MvSl-1064-A1-R4_MC01-1g02325	MvSl-1064-A2-R4_MC01g02607	MvSl-1064-A1-R4_MC01-1g02325	713	759	MvSl-1064-A2-R4_MC01g02607	774	842
MvSl-1064-A1-R4_MC01-1g02326	MvSl-1064-A2-R4_MC01g02608	MvSl-1064-A1-R4_MC01-1g02326	4267	3385	MvSl-1064-A2-R4_MC01g02608	4546	3868
MvSl-1064-A1-R4_MC01-1g02327	MvSl-1064-A2-R4_MC01g02609	MvSl-1064-A1-R4_MC01-1g02327	292.46	423.534	MvSl-1064-A2-R4_MC01g02609	864.851	1152.04
MvSl-1064-A1-R4_MC01-1g02329	MvSl-1064-A2-R4_MC01g02611	MvSl-1064-A1-R4_MC01-1g02329	10621	11258	MvSl-1064-A2-R4_MC01g02611	15255	17397
MvSl-1064-A1-R4_MC01-1g02330	MvSl-1064-A2-R4_MC01g02612	MvSl-1064-A1-R4_MC01-1g02330	130	140	MvSl-1064-A2-R4_MC01g02612	196	147
MvSl-1064-A1-R4_MC01-1g02331	MvSl-1064-A2-R4_MC01g02613	MvSl-1064-A1-R4_MC01-1g02331	3368	2659	MvSl-1064-A2-R4_MC01g02613	4268	3692
MvSl-1064-A1-R4_MC01-1g02332	MvSl-1064-A2-R4_MC01g02614	MvSl-1064-A1-R4_MC01-1g02332	2069	1606	MvSl-1064-A2-R4_MC01g02614	2575	2231
MvSl-1064-A1-R4_MC01-1g02333	MvSl-1064-A2-R4_MC01g02615	MvSl-1064-A1-R4_MC01-1g02333	5150	4278	MvSl-1064-A2-R4_MC01g02615	6891	5575
MvSl-1064-A1-R4_MC01-1g02334	MvSl-1064-A2-R4_MC01g02616	MvSl-1064-A1-R4_MC01-1g02334	5572	3086	MvSl-1064-A2-R4_MC01g02616	6718	4261
MvSl-1064-A1-R4_MC01-1g02335	MvSl-1064-A2-R4_MC01g02617	MvSl-1064-A1-R4_MC01-1g02335	1340	1045	MvSl-1064-A2-R4_MC01g02617	2060	1214
MvSl-1064-A1-R4_MC01-1g02336	MvSl-1064-A2-R4_MC01g02618	MvSl-1064-A1-R4_MC01-1g02336	449	494	MvSl-1064-A2-R4_MC01g02618	543	593
MvSl-1064-A1-R4_MC01-1g02337	MvSl-1064-A2-R4_MC01g02619	MvSl-1064-A1-R4_MC01-1g02337	127	121	MvSl-1064-A2-R4_MC01g02619	176	128
MvSl-1064-A1-R4_MC01-1g02338	MvSl-1064-A2-R4_MC01g02620	MvSl-1064-A1-R4_MC01-1g02338	512	478	MvSl-1064-A2-R4_MC01g02620	728	641
MvSl-1064-A1-R4_MC01-1g02339	MvSl-1064-A2-R4_MC01g02621	MvSl-1064-A1-R4_MC01-1g02339	14.095	4.70573	MvSl-1064-A2-R4_MC01g02621	23.2491	8.88916
MvSl-1064-A1-R4_MC01-1g02341	MvSl-1064-A2-R4_MC01g02623	MvSl-1064-A1-R4_MC01-1g02341	1126	1118	MvSl-1064-A2-R4_MC01g02623	1667	1608
MvSl-1064-A1-R4_MC01-1g02342	MvSl-1064-A2-R4_MC01g02624	MvSl-1064-A1-R4_MC01-1g02342	1030	1290	MvSl-1064-A2-R4_MC01g02624	1124	1533
MvSl-1064-A1-R4_MC01-1g02343	MvSl-1064-A2-R4_MC01g02625	MvSl-1064-A1-R4_MC01-1g02343	977.4	945	MvSl-1064-A2-R4_MC01g02625	1146	1165
MvSl-1064-A1-R4_MC01-1g02344	MvSl-1064-A2-R4_MC01g02626	MvSl-1064-A1-R4_MC01-1g02344	907	1003	MvSl-1064-A2-R4_MC01g02626	1124	1155
MvSl-1064-A1-R4_MC01-1g02345	MvSl-1064-A2-R4_MC01g02627	MvSl-1064-A1-R4_MC01-1g02345	273	239	MvSl-1064-A2-R4_MC01g02627	354	313
MvSl-1064-A1-R4_MC01-1g02346	MvSl-1064-A2-R4_MC01g02628	MvSl-1064-A1-R4_MC01-1g02346	1231.46	1372.04	MvSl-1064-A2-R4_MC01g02628	2162.81	2106.03
MvSl-1064-A1-R4_MC01-1g02347	MvSl-1064-A2-R4_MC01g02629	MvSl-1064-A1-R4_MC01-1g02347	242	385	MvSl-1064-A2-R4_MC01g02629	29	28
MvSl-1064-A1-R4_MC01-1g02348	MvSl-1064-A2-R4_MC01g02630	MvSl-1064-A1-R4_MC01-1g02348	1828	1459	MvSl-1064-A2-R4_MC01g02630	1480	2068
MvSl-1064-A1-R4_MC01-1g02349	MvSl-1064-A2-R4_MC01g02631	MvSl-1064-A1-R4_MC01-1g02349	4030	3775	MvSl-1064-A2-R4_MC01g02631	5395	4515
MvSl-1064-A1-R4_MC01-1g02350	MvSl-1064-A2-R4_MC01g02632	MvSl-1064-A1-R4_MC01-1g02350	33.6383	25	MvSl-1064-A2-R4_MC01g02632	66.6315	45.9948
MvSl-1064-A1-R4_MC01-1g02351	MvSl-1064-A2-R4_MC01g02633	MvSl-1064-A1-R4_MC01-1g02351	634	687	MvSl-1064-A2-R4_MC01g02633	438	498
MvSl-1064-A1-R4_MC01-1g02352	MvSl-1064-A2-R4_MC01g02634	MvSl-1064-A1-R4_MC01-1g02352	81.2261	66.0651	MvSl-1064-A2-R4_MC01g02634	270.581	136.93
MvSl-1064-A1-R4_MC01-1g02353	MvSl-1064-A2-R4_MC01g02635	MvSl-1064-A1-R4_MC01-1g02353	76	68.5998	MvSl-1064-A2-R4_MC01g02635	224.909	190.344
MvSl-1064-A1-R4_MC01-1g02354	MvSl-1064-A2-R4_MC01g02636	MvSl-1064-A1-R4_MC01-1g02354	558	449	MvSl-1064-A2-R4_MC01g02636	857	797
MvSl-1064-A1-R4_MC01-1g02355	MvSl-1064-A2-R4_MC01g02637	MvSl-1064-A1-R4_MC01-1g02355	1878	1380	MvSl-1064-A2-R4_MC01g02637	1753	1986
MvSl-1064-A1-R4_MC01-1g02356	MvSl-1064-A2-R4_MC01g02638	MvSl-1064-A1-R4_MC01-1g02356	672	780	MvSl-1064-A2-R4_MC01g02638	750	784
MvSl-1064-A1-R4_MC01-1g02357	MvSl-1064-A2-R4_MC01g02639	MvSl-1064-A1-R4_MC01-1g02357	937	986	MvSl-1064-A2-R4_MC01g02639	1181	1182
MvSl-1064-A1-R4_MC01-1g02358	MvSl-1064-A2-R4_MC01g02640	MvSl-1064-A1-R4_MC01-1g02358	8709	8324	MvSl-1064-A2-R4_MC01g02640	9081	9497
MvSl-1064-A1-R4_MC01-1g02359	MvSl-1064-A2-R4_MC01g02641	MvSl-1064-A1-R4_MC01-1g02359	884.598	1022.84	MvSl-1064-A2-R4_MC01g02641	362.351	630.348
MvSl-1064-A1-R4_MC01-1g02362	MvSl-1064-A2-R4_MC01g02644	MvSl-1064-A1-R4_MC01-1g02362	981.722	1296.21	MvSl-1064-A2-R4_MC01g02644	967.835	1474.55
MvSl-1064-A1-R4_MC01-1g02363	MvSl-1064-A2-R4_MC01g02645	MvSl-1064-A1-R4_MC01-1g02363	2635	2519	MvSl-1064-A2-R4_MC01g02645	2625	2798
MvSl-1064-A1-R4_MC01-1g02364	MvSl-1064-A2-R4_MC01g02646	MvSl-1064-A1-R4_MC01-1g02364	2476	3362	MvSl-1064-A2-R4_MC01g02646	2625	3104
MvSl-1064-A1-R4_MC01-1g02365	MvSl-1064-A2-R4_MC01g02647	MvSl-1064-A1-R4_MC01-1g02365	3418	3751	MvSl-1064-A2-R4_MC01g02647	3150	3120
MvSl-1064-A1-R4_MC01-1g02366	MvSl-1064-A2-R4_MC01g02648	MvSl-1064-A1-R4_MC01-1g02366	1765	1913	MvSl-1064-A2-R4_MC01g02648	1908	2021
MvSl-1064-A1-R4_MC01-1g02367	MvSl-1064-A2-R4_MC01g02649	MvSl-1064-A1-R4_MC01-1g02367	705	921	MvSl-1064-A2-R4_MC01g02649	833	918
MvSl-1064-A1-R4_MC01-1g02368	MvSl-1064-A2-R4_MC01g02650	MvSl-1064-A1-R4_MC01-1g02368	57	59	MvSl-1064-A2-R4_MC01g02650	76	64
MvSl-1064-A1-R4_MC01-1g02369	MvSl-1064-A2-R4_MC01g02651	MvSl-1064-A1-R4_MC01-1g02369	1332	1583	MvSl-1064-A2-R4_MC01g02651	1902	2066
MvSl-1064-A1-R4_MC01-1g02370	MvSl-1064-A2-R4_MC01g02652	MvSl-1064-A1-R4_MC01-1g02370	715	933	MvSl-1064-A2-R4_MC01g02652	660	749
MvSl-1064-A1-R4_MC01-1g02371	MvSl-1064-A2-R4_MC01g02653	MvSl-1064-A1-R4_MC01-1g02371	640	675	MvSl-1064-A2-R4_MC01g02653	648	542
MvSl-1064-A1-R4_MC01-1g02372	MvSl-1064-A2-R4_MC01g02654	MvSl-1064-A1-R4_MC01-1g02372	800	769	MvSl-1064-A2-R4_MC01g02654	931	1112
MvSl-1064-A1-R4_MC01-1g02373	MvSl-1064-A2-R4_MC01g02655	MvSl-1064-A1-R4_MC01-1g02373	1716	1863	MvSl-1064-A2-R4_MC01g02655	1899	1920
MvSl-1064-A1-R4_MC01-1g02374	MvSl-1064-A2-R4_MC01g02656	MvSl-1064-A1-R4_MC01-1g02374	504	429	MvSl-1064-A2-R4_MC01g02656	483	553
MvSl-1064-A1-R4_MC01-1g02376	MvSl-1064-A2-R4_MC01g02658	MvSl-1064-A1-R4_MC01-1g02376	78.6546	41.9177	MvSl-1064-A2-R4_MC01g02658	109.086	103.026
MvSl-1064-A1-R4_MC01-1g02378	MvSl-1064-A2-R4_MC01g02660	MvSl-1064-A1-R4_MC01-1g02378	1848	2220	MvSl-1064-A2-R4_MC01g02660	2112	2496
MvSl-1064-A1-R4_MC01-1g02379	MvSl-1064-A2-R4_MC01g02661	MvSl-1064-A1-R4_MC01-1g02379	0	3	MvSl-1064-A2-R4_MC01g02661	4	1
MvSl-1064-A1-R4_MC01-1g02380	MvSl-1064-A2-R4_MC01g02662	MvSl-1064-A1-R4_MC01-1g02380	175	178	MvSl-1064-A2-R4_MC01g02662	183	137
MvSl-1064-A1-R4_MC01-1g02381	MvSl-1064-A2-R4_MC01g02663	MvSl-1064-A1-R4_MC01-1g02381	3867	4306	MvSl-1064-A2-R4_MC01g02663	3927	4642
MvSl-1064-A1-R4_MC01-1g02382	MvSl-1064-A2-R4_MC01g02664	MvSl-1064-A1-R4_MC01-1g02382	81	87	MvSl-1064-A2-R4_MC01g02664	206	183
MvSl-1064-A1-R4_MC01-1g02383	MvSl-1064-A2-R4_MC01g02665	MvSl-1064-A1-R4_MC01-1g02383	45	55	MvSl-1064-A2-R4_MC01g02665	88	67
MvSl-1064-A1-R4_MC01-1g02384	MvSl-1064-A2-R4_MC01g02666	MvSl-1064-A1-R4_MC01-1g02384	649	651	MvSl-1064-A2-R4_MC01g02666	1114	855
MvSl-1064-A1-R4_MC01-1g02385	MvSl-1064-A2-R4_MC01g02667	MvSl-1064-A1-R4_MC01-1g02385	808	977	MvSl-1064-A2-R4_MC01g02667	1209	1521
MvSl-1064-A1-R4_MC01-1g02386	MvSl-1064-A2-R4_MC01g02668	MvSl-1064-A1-R4_MC01-1g02386	1316	1377	MvSl-1064-A2-R4_MC01g02668	1172	1427
MvSl-1064-A1-R4_MC01-1g02387	MvSl-1064-A2-R4_MC01g02669	MvSl-1064-A1-R4_MC01-1g02387	2412	2646	MvSl-1064-A2-R4_MC01g02669	2876	3050
MvSl-1064-A1-R4_MC01-1g02388	MvSl-1064-A2-R4_MC01g02670	MvSl-1064-A1-R4_MC01-1g02388	0	2	MvSl-1064-A2-R4_MC01g02670	3	1
MvSl-1064-A1-R4_MC01-1g02392	MvSl-1064-A2-R4_MC01g02674	MvSl-1064-A1-R4_MC01-1g02392	131	117	MvSl-1064-A2-R4_MC01g02674	145	160
MvSl-1064-A1-R4_MC01-1g02393	MvSl-1064-A2-R4_MC01g02675	MvSl-1064-A1-R4_MC01-1g02393	295	326	MvSl-1064-A2-R4_MC01g02675	365	383
MvSl-1064-A1-R4_MC01-1g02394	MvSl-1064-A2-R4_MC01g02676	MvSl-1064-A1-R4_MC01-1g02394	822.881	658.245	MvSl-1064-A2-R4_MC01g02676	963.014	924.008
MvSl-1064-A1-R4_MC01-1g02395	MvSl-1064-A2-R4_MC01g02677	MvSl-1064-A1-R4_MC01-1g02395	1848.15	1988.99	MvSl-1064-A2-R4_MC01g02677	1717.46	1837.54
MvSl-1064-A1-R4_MC01-1g02396	MvSl-1064-A2-R4_MC01g02678	MvSl-1064-A1-R4_MC01-1g02396	493	553	MvSl-1064-A2-R4_MC01g02678	530	652
MvSl-1064-A1-R4_MC01-1g02397	MvSl-1064-A2-R4_MC01g02679	MvSl-1064-A1-R4_MC01-1g02397	890	839	MvSl-1064-A2-R4_MC01g02679	1058	1115
MvSl-1064-A1-R4_MC01-1g02398	MvSl-1064-A2-R4_MC01g02680	MvSl-1064-A1-R4_MC01-1g02398	82.0706	81.6889	MvSl-1064-A2-R4_MC01g02680	356.682	370.157
MvSl-1064-A1-R4_MC01-1g02399	MvSl-1064-A2-R4_MC01g02681	MvSl-1064-A1-R4_MC01-1g02399	3039	2373	MvSl-1064-A2-R4_MC01g02681	3808	3569
MvSl-1064-A1-R4_MC01-1g02400	MvSl-1064-A2-R4_MC01g02682	MvSl-1064-A1-R4_MC01-1g02400	3585	4002	MvSl-1064-A2-R4_MC01g02682	3888	5794
MvSl-1064-A1-R4_MC01-1g02401	MvSl-1064-A2-R4_MC01g02683	MvSl-1064-A1-R4_MC01-1g02401	2360	2043	MvSl-1064-A2-R4_MC01g02683	4179	3275
MvSl-1064-A1-R4_MC01-1g02402	MvSl-1064-A2-R4_MC01g02684	MvSl-1064-A1-R4_MC01-1g02402	1970	1900	MvSl-1064-A2-R4_MC01g02684	2067	2135
MvSl-1064-A1-R4_MC01-1g02403	MvSl-1064-A2-R4_MC01g02685	MvSl-1064-A1-R4_MC01-1g02403	2989	2436	MvSl-1064-A2-R4_MC01g02685	3478	3084
MvSl-1064-A1-R4_MC01-1g02404	MvSl-1064-A2-R4_MC01g02686	MvSl-1064-A1-R4_MC01-1g02404	402	287	MvSl-1064-A2-R4_MC01g02686	407	314
MvSl-1064-A1-R4_MC01-1g02405	MvSl-1064-A2-R4_MC01g02687	MvSl-1064-A1-R4_MC01-1g02405	103	135	MvSl-1064-A2-R4_MC01g02687	108	129
MvSl-1064-A1-R4_MC01-1g02406	MvSl-1064-A2-R4_MC01g02688	MvSl-1064-A1-R4_MC01-1g02406	47	83	MvSl-1064-A2-R4_MC01g02688	57	70
MvSl-1064-A1-R4_MC01-1g02407	MvSl-1064-A2-R4_MC01g02689	MvSl-1064-A1-R4_MC01-1g02407	138	232	MvSl-1064-A2-R4_MC01g02689	143	234
MvSl-1064-A1-R4_MC01-1g02408	MvSl-1064-A2-R4_MC01g02690	MvSl-1064-A1-R4_MC01-1g02408	1582.1	1345.04	MvSl-1064-A2-R4_MC01g02690	1908.08	1785.29
MvSl-1064-A1-R4_MC01-1g02409	MvSl-1064-A2-R4_MC01g02691	MvSl-1064-A1-R4_MC01-1g02409	649.653	699.351	MvSl-1064-A2-R4_MC01g02691	797.763	747.515
MvSl-1064-A1-R4_MC01-1g02410	MvSl-1064-A2-R4_MC01g02692	MvSl-1064-A1-R4_MC01-1g02410	30	47	MvSl-1064-A2-R4_MC01g02692	26	41
MvSl-1064-A1-R4_MC01-1g02411	MvSl-1064-A2-R4_MC01g02693	MvSl-1064-A1-R4_MC01-1g02411	3212	4194	MvSl-1064-A2-R4_MC01g02693	3363	3977
MvSl-1064-A1-R4_MC01-1g02413	MvSl-1064-A2-R4_MC01g02695	MvSl-1064-A1-R4_MC01-1g02413	99	193	MvSl-1064-A2-R4_MC01g02695	136	187
MvSl-1064-A1-R4_MC01-1g02415	MvSl-1064-A2-R4_MC01g02697	MvSl-1064-A1-R4_MC01-1g02415	1031.26	1066.03	MvSl-1064-A2-R4_MC01g02697	1078.52	1069.09
MvSl-1064-A1-R4_MC01-1g02416	MvSl-1064-A2-R4_MC01g02698	MvSl-1064-A1-R4_MC01-1g02416	3174.26	2373.8	MvSl-1064-A2-R4_MC01g02698	3473.21	2379.6
MvSl-1064-A1-R4_MC01-1g02417	MvSl-1064-A2-R4_MC01g02699	MvSl-1064-A1-R4_MC01-1g02417	11061.4	8911.33	MvSl-1064-A2-R4_MC01g02699	13897.3	11841.6
MvSl-1064-A1-R4_MC01-1g02419	MvSl-1064-A2-R4_MC01g02701	MvSl-1064-A1-R4_MC01-1g02419	12.8294	18.012	MvSl-1064-A2-R4_MC01g02701	65.5634	43.6146
MvSl-1064-A1-R4_MC01-1g02420	MvSl-1064-A2-R4_MC01g02702	MvSl-1064-A1-R4_MC01-1g02420	1670	1434	MvSl-1064-A2-R4_MC01g02702	1910	1772
MvSl-1064-A1-R4_MC01-1g02421	MvSl-1064-A2-R4_MC01g02703	MvSl-1064-A1-R4_MC01-1g02421	1538	1255	MvSl-1064-A2-R4_MC01g02703	2146	1929
MvSl-1064-A1-R4_MC01-1g02422	MvSl-1064-A2-R4_MC01g02704	MvSl-1064-A1-R4_MC01-1g02422	59	47	MvSl-1064-A2-R4_MC01g02704	191	110
MvSl-1064-A1-R4_MC01-1g02423	MvSl-1064-A2-R4_MC01g02705	MvSl-1064-A1-R4_MC01-1g02423	1249	919	MvSl-1064-A2-R4_MC01g02705	1707	1598
MvSl-1064-A1-R4_MC01-1g02424	MvSl-1064-A2-R4_MC01g02706	MvSl-1064-A1-R4_MC01-1g02424	385	519	MvSl-1064-A2-R4_MC01g02706	585	697
MvSl-1064-A1-R4_MC01-1g02425	MvSl-1064-A2-R4_MC01g02707	MvSl-1064-A1-R4_MC01-1g02425	1219.6	1267.25	MvSl-1064-A2-R4_MC01g02707	1808.98	1702.89
MvSl-1064-A1-R4_MC01-1g02426	MvSl-1064-A2-R4_MC01g02708	MvSl-1064-A1-R4_MC01-1g02426	1355	1349	MvSl-1064-A2-R4_MC01g02708	2273	1782
MvSl-1064-A1-R4_MC01-1g02427	MvSl-1064-A2-R4_MC01g02709	MvSl-1064-A1-R4_MC01-1g02427	3281	3104	MvSl-1064-A2-R4_MC01g02709	3698	3486
