gida1	gidmvsv	dnds	dn	ds
MvSl-1064-A1-R4_MC02g03970	MvSv-1253-A1-R1_MC02g01504	0.2149	0.03	0.1394
MvSl-1064-A1-R4_MC02g03971	MvSv-1253-A1-R1_MC02g01503	0.1576	0.0223	0.1418
MvSl-1064-A1-R4_MC02g03972	MvSv-1253-A1-R1_MC02g01502	0.1553	0.0243	0.1562
MvSl-1064-A1-R4_MC02g03973	MvSv-1253-A1-R1_MC02g01501	0.313	0.029	0.0927
MvSl-1064-A1-R4_MC02g03974	MvSv-1253-A1-R1_MC02g01500	0.1013	0.0146	0.1441
MvSl-1064-A1-R4_A1g00534	MvSv-1253-A1-R1_MC16g09487	0.0885	0.0199	0.2243
MvSl-1064-A1-R4_MC02g03976	MvSv-1253-A1-R1_MC02g01499	0.2268	0.0253	0.1115
MvSl-1064-A1-R4_MC02g03977	MvSv-1253-A1-R1_MC02g01498	0.3747	0.0421	0.1124
MvSl-1064-A1-R4_MC02g03978	MvSv-1253-A1-R1_MC02g01497	0.3943	0.0694	0.1759
MvSl-1064-A1-R4_MC02g03979	MvSv-1253-A1-R1_MC02g01496	0.0262	0.0042	0.1602
MvSl-1064-A1-R4_MC02g03980	MvSv-1253-A1-R1_MC02g01495	0.2158	0.0176	0.0818
MvSl-1064-A1-R4_MC02g03981	MvSv-1253-A1-R1_MC02g01494	0.1115	0.0137	0.1233
MvSl-1064-A1-R4_MC02g03982	MvSv-1253-A1-R1_MC02g01493	0.0822	0.0133	0.1615
MvSl-1064-A1-R4_MC02g03983	MvSv-1253-A1-R1_MC02g01492	0.2676	0.0064	0.0241
MvSl-1064-A1-R4_MC02g03984	MvSv-1253-A1-R1_MC02g01491	0.6431	0.0526	0.0819
MvSl-1064-A1-R4_MC02g03985	MvSv-1253-A1-R1_MC02g01490	0.1317	0.0217	0.1644
MvSl-1064-A1-R4_A1g00541	MvSv-1253-A1-R1_MC16g09488	0.2033	0.0389	0.1915
MvSl-1064-A1-R4_MC02g03986	MvSv-1253-A1-R1_MC02g01489	0.0261	0.0046	0.1741
MvSl-1064-A1-R4_MC02g03987	MvSv-1253-A1-R1_MC02g01488	0.0431	0.0082	0.1898
MvSl-1064-A1-R4_MC02g03988	MvSv-1253-A1-R1_MC02g01487	0.1863	0.0298	0.1601
MvSl-1064-A1-R4_MC02g03989	MvSv-1253-A1-R1_MC02g01486	0.001	0.0001	0.1164
MvSl-1064-A1-R4_MC02g03990	MvSv-1253-A1-R1_MC02g01485	0.2653	0.0335	0.1264
MvSl-1064-A1-R4_MC02g03991	MvSv-1253-A1-R1_MC02g01484	0.2521	0.0415	0.1646
MvSl-1064-A1-R4_MC02g03992	MvSv-1253-A1-R1_MC02g01483	0.1401	0.0147	0.105
MvSl-1064-A1-R4_MC02g03993	MvSv-1253-A1-R1_MC02g01479	0.2204	0.0298	0.1351
MvSl-1064-A1-R4_MC02g03994	MvSv-1253-A1-R1_MC02g01478	0.3277	0.0308	0.0941
MvSl-1064-A1-R4_MC02g03995	MvSv-1253-A1-R1_MC02g01477	0.2331	0.0167	0.0715
MvSl-1064-A1-R4_A1g00542	MvSv-1253-A1-R1_MC16g09492	0.0792	0.0219	0.2761
MvSl-1064-A1-R4_MC02g03996	MvSv-1253-A1-R1_MC02g01476	0.5214	0.093	0.1783
MvSl-1064-A1-R4_MC02g04002	MvSv-1253-A1-R1_MC11-3g07495	0.5949	0.1072	0.1802
MvSl-1064-A1-R4_MC02g04003	MvSv-1253-A1-R1_MC02g01474	0.7214	0.3444	0.4773
MvSl-1064-A1-R4_MC02g04004	MvSv-1253-A1-R1_MC02g01473	0.256	0.0216	0.0845
MvSl-1064-A1-R4_MC02g04005	MvSv-1253-A1-R1_MC02g01472	0.189	0.0179	0.0948
MvSl-1064-A1-R4_MC02g04006	MvSv-1253-A1-R1_MC02g01471	0.1289	0.0132	0.1026
MvSl-1064-A1-R4_MC02g04007	MvSv-1253-A1-R1_MC02g01470	0.3583	0.0344	0.096
MvSl-1064-A1-R4_MC02g04008	MvSv-1253-A1-R1_MC02g01469	0.1707	0.021	0.1228
MvSl-1064-A1-R4_MC02g04009	MvSv-1253-A1-R1_MC02g01468	0.1813	0.0288	0.1587
MvSl-1064-A1-R4_MC02g04010	MvSv-1253-A1-R1_MC02g01467	0.3049	0.0284	0.0931
MvSl-1064-A1-R4_A1g00033	MvSv-1253-A1-R1_MC12g07656	0.1467	0.0289	0.1972
MvSl-1064-A1-R4_A1g00543	MvSv-1253-A1-R1_MC16g09493	0.0989	0.0166	0.1678
MvSl-1064-A1-R4_MC02g04011	MvSv-1253-A1-R1_MC02g01466	0.5109	0.045	0.0882
MvSl-1064-A1-R4_MC02g04012	MvSv-1253-A1-R1_MC02g01465	0.2433	0.0287	0.1178
MvSl-1064-A1-R4_MC02g04013	MvSv-1253-A1-R1_MC02g01464	0.6595	0.069	0.1047
MvSl-1064-A1-R4_MC02g04015	MvSv-1253-A1-R1_MC02g01463	0.1174	0.0154	0.1315
MvSl-1064-A1-R4_MC02g04016	MvSv-1253-A1-R1_MC02g01462	0.4178	0.049	0.1172
MvSl-1064-A1-R4_MC02g04017	MvSv-1253-A1-R1_MC02g01461	0.4736	0.0602	0.1271
MvSl-1064-A1-R4_MC02g04018	MvSv-1253-A1-R1_MC02g01460	0.0823	0.0102	0.1236
MvSl-1064-A1-R4_MC02g04019	MvSv-1253-A1-R1_MC02g01459	0.2975	0.0263	0.0884
MvSl-1064-A1-R4_MC02g04020	MvSv-1253-A1-R1_MC02g01458	0.0905	0.0243	0.2681
MvSl-1064-A1-R4_MC02g04021	MvSv-1253-A1-R1_MC02g01457	0.126	0.0183	0.1453
MvSl-1064-A1-R4_A1g00544	MvSv-1253-A1-R1_MC16g09494	0.1666	0.0378	0.2268
MvSl-1064-A1-R4_MC02g04022	MvSv-1253-A1-R1_MC02g01456	0.3216	0.0377	0.1174
MvSl-1064-A1-R4_MC02g04024	MvSv-1253-A1-R1_MC02g01455	0.2825	0.0344	0.1217
MvSl-1064-A1-R4_MC02g04025	MvSv-1253-A1-R1_MC02g01454	0.3576	0.0421	0.1177
MvSl-1064-A1-R4_MC02g04026	MvSv-1253-A1-R1_MC02g01453	0.3985	0.0291	0.073
MvSl-1064-A1-R4_MC02g04027	MvSv-1253-A1-R1_MC02g01452	0.1264	0.0116	0.0916
MvSl-1064-A1-R4_MC02g04028	MvSv-1253-A1-R1_MC02g01451	0.5254	0.0371	0.0707
MvSl-1064-A1-R4_MC02g04029	MvSv-1253-A1-R1_MC02g01450	0.1771	0.0168	0.0948
MvSl-1064-A1-R4_MC02g04030	MvSv-1253-A1-R1_MC02g01449	0.0246	0.0024	0.0986
MvSl-1064-A1-R4_MC02g04031	MvSv-1253-A1-R1_MC02g01448	0.0948	0.0153	0.1615
MvSl-1064-A1-R4_MC02g04034	MvSv-1253-A1-R1_MC02g01442	0.4385	0.04	0.0911
MvSl-1064-A1-R4_A1g00545	MvSv-1253-A1-R1_MC16g09495	1.8143	0.1964	0.1083
MvSl-1064-A1-R4_MC02g04035	MvSv-1253-A1-R1_MC02g01441	0.4397	0.0414	0.0941
MvSl-1064-A1-R4_MC02g04036	MvSv-1253-A1-R1_MC02g01440	0.4409	0.0385	0.0873
MvSl-1064-A1-R4_MC02g04037	MvSv-1253-A1-R1_MC02g01439	0.2308	0.0299	0.1297
MvSl-1064-A1-R4_MC02g04038	MvSv-1253-A1-R1_MC02g01438	0.1875	0.0332	0.1771
MvSl-1064-A1-R4_MC02g04039	MvSv-1253-A1-R1_MC02g01437	0.2478	0.0351	0.1418
MvSl-1064-A1-R4_MC02g04040	MvSv-1253-A1-R1_MC02g01436	0.0726	0.0097	0.1342
MvSl-1064-A1-R4_MC02g04041	MvSv-1253-A1-R1_MC02g01435	0.1871	0.03	0.1604
MvSl-1064-A1-R4_MC02g04046	MvSv-1253-A1-R1_MC02g01434	0.0886	0.014	0.1585
MvSl-1064-A1-R4_MC02g04048	MvSv-1253-A1-R1_MC02g01433	0.1276	0.0245	0.192
MvSl-1064-A1-R4_MC02g04049	MvSv-1253-A1-R1_MC02g01432	0.2443	0.0266	0.1088
MvSl-1064-A1-R4_A1g00546	MvSv-1253-A1-R1_MC06g04164	0.591	0.3064	0.5185
MvSl-1064-A1-R4_MC02g04050	MvSv-1253-A1-R1_MC02g01431	0.2022	0.0242	0.1198
MvSl-1064-A1-R4_MC02g04051	MvSv-1253-A1-R1_MC02g01430	0.1032	0.0125	0.1211
MvSl-1064-A1-R4_MC02g04052	MvSv-1253-A1-R1_MC02g01429	0.3154	0.0352	0.1116
MvSl-1064-A1-R4_MC02g04053	MvSv-1253-A1-R1_MC02g01428	0.6464	0.044	0.0681
MvSl-1064-A1-R4_MC02g04054	MvSv-1253-A1-R1_MC02g01427	0.1479	0.0227	0.1535
MvSl-1064-A1-R4_MC02g04055	MvSv-1253-A1-R1_MC02g01426	0.0842	0.0076	0.0904
MvSl-1064-A1-R4_MC02g04056	MvSv-1253-A1-R1_MC02g01425	0.2777	0.0228	0.0822
MvSl-1064-A1-R4_MC02g04057	MvSv-1253-A1-R1_MC02g01424	0.2263	0.0182	0.0803
MvSl-1064-A1-R4_MC02g04058	MvSv-1253-A1-R1_MC02g01423	0.2579	0.0249	0.0965
MvSl-1064-A1-R4_MC02g04059	MvSv-1253-A1-R1_MC02g01422	0.356	0.0457	0.1284
MvSl-1064-A1-R4_A1g00575	MvSv-1253-A1-R1_MC12g07870	0.4106	0.0267	0.065
MvSl-1064-A1-R4_MC02g04060	MvSv-1253-A1-R1_MC02g01421	0.0332	0.0077	0.2333
MvSl-1064-A1-R4_MC02g04062	MvSv-1253-A1-R1_MC02g01420	0.4073	0.0424	0.1042
MvSl-1064-A1-R4_MC02g04063	MvSv-1253-A1-R1_MC02g01419	0.1214	0.0152	0.1249
MvSl-1064-A1-R4_MC02g04064	MvSv-1253-A1-R1_MC02g01416	0.4488	0.0459	0.1022
MvSl-1064-A1-R4_MC02g04065	MvSv-1253-A1-R1_MC02g01415	1.2159	0.1063	0.0874
MvSl-1064-A1-R4_MC02g04067	MvSv-1253-A1-R1_MC02g01414	0.2555	0.0324	0.1266
MvSl-1064-A1-R4_MC02g04068	MvSv-1253-A1-R1_MC02g01413	0.1681	0.0188	0.112
MvSl-1064-A1-R4_MC02g04069	MvSv-1253-A1-R1_MC02g01412	0.1363	0.0168	0.1233
MvSl-1064-A1-R4_MC02g04070	MvSv-1253-A1-R1_MC02g01411	0.1288	0.0128	0.0996
MvSl-1064-A1-R4_MC02g04071	MvSv-1253-A1-R1_MC02g01410	0.4257	0.0497	0.1166
MvSl-1064-A1-R4_A1g00581	MvSv-1253-A1-R1_MC14-1g08589	1.1196	0.3002	0.2682
MvSl-1064-A1-R4_MC02g04074	MvSv-1253-A1-R1_MC02g01406	0.5436	0.0515	0.0947
MvSl-1064-A1-R4_MC02g04075	MvSv-1253-A1-R1_MC02g01407	0.2246	0.0266	0.1183
MvSl-1064-A1-R4_MC02g04076	MvSv-1253-A1-R1_MC02g01408	0.1469	0.0257	0.1747
MvSl-1064-A1-R4_MC02g04077	MvSv-1253-A1-R1_MC02g01409	0.3105	0.0317	0.1021
MvSl-1064-A1-R4_MC02g04083	MvSv-1253-A1-R1_MC02g01403	0.0926	0.0111	0.1197
MvSl-1064-A1-R4_MC02g04084	MvSv-1253-A1-R1_MC02g01402	0.1752	0.0189	0.108
MvSl-1064-A1-R4_MC02g04085	MvSv-1253-A1-R1_MC02g01401	0.1702	0.0198	0.1166
MvSl-1064-A1-R4_MC02g04086	MvSv-1253-A1-R1_MC02g01396	0.137	0.0123	0.0894
MvSl-1064-A1-R4_MC02g04087	MvSv-1253-A1-R1_MC02g01395	0.3291	0.0266	0.0808
MvSl-1064-A1-R4_MC02g04088	MvSv-1253-A1-R1_MC02g01394	0.4979	0.0315	0.0632
MvSl-1064-A1-R4_A1g00591	MvSv-1253-A1-R1_MC03g02227	0.3743	0.1543	0.4123
MvSl-1064-A1-R4_MC02g04089	MvSv-1253-A1-R1_MC02g01393	0.5907	0.0373	0.0631
MvSl-1064-A1-R4_MC02g04090	MvSv-1253-A1-R1_MC02g01392	0.1352	0.0119	0.0882
MvSl-1064-A1-R4_MC02g04091	MvSv-1253-A1-R1_MC02g01391	0.1543	0.0148	0.0958
MvSl-1064-A1-R4_MC02g04092	MvSv-1253-A1-R1_MC02g01390	0.1848	0.0229	0.1238
MvSl-1064-A1-R4_MC02g04095	MvSv-1253-A1-R1_MC02g01389	0.1651	0.0212	0.1284
MvSl-1064-A1-R4_MC02g04096	MvSv-1253-A1-R1_MC02g01385	0.1324	0.0086	0.0647
MvSl-1064-A1-R4_MC02g04097	MvSv-1253-A1-R1_MC02g01384	0.0508	0.0112	0.2204
MvSl-1064-A1-R4_MC02g04098	MvSv-1253-A1-R1_MC02g01383	0.4081	0.0249	0.061
MvSl-1064-A1-R4_MC02g04099	MvSv-1253-A1-R1_MC02g01382	0.2502	0.031	0.1239
MvSl-1064-A1-R4_MC02g04100	MvSv-1253-A1-R1_MC02g01381	0.1187	0.0168	0.1411
MvSl-1064-A1-R4_A1g00592	MvSv-1253-A1-R1_MC03g02228	0.4161	0.3297	0.7925
MvSl-1064-A1-R4_MC02g04101	MvSv-1253-A1-R1_MC02g01380	0.422	0.0406	0.0963
MvSl-1064-A1-R4_MC02g04102	MvSv-1253-A1-R1_MC02g01379	0.1922	0.018	0.0936
MvSl-1064-A1-R4_MC02g04103	MvSv-1253-A1-R1_MC02g01378	0.1245	0.0153	0.1227
MvSl-1064-A1-R4_MC02g04105	MvSv-1253-A1-R1_MC02g01376	0.2831	0.0286	0.1009
MvSl-1064-A1-R4_MC02g04106	MvSv-1253-A1-R1_MC02g01375	0.198	0.0406	0.205
MvSl-1064-A1-R4_MC02g04108	MvSv-1253-A1-R1_MC02g01372	0.269	0.0336	0.125
MvSl-1064-A1-R4_MC02g04109	MvSv-1253-A1-R1_MC02g01371	0.5755	0.1559	0.2709
MvSl-1064-A1-R4_MC02g04110	MvSv-1253-A1-R1_MC02g01370	0.3802	0.0427	0.1123
MvSl-1064-A1-R4_MC02g04111	MvSv-1253-A1-R1_MC02g01368	0.2555	0.0468	0.1833
MvSl-1064-A1-R4_MC02g04116	MvSv-1253-A1-R1_MC02g01314	0.1215	0.0195	0.1608
MvSl-1064-A1-R4_A1g00593	MvSv-1253-A1-R1_MC03g02229	0.1148	0.0194	0.1693
MvSl-1064-A1-R4_MC02g04117	MvSv-1253-A1-R1_MC02g01315	0.1394	0.0334	0.2395
MvSl-1064-A1-R4_MC02g04119	MvSv-1253-A1-R1_MC02g01316	0.1199	0.0268	0.2234
MvSl-1064-A1-R4_MC02g04120	MvSv-1253-A1-R1_MC02g01317	0.2416	0.05	0.2068
MvSl-1064-A1-R4_MC02g04121	MvSv-1253-A1-R1_MC02g01318	0.1614	0.0194	0.12
MvSl-1064-A1-R4_MC02g04122	MvSv-1253-A1-R1_MC02g01319	0.1015	0.0185	0.1825
MvSl-1064-A1-R4_MC02g04123	MvSv-1253-A1-R1_MC02g01320	0.5831	0.0708	0.1215
MvSl-1064-A1-R4_MC02g04124	MvSv-1253-A1-R1_MC02g01321	0.2713	0.0428	0.1579
MvSl-1064-A1-R4_MC02g04125	MvSv-1253-A1-R1_MC02g01322	0.9614	0.1595	0.1659
MvSl-1064-A1-R4_MC02g04126	MvSv-1253-A1-R1_MC02g01323	0.0199	0.0059	0.2961
MvSl-1064-A1-R4_MC02g04127	MvSv-1253-A1-R1_MC02g01324	0.025	0.0049	0.1978
MvSl-1064-A1-R4_A1g00609	MvSv-1253-A1-R1_MC05g03680	0.3858	0.21	0.5444
MvSl-1064-A1-R4_MC02g04128	MvSv-1253-A1-R1_MC12g07647	1.2578	0.1044	0.083
MvSl-1064-A1-R4_MC02g04129	MvSv-1253-A1-R1_MC02g01325	0.0282	0.0039	0.1399
MvSl-1064-A1-R4_MC02g04130	MvSv-1253-A1-R1_MC02g01326	0.1394	0.0245	0.1759
MvSl-1064-A1-R4_MC02g04131	MvSv-1253-A1-R1_MC02g01327	0.1519	0.0441	0.29
MvSl-1064-A1-R4_MC02g04132	MvSv-1253-A1-R1_MC02g01328	0.091	0.0176	0.1931
MvSl-1064-A1-R4_MC02g04138	MvSv-1253-A1-R1_MC02g01334	0.0618	0.0138	0.2235
MvSl-1064-A1-R4_MC02g04139	MvSv-1253-A1-R1_MC02g01335	0.2299	0.0375	0.1631
MvSl-1064-A1-R4_MC02g04140	MvSv-1253-A1-R1_MC02g01336	0.3029	0.0398	0.1315
MvSl-1064-A1-R4_MC02g04141	MvSv-1253-A1-R1_MC02g01337	0.352	0.0383	0.1088
MvSl-1064-A1-R4_MC02g04142	MvSv-1253-A1-R1_MC02g01338	0.222	0.0427	0.1922
MvSl-1064-A1-R4_A1g00035	MvSv-1253-A1-R1_MC12g07658	0.7655	0.1692	0.221
MvSl-1064-A1-R4_A1g00624	MvSv-1253-A1-R1_MC12g07792	0.399	0.0333	0.0833
MvSl-1064-A1-R4_MC02g04144	MvSv-1253-A1-R1_MC02g01339	0.0892	0.0131	0.1474
MvSl-1064-A1-R4_MC02g04145	MvSv-1253-A1-R1_MC02g01340	0.0736	0.0133	0.1812
MvSl-1064-A1-R4_MC02g04146	MvSv-1253-A1-R1_MC02g01341	0.2507	0.0276	0.1099
MvSl-1064-A1-R4_MC02g04147	MvSv-1253-A1-R1_MC02g01342	0.3748	0.0356	0.095
MvSl-1064-A1-R4_MC02g04148	MvSv-1253-A1-R1_MC02g01343	0.0299	0.0048	0.16
MvSl-1064-A1-R4_MC02g04149	MvSv-1253-A1-R1_MC02g01344	0.0589	0.0115	0.1959
MvSl-1064-A1-R4_MC02g04150	MvSv-1253-A1-R1_MC02g01346	0.1914	0.0269	0.1408
MvSl-1064-A1-R4_MC02g04151	MvSv-1253-A1-R1_MC02g01347	0.2161	0.0224	0.1038
MvSl-1064-A1-R4_MC02g04152	MvSv-1253-A1-R1_MC02g01348	0.292	0.0223	0.0763
MvSl-1064-A1-R4_MC02g04153	MvSv-1253-A1-R1_MC02g01349	0.1056	0.0118	0.1121
MvSl-1064-A1-R4_A1g00627	MvSv-1253-A1-R1_MC12g07759	0.448	0.0289	0.0646
MvSl-1064-A1-R4_MC02g04154	MvSv-1253-A1-R1_MC02g01350	0.1149	0.011	0.096
MvSl-1064-A1-R4_MC02g04155	MvSv-1253-A1-R1_MC02g01351	0.2683	0.0316	0.1176
MvSl-1064-A1-R4_MC02g04156	MvSv-1253-A1-R1_MC02g01352	0.3185	0.0384	0.1205
MvSl-1064-A1-R4_MC02g04157	MvSv-1253-A1-R1_MC02g01353	0.3097	0.0395	0.1274
MvSl-1064-A1-R4_MC02g04158	MvSv-1253-A1-R1_MC02g01354	0.1886	0.0219	0.1163
MvSl-1064-A1-R4_MC02g04159	MvSv-1253-A1-R1_MC02g01355	0.2447	0.0284	0.1161
MvSl-1064-A1-R4_MC02g04160	MvSv-1253-A1-R1_MC02g01356	0.3116	0.043	0.138
MvSl-1064-A1-R4_MC02g04161	MvSv-1253-A1-R1_MC02g01357	0.2992	0.0435	0.1455
MvSl-1064-A1-R4_MC02g04162	MvSv-1253-A1-R1_MC02g01358	0.3165	0.0606	0.1914
MvSl-1064-A1-R4_MC02g04163	MvSv-1253-A1-R1_MC02g01359	0.1229	0.0121	0.0984
MvSl-1064-A1-R4_A1g00633	MvSv-1253-A1-R1_C27g00039	0.6567	0.0712	0.1084
MvSl-1064-A1-R4_MC02g04164	MvSv-1253-A1-R1_MC02g01360	0.3307	0.0356	0.1078
MvSl-1064-A1-R4_MC02g04165	MvSv-1253-A1-R1_MC02g01361	0.0204	0.0027	0.1312
MvSl-1064-A1-R4_MC02g04166	MvSv-1253-A1-R1_MC02g01362	0.0213	0.0032	0.1508
MvSl-1064-A1-R4_MC02g04167	MvSv-1253-A1-R1_MC02g01363	0.0742	0.0161	0.2166
MvSl-1064-A1-R4_MC02g04168	MvSv-1253-A1-R1_MC02g01364	0.9837	0.038	0.0386
MvSl-1064-A1-R4_MC02g04169	MvSv-1253-A1-R1_MC02g01365	0.0548	0.0071	0.1287
MvSl-1064-A1-R4_MC02g04171	MvSv-1253-A1-R1_MC02g01366	0.176	0.036	0.2043
MvSl-1064-A1-R4_MC02g04172	MvSv-1253-A1-R1_MC02g01367	0.5964	0.1476	0.2475
MvSl-1064-A1-R4_MC02g04176	MvSv-1253-A1-R1_MC02g01313	0.1243	0.0252	0.2025
MvSl-1064-A1-R4_MC02g04177	MvSv-1253-A1-R1_MC02g01312	0.3352	0.0665	0.1983
MvSl-1064-A1-R4_A1g00644	MvSv-1253-A1-R1_MC03g02267	0.8265	0.0476	0.0576
MvSl-1064-A1-R4_MC02g04178	MvSv-1253-A1-R1_MC02g01311	0.1882	0.0551	0.2928
MvSl-1064-A1-R4_MC02g04179	MvSv-1253-A1-R1_MC02g01310	0.2618	0.05	0.1908
MvSl-1064-A1-R4_MC02g04180	MvSv-1253-A1-R1_MC05g03825	0.4131	0.4503	1.0901
MvSl-1064-A1-R4_MC02g04187	MvSv-1253-A1-R1_MC02g01309	0.0366	0.009	0.2452
MvSl-1064-A1-R4_MC02g04188	MvSv-1253-A1-R1_MC02g01308	0.2246	0.0291	0.1294
MvSl-1064-A1-R4_MC02g04189	MvSv-1253-A1-R1_MC02g01307	0.2418	0.0379	0.1567
MvSl-1064-A1-R4_MC02g04190	MvSv-1253-A1-R1_MC02g01306	0.3292	0.0732	0.2225
MvSl-1064-A1-R4_MC02g04191	MvSv-1253-A1-R1_MC02g01305	0.2361	0.0503	0.2133
MvSl-1064-A1-R4_MC02g04194	MvSv-1253-A1-R1_MC02g01302	0.5516	0.137	0.2484
MvSl-1064-A1-R4_MC02g04203	MvSv-1253-A1-R1_MC02g01301	0.0618	0.016	0.2593
MvSl-1064-A1-R4_A1g00645	MvSv-1253-A1-R1_MC03g02268	0.4383	0.0279	0.0637
MvSl-1064-A1-R4_MC02g04204	MvSv-1253-A1-R1_MC02g01300	0.1123	0.023	0.2045
MvSl-1064-A1-R4_MC02g04206	MvSv-1253-A1-R1_MC02g01299	0.5998	0.1776	0.2961
MvSl-1064-A1-R4_MC02g04209	MvSv-1253-A1-R1_MC02g01297	0.2065	0.0471	0.2281
MvSl-1064-A1-R4_MC02g04210	MvSv-1253-A1-R1_MC02g01296	0.2179	0.0331	0.1517
MvSl-1064-A1-R4_MC02g04211	MvSv-1253-A1-R1_MC02g01295	0.1171	0.0296	0.2528
MvSl-1064-A1-R4_MC02g04212	MvSv-1253-A1-R1_MC02g01294	0.3165	0.0723	0.2285
MvSl-1064-A1-R4_MC02g04218	MvSv-1253-A1-R1_MC02g01293	0.5948	0.1632	0.2744
MvSl-1064-A1-R4_MC02g04221	MvSv-1253-A1-R1_MC07g04788	1.2335	0.2186	0.1772
MvSl-1064-A1-R4_MC02g04222	MvSv-1253-A1-R1_MC02g01292	0.0998	0.0196	0.1966
MvSl-1064-A1-R4_MC02g04223	MvSv-1253-A1-R1_MC02g01291	0.4297	0.0505	0.1175
MvSl-1064-A1-R4_A1g00646	MvSv-1253-A1-R1_MC03g02269	0.7221	0.0411	0.0569
MvSl-1064-A1-R4_MC02g04224	MvSv-1253-A1-R1_MC02g01290	0.3895	0.0694	0.1783
MvSl-1064-A1-R4_MC02g04228	MvSv-1253-A1-R1_MC02g01287	0.7235	0.4	0.5528
MvSl-1064-A1-R4_MC02g04229	MvSv-1253-A1-R1_MC02g01285	0.1451	0.0587	0.4042
MvSl-1064-A1-R4_MC02g04230	MvSv-1253-A1-R1_MC02g01284	0.2623	0.1072	0.4088
MvSl-1064-A1-R4_MC02g04231	MvSv-1253-A1-R1_MC02g01283	0.162	0.0595	0.3673
MvSl-1064-A1-R4_MC02g04232	MvSv-1253-A1-R1_MC02g01282	0.1548	0.0546	0.3525
MvSl-1064-A1-R4_MC02g04251	MvSv-1253-A1-R1_MC06g04108	1.1282	0.0269	0.0238
MvSl-1064-A1-R4_MC02g04252	MvSv-1253-A1-R1_MC06g04106	0.6497	0.093	0.1432
MvSl-1064-A1-R4_MC02g04253	MvSv-1253-A1-R1_MC06g04103	0.4728	0.0277	0.0586
MvSl-1064-A1-R4_MC03g04272	MvSv-1253-A1-R1_MC14-1g08759	0.0923	0.0046	0.0496
MvSl-1064-A1-R4_A1g00647	MvSv-1253-A1-R1_MC03g02270	0.2638	0.0282	0.1069
MvSl-1064-A1-R4_MC03g04275	MvSv-1253-A1-R1_MC11-1g07013	0.1324	0.1285	0.9712
MvSl-1064-A1-R4_MC03g04284	MvSv-1253-A1-R1_MC04g02819	0.7066	0.0483	0.0683
MvSl-1064-A1-R4_MC03g04285	MvSv-1253-A1-R1_MC04g02820	0.255	0.0239	0.0935
MvSl-1064-A1-R4_MC03g04286	MvSv-1253-A1-R1_MC04g02821	0.2111	0.0262	0.1244
MvSl-1064-A1-R4_MC03g04287	MvSv-1253-A1-R1_MC04g02822	0.1942	0.0275	0.1416
MvSl-1064-A1-R4_MC03g04288	MvSv-1253-A1-R1_MC04g02823	0.9869	0.1299	0.1316
MvSl-1064-A1-R4_MC03g04289	MvSv-1253-A1-R1_MC04g02824	0.4216	0.0497	0.1178
MvSl-1064-A1-R4_MC03g04290	MvSv-1253-A1-R1_MC04g02825	0.1984	0.0251	0.1263
MvSl-1064-A1-R4_MC03g04291	MvSv-1253-A1-R1_MC04g02826	0.1181	0.0162	0.1368
MvSl-1064-A1-R4_MC03g04292	MvSv-1253-A1-R1_MC04g02827	0.1856	0.0256	0.1381
MvSl-1064-A1-R4_A1g00648	MvSv-1253-A1-R1_MC03g02271	0.6211	0.0399	0.0642
MvSl-1064-A1-R4_MC03g04294	MvSv-1253-A1-R1_MC04g02829	0.1771	0.0208	0.1172
MvSl-1064-A1-R4_MC03g04295	MvSv-1253-A1-R1_MC04g02831	0.0496	0.0105	0.2125
MvSl-1064-A1-R4_MC03g04296	MvSv-1253-A1-R1_MC04g02832	0.2547	0.0357	0.1404
MvSl-1064-A1-R4_MC03g04297	MvSv-1253-A1-R1_MC04g02833	0.2119	0.0315	0.1489
MvSl-1064-A1-R4_MC03g04298	MvSv-1253-A1-R1_MC04g02834	0.2101	0.0319	0.1516
MvSl-1064-A1-R4_MC03g04299	MvSv-1253-A1-R1_MC04g02836	0.3061	0.027	0.0881
MvSl-1064-A1-R4_MC03g04301	MvSv-1253-A1-R1_MC04g02837	0.3587	0.0377	0.1052
MvSl-1064-A1-R4_MC03g04302	MvSv-1253-A1-R1_MC04g02838	0.2015	0.0252	0.1249
MvSl-1064-A1-R4_MC03g04305	MvSv-1253-A1-R1_MC04g02839	0.1487	0.0239	0.1606
MvSl-1064-A1-R4_MC03g04306	MvSv-1253-A1-R1_MC04g02840	0.1208	0.0187	0.1547
MvSl-1064-A1-R4_A1g00655	MvSv-1253-A1-R1_MC02g01912	0.8921	0.1671	0.1873
MvSl-1064-A1-R4_MC03g04308	MvSv-1253-A1-R1_MC04g02841	0.4218	0.0554	0.1315
MvSl-1064-A1-R4_MC03g04309	MvSv-1253-A1-R1_MC04g02842	0.3467	0.0405	0.1168
MvSl-1064-A1-R4_MC03g04310	MvSv-1253-A1-R1_MC04g02843	0.2793	0.0393	0.1406
MvSl-1064-A1-R4_MC03g04311	MvSv-1253-A1-R1_MC04g02844	0.3022	0.0291	0.0964
MvSl-1064-A1-R4_MC03g04312	MvSv-1253-A1-R1_MC04g02845	0.3559	0.034	0.0955
MvSl-1064-A1-R4_MC03g04313	MvSv-1253-A1-R1_MC04g02846	0.1548	0.0215	0.1387
MvSl-1064-A1-R4_MC03g04314	MvSv-1253-A1-R1_MC04g02847	0.1063	0.0132	0.124
