gida1	gidmvsv	dnds	dn	ds
MvSl-1064-A1-R4_MC01-1g02718	MvSv-1253-A1-R1_MC01g00437	0.3795	0.0409	0.1077
MvSl-1064-A1-R4_A1g00020	MvSv-1253-A1-R1_MC03g02377	0.4481	0.0458	0.1023
MvSl-1064-A1-R4_A1g00349	MvSv-1253-A1-R1_MC12g07926	0.1802	0.0207	0.1146
MvSl-1064-A1-R4_MC01-1g02719	MvSv-1253-A1-R1_MC01g00436	0.1688	0.0226	0.1336
MvSl-1064-A1-R4_MC01-1g02720	MvSv-1253-A1-R1_MC01g00435	0.3992	0.0231	0.058
MvSl-1064-A1-R4_MC01-1g02721	MvSv-1253-A1-R1_MC01g00434	0.2586	0.0158	0.0612
MvSl-1064-A1-R4_MC01-1g02722	MvSv-1253-A1-R1_MC01g00433	0.6017	0.0344	0.0571
MvSl-1064-A1-R4_MC01-1g02730	MvSv-1253-A1-R1_MC01g00430	0.2674	0.0274	0.1025
MvSl-1064-A1-R4_MC01-1g02731	MvSv-1253-A1-R1_MC01g00429	0.2513	0.0245	0.0976
MvSl-1064-A1-R4_MC01-1g02732	MvSv-1253-A1-R1_MC01g00428	0.3387	0.0283	0.0835
MvSl-1064-A1-R4_MC01-1g02740	MvSv-1253-A1-R1_MC01g00431	0.3027	0.0261	0.0863
MvSl-1064-A1-R4_MC01-1g02741	MvSv-1253-A1-R1_MC01g00432	0.3292	0.0293	0.0889
MvSl-1064-A1-R4_MC01-1g02749	MvSv-1253-A1-R1_MC01g00426	0.2588	0.0257	0.0992
MvSl-1064-A1-R4_A1g00350	MvSv-1253-A1-R1_MC12g07925	0.6175	0.0348	0.0563
MvSl-1064-A1-R4_MC01-1g02752	MvSv-1253-A1-R1_MC01g00425	0.3029	0.0252	0.0831
MvSl-1064-A1-R4_MC01-1g02762	MvSv-1253-A1-R1_MC01g00424	0.1871	0.0143	0.0762
MvSl-1064-A1-R4_MC01-1g02763	MvSv-1253-A1-R1_MC01g00423	0.9944	0.0851	0.0856
MvSl-1064-A1-R4_MC01-1g02764	MvSv-1253-A1-R1_MC01g00421	0.6078	0.0718	0.1182
MvSl-1064-A1-R4_MC01-1g02765	MvSv-1253-A1-R1_MC01g00420	0.0589	0.0063	0.1062
MvSl-1064-A1-R4_MC01-1g02766	MvSv-1253-A1-R1_MC01g00419	0.1409	0.0114	0.081
MvSl-1064-A1-R4_MC01-1g02767	MvSv-1253-A1-R1_MC01g00418	0.2336	0.0195	0.0835
MvSl-1064-A1-R4_MC01-1g02768	MvSv-1253-A1-R1_MC01g00417	0.6535	0.0331	0.0507
