gene	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_MC03g04273	9.15588	30.6387	13.3488	13.2224
MvSl-1064-A1-R4_MC03g04274	0	0	0	0
MvSl-1064-A1-R4_MC03g04275	6.33838	7.56039	31.8242	24.7601
MvSl-1064-A1-R4_MC03g04276	41.7102	112.941	121.747	44.6234
MvSl-1064-A1-R4_MC03g04277	134.397	368.297	346.214	151.591
MvSl-1064-A1-R4_MC03g04278	12.4031	32.8336	30.1767	20.7665
MvSl-1064-A1-R4_MC03g04279	389.108	528.139	785.393	619.523
MvSl-1064-A1-R4_MC03g04280	381.941	396.276	443.023	408.082
MvSl-1064-A1-R4_MC03g04281	1244	817	1018	1725
MvSl-1064-A1-R4_MC03g04282	2344.33	1630.94	2192.79	2653.4
MvSl-1064-A1-R4_MC03g04283	286	222	289	321
MvSl-1064-A1-R4_MC03g04284	5666	6402	6034	6761
MvSl-1064-A1-R4_MC03g04285	882	964	989	998
MvSl-1064-A1-R4_MC03g04286	644	891	778	585
MvSl-1064-A1-R4_MC03g04287	728	814	857	811
MvSl-1064-A1-R4_MC03g04288	66	41	73	111
MvSl-1064-A1-R4_MC03g04289	1086	1470	1572	1387
MvSl-1064-A1-R4_MC03g04290	2375	2499	3082	2715
MvSl-1064-A1-R4_MC03g04291	334	172	333	423
MvSl-1064-A1-R4_MC03g04292	664	518	594	688
MvSl-1064-A1-R4_MC03g04293	1605	1345	1606	1868
MvSl-1064-A1-R4_MC03g04294	1700	1744	1657	1554
MvSl-1064-A1-R4_MC03g04295	8127	13787	14914	9336
MvSl-1064-A1-R4_MC03g04296	536	659	625	697
MvSl-1064-A1-R4_MC03g04297	412	351	421	450
MvSl-1064-A1-R4_MC03g04298	1431	1499	1725	1675
MvSl-1064-A1-R4_MC03g04299	674	501	654	887
MvSl-1064-A1-R4_MC03g04300	85.0079	64.9387	67.1793	107
MvSl-1064-A1-R4_MC03g04301	1083	1099	1447	1266
MvSl-1064-A1-R4_MC03g04302	1118	1225	1142	1071
MvSl-1064-A1-R4_MC03g04304	431.711	314.416	481.502	492.813
MvSl-1064-A1-R4_MC03g04305	576	800	794	642
MvSl-1064-A1-R4_MC03g04306	8409	12510	11851	8041
MvSl-1064-A1-R4_MC03g04307	107	246	178	99
MvSl-1064-A1-R4_MC03g04308	1044	1407	1138	953
MvSl-1064-A1-R4_MC03g04309	259	348	443	352
MvSl-1064-A1-R4_MC03g04310	882	1258	1081	953
MvSl-1064-A1-R4_MC03g04311	2593	1510	2071	2430
MvSl-1064-A1-R4_MC03g04312	3021	2691	3268	3256
MvSl-1064-A1-R4_MC03g04313	686	494	814	941
MvSl-1064-A1-R4_MC03g04314	1569	1932	1818	1813
MvSl-1064-A1-R4_MC03g04315	1092	1239	1158	1132
MvSl-1064-A1-R4_MC03g04316	8305	6428	6796	9307
MvSl-1064-A1-R4_MC03g04317	758	1204	955	668
MvSl-1064-A1-R4_MC03g04318	1422	1787	1617	1547
MvSl-1064-A1-R4_MC03g04319	517	517	488	488
MvSl-1064-A1-R4_MC03g04320	605	735	575	529
MvSl-1064-A1-R4_MC03g04321	0	0	0	0
MvSl-1064-A1-R4_MC03g04322	20	17	45	37
MvSl-1064-A1-R4_MC03g04323	4	3	3	6
MvSl-1064-A1-R4_MC03g04324	243.098	257.159	369.708	376.732
MvSl-1064-A1-R4_MC03g04325	48	39	55	50
MvSl-1064-A1-R4_MC03g04326	23.2112	15	17.4696	16.1591
MvSl-1064-A1-R4_MC03g04327	186	198	223	247
MvSl-1064-A1-R4_MC03g04328	845	944	1065	927
MvSl-1064-A1-R4_MC03g04329	629	724	842	769
MvSl-1064-A1-R4_MC03g04330	704	666	852	760
MvSl-1064-A1-R4_MC03g04331	33	43	58	40
MvSl-1064-A1-R4_MC03g04332	26.0491	22.1591	28.3943	20.1664
MvSl-1064-A1-R4_MC03g04334	439.413	450.633	517.553	507.672
MvSl-1064-A1-R4_MC03g04335	13.2203	12.8214	9.06023	8.23941
MvSl-1064-A1-R4_MC03g04336	2681	3441	4037	3127
MvSl-1064-A1-R4_MC03g04337	1501	1379	1716	1676
MvSl-1064-A1-R4_MC03g04342	435.273	371.636	398.63	126.527
MvSl-1064-A1-R4_MC03g04343	101.025	371.636	398.63	464.558
MvSl-1064-A1-R4_MC03g04347	964.911	606.275	763.675	1580.15
MvSl-1064-A1-R4_MC03g04350	1	1	1	2
MvSl-1064-A1-R4_MC03g04351	0	5	8	10
MvSl-1064-A1-R4_MC03g04352	3.05833	9.15377	5.50208	4.37742
MvSl-1064-A1-R4_MC03g04353	1906	3107	2147	1462
MvSl-1064-A1-R4_MC03g04354	2232	2662	2609	2518
MvSl-1064-A1-R4_MC03g04355	1424	1583	1694	1481
MvSl-1064-A1-R4_MC03g04356	3114	4198	6413	4990
MvSl-1064-A1-R4_MC03g04357	1143	1194	953	1018
MvSl-1064-A1-R4_MC03g04358	2005	2198	2242	2284
MvSl-1064-A1-R4_MC03g04359	1663	1867	1928	1892
MvSl-1064-A1-R4_MC03g04360	7513	6613	6900	8011
MvSl-1064-A1-R4_MC03g04361	231	141	192	231
MvSl-1064-A1-R4_MC03g04362	7	3	11	11
MvSl-1064-A1-R4_MC03g04363	913	1164	1117	1001
MvSl-1064-A1-R4_MC03g04364	1043	887	1246	1294
MvSl-1064-A1-R4_MC03g04365	3004	3511	3117	2945
MvSl-1064-A1-R4_MC03g04366	1436	1867	1772	1519
MvSl-1064-A1-R4_MC03g04367	72	148	156	103
MvSl-1064-A1-R4_MC03g04368	369	596	539	396
MvSl-1064-A1-R4_MC03g04369	206	200	259	263
MvSl-1064-A1-R4_MC03g04370	1452.39	1055	1158.17	1663
MvSl-1064-A1-R4_MC03g04371	274	213	397	433
MvSl-1064-A1-R4_MC03g04372	111	97	115	184
MvSl-1064-A1-R4_MC03g04373	873.277	893.677	1336.9	1066.87
MvSl-1064-A1-R4_MC03g04374	0	0	0	0
MvSl-1064-A1-R4_MC03g04376	4	0	5	8
MvSl-1064-A1-R4_MC03g04377	54	34	71	132
MvSl-1064-A1-R4_MC03g04378	1	1	1	1
MvSl-1064-A1-R4_MC03g04379	16373	13068	15081	18026
MvSl-1064-A1-R4_MC03g04380	1023	1258	1272	1092
MvSl-1064-A1-R4_MC03g04381	89	262	240	193
MvSl-1064-A1-R4_MC03g04382	1857	1654	2122	1878
MvSl-1064-A1-R4_MC03g04383	951	1709	1219	939
MvSl-1064-A1-R4_MC03g04384	3625	5415	4068	3369
MvSl-1064-A1-R4_MC03g04385	392	411	448	538
MvSl-1064-A1-R4_MC03g04386	1241	1130	1482	1784
MvSl-1064-A1-R4_MC03g04387	1420	1900	1499	1251
MvSl-1064-A1-R4_MC03g04388	11503	7626	8369	13237
MvSl-1064-A1-R4_MC03g04389	664	632	671	759
MvSl-1064-A1-R4_MC03g04390	488	388	558	612
MvSl-1064-A1-R4_MC03g04391	2	1	0	0
MvSl-1064-A1-R4_MC03g04392	6.10641	7.13327	8.11632	5.03392
MvSl-1064-A1-R4_MC03g04393	66	34	30	49
MvSl-1064-A1-R4_MC03g04394	25	30	38	54
MvSl-1064-A1-R4_MC03g04395	261	341	372	316
MvSl-1064-A1-R4_MC03g04396	194	200	228	209
MvSl-1064-A1-R4_MC03g04397	102	86	104	130
MvSl-1064-A1-R4_MC03g04398	6	0	3	0
MvSl-1064-A1-R4_MC03g04399	3057	3088	3389	3333
MvSl-1064-A1-R4_MC03g04400	1120.79	899.866	1426.47	1470.16
MvSl-1064-A1-R4_MC03g04401	564	452	726	660
MvSl-1064-A1-R4_MC03g04402	853	648	1145	1066
MvSl-1064-A1-R4_MC03g04403	690	627	782	873
MvSl-1064-A1-R4_MC03g04404	1233	1317	1339	1268
MvSl-1064-A1-R4_MC03g04405	207	754	376	206
MvSl-1064-A1-R4_MC03g04406	975	981	1217	1023
MvSl-1064-A1-R4_MC03g04407	444	356	452	484
MvSl-1064-A1-R4_MC03g04408	187	134	139	145
MvSl-1064-A1-R4_MC03g04409	1115	924	1103	1290
MvSl-1064-A1-R4_MC03g04410	46	28	39	45
MvSl-1064-A1-R4_MC03g04411	1435	1926	1421.58	1188.2
MvSl-1064-A1-R4_MC03g04412	512	529	657	600
MvSl-1064-A1-R4_MC03g04413	828	1465	1219	893
MvSl-1064-A1-R4_MC03g04414	89	132	147	148
MvSl-1064-A1-R4_MC03g04415	212	126	170	269
MvSl-1064-A1-R4_MC03g04416	898	623	470	697
MvSl-1064-A1-R4_MC03g04417	379	265	224	248
MvSl-1064-A1-R4_MC03g04418	537	606	537	554
MvSl-1064-A1-R4_MC03g04419	16.8947	16.391	15.4152	20.2323
MvSl-1064-A1-R4_MC03g04420	1	2.09977	0	1
MvSl-1064-A1-R4_MC03g04421	2	1.00577	2	3
MvSl-1064-A1-R4_MC03g04422	1080.04	867.338	932.074	1251.74
MvSl-1064-A1-R4_MC03g04423	2357.57	2753.09	4779.87	4849.25
MvSl-1064-A1-R4_MC03g04424	103.108	88.7392	216.343	252.865
MvSl-1064-A1-R4_MC03g04425	0	1	0	1
MvSl-1064-A1-R4_MC03g04426	99.2121	73.0945	71.7084	95.4346
MvSl-1064-A1-R4_MC03g04427	176.631	111.682	155.562	220.145
MvSl-1064-A1-R4_MC03g04428	6.06349	11.046	10.1577	12.0328
MvSl-1064-A1-R4_MC03g04429	7.41033	4.59217	6.57604	16.14
MvSl-1064-A1-R4_MC03g04430	53.0467	40.4817	87.695	93.4695
MvSl-1064-A1-R4_MC03g04431	366.997	166.686	231.051	338.27
MvSl-1064-A1-R4_MC03g04432	1.00362	0	2	6.00858
MvSl-1064-A1-R4_MC03g04433	2753	2730	3472	3778
MvSl-1064-A1-R4_MC03g04434	399	415	498	482
MvSl-1064-A1-R4_MC03g04435	408	408	515	489
MvSl-1064-A1-R4_MC03g04436	342	377	390	353
MvSl-1064-A1-R4_MC03g04437	693	788	728	710
MvSl-1064-A1-R4_MC03g04438	27	20	18	17
MvSl-1064-A1-R4_MC03g04439	73	52	51	65
MvSl-1064-A1-R4_MC03g04440	2161	4431	10666	5029
MvSl-1064-A1-R4_MC03g04442	497.479	580.525	520.465	558.62
MvSl-1064-A1-R4_MC03g04443	148.603	216.931	229.454	155.327
MvSl-1064-A1-R4_MC03g04444	4.53812	0	0	0
MvSl-1064-A1-R4_MC03g04445	12.3506	4.19735	15.4669	16.6578
MvSl-1064-A1-R4_MC03g04446	165.036	183.881	288.719	275.085
MvSl-1064-A1-R4_MC03g04448	3286	3107	3967	4126
MvSl-1064-A1-R4_MC03g04449	380	226	246	441
MvSl-1064-A1-R4_MC03g04450	427	422	594	569
MvSl-1064-A1-R4_MC03g04451	1401	1328	1444	1415
MvSl-1064-A1-R4_MC03g04452	1242	1619	1628	1469
MvSl-1064-A1-R4_MC03g04453	809	999	1671	906
MvSl-1064-A1-R4_MC03g04454	551	571	855	600
MvSl-1064-A1-R4_MC03g04455	4828	5380	9477	5489
MvSl-1064-A1-R4_MC03g04456	107	261	355	98
MvSl-1064-A1-R4_MC03g04457	450	329	565	543
MvSl-1064-A1-R4_MC03g04458	2602	2559	2931	3083
MvSl-1064-A1-R4_MC03g04459	1250	1601	1916	1482
MvSl-1064-A1-R4_MC03g04460	1980	1815	1873	2103
MvSl-1064-A1-R4_MC03g04461	284	206	243	237
MvSl-1064-A1-R4_MC03g04462	217	164	126	117
MvSl-1064-A1-R4_MC03g04463	113	94	113	100
MvSl-1064-A1-R4_MC03g04464	153.089	135.118	141.091	127.922
MvSl-1064-A1-R4_MC03g04465	1447	1573	1954	1699
MvSl-1064-A1-R4_MC03g04466	1315	1644	1589	1472
MvSl-1064-A1-R4_MC03g04467	5	10	8	2
MvSl-1064-A1-R4_MC03g04468	1291	1363	1480	1371
MvSl-1064-A1-R4_MC03g04469	8401	7707	9323	10438
MvSl-1064-A1-R4_MC03g04470	4106	4495	4662	4974
MvSl-1064-A1-R4_MC03g04471	3721	5605	5936	4110
MvSl-1064-A1-R4_MC03g04472	701	655	995	944
MvSl-1064-A1-R4_MC03g04473	36	17	31	44
MvSl-1064-A1-R4_MC03g04474	30.1154	42.7538	28.5402	47.6391
MvSl-1064-A1-R4_MC03g04475	324.275	346.048	310.55	300.01
MvSl-1064-A1-R4_MC03g04476	504	550	605	675
MvSl-1064-A1-R4_MC03g04477	2	0	1	0
MvSl-1064-A1-R4_MC03g04478	4103	4091	4958	5061
MvSl-1064-A1-R4_MC03g04479	1570	1790	2048	1678
MvSl-1064-A1-R4_MC03g04480	2697	3365	2593	2450
MvSl-1064-A1-R4_MC03g04481	3818	3194	3766	4429
MvSl-1064-A1-R4_MC03g04482	669	727	803	792
MvSl-1064-A1-R4_MC03g04483	622	619	677	738
MvSl-1064-A1-R4_MC03g04484	4704	4098	5315	5663
MvSl-1064-A1-R4_MC03g04485	36	21	55	109
MvSl-1064-A1-R4_MC03g04486	1146	1253	1702	1728
MvSl-1064-A1-R4_MC03g04487	4035	2790	3392	4675
MvSl-1064-A1-R4_MC03g04488	665	619	926	1013
MvSl-1064-A1-R4_MC03g04489	60	48	75	167
MvSl-1064-A1-R4_MC03g04490	1903	1808	2159	2176
MvSl-1064-A1-R4_MC03g04491	710	930	1026	968
MvSl-1064-A1-R4_MC03g04492	900	1185	1407	1107
MvSl-1064-A1-R4_MC03g04493	3620	4553	3591	3035
MvSl-1064-A1-R4_MC03g04494	2093	2494	2415	2019
MvSl-1064-A1-R4_MC03g04495	876	970	1190	1066
MvSl-1064-A1-R4_MC03g04496	17087	15193	19140	16541
MvSl-1064-A1-R4_MC03g04497	2468	2693	2737	2664
MvSl-1064-A1-R4_MC03g04498	1195	1230	1461	1302
MvSl-1064-A1-R4_MC03g04499	7400	7725	8576	8756
MvSl-1064-A1-R4_MC03g04500	1336	1525	1633	1425
MvSl-1064-A1-R4_MC03g04501	1088	1286	1190	1095
MvSl-1064-A1-R4_MC03g04502	9	11	15	11
MvSl-1064-A1-R4_MC03g04503	1367	1961	1956	1588
MvSl-1064-A1-R4_MC03g04504	1677	2349	2433	1698
MvSl-1064-A1-R4_MC03g04505	1005	1213	1241	1110
MvSl-1064-A1-R4_MC03g04506	558	725	709	617
MvSl-1064-A1-R4_MC03g04507	2593	3213	3185	2652
MvSl-1064-A1-R4_MC03g04508	52	47	95	96
MvSl-1064-A1-R4_MC03g04509	9	8	12	20
MvSl-1064-A1-R4_MC03g04510	302	294	402	296
MvSl-1064-A1-R4_MC03g04511	503	440	579	686
MvSl-1064-A1-R4_MC03g04512	2299	2561	3825	3218
MvSl-1064-A1-R4_MC03g04513	503	755	1021	832
MvSl-1064-A1-R4_MC03g04514	93	120	83	118
MvSl-1064-A1-R4_MC03g04515	2360	2045	2305	2815
MvSl-1064-A1-R4_MC03g04516	3741	3263	3205	4205
MvSl-1064-A1-R4_MC03g04517	1754	2185	2340	2123
MvSl-1064-A1-R4_MC03g04518	20709	25142	21523	19283
MvSl-1064-A1-R4_MC03g04519	1223	1481	1086	974
MvSl-1064-A1-R4_MC03g04520	9.14294	7.54231	5.42329	8.40509
MvSl-1064-A1-R4_MC03g04521	127	236	164	119
MvSl-1064-A1-R4_MC03g04522	420	885	699	516
MvSl-1064-A1-R4_MC03g04523	8166	7981	7051	7131
MvSl-1064-A1-R4_MC03g04524	1250	1302	1665	1426
MvSl-1064-A1-R4_MC03g04525	141	126	139	147
MvSl-1064-A1-R4_MC03g04526	726	646	800	846
MvSl-1064-A1-R4_MC03g04527	2244	1567	1817	2765
MvSl-1064-A1-R4_MC03g04528	827	818	959	937
MvSl-1064-A1-R4_MC03g04529	71	23	36	152
MvSl-1064-A1-R4_MC03g04530	1	1	2	3
MvSl-1064-A1-R4_MC03g04531	3	8	9.08735	3.06578
MvSl-1064-A1-R4_MC03g04532	31.3898	14.1447	36.2401	63.0641
MvSl-1064-A1-R4_MC03g04533	1.053	0	3.15907	3.148
MvSl-1064-A1-R4_MC03g04534	2250	2119	3123	3880
MvSl-1064-A1-R4_MC03g04535	3219	3308	3230	3553
MvSl-1064-A1-R4_MC03g04536	315	401	466	461
MvSl-1064-A1-R4_MC03g04537	427	751	840	687
MvSl-1064-A1-R4_MC03g04538	2217	2020	2228	2172
MvSl-1064-A1-R4_MC03g04539	34.6731	25.1795	85.4273	197.515
MvSl-1064-A1-R4_MC03g04540	81618	59835	87324.6	100158
MvSl-1064-A1-R4_MC03g04541	670	926	914	853
MvSl-1064-A1-R4_MC03g04542	937	1307	1340	1131
MvSl-1064-A1-R4_MC03g04543	2400	4104	4144	2603
MvSl-1064-A1-R4_MC03g04544	768	1008	1148	1039
MvSl-1064-A1-R4_MC03g04545	666	1072	922	747
MvSl-1064-A1-R4_MC03g04546	568	783	687	472
MvSl-1064-A1-R4_MC03g04547	339	344	490	428.64
MvSl-1064-A1-R4_MC03g04548	208.768	240.737	264.892	261.711
MvSl-1064-A1-R4_MC03g04549	1256.85	1191.36	1708.52	1610.18
MvSl-1064-A1-R4_MC03g04550	71	70	76	39
MvSl-1064-A1-R4_MC03g04551	44	18	34	64
MvSl-1064-A1-R4_MC03g04552	3660	3490	3809	3795
MvSl-1064-A1-R4_MC03g04553	2060	1833	2264	2439
MvSl-1064-A1-R4_MC03g04554	283	334	435	362
MvSl-1064-A1-R4_MC03g04555	404	469	512	404
MvSl-1064-A1-R4_MC03g04556	575.912	571.364	838.988	921.582
MvSl-1064-A1-R4_MC03g04557	2	1	1	0
MvSl-1064-A1-R4_MC03g04558	2884	2943	3554	3335
MvSl-1064-A1-R4_MC03g04559	4612	4289	5454	5329
MvSl-1064-A1-R4_MC03g04560	1161	1135	1421	1455
MvSl-1064-A1-R4_MC03g04561	1416.66	1744.05	1533.96	1460.32
MvSl-1064-A1-R4_MC03g04562	1114.53	1402.55	1251.37	1128.62
MvSl-1064-A1-R4_MC03g04565	348.511	260.091	320.04	528.817
MvSl-1064-A1-R4_MC03g04566	1.15655	0	0	0
MvSl-1064-A1-R4_MC03g04567	2.2596	0	1.13994	0
MvSl-1064-A1-R4_MC03g04568	0	0	0	0
MvSl-1064-A1-R4_MC03g04570	3266	2992	3663	3250
MvSl-1064-A1-R4_MC03g04571	282	364	392	389
MvSl-1064-A1-R4_MC03g04572	4293	5201	5597	4820
MvSl-1064-A1-R4_MC03g04573	805	1137	966	957
MvSl-1064-A1-R4_MC03g04574	957	1054	1179	1005
MvSl-1064-A1-R4_MC03g04575	1149	1750	1460	1337
MvSl-1064-A1-R4_MC03g04576	163	139	242	235
MvSl-1064-A1-R4_MC03g04577	2010	1883	1874	2216
MvSl-1064-A1-R4_MC03g04578	0	0	3.13432	2.03382
MvSl-1064-A1-R4_MC03g04579	435.743	452.242	586.941	751.458
MvSl-1064-A1-R4_MC03g04581	202.296	157.142	218.277	258.577
MvSl-1064-A1-R4_MC03g04582	104.784	52.7317	78.7626	71.0345
MvSl-1064-A1-R4_MC03g04583	325.553	306.912	319.122	327.615
MvSl-1064-A1-R4_MC03g04584	107.128	107.148	45.8935	80.9287
MvSl-1064-A1-R4_MC03g04585	779.182	765.521	1029.57	1093.98
MvSl-1064-A1-R4_MC03g04586	534.237	473.285	674.145	891.99
MvSl-1064-A1-R4_MC03g04589	1564.47	1814.45	1638.63	1470.38
MvSl-1064-A1-R4_MC03g04590	2794.34	2588.95	3401.04	3670.68
MvSl-1064-A1-R4_MC03g04592	4594.67	3778.52	4222.15	4969.98
MvSl-1064-A1-R4_MC03g04593	2644.44	3827.21	4018.09	3066.02
MvSl-1064-A1-R4_MC03g04594	32.8875	19.494	12.4383	25.6819
MvSl-1064-A1-R4_MC03g04595	0	1	0	2
MvSl-1064-A1-R4_MC03g04596	0	1	0	0
MvSl-1064-A1-R4_MC03g04597	992	840	1011	1093
MvSl-1064-A1-R4_MC03g04598	2063	2023	2260	2385
MvSl-1064-A1-R4_MC03g04599	2131	2127	2872	2588
MvSl-1064-A1-R4_MC03g04600	296	248	267	347
MvSl-1064-A1-R4_MC03g04601	2409	2576	2812	2527
MvSl-1064-A1-R4_MC03g04602	1433	2430	4038	1758
MvSl-1064-A1-R4_MC03g04603	1294	1509	1547	1321
MvSl-1064-A1-R4_MC03g04605	31.5986	30.549	78.5924	67.4591
MvSl-1064-A1-R4_MC03g04606	360	409	438	468
MvSl-1064-A1-R4_MC03g04607	628	1303	781	615
MvSl-1064-A1-R4_MC03g04608	0	2.03212	0	1
MvSl-1064-A1-R4_MC03g04609	27	13	16	21
MvSl-1064-A1-R4_MC03g04610	6707	7872	9619	8684
MvSl-1064-A1-R4_MC03g04611	5233	5092	4864	5400
MvSl-1064-A1-R4_MC03g04612	3238	3823	3837	3448
MvSl-1064-A1-R4_MC03g04613	679	813	797	795
MvSl-1064-A1-R4_MC03g04614	6623	5605	5816	7066
MvSl-1064-A1-R4_MC03g04615	707	837	916	884
MvSl-1064-A1-R4_MC03g04616	3588	3345	3303	2839
MvSl-1064-A1-R4_MC03g04617	2019	1790	1695	1644
MvSl-1064-A1-R4_MC03g04618	2551	1962	2182	2318
MvSl-1064-A1-R4_MC03g04619	665	746	881	746
MvSl-1064-A1-R4_MC03g04620	862	1633	1311	994
MvSl-1064-A1-R4_MC03g04621	1373	1625	1554	1417
MvSl-1064-A1-R4_MC03g04622	11800	20112	25363	14608
MvSl-1064-A1-R4_MC03g04623	29	38	34	19
MvSl-1064-A1-R4_MC03g04624	16	17	21	20
MvSl-1064-A1-R4_MC03g04625	12	26	34	30
MvSl-1064-A1-R4_MC03g04626	620	626	837	734
MvSl-1064-A1-R4_MC03g04627	1001	1316	1613	1768
MvSl-1064-A1-R4_MC03g04628	7	8	13	19
MvSl-1064-A1-R4_MC03g04629	145.06	106.236	164	200.096
MvSl-1064-A1-R4_MC03g04630	3206	4685	5851	4242
MvSl-1064-A1-R4_MC03g04631	983	936	1203	1106
MvSl-1064-A1-R4_MC03g04632	4948	3973	5214	5559
MvSl-1064-A1-R4_MC03g04633	667	757	670	750
MvSl-1064-A1-R4_MC03g04634	456	502	613	558
MvSl-1064-A1-R4_MC03g04635	439	375	448	484
MvSl-1064-A1-R4_MC03g04636	6357	6267	6841	6662
MvSl-1064-A1-R4_MC03g04637	184	166	206	184
MvSl-1064-A1-R4_MC03g04638	795	626	782	961
MvSl-1064-A1-R4_MC03g04639	758	1098	1057	915
MvSl-1064-A1-R4_MC03g04640	0	1	0	0
MvSl-1064-A1-R4_MC03g04641	7145	6492	7478	8993
MvSl-1064-A1-R4_MC03g04642	2408	1939	1312	1066
MvSl-1064-A1-R4_MC03g04643	2919	3492	3422	2985
MvSl-1064-A1-R4_MC03g04644	1246	1424	1537	1559
MvSl-1064-A1-R4_MC03g04645	879	1051	1257	927
MvSl-1064-A1-R4_MC03g04646	5639	7476	5109	4297
MvSl-1064-A1-R4_MC03g04647	656	634	766	908
MvSl-1064-A1-R4_MC03g04648	3289	2097	2708	3857
MvSl-1064-A1-R4_MC03g04649	3654	3032	3607	4039
MvSl-1064-A1-R4_MC03g04650	0	0	7.4507	1.22665
MvSl-1064-A1-R4_MC03g04651	0	0	0	0
MvSl-1064-A1-R4_MC03g04652	889	877	1101	1158
MvSl-1064-A1-R4_MC03g04653	1535	2285	1630	1335
MvSl-1064-A1-R4_MC03g04654	682	839	933	872
MvSl-1064-A1-R4_MC03g04655	1289	1321	1538	1706
MvSl-1064-A1-R4_MC03g04656	38	36	76	87
MvSl-1064-A1-R4_MC03g04657	79	55	83	205
MvSl-1064-A1-R4_MC03g04658	53.0101	24.3706	39.6705	30.3867
MvSl-1064-A1-R4_MC03g04659	3707	3931	4202	3465
MvSl-1064-A1-R4_MC03g04660	3427	3073	3872	4182
MvSl-1064-A1-R4_MC03g04661	2355	1833	2032	2571
MvSl-1064-A1-R4_MC03g04662	986	991	1295	1317
MvSl-1064-A1-R4_MC03g04663	76	57	71	64
MvSl-1064-A1-R4_MC03g04664	484	535	626	568
MvSl-1064-A1-R4_MC03g04665	1579	1431	1620	1873
MvSl-1064-A1-R4_MC03g04666	0	1	0	2
MvSl-1064-A1-R4_MC03g04667	3487	2888	4193	4762
MvSl-1064-A1-R4_MC03g04668	548	654	745	630
MvSl-1064-A1-R4_MC03g04669	1055	1366	1540	1175
MvSl-1064-A1-R4_MC03g04670	6002	5139	5708	6402
MvSl-1064-A1-R4_MC03g04671	1599	1777	2311	1705
MvSl-1064-A1-R4_MC03g04672	965	1229	1137	1060
MvSl-1064-A1-R4_MC03g04673	8588	7127	9885	11278
MvSl-1064-A1-R4_MC03g04674	3	12	6	6
MvSl-1064-A1-R4_MC03g04675	37	34	59	41
MvSl-1064-A1-R4_MC03g04676	4354	5325	5025	5029
MvSl-1064-A1-R4_MC03g04677	356	538	466	414
MvSl-1064-A1-R4_MC03g04678	4693	4286	5094	5612
MvSl-1064-A1-R4_MC03g04679	69	57	49	64
MvSl-1064-A1-R4_MC03g04680	1156.94	1474.29	1396.11	1179.59
MvSl-1064-A1-R4_MC03g04681	151.59	144.718	155	130
MvSl-1064-A1-R4_MC03g04682	104	102	109	148
MvSl-1064-A1-R4_MC03g04683	24.0966	31.744	32.601	34.6739
MvSl-1064-A1-R4_MC03g04684	41.9615	61.9638	77.2915	55.7406
MvSl-1064-A1-R4_MC03g04685	1762	2499	2448	2250
MvSl-1064-A1-R4_MC03g04686	747	798	828	827
MvSl-1064-A1-R4_MC03g04687	265.716	349.195	359.481	316.284
MvSl-1064-A1-R4_MC03g04688	353.506	454.895	894.673	467.765
MvSl-1064-A1-R4_MC03g04689	3474	3468	4014	4230
MvSl-1064-A1-R4_MC03g04690	353	1049	555	239
MvSl-1064-A1-R4_MC03g04691	2003	2014	2563	2894
MvSl-1064-A1-R4_MC03g04692	3016	3167	3148	3395
MvSl-1064-A1-R4_MC03g04693	439	494	608	488
MvSl-1064-A1-R4_MC03g04694	312	139	239	385
MvSl-1064-A1-R4_MC03g04695	57	53	129	112
MvSl-1064-A1-R4_MC03g04696	18	26	33	34
MvSl-1064-A1-R4_MC03g04697	54	33	77	102
MvSl-1064-A1-R4_MC03g04698	341	274	431	476
MvSl-1064-A1-R4_MC03g04699	2038	1885	2470	2511
MvSl-1064-A1-R4_MC03g04700	3	2	13	6
MvSl-1064-A1-R4_MC03g04701	87	72	144	216
MvSl-1064-A1-R4_MC03g04702	381	397	523	530
MvSl-1064-A1-R4_MC03g04703	139	94	189	233
MvSl-1064-A1-R4_MC03g04704	2117	1849	1997	2333
MvSl-1064-A1-R4_MC03g04705	613	529	743	662
MvSl-1064-A1-R4_MC03g04706	0	4.35625	3.53655	0.0465797
MvSl-1064-A1-R4_MC03g04707	69.4934	34.4886	58.2825	85.1647
MvSl-1064-A1-R4_MC03g04708	1900	1999	1809	1680
MvSl-1064-A1-R4_MC03g04709	412	634	668	477
MvSl-1064-A1-R4_MC03g04710	1490	2402	2020	1551
MvSl-1064-A1-R4_MC03g04711	146	95	120	104
MvSl-1064-A1-R4_MC03g04712	5200	7038	6775	5627
MvSl-1064-A1-R4_MC03g04713	2101	2307	1920	2345
MvSl-1064-A1-R4_MC03g04714	2272	2153	2230	2253
MvSl-1064-A1-R4_MC03g04715	801	732	950	1036
MvSl-1064-A1-R4_MC03g04716	254	305	323	319
MvSl-1064-A1-R4_MC03g04717	160	137	185	200
MvSl-1064-A1-R4_MC03g04718	228	166	219	267
MvSl-1064-A1-R4_MC03g04719	805	728	923	974
MvSl-1064-A1-R4_MC03g04720	1797	2153	2218	1734
MvSl-1064-A1-R4_MC03g04721	523.774	894.857	556.598	472.422
MvSl-1064-A1-R4_MC03g04722	195	227	301	268
MvSl-1064-A1-R4_MC03g04723	709	691	802	755
MvSl-1064-A1-R4_MC03g04724	3313	3711	4086	3290
MvSl-1064-A1-R4_MC03g04725	292	350	457	388
MvSl-1064-A1-R4_MC03g04726	941	928	1174	1164
