a2	a2s1	a2s2	a1	a1s1	a1s2
MvSl-1064-A2-R4_A2g00116	55.4767	67.7362	MvSl-1064-A1-R4_A1g00106	32.3343	37.4616
MvSl-1064-A2-R4_A2g00117	14.2629	15.5696	MvSl-1064-A1-R4_A1g00107	75.9946	70.3345
MvSl-1064-A2-R4_A2g00118	622	591	MvSl-1064-A1-R4_A1g00108	546	779
MvSl-1064-A2-R4_A2g00119	3014	2282	MvSl-1064-A1-R4_A1g00109	2188	3142
MvSl-1064-A2-R4_A2g00120	6731	7362	MvSl-1064-A1-R4_A1g00110	5446	4950
MvSl-1064-A2-R4_A2g00121	1	3	MvSl-1064-A1-R4_A1g00111	1	1
MvSl-1064-A2-R4_A2g00122	228.008	269.492	MvSl-1064-A1-R4_A1g00112	115.276	65.8166
MvSl-1064-A2-R4_A2g00123	5119	5287	MvSl-1064-A1-R4_A1g00113	5284	4276
MvSl-1064-A2-R4_A2g00124	276	281	MvSl-1064-A1-R4_A1g00367	342	371
MvSl-1064-A2-R4_A2g00125	1790	1369	MvSl-1064-A1-R4_A1g00368	1241	1611
MvSl-1064-A2-R4_A2g00126	2930	2719	MvSl-1064-A1-R4_A1g00369	2374	2868
MvSl-1064-A2-R4_A2g00127	2675	2742	MvSl-1064-A1-R4_A1g00370	2394	2572
MvSl-1064-A2-R4_A2g00128	2994	3135	MvSl-1064-A1-R4_A1g00371	3179.27	3512.99
MvSl-1064-A2-R4_A2g00129	4014	3914	MvSl-1064-A1-R4_A1g00372	2958	3262
MvSl-1064-A2-R4_A2g00130	1325	1087	MvSl-1064-A1-R4_A1g00373	690	1011
MvSl-1064-A2-R4_A2g00131	4709	5154	MvSl-1064-A1-R4_A1g00374	4438	3424
MvSl-1064-A2-R4_A2g00132	272.769	403.949	MvSl-1064-A1-R4_A1g00375	509.637	402.446
MvSl-1064-A2-R4_A2g00153	1042	939	MvSl-1064-A1-R4_A1g01392	831	1188
MvSl-1064-A2-R4_A2g00154	2159	2348	MvSl-1064-A1-R4_A1g01393	1465	1507
MvSl-1064-A2-R4_A2g00160	690.415	718.595	MvSl-1064-A1-R4_A1g00209	1523.19	1448.81
MvSl-1064-A2-R4_A2g00163	3216	2561	MvSl-1064-A1-R4_A1g01415	1936	1896
MvSl-1064-A2-R4_A2g00169	3210	3749	MvSl-1064-A1-R4_A1g00290	2474	2918
MvSl-1064-A2-R4_A2g00179	400	265	MvSl-1064-A1-R4_A1g00772	269	504
MvSl-1064-A2-R4_A2g00185	2204	1733	MvSl-1064-A1-R4_A1g01389	1960	2658
MvSl-1064-A2-R4_A2g00186	1202	962	MvSl-1064-A1-R4_A1g01388	474	958
MvSl-1064-A2-R4_A2g00195	3184	3120	MvSl-1064-A1-R4_A1g01252	2342	2456
MvSl-1064-A2-R4_A2g00196	1754	1315	MvSl-1064-A1-R4_A1g01253	2254	2690
MvSl-1064-A2-R4_A2g00203	1793.51	1730.38	MvSl-1064-A1-R4_A1g00800	2430.23	3105.48
MvSl-1064-A2-R4_A2g00204	319	228	MvSl-1064-A1-R4_A1g00801	190	299
MvSl-1064-A2-R4_A2g00206	28	28	MvSl-1064-A1-R4_A1g00808	183.99	173.992
MvSl-1064-A2-R4_A2g00207	1	2	MvSl-1064-A1-R4_A1g00589	6	4
MvSl-1064-A2-R4_A2g00208	23	45	MvSl-1064-A1-R4_A1g00591	752	479
MvSl-1064-A2-R4_A2g00209	213	364	MvSl-1064-A1-R4_A1g00592	72	41
MvSl-1064-A2-R4_A2g00210	5533	6240	MvSl-1064-A1-R4_A1g00593	5332	4687
MvSl-1064-A2-R4_A2g00220	0	31.6914	MvSl-1064-A1-R4_A1g00608	47.2625	43.9116
MvSl-1064-A2-R4_A2g00231	64.575	76.7882	MvSl-1064-A1-R4_A1g00641	234.492	354
MvSl-1064-A2-R4_A2g00239	3704	3419	MvSl-1064-A1-R4_A1g00726	3374	4348
MvSl-1064-A2-R4_A2g00240	921.17	1045	MvSl-1064-A1-R4_A1g00120	531.237	457.002
MvSl-1064-A2-R4_A2g00241	2256.23	2353.79	MvSl-1064-A1-R4_A1g00246	1112	1086
MvSl-1064-A2-R4_A2g00258	147.918	157.76	MvSl-1064-A1-R4_A1g00215	195.897	237.164
MvSl-1064-A2-R4_A2g00279	7	14	MvSl-1064-A1-R4_A1g00102	42.0906	33.0929
MvSl-1064-A2-R4_A2g00289	1	1	MvSl-1064-A1-R4_A1g00233	7.08146	12.2429
MvSl-1064-A2-R4_A2g00290	3270	3329	MvSl-1064-A1-R4_A1g00165	4664	4349
MvSl-1064-A2-R4_A2g00295	198.302	186.246	MvSl-1064-A1-R4_A1g00481	178.341	156.204
MvSl-1064-A2-R4_A2g00298	1287	919	MvSl-1064-A1-R4_A1g00718	406	531
MvSl-1064-A2-R4_A2g00300	207	291	MvSl-1064-A1-R4_A1g00254	912	745
MvSl-1064-A2-R4_A2g00301	9157	6461	MvSl-1064-A1-R4_A1g00359	7531	8885
MvSl-1064-A2-R4_A2g00303	1684	2114	MvSl-1064-A1-R4_A1g00281	1662	1498
MvSl-1064-A2-R4_A2g00304	5827	5245	MvSl-1064-A1-R4_A1g00280	3999	4259
MvSl-1064-A2-R4_A2g00313	363.133	548.375	MvSl-1064-A1-R4_A1g00168	1279.29	1003.34
MvSl-1064-A2-R4_A2g00314	2318	2372	MvSl-1064-A1-R4_A1g00648	1311	1306
MvSl-1064-A2-R4_A2g00315	6955	5854	MvSl-1064-A1-R4_A1g00647	4949	8045
MvSl-1064-A2-R4_A2g00319	251.596	525.956	MvSl-1064-A1-R4_A1g00492	470.921	451.108
MvSl-1064-A2-R4_A2g00328	710	693	MvSl-1064-A1-R4_A1g00778	561	372
MvSl-1064-A2-R4_A2g00329	6722	7383	MvSl-1064-A1-R4_A1g00779	4004	3806
MvSl-1064-A2-R4_A2g00349	216.609	216.67	MvSl-1064-A1-R4_A1g01282	3.15644	2.06513
MvSl-1064-A2-R4_A2g00351	11202	8606	MvSl-1064-A1-R4_A1g00869	11089	18750
MvSl-1064-A2-R4_A2g00365	477	442	MvSl-1064-A1-R4_A1g00405	454	728
MvSl-1064-A2-R4_A2g00366	266	247	MvSl-1064-A1-R4_A1g00404	182	178
MvSl-1064-A2-R4_A2g00367	2003	1869	MvSl-1064-A1-R4_A1g00403	2205	2498
MvSl-1064-A2-R4_A2g00368	5038	5123	MvSl-1064-A1-R4_A1g00402	4416	4625
MvSl-1064-A2-R4_A2g00369	4000	2290	MvSl-1064-A1-R4_A1g00401	2470	4594
MvSl-1064-A2-R4_A2g00370	293	475	MvSl-1064-A1-R4_A1g00400	760	646
MvSl-1064-A2-R4_A2g00371	6823	4213	MvSl-1064-A1-R4_A1g00399	3616	5803
MvSl-1064-A2-R4_A2g00372	5895	5101	MvSl-1064-A1-R4_A1g00398	4924	5730
MvSl-1064-A2-R4_A2g00373	13479	10591	MvSl-1064-A1-R4_A1g00397	9332	13573
MvSl-1064-A2-R4_A2g00374	4211	3589	MvSl-1064-A1-R4_A1g00396	3433	4230
MvSl-1064-A2-R4_A2g00375	5745	5771	MvSl-1064-A1-R4_A1g00395	6196	5923
