a2	a2s1	a2s2	a1	a1s1	a1s2
MvSl-1064-A2-R4_MC02g04109	2695	2732	MvSl-1064-A1-R4_MC02g03831	2260	1929
MvSl-1064-A2-R4_MC02g04110	3451	3441	MvSl-1064-A1-R4_MC02g03832	2748	2543
MvSl-1064-A2-R4_MC02g04111	513	402	MvSl-1064-A1-R4_MC02g03833	334	458
MvSl-1064-A2-R4_MC02g04112	678.224	644.325	MvSl-1064-A1-R4_MC02g03834	519.167	614.122
MvSl-1064-A2-R4_MC02g04113	51.7894	53.6452	MvSl-1064-A1-R4_MC02g03835	42.3122	38.0537
MvSl-1064-A2-R4_MC02g04114	1783	2178	MvSl-1064-A1-R4_MC02g03836	1957	1810
MvSl-1064-A2-R4_MC02g04115	842	1090	MvSl-1064-A1-R4_MC02g03837	840	629
MvSl-1064-A2-R4_MC02g04116	689	652	MvSl-1064-A1-R4_MC02g03838	541	649
MvSl-1064-A2-R4_MC02g04117	463	550	MvSl-1064-A1-R4_MC02g03839	507	333
MvSl-1064-A2-R4_MC02g04118	1679	1653	MvSl-1064-A1-R4_MC02g03840	1332	1425
MvSl-1064-A2-R4_MC02g04119	4385	7456	MvSl-1064-A1-R4_MC02g03841	5500	3178
MvSl-1064-A2-R4_MC02g04120	3678	3353	MvSl-1064-A1-R4_MC02g03842	2332	2210
MvSl-1064-A2-R4_MC02g04121	1707	1429	MvSl-1064-A1-R4_MC02g03843	1004	1320
MvSl-1064-A2-R4_MC02g04122	2663	2761	MvSl-1064-A1-R4_MC02g03844	2643	2183
MvSl-1064-A2-R4_MC02g04123	2496	2786	MvSl-1064-A1-R4_MC02g03845	3208	2495
MvSl-1064-A2-R4_MC02g04124	5508	4989	MvSl-1064-A1-R4_MC02g03846	5572	5384
MvSl-1064-A2-R4_MC02g04125	1366	1237	MvSl-1064-A1-R4_MC02g03847	1083	1144
MvSl-1064-A2-R4_MC02g04126	647	611	MvSl-1064-A1-R4_MC02g03848	645	637
MvSl-1064-A2-R4_MC02g04127	13316	13812	MvSl-1064-A1-R4_MC02g03849	12470	11063
MvSl-1064-A2-R4_MC02g04128	66	31	MvSl-1064-A1-R4_MC02g03850	61	91
MvSl-1064-A2-R4_MC02g04129	10	14	MvSl-1064-A1-R4_MC02g03851	22	20
MvSl-1064-A2-R4_MC02g04130	62	25	MvSl-1064-A1-R4_MC02g03852	70	130
MvSl-1064-A2-R4_MC02g04131	3471	2458	MvSl-1064-A1-R4_MC02g03853	2542.91	3212
MvSl-1064-A2-R4_MC02g04132	386.184	339.885	MvSl-1064-A1-R4_MC02g03854	278.315	258.02
MvSl-1064-A2-R4_MC02g04133	57.1257	99.605	MvSl-1064-A1-R4_MC02g03855	57.3448	48.7571
MvSl-1064-A2-R4_MC02g04134	409.69	296.785	MvSl-1064-A1-R4_MC02g03856	320.047	462.432
MvSl-1064-A2-R4_MC02g04135	4095.78	3965.96	MvSl-1064-A1-R4_MC02g03857	3087.81	3921.18
MvSl-1064-A2-R4_MC02g04136	382	387	MvSl-1064-A1-R4_MC02g03858	277	280
MvSl-1064-A2-R4_MC02g04137	120	106	MvSl-1064-A1-R4_MC02g03859	121	122
MvSl-1064-A2-R4_MC02g04138	343.151	390.773	MvSl-1064-A1-R4_MC02g03860	203.816	194.718
MvSl-1064-A2-R4_MC02g04142	2910	2272	MvSl-1064-A1-R4_MC02g03864	2755	3047
MvSl-1064-A2-R4_MC02g04143	929	752	MvSl-1064-A1-R4_MC02g03865	663	691
MvSl-1064-A2-R4_MC02g04144	1266	1251	MvSl-1064-A1-R4_MC02g03866	1157	1237
MvSl-1064-A2-R4_MC02g04145	3800	3274	MvSl-1064-A1-R4_MC02g03867	3223	4455
MvSl-1064-A2-R4_MC02g04146	3474.82	3397.27	MvSl-1064-A1-R4_MC02g03868	3456.33	3307.69
MvSl-1064-A2-R4_MC02g04147	3258	2766	MvSl-1064-A1-R4_MC02g03869	2616	3065
MvSl-1064-A2-R4_MC02g04148	1669	1962	MvSl-1064-A1-R4_MC02g03870	1843	1771
MvSl-1064-A2-R4_MC02g04149	15.9157	7.50034	MvSl-1064-A1-R4_MC02g03871	5.07358	2.89438
MvSl-1064-A2-R4_MC02g04150	238.138	279.318	MvSl-1064-A1-R4_MC02g03872	229.928	280.765
MvSl-1064-A2-R4_MC02g04151	26.6114	29.7579	MvSl-1064-A1-R4_MC02g03873	31.6526	42.6696
MvSl-1064-A2-R4_MC02g04152	857.471	880.738	MvSl-1064-A1-R4_MC02g03874	503.982	566.764
MvSl-1064-A2-R4_MC02g04153	294	412	MvSl-1064-A1-R4_MC02g03875	314	295
MvSl-1064-A2-R4_MC02g04154	125	136	MvSl-1064-A1-R4_MC02g03876	112	119
MvSl-1064-A2-R4_MC02g04155	1133	915	MvSl-1064-A1-R4_MC02g03877	644	946
MvSl-1064-A2-R4_MC02g04156	209	238	MvSl-1064-A1-R4_MC02g03878	229	170
MvSl-1064-A2-R4_MC02g04157	4127	6804	MvSl-1064-A1-R4_MC02g03879	5760	3089
MvSl-1064-A2-R4_MC02g04158	601	600	MvSl-1064-A1-R4_MC02g03880	464	466
MvSl-1064-A2-R4_MC02g04159	671.871	774.094	MvSl-1064-A1-R4_MC02g03881	578.515	603.812
MvSl-1064-A2-R4_MC02g04160	420	394	MvSl-1064-A1-R4_MC02g03882	361	321
MvSl-1064-A2-R4_MC02g04161	31	60	MvSl-1064-A1-R4_MC02g03883	30	20
MvSl-1064-A2-R4_MC02g04162	2778	2646	MvSl-1064-A1-R4_MC02g03884	2325	2447
MvSl-1064-A2-R4_MC02g04163	0	0	MvSl-1064-A1-R4_MC02g03885	0	0
MvSl-1064-A2-R4_MC02g04165	2.51912	8.32164	MvSl-1064-A1-R4_MC02g03887	4.9864	3.16508
MvSl-1064-A2-R4_MC02g04166	9.58252	27.006	MvSl-1064-A1-R4_MC02g03888	12.8819	12.6926
MvSl-1064-A2-R4_MC02g04167	625	893.604	MvSl-1064-A1-R4_MC02g03889	558.343	438.44
MvSl-1064-A2-R4_MC02g04168	1016	1206.34	MvSl-1064-A1-R4_MC02g03890	672.679	565
MvSl-1064-A2-R4_MC02g04169	2045.84	3091.85	MvSl-1064-A1-R4_MC02g03891	649.503	575.465
MvSl-1064-A2-R4_MC02g04170	27	41	MvSl-1064-A1-R4_MC02g03892	22.7857	17
MvSl-1064-A2-R4_MC02g04171	389.996	425.568	MvSl-1064-A1-R4_MC02g03893	344.28	361.465
MvSl-1064-A2-R4_MC02g04172	4	2	MvSl-1064-A1-R4_MC02g03894	3	1
MvSl-1064-A2-R4_MC02g04173	18	20	MvSl-1064-A1-R4_MC02g03895	21	10
MvSl-1064-A2-R4_MC02g04174	408	340	MvSl-1064-A1-R4_MC02g03896	302	471
MvSl-1064-A2-R4_MC02g04175	2713	2367	MvSl-1064-A1-R4_MC02g03897	2367	2568
MvSl-1064-A2-R4_MC02g04176	465	406	MvSl-1064-A1-R4_MC02g03898	296	322
MvSl-1064-A2-R4_MC02g04177	2320	2227	MvSl-1064-A1-R4_MC02g03899	1676	1491
MvSl-1064-A2-R4_MC02g04178	3527	3100	MvSl-1064-A1-R4_MC02g03900	3688	3515
MvSl-1064-A2-R4_MC02g04179	4	3	MvSl-1064-A1-R4_MC02g03901	1	1
MvSl-1064-A2-R4_MC02g04180	1002	1136	MvSl-1064-A1-R4_MC02g03902	917	966
MvSl-1064-A2-R4_MC02g04181	1031	1076	MvSl-1064-A1-R4_MC02g03903	844	846
MvSl-1064-A2-R4_MC02g04182	1081	954	MvSl-1064-A1-R4_MC02g03904	742	879
MvSl-1064-A2-R4_MC02g04183	7032	10140	MvSl-1064-A1-R4_MC02g03905	9551	6277
MvSl-1064-A2-R4_MC02g04184	2636	2016	MvSl-1064-A1-R4_MC02g03906	1553	1957
MvSl-1064-A2-R4_MC02g04185	209	187	MvSl-1064-A1-R4_MC02g03907	142	129
MvSl-1064-A2-R4_MC02g04186	476	425	MvSl-1064-A1-R4_MC02g03908	336	469
MvSl-1064-A2-R4_MC02g04187	5075	4661	MvSl-1064-A1-R4_MC02g03909	4643	5041
MvSl-1064-A2-R4_MC02g04188	2560	2402	MvSl-1064-A1-R4_MC02g03910	2150	2005
MvSl-1064-A2-R4_MC02g04189	840	712	MvSl-1064-A1-R4_MC02g03911	713	1106
MvSl-1064-A2-R4_MC02g04190	1688	1642	MvSl-1064-A1-R4_MC02g03912	1558	1495
MvSl-1064-A2-R4_MC02g04191	1133	1125	MvSl-1064-A1-R4_MC02g03913	938	823
MvSl-1064-A2-R4_MC02g04192	9.0082	16.032	MvSl-1064-A1-R4_MC02g03914	7	9.0015
MvSl-1064-A2-R4_MC02g04193	280	335	MvSl-1064-A1-R4_MC02g03915	153	133
MvSl-1064-A2-R4_MC02g04194	6642.38	5265.18	MvSl-1064-A1-R4_MC02g03916	4761.67	6011.44
MvSl-1064-A2-R4_MC02g04195	1326	1080	MvSl-1064-A1-R4_MC02g03917	1033	1215
MvSl-1064-A2-R4_MC02g04196	2250	2338	MvSl-1064-A1-R4_MC02g03918	2085	2281
MvSl-1064-A2-R4_MC02g04197	2735	2093	MvSl-1064-A1-R4_MC02g03919	1844	3225
MvSl-1064-A2-R4_MC02g04198	2534	2077	MvSl-1064-A1-R4_MC02g03920	2144	2279
MvSl-1064-A2-R4_MC02g04199	469	470	MvSl-1064-A1-R4_MC02g03921	426	362
MvSl-1064-A2-R4_MC02g04200	565	693	MvSl-1064-A1-R4_MC02g03922	294	163
MvSl-1064-A2-R4_MC02g04201	4659	4593	MvSl-1064-A1-R4_MC02g03923	3999	3229
MvSl-1064-A2-R4_MC02g04202	2019.09	1694.27	MvSl-1064-A1-R4_MC02g03924	1305.56	1384.91
MvSl-1064-A2-R4_MC02g04203	115731	76186	MvSl-1064-A1-R4_MC02g03925	56682	96695
MvSl-1064-A2-R4_MC02g04204	2819	2610	MvSl-1064-A1-R4_MC02g03926	2576	2662
MvSl-1064-A2-R4_MC02g04205	28	33	MvSl-1064-A1-R4_MC02g03927	16	19
MvSl-1064-A2-R4_MC02g04206	107	183	MvSl-1064-A1-R4_MC02g03928	127	157
MvSl-1064-A2-R4_MC02g04207	1322	1278	MvSl-1064-A1-R4_MC02g03929	1034	1418
MvSl-1064-A2-R4_MC02g04208	795	734	MvSl-1064-A1-R4_MC02g03930	490	445
MvSl-1064-A2-R4_MC02g04209	1300	1130	MvSl-1064-A1-R4_MC02g03931	1185	1144
MvSl-1064-A2-R4_MC02g04210	409	404	MvSl-1064-A1-R4_MC02g03932	326	331
MvSl-1064-A2-R4_MC02g04211	6713	7745	MvSl-1064-A1-R4_MC02g03933	7514	5621
MvSl-1064-A2-R4_MC02g04212	11	19	MvSl-1064-A1-R4_MC02g03934	14	5
MvSl-1064-A2-R4_MC02g04213	1278	955	MvSl-1064-A1-R4_MC02g03935	709	1114
MvSl-1064-A2-R4_MC02g04214	1147	1079	MvSl-1064-A1-R4_MC02g03936	965	1224
MvSl-1064-A2-R4_MC02g04215	3192	3351	MvSl-1064-A1-R4_MC02g03937	2658	2662
MvSl-1064-A2-R4_MC02g04216	43	32	MvSl-1064-A1-R4_MC02g03938	22	36
MvSl-1064-A2-R4_MC02g04217	0	0	MvSl-1064-A1-R4_MC02g03939	0	0
MvSl-1064-A2-R4_MC02g04218	3.92413	7.3649	MvSl-1064-A1-R4_MC02g03940	4.83394	7.13767
MvSl-1064-A2-R4_MC02g04219	6.67911	4.37097	MvSl-1064-A1-R4_MC02g03941	2.2437	1.0964
MvSl-1064-A2-R4_MC02g04221	5	2	MvSl-1064-A1-R4_MC02g03943	9	8
MvSl-1064-A2-R4_MC02g04222	1758	1603	MvSl-1064-A1-R4_MC02g03944	1411	1255
MvSl-1064-A2-R4_MC02g04223	966	763	MvSl-1064-A1-R4_MC02g03945	716	858
MvSl-1064-A2-R4_MC02g04224	250	237	MvSl-1064-A1-R4_MC02g03946	247	286
MvSl-1064-A2-R4_MC02g04226	355.273	431.013	MvSl-1064-A1-R4_MC02g03948	323.345	306.972
MvSl-1064-A2-R4_MC02g04227	35	72	MvSl-1064-A1-R4_MC02g03949	51	41
MvSl-1064-A2-R4_MC02g04228	8230	10390	MvSl-1064-A1-R4_MC02g03950	7392	4960
MvSl-1064-A2-R4_MC02g04229	1651	1374	MvSl-1064-A1-R4_MC02g03951	1317	1512
MvSl-1064-A2-R4_MC02g04230	4075	3864	MvSl-1064-A1-R4_MC02g03952	3779	3857
MvSl-1064-A2-R4_MC02g04231	477	699	MvSl-1064-A1-R4_MC02g03953	597	297
MvSl-1064-A2-R4_MC02g04232	1300	1167	MvSl-1064-A1-R4_MC02g03954	1325	1148
MvSl-1064-A2-R4_MC02g04233	2988	2921	MvSl-1064-A1-R4_MC02g03955	2503	2348
MvSl-1064-A2-R4_MC02g04234	3	9	MvSl-1064-A1-R4_MC02g03956	5	8
MvSl-1064-A2-R4_MC02g04235	265	215	MvSl-1064-A1-R4_MC02g03957	233	263
MvSl-1064-A2-R4_MC02g04236	633	650	MvSl-1064-A1-R4_MC02g03958	502	583
MvSl-1064-A2-R4_MC02g04237	345	353	MvSl-1064-A1-R4_MC02g03959	316	334
MvSl-1064-A2-R4_MC02g04238	2895	2400	MvSl-1064-A1-R4_MC02g03960	2009	2794
MvSl-1064-A2-R4_MC02g04239	1435	1200	MvSl-1064-A1-R4_MC02g03961	1235	1524
MvSl-1064-A2-R4_MC02g04240	1212	1115	MvSl-1064-A1-R4_MC02g03962	1151	1120
MvSl-1064-A2-R4_MC02g04241	536	720	MvSl-1064-A1-R4_MC02g03963	692	444
MvSl-1064-A2-R4_MC02g04242	529	629	MvSl-1064-A1-R4_MC02g03964	424	424
MvSl-1064-A2-R4_MC02g04243	1763	1475	MvSl-1064-A1-R4_MC02g03965	1449	1275
MvSl-1064-A2-R4_MC02g04244	5	0	MvSl-1064-A1-R4_MC02g03966	0	0
MvSl-1064-A2-R4_MC02g04245	689	953	MvSl-1064-A1-R4_MC02g03967	815	628
MvSl-1064-A2-R4_MC02g04246	218	227	MvSl-1064-A1-R4_MC02g03968	230	211
MvSl-1064-A2-R4_MC02g04247	2267	1916	MvSl-1064-A1-R4_MC02g03969	1671	1916
MvSl-1064-A2-R4_MC02g04248	947	751	MvSl-1064-A1-R4_MC02g03970	614	593
MvSl-1064-A2-R4_MC02g04249	767	799	MvSl-1064-A1-R4_MC02g03971	626	760
MvSl-1064-A2-R4_MC02g04250	1889	2111	MvSl-1064-A1-R4_MC02g03972	2048	1913
MvSl-1064-A2-R4_MC02g04251	1489	1642	MvSl-1064-A1-R4_MC02g03973	1028	711
MvSl-1064-A2-R4_MC02g04252	1980	1886	MvSl-1064-A1-R4_MC02g03974	1401	1279
MvSl-1064-A2-R4_MC02g04253	449	461	MvSl-1064-A1-R4_MC02g03975	376	352
MvSl-1064-A2-R4_MC02g04254	711	825	MvSl-1064-A1-R4_MC02g03976	614	527
MvSl-1064-A2-R4_MC02g04255	238	503	MvSl-1064-A1-R4_MC02g03977	256	64
MvSl-1064-A2-R4_MC02g04256	249	299	MvSl-1064-A1-R4_MC02g03978	185	174
MvSl-1064-A2-R4_MC02g04257	16197	17928	MvSl-1064-A1-R4_MC02g03979	16653	16638
MvSl-1064-A2-R4_MC02g04258	1000	990	MvSl-1064-A1-R4_MC02g03980	817	847
MvSl-1064-A2-R4_MC02g04259	889	809	MvSl-1064-A1-R4_MC02g03981	659	717
MvSl-1064-A2-R4_MC02g04260	140	187	MvSl-1064-A1-R4_MC02g03982	169	89
MvSl-1064-A2-R4_MC02g04261	5759	4430	MvSl-1064-A1-R4_MC02g03983	3167	4661
MvSl-1064-A2-R4_MC02g04262	680	657	MvSl-1064-A1-R4_MC02g03984	390	622
MvSl-1064-A2-R4_MC02g04263	1035	875	MvSl-1064-A1-R4_MC02g03985	815	1135
MvSl-1064-A2-R4_MC02g04264	9122	8682	MvSl-1064-A1-R4_MC02g03986	7390	7847
MvSl-1064-A2-R4_MC02g04265	2137	1748	MvSl-1064-A1-R4_MC02g03987	1647	2170
MvSl-1064-A2-R4_MC02g04266	4479	4003	MvSl-1064-A1-R4_MC02g03988	3564	3904
MvSl-1064-A2-R4_MC02g04267	915	733	MvSl-1064-A1-R4_MC02g03989	712	893
MvSl-1064-A2-R4_MC02g04268	354	397	MvSl-1064-A1-R4_MC02g03990	330	314
MvSl-1064-A2-R4_MC02g04269	1590	1661	MvSl-1064-A1-R4_MC02g03991	1711	1542
MvSl-1064-A2-R4_MC02g04270	382	588	MvSl-1064-A1-R4_MC02g03992	694	619
MvSl-1064-A2-R4_MC02g04271	848	868	MvSl-1064-A1-R4_MC02g03993	637	709
MvSl-1064-A2-R4_MC02g04272	5420	5499	MvSl-1064-A1-R4_MC02g03994	4567	4791
MvSl-1064-A2-R4_MC02g04273	5950	4774	MvSl-1064-A1-R4_MC02g03995	4804	5510
MvSl-1064-A2-R4_MC02g04274	30	69	MvSl-1064-A1-R4_MC02g03996	72	42
MvSl-1064-A2-R4_MC02g04275	60.7975	93.605	MvSl-1064-A1-R4_MC02g03997	22.8914	31.5731
MvSl-1064-A2-R4_MC02g04276	21.5137	36.0178	MvSl-1064-A1-R4_MC02g03998	21.841	20.8658
MvSl-1064-A2-R4_MC02g04277	28.1232	44.162	MvSl-1064-A1-R4_MC02g03999	40.8845	25.5536
MvSl-1064-A2-R4_MC02g04278	124.697	154.025	MvSl-1064-A1-R4_MC02g04000	141.961	102.367
MvSl-1064-A2-R4_MC02g04279	290.934	499.261	MvSl-1064-A1-R4_MC02g04001	347.59	275.569
MvSl-1064-A2-R4_MC02g04280	156.888	175.77	MvSl-1064-A1-R4_MC02g04002	97.6073	109.908
MvSl-1064-A2-R4_MC02g04281	12	12	MvSl-1064-A1-R4_MC02g04003	11	12
MvSl-1064-A2-R4_MC02g04282	675	621	MvSl-1064-A1-R4_MC02g04004	525	601
MvSl-1064-A2-R4_MC02g04283	4699	4286	MvSl-1064-A1-R4_MC02g04005	4488	5243
MvSl-1064-A2-R4_MC02g04284	1067	894	MvSl-1064-A1-R4_MC02g04006	899	995
MvSl-1064-A2-R4_MC02g04285	717	672	MvSl-1064-A1-R4_MC02g04007	758	859
MvSl-1064-A2-R4_MC02g04286	3843	5288	MvSl-1064-A1-R4_MC02g04008	3961	3091
MvSl-1064-A2-R4_MC02g04287	169	223	MvSl-1064-A1-R4_MC02g04009	138	143
MvSl-1064-A2-R4_MC02g04288	73	93	MvSl-1064-A1-R4_MC02g04010	61	43
MvSl-1064-A2-R4_MC02g04289	1676	1692	MvSl-1064-A1-R4_MC02g04011	1385	1512
MvSl-1064-A2-R4_MC02g04290	453	645	MvSl-1064-A1-R4_MC02g04012	565	489
MvSl-1064-A2-R4_MC02g04291	1608	2477	MvSl-1064-A1-R4_MC02g04013	1546	1265
MvSl-1064-A2-R4_MC02g04292	324.764	379.148	MvSl-1064-A1-R4_MC02g04014	311.609	260.055
MvSl-1064-A2-R4_MC02g04293	3705.57	3396.56	MvSl-1064-A1-R4_MC02g04015	3601.5	4875.42
MvSl-1064-A2-R4_MC02g04294	445	461	MvSl-1064-A1-R4_MC02g04016	323	310
MvSl-1064-A2-R4_MC02g04295	40	52	MvSl-1064-A1-R4_MC02g04017	61	42
MvSl-1064-A2-R4_MC02g04296	2906	2983	MvSl-1064-A1-R4_MC02g04018	2280	2274
MvSl-1064-A2-R4_MC02g04297	1222	1054	MvSl-1064-A1-R4_MC02g04019	859	1026
MvSl-1064-A2-R4_MC02g04298	664	743	MvSl-1064-A1-R4_MC02g04020	603	486
MvSl-1064-A2-R4_MC02g04299	896	901	MvSl-1064-A1-R4_MC02g04021	841	877
MvSl-1064-A2-R4_MC02g04300	165	162	MvSl-1064-A1-R4_MC02g04022	149	139
MvSl-1064-A2-R4_MC02g04301	30	37	MvSl-1064-A1-R4_MC02g04023	28	18
MvSl-1064-A2-R4_MC02g04302	314	297	MvSl-1064-A1-R4_MC02g04024	273	327
MvSl-1064-A2-R4_MC02g04303	143	144	MvSl-1064-A1-R4_MC02g04025	135	154
MvSl-1064-A2-R4_MC02g04304	1319	1137	MvSl-1064-A1-R4_MC02g04026	1089	1213
MvSl-1064-A2-R4_MC02g04305	2535	2275	MvSl-1064-A1-R4_MC02g04027	2018	2194
MvSl-1064-A2-R4_MC02g04306	3	1	MvSl-1064-A1-R4_MC02g04028	0	3
MvSl-1064-A2-R4_MC02g04307	890	876	MvSl-1064-A1-R4_MC02g04029	718	798
MvSl-1064-A2-R4_MC02g04308	2629	2429	MvSl-1064-A1-R4_MC02g04030	2945	2549
MvSl-1064-A2-R4_MC02g04309	4497	4021	MvSl-1064-A1-R4_MC02g04031	4138	4098
MvSl-1064-A2-R4_MC02g04310	42	55	MvSl-1064-A1-R4_MC02g04032	46	42
MvSl-1064-A2-R4_MC02g04311	1729.72	2058.85	MvSl-1064-A1-R4_MC02g04033	1758.63	1598.69
MvSl-1064-A2-R4_MC02g04312	1875	1955	MvSl-1064-A1-R4_MC02g04034	1267	1434
MvSl-1064-A2-R4_MC02g04313	2116	1865	MvSl-1064-A1-R4_MC02g04035	1285	1434
MvSl-1064-A2-R4_MC02g04314	534	584	MvSl-1064-A1-R4_MC02g04036	500	367
MvSl-1064-A2-R4_MC02g04315	1395	1097	MvSl-1064-A1-R4_MC02g04037	913	1201
MvSl-1064-A2-R4_MC02g04316	707	617	MvSl-1064-A1-R4_MC02g04038	471	713
MvSl-1064-A2-R4_MC02g04317	4402	4065	MvSl-1064-A1-R4_MC02g04039	3776	4188
MvSl-1064-A2-R4_MC02g04318	6708	6338	MvSl-1064-A1-R4_MC02g04040	6695	7837
MvSl-1064-A2-R4_MC02g04319	955	2392	MvSl-1064-A1-R4_MC02g04041	2298	1122
MvSl-1064-A2-R4_MC02g04320	17329	18276.2	MvSl-1064-A1-R4_MC02g04042	11939.6	9629.08
MvSl-1064-A2-R4_MC02g04321	2.00007	0	MvSl-1064-A1-R4_MC02g04043	0	0
MvSl-1064-A2-R4_MC02g04322	1.00148	1.00181	MvSl-1064-A1-R4_MC02g04044	1.00049	0
MvSl-1064-A2-R4_MC02g04323	99	141	MvSl-1064-A1-R4_MC02g04045	66	110
MvSl-1064-A2-R4_MC02g04324	3812	4800	MvSl-1064-A1-R4_MC02g04046	3567	2825
MvSl-1064-A2-R4_MC02g04325	59	72	MvSl-1064-A1-R4_MC02g04047	33	44
MvSl-1064-A2-R4_MC02g04326	6888	5258	MvSl-1064-A1-R4_MC02g04048	4464	7051
MvSl-1064-A2-R4_MC02g04327	6553	6701	MvSl-1064-A1-R4_MC02g04049	5271	5784
MvSl-1064-A2-R4_MC02g04328	2616	2726	MvSl-1064-A1-R4_MC02g04050	2310	2235
MvSl-1064-A2-R4_MC02g04329	1034	969	MvSl-1064-A1-R4_MC02g04051	896	903
MvSl-1064-A2-R4_MC02g04330	2023	1954	MvSl-1064-A1-R4_MC02g04052	1374	1563
MvSl-1064-A2-R4_MC02g04331	762	914	MvSl-1064-A1-R4_MC02g04053	827	536
MvSl-1064-A2-R4_MC02g04332	714	787	MvSl-1064-A1-R4_MC02g04054	487	566
MvSl-1064-A2-R4_MC02g04333	1820	2070	MvSl-1064-A1-R4_MC02g04055	1938	1959
MvSl-1064-A2-R4_MC02g04334	2208	1876	MvSl-1064-A1-R4_MC02g04056	1691	2112
MvSl-1064-A2-R4_MC02g04335	2927	3157	MvSl-1064-A1-R4_MC02g04057	2791	2668
MvSl-1064-A2-R4_MC02g04336	2310	2510	MvSl-1064-A1-R4_MC02g04058	2501	2380
MvSl-1064-A2-R4_MC02g04337	2269	1777	MvSl-1064-A1-R4_MC02g04059	1581	2026
MvSl-1064-A2-R4_MC02g04338	58606	30563	MvSl-1064-A1-R4_MC02g04060	29903	72264
MvSl-1064-A2-R4_MC02g04339	14	17	MvSl-1064-A1-R4_MC02g04061	4	13
MvSl-1064-A2-R4_MC02g04340	2271	2768	MvSl-1064-A1-R4_MC02g04062	2159	1973
MvSl-1064-A2-R4_MC02g04341	1199	1061	MvSl-1064-A1-R4_MC02g04063	1044	1277
MvSl-1064-A2-R4_MC02g04342	5117	4867	MvSl-1064-A1-R4_MC02g04064	4416	4473
MvSl-1064-A2-R4_MC02g04343	355	600	MvSl-1064-A1-R4_MC02g04065	567	399
MvSl-1064-A2-R4_MC02g04344	260	461	MvSl-1064-A1-R4_MC02g04066	419	307
MvSl-1064-A2-R4_MC02g04345	237	210	MvSl-1064-A1-R4_MC02g04067	139	234
MvSl-1064-A2-R4_MC02g04346	4782	4315	MvSl-1064-A1-R4_MC02g04068	4076	4201
MvSl-1064-A2-R4_MC02g04347	3944	3175	MvSl-1064-A1-R4_MC02g04069	2704	3600
MvSl-1064-A2-R4_MC02g04348	836	612	MvSl-1064-A1-R4_MC02g04070	623	1028
MvSl-1064-A2-R4_MC02g04349	640	570	MvSl-1064-A1-R4_MC02g04071	544	568
MvSl-1064-A2-R4_MC02g04350	0	4.90826	MvSl-1064-A1-R4_MC02g04072	2.73924	4.01449
MvSl-1064-A2-R4_MC02g04351	20.1153	16.9598	MvSl-1064-A1-R4_MC02g04073	4.17877	9.11251
MvSl-1064-A2-R4_MC02g04352	12	2	MvSl-1064-A1-R4_MC02g04074	2	36
MvSl-1064-A2-R4_MC02g04353	2948	2881	MvSl-1064-A1-R4_MC02g04075	3096	2729
MvSl-1064-A2-R4_MC02g04354	690	592	MvSl-1064-A1-R4_MC02g04076	516	684
MvSl-1064-A2-R4_MC02g04355	174	217	MvSl-1064-A1-R4_MC02g04077	167	137
MvSl-1064-A2-R4_MC02g04356	35	37	MvSl-1064-A1-R4_MC02g04078	29	24
MvSl-1064-A2-R4_MC02g04358	35.7759	30.1394	MvSl-1064-A1-R4_MC02g04080	27.2968	20.6004
MvSl-1064-A2-R4_MC02g04359	0	0	MvSl-1064-A1-R4_MC02g04081	0	2
MvSl-1064-A2-R4_MC02g04360	5122.55	4889.42	MvSl-1064-A1-R4_MC02g04082	5241.1	5047.01
MvSl-1064-A2-R4_MC02g04361	1897	1557	MvSl-1064-A1-R4_MC02g04083	1444	1580
MvSl-1064-A2-R4_MC02g04362	2161	1936	MvSl-1064-A1-R4_MC02g04084	1764	1695
MvSl-1064-A2-R4_MC02g04363	4716	5261	MvSl-1064-A1-R4_MC02g04085	4193	4095
MvSl-1064-A2-R4_MC02g04364	3110	2789	MvSl-1064-A1-R4_MC02g04086	2771	3133
MvSl-1064-A2-R4_MC02g04365	357	575	MvSl-1064-A1-R4_MC02g04087	525	286
MvSl-1064-A2-R4_MC02g04366	407	524	MvSl-1064-A1-R4_MC02g04088	487	352
MvSl-1064-A2-R4_MC02g04367	1141	1268	MvSl-1064-A1-R4_MC02g04089	1029	1058
MvSl-1064-A2-R4_MC02g04368	3349	4387	MvSl-1064-A1-R4_MC02g04090	3744	2799
MvSl-1064-A2-R4_MC02g04369	2041	3259	MvSl-1064-A1-R4_MC02g04091	2735	1731
MvSl-1064-A2-R4_MC02g04370	2290	2572	MvSl-1064-A1-R4_MC02g04092	1833	1220
MvSl-1064-A2-R4_MC02g04371	24.8807	44.4811	MvSl-1064-A1-R4_MC02g04093	25.2554	10.5965
MvSl-1064-A2-R4_MC02g04372	91.7779	74.0209	MvSl-1064-A1-R4_MC02g04094	61.8229	70.3078
MvSl-1064-A2-R4_MC02g04373	1123	906	MvSl-1064-A1-R4_MC02g04095	724	1018
MvSl-1064-A2-R4_MC02g04374	3970	3644	MvSl-1064-A1-R4_MC02g04096	3803	3508
MvSl-1064-A2-R4_MC02g04375	1067	899	MvSl-1064-A1-R4_MC02g04097	782	733
MvSl-1064-A2-R4_MC02g04376	369	320	MvSl-1064-A1-R4_MC02g04098	341	295
MvSl-1064-A2-R4_MC02g04377	556	898	MvSl-1064-A1-R4_MC02g04099	575	517
