target_id	A2_1	A2_2
MvSl-1064-A2-R4_MC02g03632	4004.53	4169.86
MvSl-1064-A2-R4_MC02g03633	0	0
MvSl-1064-A2-R4_MC02g03634	663.107	602.411
MvSl-1064-A2-R4_MC02g03635	1059.76	1115.48
MvSl-1064-A2-R4_MC02g03636	462.863	414.566
MvSl-1064-A2-R4_MC02g03637	1096	1086
MvSl-1064-A2-R4_MC02g03638	18.097	23.2878
MvSl-1064-A2-R4_MC02g03639	6205.42	5157.66
MvSl-1064-A2-R4_MC02g03640	98.8036	63.3582
MvSl-1064-A2-R4_MC02g03642	2039.47	1052.67
MvSl-1064-A2-R4_MC02g03646	66.4041	31.0819
MvSl-1064-A2-R4_MC02g03647	991.098	783.911
MvSl-1064-A2-R4_MC02g03648	1150.89	927.797
MvSl-1064-A2-R4_MC02g03651	3470.28	2489.22
MvSl-1064-A2-R4_MC02g03653	161.883	163.422
MvSl-1064-A2-R4_MC02g03654	5434.1	4369.33
MvSl-1064-A2-R4_MC02g03655	55.749	43.9356
MvSl-1064-A2-R4_MC02g03656	701.655	422.642
MvSl-1064-A2-R4_MC02g03657	273.721	249.235
MvSl-1064-A2-R4_MC02g03659	69	99
MvSl-1064-A2-R4_MC02g03660	693	625
MvSl-1064-A2-R4_MC02g03661	1533	1265
MvSl-1064-A2-R4_MC02g03662	2340	2236
MvSl-1064-A2-R4_MC02g03664	10060	8150
MvSl-1064-A2-R4_MC02g03665	375.401	295.303
MvSl-1064-A2-R4_MC02g03667	16.4123	5.69367
MvSl-1064-A2-R4_MC02g03669	570	699
MvSl-1064-A2-R4_MC02g03670	678	787
MvSl-1064-A2-R4_MC02g03671	656.017	582.132
MvSl-1064-A2-R4_MC02g03672	148.235	124.247
MvSl-1064-A2-R4_MC02g03673	0	2
MvSl-1064-A2-R4_MC02g03674	939.298	755.365
MvSl-1064-A2-R4_MC02g03677	481.541	343.309
MvSl-1064-A2-R4_MC02g03679	0	3.5277
MvSl-1064-A2-R4_MC02g03680	44.0536	37.942
MvSl-1064-A2-R4_MC02g03681	0	0
MvSl-1064-A2-R4_MC02g03683	191.091	141.253
MvSl-1064-A2-R4_MC02g03687	3.92331	0
MvSl-1064-A2-R4_MC02g03688	1.37745	8.18847
MvSl-1064-A2-R4_MC02g03689	0	1
MvSl-1064-A2-R4_MC02g03693	7.68636	1.27635
MvSl-1064-A2-R4_MC02g03698	21.7778	13.1365
MvSl-1064-A2-R4_MC02g03701	134.697	235.63
MvSl-1064-A2-R4_MC02g03702	18.1284	22.3961
MvSl-1064-A2-R4_MC02g03708	64.3538	23.3033
MvSl-1064-A2-R4_MC02g03710	6.65683	9.06837
MvSl-1064-A2-R4_MC02g03719	64.3538	42.0271
MvSl-1064-A2-R4_MC02g03721	34.9989	37.384
MvSl-1064-A2-R4_MC02g03723	37.3344	31.7401
MvSl-1064-A2-R4_MC02g03728	7.28061	4
MvSl-1064-A2-R4_MC02g03729	10	6
MvSl-1064-A2-R4_MC02g03732	1273.84	1234.48
MvSl-1064-A2-R4_MC02g03733	35.4833	20.6136
MvSl-1064-A2-R4_MC02g03734	17837.9	14875.9
MvSl-1064-A2-R4_MC02g03735	1502	2263
MvSl-1064-A2-R4_MC02g03736	1714	1613
MvSl-1064-A2-R4_MC02g03737	94	60
MvSl-1064-A2-R4_MC02g03738	239	124
MvSl-1064-A2-R4_MC02g03739	367	171
MvSl-1064-A2-R4_MC02g03740	816	493
MvSl-1064-A2-R4_MC02g03741	589	462
MvSl-1064-A2-R4_MC02g03742	1352	1496
MvSl-1064-A2-R4_MC02g03743	420	506
MvSl-1064-A2-R4_MC02g03744	71	61
MvSl-1064-A2-R4_MC02g03745	78.2948	55.4176
MvSl-1064-A2-R4_MC02g03746	30.5223	16.3311
MvSl-1064-A2-R4_MC02g03747	176.644	122.373
MvSl-1064-A2-R4_MC02g03750	548.531	390.997
MvSl-1064-A2-R4_MC02g03751	941.787	825.371
MvSl-1064-A2-R4_MC02g03754	1697.87	1317.5
MvSl-1064-A2-R4_MC02g03755	25.8215	49.4609
MvSl-1064-A2-R4_MC02g03758	763.038	659.722
MvSl-1064-A2-R4_MC02g03760	1485.73	1497.84
MvSl-1064-A2-R4_MC02g03761	1934.22	1995.55
MvSl-1064-A2-R4_MC02g03762	667.354	799.153
MvSl-1064-A2-R4_MC02g03763	112	132
MvSl-1064-A2-R4_MC02g03764	1459	1856
MvSl-1064-A2-R4_MC02g03765	2172	2218
MvSl-1064-A2-R4_MC02g03766	1483	1511
MvSl-1064-A2-R4_MC02g03767	5315	6920
MvSl-1064-A2-R4_MC02g03768	1437	1525
MvSl-1064-A2-R4_MC02g03769	801.847	637.793
MvSl-1064-A2-R4_MC02g03771	1429.84	1468.1
MvSl-1064-A2-R4_MC02g03773	732.085	695.594
MvSl-1064-A2-R4_MC02g03774	21.7885	31.256
MvSl-1064-A2-R4_MC02g03776	5833	7410
MvSl-1064-A2-R4_MC02g03777	658.938	999.706
MvSl-1064-A2-R4_MC02g03778	99.811	64.9236
MvSl-1064-A2-R4_MC02g03779	101.819	71.2142
MvSl-1064-A2-R4_MC02g03780	52	26
MvSl-1064-A2-R4_MC02g03781	67	37
MvSl-1064-A2-R4_MC02g03782	1696	1235
MvSl-1064-A2-R4_MC02g03783	2280	2115
MvSl-1064-A2-R4_MC02g03784	41	55
MvSl-1064-A2-R4_MC02g03785	9022	9850
MvSl-1064-A2-R4_MC02g03786	35.1438	27
MvSl-1064-A2-R4_MC02g03788	708.358	750.722
MvSl-1064-A2-R4_MC02g03792	33.4907	25.42
MvSl-1064-A2-R4_MC02g03796	219.13	154.241
MvSl-1064-A2-R4_MC02g03797	186.918	133.679
MvSl-1064-A2-R4_MC02g03799	96.0873	65
MvSl-1064-A2-R4_MC02g03800	47.6499	36.3826
MvSl-1064-A2-R4_MC02g03802	821	831
MvSl-1064-A2-R4_MC02g03803	661	756
MvSl-1064-A2-R4_MC02g03804	1850.11	1452.05
MvSl-1064-A2-R4_MC02g03805	437	419
MvSl-1064-A2-R4_MC02g03806	1429	1522
MvSl-1064-A2-R4_MC02g03807	1747	2035
MvSl-1064-A2-R4_MC02g03808	2130	2203
MvSl-1064-A2-R4_MC02g03809	1012	1067
MvSl-1064-A2-R4_MC02g03810	4928	4532
MvSl-1064-A2-R4_MC02g03811	50.9129	64.1073
MvSl-1064-A2-R4_MC02g03813	2661	2366
MvSl-1064-A2-R4_MC02g03814	2594	2392
MvSl-1064-A2-R4_MC02g03815	58	58
MvSl-1064-A2-R4_MC02g03816	869	971
MvSl-1064-A2-R4_MC02g03817	6493	7016
MvSl-1064-A2-R4_MC02g03819	116	169
MvSl-1064-A2-R4_MC02g03820	525	649
MvSl-1064-A2-R4_MC02g03821	2213	2419
MvSl-1064-A2-R4_MC02g03822	6459	7021
MvSl-1064-A2-R4_MC02g03824	1075	1670
MvSl-1064-A2-R4_MC02g03825	2486	3148
MvSl-1064-A2-R4_MC02g03826	783.535	587.091
MvSl-1064-A2-R4_MC02g03827	190.898	189.16
MvSl-1064-A2-R4_MC02g03828	0	0
MvSl-1064-A2-R4_MC02g03829	1243	1247
MvSl-1064-A2-R4_MC02g03830	1211	1170
MvSl-1064-A2-R4_MC02g03831	991.882	693.594
MvSl-1064-A2-R4_MC02g03833	90.8756	66.7327
MvSl-1064-A2-R4_MC02g03835	116.638	84.303
MvSl-1064-A2-R4_MC02g03836	396.035	384.849
MvSl-1064-A2-R4_MC02g03837	71	67.9106
MvSl-1064-A2-R4_MC02g03838	3	6
MvSl-1064-A2-R4_MC02g03839	5005	4759
MvSl-1064-A2-R4_MC02g03840	813	991
MvSl-1064-A2-R4_MC02g03841	73	58
MvSl-1064-A2-R4_MC02g03842	1891	1828
MvSl-1064-A2-R4_MC02g03845	535.582	416.593
MvSl-1064-A2-R4_MC02g03846	1455.69	1488.99
MvSl-1064-A2-R4_MC02g03847	5840	7498
MvSl-1064-A2-R4_MC02g03848	83	53
MvSl-1064-A2-R4_MC02g03849	16	18
MvSl-1064-A2-R4_MC02g03850	4220	4560
MvSl-1064-A2-R4_MC02g03851	322	313
MvSl-1064-A2-R4_MC02g03852	247	271
MvSl-1064-A2-R4_MC02g03853	42	56
MvSl-1064-A2-R4_MC02g03854	2724	4278
MvSl-1064-A2-R4_MC02g03855	1288.66	1090.64
MvSl-1064-A2-R4_MC02g03856	7.1736	1.19511
MvSl-1064-A2-R4_MC02g03857	4868.14	3569.99
MvSl-1064-A2-R4_MC02g03858	210	179
MvSl-1064-A2-R4_MC02g03859	863	1106
MvSl-1064-A2-R4_MC02g03860	2199	2701
MvSl-1064-A2-R4_MC02g03861	2907	2822
MvSl-1064-A2-R4_MC02g03862	309.067	360.82
MvSl-1064-A2-R4_MC02g03863	7044	6443
MvSl-1064-A2-R4_MC02g03864	149	179
MvSl-1064-A2-R4_MC02g03865	3229	3083
MvSl-1064-A2-R4_MC02g03866	1645	1989
MvSl-1064-A2-R4_MC02g03867	1851	1854
MvSl-1064-A2-R4_MC02g03868	11448	10523
MvSl-1064-A2-R4_MC02g03869	6127	5651
MvSl-1064-A2-R4_MC02g03870	2610	2746
MvSl-1064-A2-R4_MC02g03871	1435	1838
MvSl-1064-A2-R4_MC02g03872	19	12
MvSl-1064-A2-R4_MC02g03873	0	0
MvSl-1064-A2-R4_MC02g03874	849	1132
MvSl-1064-A2-R4_MC02g03875	547	558
MvSl-1064-A2-R4_MC02g03876	458	424
MvSl-1064-A2-R4_MC02g03877	147	112
MvSl-1064-A2-R4_MC02g03878	921	1114
MvSl-1064-A2-R4_MC02g03879	3218	3337
MvSl-1064-A2-R4_MC02g03880	3691	3807
MvSl-1064-A2-R4_MC02g03881	705	680
MvSl-1064-A2-R4_MC02g03884	8345.52	8624
MvSl-1064-A2-R4_MC02g03886	10073	9733
MvSl-1064-A2-R4_MC02g03887	6279.55	5958.08
MvSl-1064-A2-R4_MC02g03888	2617	2892
MvSl-1064-A2-R4_MC02g03889	33	34
MvSl-1064-A2-R4_MC02g03890	6	3
MvSl-1064-A2-R4_MC02g03891	2169	2532
MvSl-1064-A2-R4_MC02g03892	1443	1452
MvSl-1064-A2-R4_MC02g03893	2296	2528
MvSl-1064-A2-R4_MC02g03894	3288	2507
MvSl-1064-A2-R4_MC02g03895	937	1201
MvSl-1064-A2-R4_MC02g03896	2040	2324
MvSl-1064-A2-R4_MC02g03897	6124	5834
MvSl-1064-A2-R4_MC02g03898	2703	2394
MvSl-1064-A2-R4_MC02g03899	6403	5307
MvSl-1064-A2-R4_MC02g03900	2982	3087
MvSl-1064-A2-R4_MC02g03901	322	296
MvSl-1064-A2-R4_MC02g03902	270	407
MvSl-1064-A2-R4_MC02g03903	4933	4823
MvSl-1064-A2-R4_MC02g03904	1704	1511
MvSl-1064-A2-R4_MC02g03905	675	604
MvSl-1064-A2-R4_MC02g03906	1546	1848
MvSl-1064-A2-R4_MC02g03907	2956	3625
MvSl-1064-A2-R4_MC02g03908	5288.69	4663.77
MvSl-1064-A2-R4_MC02g03909	467	530
MvSl-1064-A2-R4_MC02g03910	1545	1694
MvSl-1064-A2-R4_MC02g03911	2454	2876
MvSl-1064-A2-R4_MC02g03912	2047	1720
MvSl-1064-A2-R4_MC02g03913	1590	2102
MvSl-1064-A2-R4_MC02g03914	1114	1024
MvSl-1064-A2-R4_MC02g03915	4203	5015
MvSl-1064-A2-R4_MC02g03916	148.736	113.728
MvSl-1064-A2-R4_MC02g03917	495	662
MvSl-1064-A2-R4_MC02g03919	491	523
MvSl-1064-A2-R4_MC02g03920	1605.62	1334.17
MvSl-1064-A2-R4_MC02g03922	2035.27	1131.38
MvSl-1064-A2-R4_MC02g03923	2252	2317
MvSl-1064-A2-R4_MC02g03924	49	62
MvSl-1064-A2-R4_MC02g03925	59.5948	43.2506
MvSl-1064-A2-R4_MC02g03926	1106	1410
MvSl-1064-A2-R4_MC02g03927	245	358
MvSl-1064-A2-R4_MC02g03928	3328	4511
MvSl-1064-A2-R4_MC02g03930	196.82	176
MvSl-1064-A2-R4_MC02g03931	345.039	340.827
MvSl-1064-A2-R4_MC02g03933	119.961	97.1732
MvSl-1064-A2-R4_MC02g03934	1156	1268
MvSl-1064-A2-R4_MC02g03935	1198.62	1358.84
MvSl-1064-A2-R4_MC02g03936	277	293
MvSl-1064-A2-R4_MC02g03937	22580	34817
MvSl-1064-A2-R4_MC02g03939	107.748	113.022
MvSl-1064-A2-R4_MC02g03940	331.194	274.89
MvSl-1064-A2-R4_MC02g03941	121.337	87.7393
MvSl-1064-A2-R4_MC02g03942	348	408
MvSl-1064-A2-R4_MC02g03943	83	87
MvSl-1064-A2-R4_MC02g03944	583	1194
MvSl-1064-A2-R4_MC02g03945	340	586
MvSl-1064-A2-R4_MC02g03946	265	452
MvSl-1064-A2-R4_MC02g03947	154	161
MvSl-1064-A2-R4_MC02g03948	1352	1532
MvSl-1064-A2-R4_MC02g03949	1051	948
MvSl-1064-A2-R4_MC02g03950	193	321
MvSl-1064-A2-R4_MC02g03951	40	39
MvSl-1064-A2-R4_MC02g03952	41.8016	39.6565
MvSl-1064-A2-R4_MC02g03953	40.0008	35.4373
MvSl-1064-A2-R4_MC02g03954	56.5668	64.117
MvSl-1064-A2-R4_MC02g03956	3.86E-05	5.07725
MvSl-1064-A2-R4_MC02g03957	796	517
MvSl-1064-A2-R4_MC02g03958	27792	29613
MvSl-1064-A2-R4_MC02g03959	1727	1772
MvSl-1064-A2-R4_MC02g03960	638	682
MvSl-1064-A2-R4_MC02g03961	1166	1037
MvSl-1064-A2-R4_MC02g03962	3410	4869
MvSl-1064-A2-R4_MC02g03963	2481	3013
MvSl-1064-A2-R4_MC02g03964	659	953
MvSl-1064-A2-R4_MC02g03965	391	426
MvSl-1064-A2-R4_MC02g03966	4597	5337
MvSl-1064-A2-R4_MC02g03967	1596	1533
MvSl-1064-A2-R4_MC02g03968	6495	8423
MvSl-1064-A2-R4_MC02g03969	665	641
MvSl-1064-A2-R4_MC02g03970	1445	1441
MvSl-1064-A2-R4_MC02g03971	549	592
MvSl-1064-A2-R4_MC02g03972	641	685
MvSl-1064-A2-R4_MC02g03973	2043	2100
MvSl-1064-A2-R4_MC02g03974	1384	1676
MvSl-1064-A2-R4_MC02g03975	1967	1676
MvSl-1064-A2-R4_MC02g03976	806	696
MvSl-1064-A2-R4_MC02g03977	324	289
MvSl-1064-A2-R4_MC02g03978	1298	1494
MvSl-1064-A2-R4_MC02g03979	480.102	536.84
MvSl-1064-A2-R4_MC02g03980	501	454
MvSl-1064-A2-R4_MC02g03981	583	509
MvSl-1064-A2-R4_MC02g03982	5838	5481
MvSl-1064-A2-R4_MC02g03983	58.7233	361.907
MvSl-1064-A2-R4_MC02g03984	116	88
MvSl-1064-A2-R4_MC02g03985	1016	1060
MvSl-1064-A2-R4_MC02g03986	146	177
MvSl-1064-A2-R4_MC02g03987	1082	1131
MvSl-1064-A2-R4_MC02g03988	640	559
MvSl-1064-A2-R4_MC02g03989	997	1009
MvSl-1064-A2-R4_MC02g03990	1481	1334
MvSl-1064-A2-R4_MC02g03991	1306	991
MvSl-1064-A2-R4_MC02g03992	342.727	307.323
MvSl-1064-A2-R4_MC02g03993	310	275
MvSl-1064-A2-R4_MC02g03994	184	184
MvSl-1064-A2-R4_MC02g03995	374	624
MvSl-1064-A2-R4_MC02g03996	501	697
MvSl-1064-A2-R4_MC02g03997	168	140
MvSl-1064-A2-R4_MC02g03998	2219	2558
MvSl-1064-A2-R4_MC02g03999	2181	2305
MvSl-1064-A2-R4_MC02g04000	4327	5490
MvSl-1064-A2-R4_MC02g04001	4968	4415
MvSl-1064-A2-R4_MC02g04002	447	492
MvSl-1064-A2-R4_MC02g04003	641	726
MvSl-1064-A2-R4_MC02g04004	949	1125
MvSl-1064-A2-R4_MC02g04005	817	908
MvSl-1064-A2-R4_MC02g04006	122	95
MvSl-1064-A2-R4_MC02g04007	103	86
MvSl-1064-A2-R4_MC02g04008	512	531
MvSl-1064-A2-R4_MC02g04009	73	53
MvSl-1064-A2-R4_MC02g04010	75	70
MvSl-1064-A2-R4_MC02g04011	701	703
MvSl-1064-A2-R4_MC02g04012	680	754
MvSl-1064-A2-R4_MC02g04013	3554	3392
MvSl-1064-A2-R4_MC02g04014	7569	10435
MvSl-1064-A2-R4_MC02g04015	6	3
MvSl-1064-A2-R4_MC02g04016	2532	2955
MvSl-1064-A2-R4_MC02g04017	4846	5975
MvSl-1064-A2-R4_MC02g04018	108	176
MvSl-1064-A2-R4_MC02g04019	652	580
MvSl-1064-A2-R4_MC02g04020	2045	1795
MvSl-1064-A2-R4_MC02g04021	423	223
MvSl-1064-A2-R4_MC02g04022	1003	2076
MvSl-1064-A2-R4_MC02g04023	5191	7371
MvSl-1064-A2-R4_MC02g04024	1137	1333
MvSl-1064-A2-R4_MC02g04025	433	628
MvSl-1064-A2-R4_MC02g04026	1823	1981
MvSl-1064-A2-R4_MC02g04027	6056	8472
MvSl-1064-A2-R4_MC02g04028	241	298
MvSl-1064-A2-R4_MC02g04029	1685	1786
MvSl-1064-A2-R4_MC02g04030	4812	5268
MvSl-1064-A2-R4_MC02g04031	2738	2755
MvSl-1064-A2-R4_MC02g04032	3129	3219
MvSl-1064-A2-R4_MC02g04033	183	119
MvSl-1064-A2-R4_MC02g04034	3330	3254
MvSl-1064-A2-R4_MC02g04035	350	357
MvSl-1064-A2-R4_MC02g04036	788	938
MvSl-1064-A2-R4_MC02g04037	1961	2012
MvSl-1064-A2-R4_MC02g04038	260	262
MvSl-1064-A2-R4_MC02g04039	1747	1934
MvSl-1064-A2-R4_MC02g04040	443	453
MvSl-1064-A2-R4_MC02g04041	1096	1156
MvSl-1064-A2-R4_MC02g04042	3662	5722
MvSl-1064-A2-R4_MC02g04043	20	19
MvSl-1064-A2-R4_MC02g04044	43	42
MvSl-1064-A2-R4_MC02g04046	143.065	142.739
MvSl-1064-A2-R4_MC02g04047	2327	2139
MvSl-1064-A2-R4_MC02g04048	3405	3214
MvSl-1064-A2-R4_MC02g04049	5	2
MvSl-1064-A2-R4_MC02g04050	271.863	239.392
MvSl-1064-A2-R4_MC02g04053	2457	2289
MvSl-1064-A2-R4_MC02g04054	1110	1085
MvSl-1064-A2-R4_MC02g04055	4075	3966
MvSl-1064-A2-R4_MC02g04056	2303	2602
MvSl-1064-A2-R4_MC02g04057	10	3
MvSl-1064-A2-R4_MC02g04058	133	82
MvSl-1064-A2-R4_MC02g04059	4262	3071
MvSl-1064-A2-R4_MC02g04060	1092	1293
MvSl-1064-A2-R4_MC02g04061	2722	3655
MvSl-1064-A2-R4_MC02g04062	476	421
MvSl-1064-A2-R4_MC02g04063	585	617
MvSl-1064-A2-R4_MC02g04064	3236	3587
MvSl-1064-A2-R4_MC02g04065	2951	3888
MvSl-1064-A2-R4_MC02g04066	3924	3702
MvSl-1064-A2-R4_MC02g04067	1380	1151
MvSl-1064-A2-R4_MC02g04068	957	978
MvSl-1064-A2-R4_MC02g04069	3306	3751
MvSl-1064-A2-R4_MC02g04070	837	549
MvSl-1064-A2-R4_MC02g04071	2197	2280
MvSl-1064-A2-R4_MC02g04072	1316	1855
MvSl-1064-A2-R4_MC02g04073	586	767
MvSl-1064-A2-R4_MC02g04074	1048	1085
MvSl-1064-A2-R4_MC02g04075	594	763
MvSl-1064-A2-R4_MC02g04076	105	123
MvSl-1064-A2-R4_MC02g04077	1230	1426
MvSl-1064-A2-R4_MC02g04078	983	1107
MvSl-1064-A2-R4_MC02g04080	28.3417	47.5807
MvSl-1064-A2-R4_MC02g04081	4013	3900
MvSl-1064-A2-R4_MC02g04082	339	259
MvSl-1064-A2-R4_MC02g04083	46.9587	35.0659
MvSl-1064-A2-R4_MC02g04084	21.4041	14.042
MvSl-1064-A2-R4_MC02g04085	186.522	128.758
MvSl-1064-A2-R4_MC02g04086	2144	1605
MvSl-1064-A2-R4_MC02g04087	2265	2285
MvSl-1064-A2-R4_MC02g04088	1770	1759
MvSl-1064-A2-R4_MC02g04089	3033	3283
MvSl-1064-A2-R4_MC02g04090	355	395
MvSl-1064-A2-R4_MC02g04091	620	513
MvSl-1064-A2-R4_MC02g04092	184	206
MvSl-1064-A2-R4_MC02g04093	375	444
MvSl-1064-A2-R4_MC02g04094	1609	1825
MvSl-1064-A2-R4_MC02g04095	1145	1225
MvSl-1064-A2-R4_MC02g04096	1167.93	830.25
MvSl-1064-A2-R4_MC02g04097	1152.49	1091.55
MvSl-1064-A2-R4_MC02g04098	515.195	459.286
MvSl-1064-A2-R4_MC02g04099	3496	3910
MvSl-1064-A2-R4_MC02g04100	3545	5688
MvSl-1064-A2-R4_MC02g04101	1763	1699
MvSl-1064-A2-R4_MC02g04102	1253	1331
MvSl-1064-A2-R4_MC02g04103	745	935
MvSl-1064-A2-R4_MC02g04104	991	1037
MvSl-1064-A2-R4_MC02g04105	2497	3108
MvSl-1064-A2-R4_MC02g04106	227	156
MvSl-1064-A2-R4_MC02g04107	371	328
MvSl-1064-A2-R4_MC02g04108	280	147
MvSl-1064-A2-R4_MC02g04109	2724	2692
MvSl-1064-A2-R4_MC02g04110	3442	3453
MvSl-1064-A2-R4_MC02g04111	388	497
MvSl-1064-A2-R4_MC02g04112	570.955	535.538
MvSl-1064-A2-R4_MC02g04113	55.6584	44.3574
MvSl-1064-A2-R4_MC02g04114	2176	1780
MvSl-1064-A2-R4_MC02g04115	1095	840
MvSl-1064-A2-R4_MC02g04116	652	689
MvSl-1064-A2-R4_MC02g04117	548	464
MvSl-1064-A2-R4_MC02g04118	1634	1652
MvSl-1064-A2-R4_MC02g04119	7312	4342
MvSl-1064-A2-R4_MC02g04120	3353	3679
MvSl-1064-A2-R4_MC02g04121	1407	1680
MvSl-1064-A2-R4_MC02g04122	2756	2661
MvSl-1064-A2-R4_MC02g04123	2762	2470
MvSl-1064-A2-R4_MC02g04124	5095	5575
MvSl-1064-A2-R4_MC02g04125	1195	1338
MvSl-1064-A2-R4_MC02g04126	590	623
MvSl-1064-A2-R4_MC02g04127	13806	13300
MvSl-1064-A2-R4_MC02g04128	31	66
MvSl-1064-A2-R4_MC02g04129	14	10
MvSl-1064-A2-R4_MC02g04130	26	63
MvSl-1064-A2-R4_MC02g04131	2470	3438
MvSl-1064-A2-R4_MC02g04132	370.909	353.309
MvSl-1064-A2-R4_MC02g04133	92.2226	52.6319
MvSl-1064-A2-R4_MC02g04134	223.798	285.847
MvSl-1064-A2-R4_MC02g04135	4994.83	5181.44
MvSl-1064-A2-R4_MC02g04136	400.614	389.663
MvSl-1064-A2-R4_MC02g04137	115	135
MvSl-1064-A2-R4_MC02g04138	212.466	187.009
MvSl-1064-A2-R4_MC02g04142	2278	2909
MvSl-1064-A2-R4_MC02g04143	739	919
MvSl-1064-A2-R4_MC02g04144	1244	1254
MvSl-1064-A2-R4_MC02g04145	3269	3800
MvSl-1064-A2-R4_MC02g04146	3394.74	3472.32
MvSl-1064-A2-R4_MC02g04147	2731	3218
MvSl-1064-A2-R4_MC02g04148	1944	1647
MvSl-1064-A2-R4_MC02g04149	39.2602	56.9838
MvSl-1064-A2-R4_MC02g04150	492.817	411.083
MvSl-1064-A2-R4_MC02g04152	1413.17	1353.72
MvSl-1064-A2-R4_MC02g04153	430	305
MvSl-1064-A2-R4_MC02g04154	156	138
MvSl-1064-A2-R4_MC02g04155	918	1134
MvSl-1064-A2-R4_MC02g04156	239	209
MvSl-1064-A2-R4_MC02g04157	6806	4128
MvSl-1064-A2-R4_MC02g04158	603	603
MvSl-1064-A2-R4_MC02g04159	651.95	570.619
MvSl-1064-A2-R4_MC02g04160	364	396
MvSl-1064-A2-R4_MC02g04161	58	31
MvSl-1064-A2-R4_MC02g04162	2648	2779
MvSl-1064-A2-R4_MC02g04169	3594.37	2090.85
MvSl-1064-A2-R4_MC02g04171	3959.13	2621.03
MvSl-1064-A2-R4_MC02g04172	3	2
MvSl-1064-A2-R4_MC02g04173	20	18
MvSl-1064-A2-R4_MC02g04174	341	408
MvSl-1064-A2-R4_MC02g04175	2358	2709
MvSl-1064-A2-R4_MC02g04176	407	465
MvSl-1064-A2-R4_MC02g04177	2229	2322
MvSl-1064-A2-R4_MC02g04178	3100	3529
MvSl-1064-A2-R4_MC02g04179	3	4
MvSl-1064-A2-R4_MC02g04180	1136	1002
MvSl-1064-A2-R4_MC02g04181	1076	1031
MvSl-1064-A2-R4_MC02g04182	954	1080
MvSl-1064-A2-R4_MC02g04183	10144	7035
MvSl-1064-A2-R4_MC02g04184	2018	2640
MvSl-1064-A2-R4_MC02g04185	178	195
MvSl-1064-A2-R4_MC02g04186	425	476
MvSl-1064-A2-R4_MC02g04187	4652	5063
MvSl-1064-A2-R4_MC02g04188	2400	2558
MvSl-1064-A2-R4_MC02g04189	713	839
MvSl-1064-A2-R4_MC02g04190	1641	1687
MvSl-1064-A2-R4_MC02g04191	1126	1131
MvSl-1064-A2-R4_MC02g04192	15.0071	8.00195
MvSl-1064-A2-R4_MC02g04193	333	279
MvSl-1064-A2-R4_MC02g04194	5283.28	6676.09
MvSl-1064-A2-R4_MC02g04195	1080	1323
MvSl-1064-A2-R4_MC02g04196	2341	2251
MvSl-1064-A2-R4_MC02g04197	2095	2739
MvSl-1064-A2-R4_MC02g04198	2003	2458
MvSl-1064-A2-R4_MC02g04199	470	469
MvSl-1064-A2-R4_MC02g04200	693	565
MvSl-1064-A2-R4_MC02g04201	4596	4660
MvSl-1064-A2-R4_MC02g04202	835.775	1075.41
MvSl-1064-A2-R4_MC02g04203	81633	122779
MvSl-1064-A2-R4_MC02g04204	2610	2821
MvSl-1064-A2-R4_MC02g04205	33	28
MvSl-1064-A2-R4_MC02g04206	183	108
MvSl-1064-A2-R4_MC02g04207	1279	1323
MvSl-1064-A2-R4_MC02g04208	734	795
MvSl-1064-A2-R4_MC02g04209	1130	1305
MvSl-1064-A2-R4_MC02g04210	404	409
MvSl-1064-A2-R4_MC02g04211	7731	6697
MvSl-1064-A2-R4_MC02g04212	19	11
MvSl-1064-A2-R4_MC02g04213	957	1279
MvSl-1064-A2-R4_MC02g04214	1081	1148
MvSl-1064-A2-R4_MC02g04215	3352	3194
MvSl-1064-A2-R4_MC02g04216	32	43
MvSl-1064-A2-R4_MC02g04218	21.4628	14.5784
MvSl-1064-A2-R4_MC02g04221	2	5
MvSl-1064-A2-R4_MC02g04222	1601	1748
MvSl-1064-A2-R4_MC02g04223	764	967
MvSl-1064-A2-R4_MC02g04224	237	251
MvSl-1064-A2-R4_MC02g04226	174.406	172.613
MvSl-1064-A2-R4_MC02g04227	120	86
MvSl-1064-A2-R4_MC02g04228	10410	8244
MvSl-1064-A2-R4_MC02g04229	1375	1657
MvSl-1064-A2-R4_MC02g04230	3871	4078
MvSl-1064-A2-R4_MC02g04231	699	477
MvSl-1064-A2-R4_MC02g04232	1169	1299
MvSl-1064-A2-R4_MC02g04233	2919	2986
MvSl-1064-A2-R4_MC02g04234	8	3
MvSl-1064-A2-R4_MC02g04235	215	265
MvSl-1064-A2-R4_MC02g04236	651	635
MvSl-1064-A2-R4_MC02g04237	353	345
MvSl-1064-A2-R4_MC02g04238	2404	2895
MvSl-1064-A2-R4_MC02g04239	1197	1433
MvSl-1064-A2-R4_MC02g04240	1115	1211
MvSl-1064-A2-R4_MC02g04241	720	536
MvSl-1064-A2-R4_MC02g04242	630	529
MvSl-1064-A2-R4_MC02g04243	1474	1762
MvSl-1064-A2-R4_MC02g04245	952	689
MvSl-1064-A2-R4_MC02g04246	253	242
MvSl-1064-A2-R4_MC02g04247	1919	2270
MvSl-1064-A2-R4_MC02g04248	752	947
MvSl-1064-A2-R4_MC02g04249	799	767
MvSl-1064-A2-R4_MC02g04250	2110	1888
MvSl-1064-A2-R4_MC02g04251	1642	1487
