target_id	A2_1	A2_2
MvSl-1064-A2-R4_A2g00365	443	477
MvSl-1064-A2-R4_A2g00366	206	209
MvSl-1064-A2-R4_A2g00367	1871	2006
MvSl-1064-A2-R4_A2g00368	2120	1459
MvSl-1064-A2-R4_A2g00369	2297	4021
MvSl-1064-A2-R4_A2g00370	468	281
MvSl-1064-A2-R4_A2g00371	4278	6949
MvSl-1064-A2-R4_A2g00372	5099	5891
MvSl-1064-A2-R4_A2g00373	10546	13421
MvSl-1064-A2-R4_A2g00374	3588	4209
MvSl-1064-A2-R4_A2g00375	5775	5746
MvSl-1064-A2-R4_A2g00376	1448	1903
MvSl-1064-A2-R4_A2g00377	3	2
MvSl-1064-A2-R4_A2g00378	3	2
MvSl-1064-A2-R4_A2g00379	2081	1963
MvSl-1064-A2-R4_A2g00380	745	722
MvSl-1064-A2-R4_A2g00383	536	501
MvSl-1064-A2-R4_A2g00387	15	8
MvSl-1064-A2-R4_A2g00388	311	208
MvSl-1064-A2-R4_A2g00393	1366	1255
MvSl-1064-A2-R4_A2g00403	3571	3521
MvSl-1064-A2-R4_A2g00417	801	821
MvSl-1064-A2-R4_A2g00418	1203	990
MvSl-1064-A2-R4_A2g00420	314.304	171.822
MvSl-1064-A2-R4_A2g00431	1796	1801
MvSl-1064-A2-R4_A2g00443	8791	8333
MvSl-1064-A2-R4_A2g00444	3745	4279
MvSl-1064-A2-R4_A2g00527	2102.62	1694.9
MvSl-1064-A2-R4_A2g00529	1209	1090
MvSl-1064-A2-R4_A2g00539	0	0
MvSl-1064-A2-R4_A2g00548	987	771
MvSl-1064-A2-R4_A2g00559	1687	1618
MvSl-1064-A2-R4_A2g00560	350	257
MvSl-1064-A2-R4_A2g00565	67	44
MvSl-1064-A2-R4_A2g00566	36	28.4845
MvSl-1064-A2-R4_A2g00568	12	6
MvSl-1064-A2-R4_A2g00569	5516	4972
MvSl-1064-A2-R4_A2g00570	1522	1390
MvSl-1064-A2-R4_A2g00575	361	258
MvSl-1064-A2-R4_A2g00576	2438	1058
MvSl-1064-A2-R4_A2g00577	2059	1762
MvSl-1064-A2-R4_A2g00602	1472	1502
MvSl-1064-A2-R4_A2g00611	282	515
MvSl-1064-A2-R4_A2g00615	318	146
