gida2	gidmvsd	dnds	dn	ds
MvSl-1064-A2-R4_MC07g07940	MvSdioicae-1303-FR02-T-N202-PbcR_C014g08818	0.7844	0.0089	0.0114
MvSl-1064-A2-R4_A2g00570	MvSdioicae-1303-FR02-T-N202-PbcR_C006g05105	0.988	0.0069	0.007
MvSl-1064-A2-R4_MC10g10249	MvSdioicae-1303-FR02-T-N202-PbcR_C017g09769	1.5933	0.0049	0.0031
MvSl-1064-A2-R4_MC11g10960	MvSdioicae-1303-FR02-T-N202-PbcR_C005g03945	0.4403	0.0072	0.0164
MvSl-1064-A2-R4_MC07g08452	MvSdioicae-1303-FR02-T-N202-PbcR_C020g10617	0.001	0	0.0152
MvSl-1064-A2-R4_MC14g11996	MvSdioicae-1303-FR02-T-N202-PbcR_C011g07375	0.6735	0.0011	0.0016
MvSl-1064-A2-R4_MC07g08091	MvSdioicae-1303-FR02-T-N202-PbcR_C014g08973	0.0872	0.002	0.0229
MvSl-1064-A2-R4_MC10g10017	MvSdioicae-1303-FR02-T-N202-PbcR_C016g09526	0.1991	0.0018	0.0092
MvSl-1064-A2-R4_MC03g04648	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01407	0.5654	0.0042	0.0074
MvSl-1064-A2-R4_MC05g06923	MvSdioicae-1303-FR02-T-N202-PbcR_C007g05324	0.0155	0.0004	0.0227
MvSl-1064-A2-R4_MC10g10195	MvSdioicae-1303-FR02-T-N202-PbcR_C017g09716	0.1213	0.0014	0.0117
MvSl-1064-A2-R4_MC01g02161	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00175	98.9996	0.0063	0.0001
MvSl-1064-A2-R4_MC07g08402	MvSdioicae-1303-FR02-T-N202-PbcR_C020g10597	0.8281	0.0059	0.0071
MvSl-1064-A2-R4_MC12g11483	MvSdioicae-1303-FR02-T-N202-PbcR_C008g06205	0.3732	0.0023	0.0062
MvSl-1064-A2-R4_MC13g11832	MvSdioicae-1303-FR02-T-N202-PbcR_C012g07964	98.9996	0.0045	0
MvSl-1064-A2-R4_MC01g03050	MvSdioicae-1303-FR02-T-N202-PbcR_C001g01102	98.9996	0.0036	0
MvSl-1064-A2-R4_MC05g06752	MvSdioicae-1303-FR02-T-N202-PbcR_C007g05502	0.1465	0.0017	0.0118
MvSl-1064-A2-R4_MC02g03919	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02772	0.001	0	0.0029
