gida2	gidmvsd	dnds	dn	ds
MvSl-1064-A2-R4_MC01g02406	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00469	0.001	0	0.0128
MvSl-1064-A2-R4_MC05g06452	MvSdioicae-1303-FR02-T-N202-PbcR_C022g10992	0.7678	0.0052	0.0068
MvSl-1064-A2-R4_MC02g03536	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02377	1.292	0.0048	0.0037
MvSl-1064-A2-R4_MC08-2g09122	MvSdioicae-1303-FR02-T-N202-PbcR_C029g12287	0.1537	0.0033	0.0214
MvSl-1064-A2-R4_MC07g08387	MvSdioicae-1303-FR02-T-N202-PbcR_C020g10552	0.001	0	0.0084
MvSl-1064-A2-R4_MC01g02250	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00267	0.001	0	0.0165
MvSl-1064-A2-R4_MC02g03782	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02573	0.1813	0.0013	0.0071
MvSl-1064-A2-R4_MC01g03299	MvSdioicae-1303-FR02-T-N202-PbcR_C023g11254	0.0687	0.0008	0.0115
MvSl-1064-A2-R4_MC02g04065	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02917	0.1956	0.0021	0.0109
MvSl-1064-A2-R4_A2g01572	MvSdioicae-1303-FR02-T-N202-PbcR_C006g04906	0.3512	0.0037	0.0105
MvSl-1064-A2-R4_MC01g02142	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00156	0.4881	0.0051	0.0104
MvSl-1064-A2-R4_MC12g11141	MvSdioicae-1303-FR02-T-N202-PbcR_C008g05857	0.2605	0.0005	0.0019
MvSl-1064-A2-R4_MC12g11512	MvSdioicae-1303-FR02-T-N202-PbcR_C008g06230	0.6593	0.0048	0.0072
MvSl-1064-A2-R4_MC14g12005	MvSdioicae-1303-FR02-T-N202-PbcR_C011g07384	0.5846	0.0032	0.0055
MvSl-1064-A2-R4_MC01g02302	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00336	0.2097	0.0019	0.0089
MvSl-1064-A2-R4_MC02g04269	MvSdioicae-1303-FR02-T-N202-PbcR_C003g03103	0.4264	0.007	0.0165
MvSl-1064-A2-R4_MC13g11728	MvSdioicae-1303-FR02-T-N202-PbcR_C012g08073	0.9779	0.0083	0.0085
MvSl-1064-A2-R4_MC07g07955	MvSdioicae-1303-FR02-T-N202-PbcR_C014g08833	0.392	0.003	0.0077
MvSl-1064-A2-R4_MC12g11324	MvSdioicae-1303-FR02-T-N202-PbcR_C008g06041	0.2191	0.0021	0.0095
MvSl-1064-A2-R4_MC01g02584	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00642	0.1458	0.0036	0.0246
MvSl-1064-A2-R4_MC02g03618	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02455	0.2101	0.0029	0.0139
MvSl-1064-A2-R4_MC14g12125	MvSdioicae-1303-FR02-T-N202-PbcR_C011g07509	0.001	0	0.025
MvSl-1064-A2-R4_MC08-1g08953	MvSdioicae-1303-FR02-T-N202-PbcR_C010g07306	0.2944	0.002	0.007
MvSl-1064-A2-R4_MC01g02223	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00240	0.4969	0.0039	0.0078
MvSl-1064-A2-R4_MC02g04290	MvSdioicae-1303-FR02-T-N202-PbcR_C003g03123	0.6229	0.0054	0.0087
MvSl-1064-A2-R4_A2g00374	MvSdioicae-1303-FR02-T-N202-PbcR_C006g04835	0.7862	0.0076	0.0097
MvSl-1064-A2-R4_MC09g09433	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03447	0.7287	0.004	0.0054
MvSl-1064-A2-R4_MC03g04660	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01419	0.2917	0.0054	0.0186
MvSl-1064-A2-R4_MC01g01991	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00012	98.9996	0.0114	0.0001
MvSl-1064-A2-R4_MC10g10268	MvSdioicae-1303-FR02-T-N202-PbcR_C017g09789	0.4431	0.0036	0.0081
MvSl-1064-A2-R4_MC08-1g08674	MvSdioicae-1303-FR02-T-N202-PbcR_C010g07002	0.1654	0.0008	0.0047
MvSl-1064-A2-R4_MC09g09463	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03475	0.001	0	0.0111
MvSl-1064-A2-R4_MC14g12208	MvSdioicae-1303-FR02-T-N202-PbcR_C011g07591	1.1077	0.0204	0.0184
MvSl-1064-A2-R4_MC07g08097	MvSdioicae-1303-FR02-T-N202-PbcR_C014g08979	0.4155	0.0032	0.0077
MvSl-1064-A2-R4_MC03g04831	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01604	0.5137	0.0035	0.0068
MvSl-1064-A2-R4_MC14g12109	MvSdioicae-1303-FR02-T-N202-PbcR_C011g07493	0.2717	0.0025	0.0091
MvSl-1064-A2-R4_MC13g11774	MvSdioicae-1303-FR02-T-N202-PbcR_C012g08018	0.1364	0.0015	0.0112
MvSl-1064-A2-R4_MC01g02140	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00154	0.292	0.003	0.0103
MvSl-1064-A2-R4_MC08-1g08639	MvSdioicae-1303-FR02-T-N202-PbcR_C010g06968	0.0625	0.0013	0.0205
MvSl-1064-A2-R4_MC05g06475	MvSdioicae-1303-FR02-T-N202-PbcR_C022g11014	0.3192	0.0027	0.0085
MvSl-1064-A2-R4_MC11g10526	MvSdioicae-1303-FR02-T-N202-PbcR_C005g04384	0.3991	0	0
MvSl-1064-A2-R4_MC07g08156	MvSdioicae-1303-FR02-T-N202-PbcR_C027g11871	0.1386	0.0014	0.0102
MvSl-1064-A2-R4_MC03g05150	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01968	0.203	0.003	0.0147
MvSl-1064-A2-R4_MC08-1g08815	MvSdioicae-1303-FR02-T-N202-PbcR_C010g07140	0.1461	0.0013	0.0091
MvSl-1064-A2-R4_MC11g10508	MvSdioicae-1303-FR02-T-N202-PbcR_C005g04403	0.1812	0.0026	0.0146
MvSl-1064-A2-R4_MC01g02353	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00411	0.1602	0.0019	0.0118
MvSl-1064-A2-R4_MC11g10531	MvSdioicae-1303-FR02-T-N202-PbcR_C005g04379	0.5391	0.0044	0.0081
MvSl-1064-A2-R4_MC15g12315	MvSdioicae-1303-FR02-T-N202-PbcR_C011g07743	0.4266	0.0047	0.0109
MvSl-1064-A2-R4_MC01g02538	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00599	1.1315	0.01	0.0089
MvSl-1064-A2-R4_MC10g10145	MvSdioicae-1303-FR02-T-N202-PbcR_C017g09665	0.4121	0.0029	0.007
MvSl-1064-A2-R4_MC05g06987	MvSdioicae-1303-FR02-T-N202-PbcR_C007g05254	1.0808	0.0037	0.0034
MvSl-1064-A2-R4_MC03g05344	MvSdioicae-1303-FR02-T-N202-PbcR_C002g02149	0.6612	0.0044	0.0066
MvSl-1064-A2-R4_MC07g08233	MvSdioicae-1303-FR02-T-N202-PbcR_C027g11949	0.2492	0.0017	0.007
MvSl-1064-A2-R4_MC07g08180	MvSdioicae-1303-FR02-T-N202-PbcR_C027g11898	0.2229	0.0011	0.005
MvSl-1064-A2-R4_MC05g06823	MvSdioicae-1303-FR02-T-N202-PbcR_C007g05419	1.0533	0.0024	0.0023
MvSl-1064-A2-R4_MC06-1g07214	MvSdioicae-1303-FR02-T-N202-PbcR_C030g12357	0.0668	0.0005	0.0081
MvSl-1064-A2-R4_MC04-1g05624	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06369	1.0966	0.0026	0.0024
MvSl-1064-A2-R4_MC12g11314	MvSdioicae-1303-FR02-T-N202-PbcR_C008g06030	0.001	0	0.0137
MvSl-1064-A2-R4_MC08-1g08964	MvSdioicae-1303-FR02-T-N202-PbcR_C010g07319	0.4186	0.0077	0.0183
MvSl-1064-A2-R4_MC01g02992	MvSdioicae-1303-FR02-T-N202-PbcR_C001g01047	0.2044	0.0018	0.0086
MvSl-1064-A2-R4_A2g00049	MvSdioicae-1303-FR02-T-N202-PbcR_C024g11419	0.6164	0.0056	0.009
MvSl-1064-A2-R4_MC03g05269	MvSdioicae-1303-FR02-T-N202-PbcR_C002g02111	1.2384	0.0074	0.006
MvSl-1064-A2-R4_MC02g04063	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02915	0.3584	0.0043	0.012
MvSl-1064-A2-R4_MC11g10571	MvSdioicae-1303-FR02-T-N202-PbcR_C005g04341	0.2783	0.0007	0.0024
MvSl-1064-A2-R4_MC01g02842	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00894	0.3784	0.0027	0.0071
MvSl-1064-A2-R4_MC10g10231	MvSdioicae-1303-FR02-T-N202-PbcR_C017g09752	0.4296	0.0027	0.0064
MvSl-1064-A2-R4_MC08-1g08858	MvSdioicae-1303-FR02-T-N202-PbcR_C010g07194	0.2551	0.0024	0.0095
MvSl-1064-A2-R4_MC02g03875	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02728	0.6412	0.0017	0.0027
MvSl-1064-A2-R4_MC07g08184	MvSdioicae-1303-FR02-T-N202-PbcR_C027g11902	0.001	0	0.0086
MvSl-1064-A2-R4_MC03g04736	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01507	0.1755	0.0015	0.0084
MvSl-1064-A2-R4_MC08-1g08618	MvSdioicae-1303-FR02-T-N202-PbcR_C010g06949	0.2263	0.0022	0.0098
MvSl-1064-A2-R4_MC08-1g08989	MvSdioicae-1303-FR02-T-N202-PbcR_C010g07341	0.0602	0.0015	0.0246
MvSl-1064-A2-R4_MC01g02265	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00299	0.4756	0.0017	0.0035
MvSl-1064-A2-R4_MC05g06465	MvSdioicae-1303-FR02-T-N202-PbcR_C022g11004	0.1324	0.0016	0.0118
MvSl-1064-A2-R4_MC11g10542	MvSdioicae-1303-FR02-T-N202-PbcR_C005g04368	1.652	0.0099	0.006
MvSl-1064-A2-R4_MC10g10391	MvSdioicae-1303-FR02-T-N202-PbcR_C035g12708	0.3338	0.0048	0.0143
MvSl-1064-A2-R4_MC03g04590	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01352	0.485	0.0027	0.0056
MvSl-1064-A2-R4_MC07g07881	MvSdioicae-1303-FR02-T-N202-PbcR_C014g08748	0.001	0	0.0238
MvSl-1064-A2-R4_MC01g02577	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00635	0.001	0	0.012
MvSl-1064-A2-R4_MC10g10314	MvSdioicae-1303-FR02-T-N202-PbcR_C017g09832	0.752	0.0112	0.0149
MvSl-1064-A2-R4_MC08-1g08582	MvSdioicae-1303-FR02-T-N202-PbcR_C010g06912	0.7207	0.0037	0.0051
MvSl-1064-A2-R4_MC07g07819	MvSdioicae-1303-FR02-T-N202-PbcR_C014g08688	98.9996	0.0057	0.0001
MvSl-1064-A2-R4_MC02g04318	MvSdioicae-1303-FR02-T-N202-PbcR_C003g03154	0.6329	0.0051	0.008
MvSl-1064-A2-R4_MC08-1g08901	MvSdioicae-1303-FR02-T-N202-PbcR_C010g07238	0.2693	0.0021	0.0079
MvSl-1064-A2-R4_MC11g10575	MvSdioicae-1303-FR02-T-N202-PbcR_C005g04336	0.8884	0.0042	0.0047
MvSl-1064-A2-R4_MC05g06474	MvSdioicae-1303-FR02-T-N202-PbcR_C022g11013	1.4064	0.0031	0.0022
MvSl-1064-A2-R4_MC06-2g07575	MvSdioicae-1303-FR02-T-N202-PbcR_C019g10347	0.001	0	0.0132
MvSl-1064-A2-R4_MC13g11718	MvSdioicae-1303-FR02-T-N202-PbcR_C012g08084	0.1454	0.0054	0.0373
MvSl-1064-A2-R4_MC02g04131	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02981	0.4016	0	0
MvSl-1064-A2-R4_MC05g06935	MvSdioicae-1303-FR02-T-N202-PbcR_C007g05311	0.794	0.0046	0.0058
MvSl-1064-A2-R4_MC03g04688	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01448	0.4095	0.0039	0.0095
MvSl-1064-A2-R4_MC08-1g09001	MvSdioicae-1303-FR02-T-N202-PbcR_C010g07353	0.5541	0.0021	0.0039
MvSl-1064-A2-R4_MC01g02268	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00296	0.6215	0.0046	0.0074
MvSl-1064-A2-R4_MC14g12055	MvSdioicae-1303-FR02-T-N202-PbcR_C011g07432	0.001	0	0
MvSl-1064-A2-R4_MC03g05017	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01794	0.8907	0.0057	0.0064
MvSl-1064-A2-R4_MC14g12164	MvSdioicae-1303-FR02-T-N202-PbcR_C011g07548	0.2956	0.0034	0.0114
MvSl-1064-A2-R4_MC03g05307	MvSdioicae-1303-FR02-T-N202-PbcR_C002g02064	0.001	0	0.0097
MvSl-1064-A2-R4_MC01g02575	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00633	0.3559	0	0
MvSl-1064-A2-R4_MC09g09461	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03473	0.5023	0.0046	0.0092
MvSl-1064-A2-R4_MC09g09380	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03393	0.1351	0.0014	0.0107
MvSl-1064-A2-R4_MC08-1g08891	MvSdioicae-1303-FR02-T-N202-PbcR_C010g07228	98.9996	0.0076	0.0001
MvSl-1064-A2-R4_MC07g08201	MvSdioicae-1303-FR02-T-N202-PbcR_C027g11918	1.2578	0.0036	0.0029
MvSl-1064-A2-R4_MC05g06396	MvSdioicae-1303-FR02-T-N202-PbcR_C022g10940	1.4572	0.0066	0.0045
MvSl-1064-A2-R4_MC03g04975	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01753	0.4593	0.0045	0.0097
MvSl-1064-A2-R4_MC06-2g07741	MvSdioicae-1303-FR02-T-N202-PbcR_C028g12101	1.0266	0.0078	0.0076
MvSl-1064-A2-R4_MC01g02418	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00482	0.079	0.0005	0.0069
MvSl-1064-A2-R4_MC07g08355	MvSdioicae-1303-FR02-T-N202-PbcR_C020g10520	0.2601	0.0054	0.0209
MvSl-1064-A2-R4_MC12g11448	MvSdioicae-1303-FR02-T-N202-PbcR_C008g06169	0.3625	0.0063	0.0173
MvSl-1064-A2-R4_MC09g09313	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03326	1.6041	0.0067	0.0042
MvSl-1064-A2-R4_MC07g08051	MvSdioicae-1303-FR02-T-N202-PbcR_C014g08931	0.7005	0.0078	0.0111
MvSl-1064-A2-R4_MC07g08165	MvSdioicae-1303-FR02-T-N202-PbcR_C027g11880	0.5526	0.0038	0.007
MvSl-1064-A2-R4_MC09g09388	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03401	0.3116	0.0012	0.0038
MvSl-1064-A2-R4_MC13g11967	MvSdioicae-1303-FR02-T-N202-PbcR_C012g07834	0.5728	0.0027	0.0047
MvSl-1064-A2-R4_MC08-1g09000	MvSdioicae-1303-FR02-T-N202-PbcR_C010g07352	0.2498	0.0029	0.0116
MvSl-1064-A2-R4_MC10g10333	MvSdioicae-1303-FR02-T-N202-PbcR_C017g09853	0.2619	0.0031	0.0117
MvSl-1064-A2-R4_MC15g12346	MvSdioicae-1303-FR02-T-N202-PbcR_C011g07712	0.4426	0	0
MvSl-1064-A2-R4_MC02g04008	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02859	98.9996	0.0019	0
MvSl-1064-A2-R4_MC06-1g07226	MvSdioicae-1303-FR02-T-N202-PbcR_C030g12345	0.0713	0.0006	0.0086
MvSl-1064-A2-R4_MC08-1g08887	MvSdioicae-1303-FR02-T-N202-PbcR_C010g07224	0.1712	0.0034	0.0197
MvSl-1064-A2-R4_MC10g10027	MvSdioicae-1303-FR02-T-N202-PbcR_C016g09535	1.675	0.0066	0.004
MvSl-1064-A2-R4_MC08-1g08706	MvSdioicae-1303-FR02-T-N202-PbcR_C010g07034	0.4055	0.0024	0.0058
MvSl-1064-A2-R4_MC09g09689	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03686	0.1448	0.0015	0.0105
MvSl-1064-A2-R4_MC07g08304	MvSdioicae-1303-FR02-T-N202-PbcR_C020g10469	0.3301	0.0028	0.0086
MvSl-1064-A2-R4_MC13g11681	MvSdioicae-1303-FR02-T-N202-PbcR_C012g08129	0.9189	0.0073	0.008
MvSl-1064-A2-R4_A2g01187	MvSdioicae-1303-FR02-T-N202-PbcR_C026g11683	0.2001	0.0015	0.0073
MvSl-1064-A2-R4_MC03g05168	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01949	0.2547	0.0031	0.0122
MvSl-1064-A2-R4_MC01g02591	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00649	98.9996	0.0046	0
MvSl-1064-A2-R4_MC06-1g07262	MvSdioicae-1303-FR02-T-N202-PbcR_C021g10880	0.0862	0.0007	0.0086
MvSl-1064-A2-R4_MC08-2g09103	MvSdioicae-1303-FR02-T-N202-PbcR_C029g12271	0.8748	0.0065	0.0074
MvSl-1064-A2-R4_MC02g04346	MvSdioicae-1303-FR02-T-N202-PbcR_C003g03182	0.3212	0.0047	0.0145
MvSl-1064-A2-R4_MC11g10561	MvSdioicae-1303-FR02-T-N202-PbcR_C005g04350	0.1846	0.0023	0.0125
MvSl-1064-A2-R4_MC06-2g07688	MvSdioicae-1303-FR02-T-N202-PbcR_C028g12156	0.2416	0.0029	0.0119
MvSl-1064-A2-R4_MC02g03552	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02394	0.5453	0.0038	0.007
MvSl-1064-A2-R4_MC07g08396	MvSdioicae-1303-FR02-T-N202-PbcR_C020g10561	0.9275	0.0057	0.0061
MvSl-1064-A2-R4_MC07g07980	MvSdioicae-1303-FR02-T-N202-PbcR_C014g08856	0.4975	0.0049	0.0098
MvSl-1064-A2-R4_MC14g12238	MvSdioicae-1303-FR02-T-N202-PbcR_C011g07627	0.1278	0.0013	0.0102
MvSl-1064-A2-R4_MC03g05434	MvSdioicae-1303-FR02-T-N202-PbcR_C002g02241	98.9996	0.0093	0.0001
MvSl-1064-A2-R4_MC01g02545	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00604	0.001	0	0.0058
MvSl-1064-A2-R4_MC01g02051	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00075	0.3018	0.0016	0.0052
MvSl-1064-A2-R4_MC10g10276	MvSdioicae-1303-FR02-T-N202-PbcR_C017g09796	0.001	0	0.0058
MvSl-1064-A2-R4_MC01g02144	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00158	0.5194	0.0048	0.0093
MvSl-1064-A2-R4_MC13g11674	MvSdioicae-1303-FR02-T-N202-PbcR_C012g08136	0.001	0	0.0101
MvSl-1064-A2-R4_MC03g05271	MvSdioicae-1303-FR02-T-N202-PbcR_C002g02114	0.1929	0.0028	0.0144
MvSl-1064-A2-R4_MC02g04404	MvSdioicae-1303-FR02-T-N202-PbcR_C025g11559	0.208	0.0029	0.0139
MvSl-1064-A2-R4_MC03g04606	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01367	0.1923	0.0027	0.0139
MvSl-1064-A2-R4_MC01g02686	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00736	0.7763	0.0086	0.0111
MvSl-1064-A2-R4_MC07g08340	MvSdioicae-1303-FR02-T-N202-PbcR_C020g10502	0.3085	0.0064	0.0206
MvSl-1064-A2-R4_A2g01773	MvSdioicae-1303-FR02-T-N202-PbcR_C031g12528	0.8796	0.008	0.0091
MvSl-1064-A2-R4_MC02g03846	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02696	0.479	0.0038	0.008
MvSl-1064-A2-R4_MC01g03108	MvSdioicae-1303-FR02-T-N202-PbcR_C001g01277	0.001	0	0.006
MvSl-1064-A2-R4_MC01g02297	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00341	98.9996	0.0014	0
MvSl-1064-A2-R4_MC07g08105	MvSdioicae-1303-FR02-T-N202-PbcR_C014g08987	1.5542	0.0042	0.0027
MvSl-1064-A2-R4_MC02g03594	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02432	0.8024	0.004	0.005
MvSl-1064-A2-R4_MC03g04567	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01326	0.1715	0.0027	0.0156
MvSl-1064-A2-R4_MC08-1g08946	MvSdioicae-1303-FR02-T-N202-PbcR_C010g07299	1.018	0.0033	0.0032
MvSl-1064-A2-R4_MC14g12011	MvSdioicae-1303-FR02-T-N202-PbcR_C011g07390	0.4231	0.0052	0.0122
MvSl-1064-A2-R4_MC12g11435	MvSdioicae-1303-FR02-T-N202-PbcR_C008g06156	1.1644	0.0042	0.0036
MvSl-1064-A2-R4_MC03g04735	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01506	0.4219	0	0
MvSl-1064-A2-R4_MC02g03866	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02719	98.9996	0.0009	0
MvSl-1064-A2-R4_MC07g08168	MvSdioicae-1303-FR02-T-N202-PbcR_C027g11883	0.7591	0.0048	0.0064
MvSl-1064-A2-R4_MC11g10756	MvSdioicae-1303-FR02-T-N202-PbcR_C005g04154	0.7288	0.0125	0.0172
MvSl-1064-A2-R4_MC06-1g07288	MvSdioicae-1303-FR02-T-N202-PbcR_C021g10855	0.001	0	0.0206
MvSl-1064-A2-R4_MC08-1g08605	MvSdioicae-1303-FR02-T-N202-PbcR_C010g06936	0.3432	0.0032	0.0094
MvSl-1064-A2-R4_MC05g06990	MvSdioicae-1303-FR02-T-N202-PbcR_C007g05251	0.3053	0.0046	0.015
MvSl-1064-A2-R4_MC01g02995	MvSdioicae-1303-FR02-T-N202-PbcR_C001g01050	0.2624	0.0021	0.0079
MvSl-1064-A2-R4_MC11g10724	MvSdioicae-1303-FR02-T-N202-PbcR_C005g04187	0.4825	0.0037	0.0076
MvSl-1064-A2-R4_MC06-1g07197	MvSdioicae-1303-FR02-T-N202-PbcR_C030g12374	0.2002	0.002	0.0098
MvSl-1064-A2-R4_MC10g10362	MvSdioicae-1303-FR02-T-N202-PbcR_C017g09883	0.3686	0.0036	0.0097
MvSl-1064-A2-R4_MC10g09924	MvSdioicae-1303-FR02-T-N202-PbcR_C016g09434	0.7431	0.006	0.0081
MvSl-1064-A2-R4_MC08-2g09097	MvSdioicae-1303-FR02-T-N202-PbcR_C029g12265	0.3917	0.0026	0.0067
MvSl-1064-A2-R4_MC05g06911	MvSdioicae-1303-FR02-T-N202-PbcR_C007g05334	0.6441	0.0043	0.0067
MvSl-1064-A2-R4_MC08-2g09108	MvSdioicae-1303-FR02-T-N202-PbcR_C029g12276	0.813	0.005	0.0062
MvSl-1064-A2-R4_MC01g03421	MvSdioicae-1303-FR02-T-N202-PbcR_C023g11138	0.185	0.002	0.0107
MvSl-1064-A2-R4_MC06-2g07578	MvSdioicae-1303-FR02-T-N202-PbcR_C019g10351	0.1388	0.0012	0.0085
MvSl-1064-A2-R4_MC02g04364	MvSdioicae-1303-FR02-T-N202-PbcR_C025g11477	0.1593	0.0023	0.0143
MvSl-1064-A2-R4_MC02g04107	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02958	0.4104	0.0032	0.0077
MvSl-1064-A2-R4_MC03g04673	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01433	0.001	0	0.0061
MvSl-1064-A2-R4_MC05g06468	MvSdioicae-1303-FR02-T-N202-PbcR_C022g11007	0.1001	0.0018	0.0181
MvSl-1064-A2-R4_MC03g04584	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01346	98.9996	0.0027	0
MvSl-1064-A2-R4_MC13g11907	MvSdioicae-1303-FR02-T-N202-PbcR_C012g07892	0.4205	0.001	0.0023
MvSl-1064-A2-R4_A2g01784	MvSdioicae-1303-FR02-T-N202-PbcR_C031g12518	0.8127	0.0159	0.0196
MvSl-1064-A2-R4_MC03g05263	MvSdioicae-1303-FR02-T-N202-PbcR_C002g02105	0.001	0	0.0129
MvSl-1064-A2-R4_MC12g11038	MvSdioicae-1303-FR02-T-N202-PbcR_C008g05745	0.4458	0.0046	0.0102
MvSl-1064-A2-R4_MC05g06974	MvSdioicae-1303-FR02-T-N202-PbcR_C007g05268	0.3763	0.0047	0.0126
MvSl-1064-A2-R4_MC02g04327	MvSdioicae-1303-FR02-T-N202-PbcR_C003g03163	0.4486	0.0038	0.0085
MvSl-1064-A2-R4_MC01g02487	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00552	0.2615	0.0036	0.0138
MvSl-1064-A2-R4_MC10g10324	MvSdioicae-1303-FR02-T-N202-PbcR_C017g09844	0.5732	0.0063	0.011
MvSl-1064-A2-R4_MC13g11712	MvSdioicae-1303-FR02-T-N202-PbcR_C012g08090	0.5009	0.0023	0.0046
MvSl-1064-A2-R4_MC02g04199	MvSdioicae-1303-FR02-T-N202-PbcR_C003g03035	0.354	0.0051	0.0144
MvSl-1064-A2-R4_MC14g12006	MvSdioicae-1303-FR02-T-N202-PbcR_C011g07385	0.659	0.0043	0.0066
MvSl-1064-A2-R4_MC11g10800	MvSdioicae-1303-FR02-T-N202-PbcR_C005g04113	0.0671	0.0007	0.0112
MvSl-1064-A2-R4_MC03g05465	MvSdioicae-1303-FR02-T-N202-PbcR_C002g02277	98.9996	0.0136	0.0001
MvSl-1064-A2-R4_MC06-2g07319	MvSdioicae-1303-FR02-T-N202-PbcR_C021g10826	98.9996	0.003	0
MvSl-1064-A2-R4_MC08-1g08861	MvSdioicae-1303-FR02-T-N202-PbcR_C010g07197	0.001	0	0.0242
MvSl-1064-A2-R4_MC04-1g05840	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06577	0.506	0.0015	0.0029
MvSl-1064-A2-R4_MC03g04958	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01738	0.3156	0.0045	0.0142
MvSl-1064-A2-R4_MC01g02729	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00777	0.5191	0.0061	0.0118
MvSl-1064-A2-R4_MC06-1g07267	MvSdioicae-1303-FR02-T-N202-PbcR_C021g10875	0.3425	0.003	0.0086
MvSl-1064-A2-R4_MC05g07038	MvSdioicae-1303-FR02-T-N202-PbcR_C007g05208	0.1135	0.0005	0.0048
MvSl-1064-A2-R4_MC06-1g07256	MvSdioicae-1303-FR02-T-N202-PbcR_C021g10886	0.1729	0.001	0.0058
MvSl-1064-A2-R4_MC05g06443	MvSdioicae-1303-FR02-T-N202-PbcR_C022g10983	0.2308	0.0024	0.0103
MvSl-1064-A2-R4_MC01g03048	MvSdioicae-1303-FR02-T-N202-PbcR_C001g01100	0.2854	0.0022	0.0076
MvSl-1064-A2-R4_MC02g04507	MvSdioicae-1303-FR02-T-N202-PbcR_C025g11614	98.9996	0.0034	0
MvSl-1064-A2-R4_MC06-1g07277	MvSdioicae-1303-FR02-T-N202-PbcR_C021g10865	0.4008	0.0047	0.0117
MvSl-1064-A2-R4_MC11g10586	MvSdioicae-1303-FR02-T-N202-PbcR_C005g04326	0.2986	0.0023	0.0077
MvSl-1064-A2-R4_MC15g12368	MvSdioicae-1303-FR02-T-N202-PbcR_C011g07692	0.4636	0.0021	0.0045
MvSl-1064-A2-R4_MC11g10468	MvSdioicae-1303-FR02-T-N202-PbcR_C005g04446	0.8991	0.0075	0.0083
MvSl-1064-A2-R4_MC08-1g08819	MvSdioicae-1303-FR02-T-N202-PbcR_C010g07136	0.5085	0.0033	0.0065
MvSl-1064-A2-R4_MC07g08108	MvSdioicae-1303-FR02-T-N202-PbcR_C014g08991	0.6819	0.0071	0.0103
MvSl-1064-A2-R4_MC08-2g09102	MvSdioicae-1303-FR02-T-N202-PbcR_C029g12270	0.6672	0.0041	0.0062
