gene	bPARts	youngold	dn	dnse	ds	dsse	dnds	start	end	logCPM	logFC.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE
MvSl-1064-A1-R4_A1g00779	Black	OldStrata	0.0444	0.0076	0.0158	0.0027	2.810108797	742628	743237	8.031048163	-0.654128226	0.066428535	7.726319891	7.605636734	8.251791241	8.387273613	NON
MvSl-1064-A1-R4_A1g00958	Black	OldStrata	0.0202	0.0061	0.0072	0.0023	2.80551659	1970332	1974462	6.830179817	0.559939511	0.061359619	7.003886677	7.158404221	6.609552113	6.432543484	NON
MvSl-1064-A1-R4_A1g00165	Black	OldStrata	0.0382	0.0076	0.0139	0.0027	2.748181668	621126	622892	7.585819941	0.648636333	0.035911935	7.946352311	7.797955289	7.212675268	7.238663537	Up
MvSl-1064-A1-R4_A1g00175	Purple	OldStrata	0.1432	0.0181	0.0538	0.0065	2.66170509	2598714	2598931	7.129212884	0.179275359	0.97169155	7.096519412	7.326440026	6.937076744	7.130319637	NON
MvSl-1064-A1-R4_A1g00853	Purple	OldStrata	0.0339	0.007	0.0129	0.0027	2.627886606	1792754	1794128	7.421493646	1.602023635	4.45E-13	8.03421829	7.987243555	6.382255283	6.43707994	Up
MvSl-1064-A1-R4_A1g00668	Orange	ColorStrata	0.0454	0.0095	0.0174	0.0036	2.609180407	1399296	1400598	6.323956501	5.495940826	8.62E-101	7.257697663	7.328277916	2.093347307	1.517270755	Up
MvSl-1064-A1-R4_A1g00391	Red	ColorStrata	0.0096	0.0048	0.0037	0.0017	2.594524472	868641	869275	6.979069336	-0.025828722	0.999948201	7.01513313	6.915365452	7.012967107	6.970521429	NON
MvSl-1064-A1-R4_A1g00647	Black	OldStrata	0.0753	0.0231	0.0295	0.008	2.55253372	724341	725782	8.292527132	0.213119044	0.999948201	8.031888935	8.685075463	8.300935853	8.052598216	NON
MvSl-1064-A1-R4_A1g01351	Black	OldStrata	0.0074	0.0074	0.0029	0.002	2.55163615	2994712	2997178	10.18997551	0.069799456	0.999948201	10.230606	10.21827561	10.25091071	10.05152555	NON
MvSl-1064-A1-R4_A1g00292	Black	OldStrata	0.0373	0.0097	0.0148	0.0035	2.520253242	1148624	1150396	6.832057922	0.909811897	0.000261129	7.078011077	7.342897355	6.451145357	6.148015563	Up
MvSl-1064-A1-R4_A1g00290	Black	OldStrata	0.0292	0.0059	0.0116	0.0022	2.517219679	406221	406733	7.219031457	-0.171909532	0.985955255	7.0321315	7.222559401	7.18597554	7.409976818	NON
MvSl-1064-A1-R4_A1g00495	Blue	OldStrata	0.0619	0.0146	0.0248	0.0061	2.495957678	3171155	3174630	6.925481867	2.067695528	1.55E-24	7.686519713	7.54449798	5.555048562	5.548282999	Up
MvSl-1064-A1-R4_A1g01347	Black	OldStrata	0.0306	0.0042	0.0123	0.0017	2.487784652	2916000	2917527	6.909300479	-1.100870441	2.60E-07	6.319561498	6.190532239	7.29410493	7.416117366	Down
MvSl-1064-A1-R4_A1g00155	Black	OldStrata	0.0419	0.01	0.0169	0.004	2.479275271	2593478	2595807	6.302730789	-0.424708222	0.338757698	5.895209966	6.234317135	6.540272003	6.456574731	NON
MvSl-1064-A1-R4_A1g00750	Black	OldStrata	0.0032	0.0023	0.0013	0.0009	2.461349127	1051397	1051695	6.040074789	-0.012309417	0.999948201	6.161267027	5.894362931	5.978706599	6.110641261	NON
MvSl-1064-A1-R4_A1g00518	Black	OldStrata	0.0027	0.0027	0.0011	0.0011	2.454322334	2725136	2725813	6.32228491	0.322450487	0.662789532	6.280850734	6.645208992	6.263843977	6.03185692	NON
MvSl-1064-A1-R4_A1g00077	bPAR	bPAR	0.0088	0.0047	0.0036	0.0019	2.444376545	173863	176567	6.563009625	0.049901232	0.999948201	6.493847779	6.675845351	6.655038964	6.410413914	NON
MvSl-1064-A1-R4_A1g01135	Black	OldStrata	0.1527	0.0286	0.0626	0.0108	2.439293228	1098507	1099824	6.611775105	-1.204929387	4.38E-08	5.808054036	5.962216007	7.159687439	7.018733077	Down
MvSl-1064-A1-R4_A1g00254	Black	OldStrata	0.0346	0.0077	0.0147	0.0031	2.353725485	651956	657345	4.768517995	1.934144334	2.20E-10	5.594219413	5.25561868	3.244962127	3.732294306	Up
MvSl-1064-A1-R4_A1g01174	Black	OldStrata	0.0331	0.0118	0.0141	0.0045	2.347501082	2557552	2558488	6.138287618	1.583323952	6.20E-13	6.580870884	6.852898495	5.11434529	5.170108197	Up
MvSl-1064-A1-R4_A1g01369	Black	OldStrata	0.0277	0.0083	0.0119	0.0029	2.327711532	1156584	1158695	9.067072482	-0.61515101	0.298724455	8.679871425	8.772549969	9.52659662	9.130271784	NON
MvSl-1064-A1-R4_A1g00281	Black	OldStrata	0.0484	0.0067	0.0208	0.0028	2.32691189	679143	681507	6.396855074	-0.066060156	0.999948201	6.45872798	6.261503906	6.256163862	6.584081795	NON
MvSl-1064-A1-R4_A1g00349	Black	OldStrata	0.1173	0.0274	0.0516	0.0096	2.273251408	1637608	1638887	11.70738415	-2.631955286	6.22E-08	10.06875038	9.615201561	12.24315571	12.70341165	Down
MvSl-1064-A1-R4_A1g00922	Black	OldStrata	0.0506	0.0121	0.0224	0.0048	2.258918487	3068865	3070179	6.545018166	-0.258857673	0.763546554	6.377582814	6.441239211	6.653090812	6.683520352	NON
MvSl-1064-A1-R4_A1g01219	Black	OldStrata	0.057	0.0085	0.0253	0.0035	2.252955522	2519820	2520678	11.2369457	0.902355628	0.242085842	11.50517961	11.72393958	10.97805031	10.39650318	NON
MvSl-1064-A1-R4_MC02g03759	Auto	Auto	0.0063	0.0051	0.0028	0.0023	2.249919646	1426306	1427877	6.580175697	0.172049603	0.968231598	6.572080429	6.749705405	6.511170642	6.47213045	NON
MvSl-1064-A1-R4_A1g00525	Black	OldStrata	0.0295	0.0112	0.0133	0.0042	2.218028436	1378554	1381105	7.287310634	0.428597346	0.317737743	7.51533691	7.455648405	7.030081504	7.084307145	NON
MvSl-1064-A1-R4_A1g01350	Black	OldStrata	0.0119	0.0045	0.0054	0.0021	2.203662895	2987402	2994226	6.000030864	0.145932152	0.999948201	6.023852211	6.116951372	5.982848894	5.865692941	NON
MvSl-1064-A1-R4_A1g00478	Blue	OldStrata	0.0954	0.0143	0.0443	0.0053	2.15349401	3107476	3107769	7.053561726	0.123459609	0.999948201	7.077446495	7.14959588	7.084582348	6.8900869	NON
MvSl-1064-A1-R4_A1g01366	Black	OldStrata	0.0338	0.0073	0.0157	0.0032	2.15285253	1164529	1164771	6.332931499	0.071622822	0.999948201	6.401236581	6.334643655	6.330372474	6.262347419	NON
MvSl-1064-A1-R4_A1g00144	Black	OldStrata	0.0496	0.0204	0.0236	0.0084	2.10168601	1153924	1156082	6.621449886	0.362224387	0.590609419	6.56081455	6.989827707	6.540974511	6.308466966	NON
MvSl-1064-A1-R4_A1g01159	Blue	OldStrata	0.0255	0.0085	0.0122	0.0037	2.090146802	1209281	1212345	7.040024325	-0.337286719	0.5558061	6.788985118	6.930568539	7.276917993	7.115773552	NON
MvSl-1064-A1-R4_A1g00854	Purple	OldStrata	0.0559	0.0098	0.0268	0.0038	2.085813113	1790347	1792433	7.941803392	-0.781652594	0.015274542	7.623328635	7.362311807	8.382958589	8.169209426	Down
MvSl-1064-A1-R4_A1g00522	Black	OldStrata	0.0333	0.0097	0.016	0.0043	2.081236992	1389234	1391759	1.315738303	4.658044917	3.28E-14	2.130558006	2.395872867	-1.271626851	-2.813905972	Up
MvSl-1064-A1-R4_A1g01348	Black	OldStrata	0.0108	0.0041	0.0052	0.0017	2.076883137	2984367	2986997	7.375110245	-0.153041431	0.999948201	7.306693105	7.286348261	7.499241919	7.398004615	NON
MvSl-1064-A1-R4_A1g00591	Black	OldStrata	0.4195	0.0461	0.2049	0.0163	2.047339167	527848	528105	4.073166323	4.375922476	2.71E-25	5.316533645	4.620433995	0.188396511	1.095642352	Up
MvSl-1064-A1-R4_A1g00843	Black	OldStrata	0.0159	0.008	0.0078	0.0032	2.038435405	1441050	1443387	3.923118579	0.646949068	0.283483286	4.033778049	4.368691728	3.608854597	3.526325405	NON
MvSl-1064-A1-R4_A1g00645	Black	OldStrata	0.0143	0.0042	0.0072	0.0021	1.986083527	2851861	2852673	6.091801783	0.002606197	0.999948201	5.920613929	6.247003305	6.111380941	6.069353755	NON
MvSl-1064-A1-R4_MC02g03208	Auto	Auto	0.0317	0.0108	0.0164	0.0044	1.932915043	123420	124175	5.566845004	-0.047253354	0.999948201	5.47924631	5.603999738	5.667404669	5.508604624	NON
MvSl-1064-A1-R4_A1g00269	Black	OldStrata	0.0492	0.0092	0.0256	0.004	1.921867493	1131484	1132443	7.689692818	4.655429219	8.48E-56	8.639515442	8.628397942	3.581800259	4.302189469	Up
MvSl-1064-A1-R4_A1g01252	Orange	ColorStrata	0.0708	0.0172	0.0369	0.0079	1.918693987	468377	470856	7.065116294	-0.19630417	0.928326094	6.953087258	6.974066094	7.174250416	7.145182682	NON
MvSl-1064-A1-R4_A1g00778	Black	OldStrata	0.0379	0.0074	0.0198	0.0034	1.914131747	741065	742055	4.816630247	-0.385906143	0.741020588	4.894995267	4.257344306	5.012668779	4.978017532	NON
MvSl-1064-A1-R4_A1g00407	Red	ColorStrata	0.0832	0.0216	0.0445	0.0089	1.86965872	1751427	1752854	6.356178888	0.419646144	0.515665476	6.444787379	6.649625648	5.78237331	6.412718985	NON
