gene	bPARts	youngold	dn	dnse	ds	dsse	dnds	start	end	logCPM	logFC.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE
MvSl-1064-A1-R4_A1g00185	Purple	OldStrata	0.0201	0.0049	0.0126	0.0026	1.595225435	907140	907771	8.394383898	-0.391186494	0.607367349	8.158200753	8.212421195	8.546160553	8.606505234	NON
MvSl-1064-A1-R4_A1g00448	Black	OldStrata	0.065	0.015	0.0409	0.0062	1.589238168	3104710	3107087	7.800877673	2.070428855	2.91E-16	8.275323403	8.682024378	6.324672165	6.516387554	Up
MvSl-1064-A1-R4_MC03g04838	Auto	Auto	0.0235	0.007	0.0149	0.003	1.577170623	1426447	1427781	4.383232278	-0.278204821	0.968729775	4.56524884	3.813590271	4.33476335	4.674205974	NON
MvSl-1064-A1-R4_A1g00541	Black	OldStrata	0.0129	0.0026	0.0082	0.0014	1.573151547	1304949	1306659	6.25997742	0.12899589	0.999948201	6.659173912	5.884403774	5.93233867	6.415786696	NON
MvSl-1064-A1-R4_MC03g04676	Auto	Auto	0.0058	0.0029	0.0037	0.0014	1.567525202	1034647	1035601	7.904946333	0.140868148	0.999948201	7.847166272	8.089937999	7.832179126	7.833533373	NON
MvSl-1064-A1-R4_A1g00845	Black	OldStrata	0.0342	0.0051	0.022	0.0027	1.554538388	1701948	1703146	6.699669903	-0.038257571	0.999948201	6.761833699	6.594185122	6.628183788	6.803731264	NON
MvSl-1064-A1-R4_MC14g11886	Auto	Auto	0.0214	0.0059	0.0138	0.0026	1.550713401	385335	387415	7.421308175	0.103466286	0.999948201	7.395888207	7.54449798	7.418971117	7.316640139	NON
MvSl-1064-A1-R4_A1g01404	Black	OldStrata	0.0823	0.0181	0.0533	0.0082	1.544087159	1176877	1180058	3.575945593	6.291773416	7.83E-45	4.571677508	4.556016431	-1.121788037	-1.627886176	Up
MvSl-1064-A1-R4_A1g00351	Black	OldStrata	0.0301	0.0053	0.0195	0.0027	1.543581828	1569616	1570333	8.564363936	-0.24220168	0.936577408	8.449267974	8.427012826	8.682134216	8.678514734	NON
MvSl-1064-A1-R4_A1g01392	Black	OldStrata	0.0226	0.0046	0.0147	0.0024	1.537404507	355987	356282	5.606347795	0.221414843	0.945671897	5.460316024	5.927476394	5.564753102	5.415125128	NON
MvSl-1064-A1-R4_A1g01184	Black	OldStrata	0.0378	0.0088	0.0257	0.0046	1.470811398	2246376	2250905	7.341016088	-0.485479306	0.211314503	6.978710546	7.170748678	7.602120082	7.523110894	NON
MvSl-1064-A1-R4_A1g01384	Black	OldStrata	0.0289	0.006	0.0201	0.0031	1.437803792	1796095	1800988	7.772574798	0.957203925	0.000236925	8.138578648	8.207187165	7.250532751	7.181683875	Up
MvSl-1064-A1-R4_A1g01405	Black	OldStrata	0.0138	0.0087	0.0096	0.0045	1.437485026	1183296	1185232	4.804996914	0.436519583	0.538811834	4.866520055	5.134802638	4.605804048	4.537249735	NON
MvSl-1064-A1-R4_A1g01385	Black	OldStrata	0.028	0.0085	0.0195	0.0042	1.435890072	1794549	1795435	4.971073812	-0.108267121	0.999948201	4.703387017	5.100799992	5.242526861	4.766011962	NON
MvSl-1064-A1-R4_A1g00326	Black	OldStrata	0.0412	0.0173	0.029	0.0084	1.420684756	1176446	1176679	4.168421599	-12.52042291	1.95E-68	-3.367777697	-3.367777697	5.024773063	5.276875897	Down
MvSl-1064-A1-R4_MC08g08440	Auto	Auto	0.0092	0.0056	0.0065	0.0028	1.415362841	507590	509558	5.513856067	0.248549024	0.932240346	5.428793179	5.811382097	5.577135209	5.1628231	NON
MvSl-1064-A1-R4_A1g01189	Black	OldStrata	0.0283	0.01	0.0202	0.0052	1.400983163	895253	895922	7.096154395	-0.517446499	0.170594249	6.998528654	6.603321464	7.321757552	7.341050864	NON
MvSl-1064-A1-R4_A1g00646	Black	OldStrata	0.0091	0.0041	0.0065	0.0021	1.399978462	2835849	2836868	8.007637022	1.509614527	7.36E-08	8.324685598	8.785651888	7.180575783	6.938350474	Up
MvSl-1064-A1-R4_A1g00367	Red	ColorStrata	0.047	0.0107	0.0336	0.0054	1.398805361	245502	246121	3.968546375	0.553161586	0.42129794	4.183995498	4.253480569	3.656309538	3.68221946	NON
MvSl-1064-A1-R4_MC01-1g02323	Auto	Auto	0.0145	0.0053	0.0104	0.0027	1.394217363	1012918	1014916	5.475340814	0.395679612	0.687583587	5.287536978	5.95509681	5.387058752	5.131444349	NON
MvSl-1064-A1-R4_A1g00390	Red	ColorStrata	0.0089	0.0051	0.0064	0.0028	1.390603272	870248	870667	5.071406157	0.025571043	0.999948201	5.163218455	5.000633482	5.034782963	5.082093053	NON
MvSl-1064-A1-R4_A1g00840	Black	OldStrata	0.0399	0.0091	0.0288	0.005	1.385411856	3189050	3195319	6.718958257	-0.270709664	0.71660959	6.538015385	6.615413941	6.92743781	6.763359187	NON
MvSl-1064-A1-R4_A1g00395	Red	ColorStrata	0.0018	0.0013	0.0013	0.0007	1.384508884	854394	856791	8.171079117	0.272235421	0.847572273	8.355981563	8.243432772	8.025285561	8.032004372	NON
MvSl-1064-A1-R4_A1g00624	Purple	OldStrata	0.0899	0.0213	0.0656	0.0115	1.37042474	904475	905581	7.525877823	0.808067963	0.003488297	7.763999289	7.976443128	7.120745148	7.010132441	Up
MvSl-1064-A1-R4_MC16g12176	Auto	Auto	0.0053	0.0028	0.0039	0.0017	1.358939514	10315	11362	6.401596257	-0.27275603	0.744247549	6.371147669	6.137012679	6.529693136	6.53272841	NON
MvSl-1064-A1-R4_MC04-1g05647	Auto	Auto	0.0872	0.0251	0.0656	0.0144	1.329266266	850621	853087	3.98101723	-0.132796829	0.999948201	3.871302872	3.953527899	4.064670256	4.025253829	NON
MvSl-1064-A1-R4_A1g01368	Black	OldStrata	0.0256	0.0041	0.0195	0.0023	1.31281378	1158935	1161921	6.042363736	0.200653657	0.995970456	6.427170034	5.77949492	5.725416004	6.124770329	NON
MvSl-1064-A1-R4_A1g01393	Black	OldStrata	0.0258	0.0082	0.0201	0.005	1.283575704	357937	361103	6.489048522	-0.402967274	0.3304131	6.276921911	6.27013482	6.614232638	6.735393647	NON
MvSl-1064-A1-R4_A1g00507	Black	OldStrata	0.0282	0.0053	0.022	0.0028	1.281812355	2084395	2085310	5.877427278	0.005755217	0.999948201	6.106976312	5.611565857	5.751143287	5.988216643	NON
MvSl-1064-A1-R4_A1g00732	Black	OldStrata	0.0028	0.0028	0.0022	0.0016	1.272669424	2512310	2513349	6.352929783	0.418934136	0.38575298	6.389458174	6.689493775	6.253594711	5.99233235	NON
MvSl-1064-A1-R4_A1g00920	Black	OldStrata	0.0293	0.0044	0.0231	0.0027	1.268392778	3035765	3037588	5.768626235	0.945545995	0.001059187	6.309980749	6.005358044	5.064402578	5.363630317	Up
