gene	bPARts	youngold	dn	dnse	ds	dsse	dnds	start	end	logCPM	logFC.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	haploid 
MvSl-1064-A1-R4_MC06g07014	Auto	Auto	0.00135	0.00135	0.00001	0.00003	133.6633663	442616	443639	8.07290599	0.38481634	0.558252106	8.280238196	8.224313865	7.838478943	7.896651781	NON	A1
MvSl-1064-A1-R4_A1g00070	PAR	PAR	0.00135	0.00096	0.00001	0.00003	133.6633663	149220	153705	7.228893518	0.338336564	0.582751566	7.41969165	7.356019461	6.975001106	7.121421706	NON	A1
MvSl-1064-A1-R4_MC10-2g09976	Auto	Auto	0.00135	0.00135	0.00001	0	133.6633663	505097	505683	6.282737018	-0.104120214	0.999948201	6.294517968	6.161960943	6.419405552	6.242615152	NON	A1
MvSl-1064-A1-R4_MC01-1g01891	Auto	Auto	0.00134	0	0.00001	0	132.6732673	242790	243815	2.817209428	-0.203701625	0.999948201	2.833457663	2.579915051	2.972427824	2.850987128	NON	A1
MvSl-1064-A1-R4_MC01-1g02118	Auto	Auto	0.00134	0.00134	0.00001	0	132.6732673	549800	553247	7.160683065	-0.049509234	0.999948201	7.31629564	6.92935817	7.166076837	7.204036878	NON	A1
MvSl-1064-A1-R4_MC03g04636	Auto	Auto	0.00134	0.00134	0.00001	0	132.6732673	932610	933707	8.309630178	0.101135729	0.999948201	8.392979704	8.324854365	8.277099953	8.239066981	NON	A1
MvSl-1064-A1-R4_MC11g10508	Auto	Auto	0.00133	0.00133	0.00001	0	131.6831683	873279	874178	2.178403896	-1.472130395	0.038654455	1.708726229	0.660109451	2.15338262	3.115325416	Down	A1
MvSl-1064-A1-R4_MC03g04704	Auto	Auto	0.00133	0.00094	0.00001	0.00003	131.6831683	1105025	1105414	6.655210605	0.072936432	0.999948201	6.807487326	6.564865652	6.501819448	6.726155979	NON	A1
MvSl-1064-A1-R4_MC07g07821	Auto	Auto	0.00133	0.00133	0.00001	0	131.6831683	685303	686429	8.666429417	-0.026995852	0.999948201	8.75417108	8.543925929	8.529443438	8.816059812	NON	A1
MvSl-1064-A1-R4_MC03g04360	Auto	Auto	0.00132	0.00094	0.00001	0.00004	130.6930693	269633	270929	8.46329231	0.121552438	0.999948201	8.633958746	8.402361469	8.289485232	8.505016076	NON	A1
MvSl-1064-A1-R4_MC06g07000	Auto	Auto	0.00132	0.00132	0.00001	0.00004	130.6930693	407534	408947	6.061984397	-0.015592835	0.999948201	6.030867902	6.077065419	6.033648364	6.10495066	NON	A1
MvSl-1064-A1-R4_MC08g08485	Auto	Auto	0.00132	0.00132	0.00001	0	130.6930693	624382	625738	7.793384519	0.116476605	0.999948201	7.910665264	7.787639332	7.681996799	7.784239439	NON	A1
MvSl-1064-A1-R4_MC09-2g09455	Auto	Auto	0.00132	0.00132	0.00001	0	130.6930693	1372677	1374259	0.403337534	0.11600006	0.999948201	0.795484859	0.025113675	-0.131567676	0.712255988	NON	A1
MvSl-1064-A1-R4_MC12g11267	Auto	Auto	0.00132	0.00076	0.00001	0.00005	130.6930693	1331880	1332870	5.696056186	0.099869252	0.999948201	5.480954992	5.968121952	5.626951538	5.663745522	NON	A1
MvSl-1064-A1-R4_A1g00433	Black	OldStrata	0.00131	0.00131	0.00001	0.00006	129.7029703	1608112	1609203	5.31692763	0.348280484	0.690807504	5.581533962	5.372448284	5.018733615	5.239274062	NON	A1
MvSl-1064-A1-R4_MC04-1g05559	Auto	Auto	0.00131	0.00131	0.00001	0	129.7029703	627239	627706	7.553293824	0.262225802	0.942070681	7.374445833	7.929390287	7.703805292	7.057059388	NON	A1
MvSl-1064-A1-R4_MC01-2g03071	Auto	Auto	0.0013	0.00131	0.00001	0.00004	128.7128713	2832988	2834225	5.41888957	-0.01681259	0.999948201	5.428793179	5.39191113	5.477906455	5.374708102	NON	A1
MvSl-1064-A1-R4_MC08g08405	Auto	Auto	0.00129	0.00091	0.00001	0.00003	127.7227723	435459	436423	0.629009421	-0.328532788	0.999948201	0.961339723	-0.298739211	0.497214348	1.000770276	NON	A1
MvSl-1064-A1-R4_MC02g03902	Auto	Auto	0.00128	0.00091	0.00001	0.00004	126.7326733	1741514	1744931	5.608799552	0.014237153	0.999948201	5.602091548	5.629564271	5.508398199	5.689322793	NON	A1
MvSl-1064-A1-R4_MC04-2g06093	Auto	Auto	0.00128	0.00091	0.00001	0.00003	126.7326733	1938271	1943856	6.946449885	0.112569564	0.999948201	6.977500654	7.025382314	6.785852479	6.985567816	NON	A1
MvSl-1064-A1-R4_MC07g07574	Auto	Auto	0.00127	0.00127	0.00001	0.00006	125.7425743	104062	106425	7.172390895	0.037383842	0.999948201	7.18932115	7.192605079	7.13057971	7.176267223	NON	A1
MvSl-1064-A1-R4_MC12g11228	Auto	Auto	0.00125	0.00125	0.00001	0	123.7623762	1228610	1230165	3.404429653	0.353134873	0.947359385	3.991249996	2.976651441	3.251844014	3.188896959	NON	A1
MvSl-1064-A1-R4_MC04-1g05481	Auto	Auto	0.00125	0.00125	0.00001	0.0001	123.7623762	460768	462959	6.724157783	0.066278516	0.999948201	6.658419101	6.849063058	6.754092738	6.624418155	NON	A1
MvSl-1064-A1-R4_A1g01461	PAR	PAR	0.00124	0.00124	0.00001	0.00003	122.7722772	3261448	3262668	6.256511314	0.007368418	0.999948201	6.188710919	6.328229198	6.230264121	6.275072398	NON	A1
MvSl-1064-A1-R4_MC08g08720	Auto	Auto	0.00245	0.00246	0.00002	0.00015	121.8905473	1182769	1184475	6.675641429	-0.162627136	0.978970856	6.668200976	6.511673266	6.754698496	6.754299418	NON	A1
MvSl-1064-A1-R4_MC03g04469	Auto	Auto	0.00245	0.00245	0.00002	0	121.8905473	540932	542439	8.760372608	-0.095783226	0.999948201	8.795093525	8.623167324	8.723567045	8.886717686	NON	A1
MvSl-1064-A1-R4_MC01-1g02032	Auto	Auto	0.00244	0.00244	0.00002	0	121.3930348	423979	424870	7.308662837	0.030437183	0.999948201	7.394075681	7.249966544	7.218834742	7.364261667	NON	A1
MvSl-1064-A1-R4_MC08g08723	Auto	Auto	0.00244	0.00244	0.00002	0.0001	121.3930348	1190373	1192331	7.637874711	0.060352455	0.999948201	7.526548549	7.796296406	7.813694398	7.366641609	NON	A1
MvSl-1064-A1-R4_MC13g11651	Auto	Auto	0.00244	0.00247	0.00002	0.00156	121.3930348	869591	872007	4.09435656	-0.064714057	0.999948201	4.000809605	4.119799844	4.144494739	4.107239065	NON	A1
MvSl-1064-A1-R4_MC04-1g06033	Auto	Auto	0.00243	0.00243	0.00002	0.00011	120.8955224	1790201	1794094	7.598098103	-0.002553044	0.999948201	7.753081289	7.421619936	7.460036205	7.726422648	NON	A1
MvSl-1064-A1-R4_MC13g11652	Auto	Auto	0.00243	0.00243	0.00002	0.00008	120.8955224	872558	874518	5.783809353	0.061023091	0.999948201	5.987050783	5.617590312	5.651879663	5.847632727	NON	A1
MvSl-1064-A1-R4_MC14g11897	Auto	Auto	0.00122	0.00122	0.00001	0.00004	120.7920792	410592	410768	6.844206407	0.018036368	0.999948201	6.742020351	6.956348831	6.865409598	6.804316623	NON	A1
MvSl-1064-A1-R4_MC08g08496	Auto	Auto	0.00241	0.00241	0.00002	0	119.9004975	652131	655480	6.199196579	-0.613443821	0.182277515	6.037849642	5.657610353	6.099984713	6.768767865	NON	A1
MvSl-1064-A1-R4_MC04-1g06011	Auto	Auto	0.00241	0.0014	0.00002	0.00009	119.9004975	1727048	1729426	5.869986214	0.308394571	0.699246532	6.0401694	5.99150689	5.626951538	5.784954352	NON	A1
MvSl-1064-A1-R4_MC12g10892	Auto	Auto	0.00241	0.00241	0.00002	0.00033	119.9004975	388763	389136	3.103806686	0.430242298	0.817293371	3.551760254	3.004504655	2.73767379	3.005583724	NON	A1
MvSl-1064-A1-R4_MC06g06895	Auto	Auto	0.00241	0.00242	0.00002	0.00006	119.9004975	137280	138690	4.978399838	-0.051199852	0.999948201	4.735233808	5.141089869	5.180761015	4.801627859	NON	A1
MvSl-1064-A1-R4_MC10-2g09906	Auto	Auto	0.00241	0.00241	0.00002	0.00002	119.9004975	419244	421347	6.94921606	0.1189969	0.999948201	6.564848185	7.345622083	7.204273695	6.483870859	NON	A1
MvSl-1064-A1-R4_MC11g10356	Auto	Auto	0.00241	0.00241	0.00002	0.00008	119.9004975	484809	488305	6.826339945	-0.038580829	0.999948201	6.833131924	6.780237707	6.820404272	6.870096477	NON	A1
MvSl-1064-A1-R4_MC08g08423	Auto	Auto	0.00121	0.00121	0.00001	0.00001	119.8019802	473821	475209	3.303240673	-0.160904684	0.999948201	3.174871914	3.264633617	3.462283293	3.292664698	NON	A1
MvSl-1064-A1-R4_MC04-1g05870	Auto	Auto	0.0024	0.0024	0.00002	0.00008	119.4029851	1404513	1406412	6.829029403	-0.160083043	0.978209606	6.79723763	6.69448977	6.885461764	6.927644511	NON	A1
MvSl-1064-A1-R4_MC08g08654	Auto	Auto	0.00239	0.00239	0.00002	0.00012	118.9054726	1039837	1040379	5.388030179	0.226608295	0.947359385	5.354310973	5.626580086	5.434710415	5.085949824	NON	A1
