gene	bPARts	youngold	dn	dnse	ds	dsse	dnds	start	end	logCPM	logFC.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	haploid 
MvSl-1064-A1-R4_MC09-2g09496	Auto	Auto	0.00228	0.00229	0.00002	0.00011	113.4328358	1458343	1463719	5.516547623	0.115198168	0.999948201	5.494552075	5.64734091	5.434710415	5.481044772	NON	A1
MvSl-1064-A1-R4_MC03g04800	Auto	Auto	0.00341	0.00242	0.00003	0.0002	113.2890365	1350704	1352921	6.828996143	-0.400630987	0.394337007	6.735593549	6.483086223	6.879364229	7.139163026	NON	A1
MvSl-1064-A1-R4_MC01-1g01975	Auto	Auto	0.00341	0.00241	0.00003	0.00012	113.2890365	356542	357953	5.760387096	0.299017923	0.75851306	5.973763228	5.827065226	5.461673627	5.733020079	NON	A1
MvSl-1064-A1-R4_MC01-1g02416	Auto	Auto	0.00341	0.00241	0.00003	0	113.2890365	1221006	1223926	7.030999702	-0.056521002	0.999948201	7.25670058	6.693777115	6.784666606	7.289302503	NON	A1
MvSl-1064-A1-R4_MC02g03978	Auto	Auto	0.0034	0.00331	0.00003	0	112.9568106	1925485	1927450	3.458241601	-0.411297744	0.783645684	3.304034907	3.16942084	3.50898844	3.771139252	NON	A1
MvSl-1064-A1-R4_MC09-2g09277	Auto	Auto	0.0034	0.00241	0.00003	0	112.9568106	906708	909558	6.145044672	0.034094964	0.999948201	6.152716637	6.171206426	6.093295102	6.161785024	NON	A1
MvSl-1064-A1-R4_MC13g11446	Auto	Auto	0.0034	0.00341	0.00003	0.00012	112.9568106	394766	397314	6.618531009	0.064444236	0.999948201	6.637888475	6.662795064	6.658927393	6.509224693	NON	A1
MvSl-1064-A1-R4_MC01-1g01987	Auto	Auto	0.00227	0.00227	0.00002	0	112.9353234	370190	370342	9.868093893	0.149991603	0.999948201	9.802215497	10.06785396	9.886086775	9.689556494	NON	A1
MvSl-1064-A1-R4_MC09-2g09440	Auto	Auto	0.00227	0.00227	0.00002	0.00008	112.9353234	1342543	1343852	7.065905898	-0.091197523	0.999948201	7.128484687	6.901852912	7.142200776	7.078511507	NON	A1
MvSl-1064-A1-R4_MC09-2g09408	Auto	Auto	0.00114	0.00114	0.00001	0	112.8712871	1248328	1248662	4.495163663	-0.294783711	0.903454406	4.13708589	4.517872387	4.760989918	4.494363396	NON	A1
MvSl-1064-A1-R4_MC04-1g05974	Auto	Auto	0.00114	0.00114	0.00001	0	112.8712871	1651835	1652080	5.122464614	-0.118055419	0.999948201	5.022483064	5.100799992	5.198679874	5.160996063	NON	A1
MvSl-1064-A1-R4_MC13g11658	Auto	Auto	0.00114	0.00114	0.00001	0.00002	112.8712871	888427	888821	6.796239632	-0.043174095	0.999948201	6.887608633	6.651828916	6.776934583	6.857178259	NON	A1
MvSl-1064-A1-R4_MC01-1g02821	Auto	Auto	0.00339	0.0034	0.00003	0.00003	112.6245847	2219859	2221993	6.123137228	-0.430707476	0.314726948	5.818903126	5.961031911	6.417876574	6.219101469	NON	A1
MvSl-1064-A1-R4_MC05-3g06778	Auto	Auto	0.00339	0.00345	0.00003	0.00115	112.6245847	762214	763398	5.246788039	0.569374624	0.333490869	5.12875578	5.800831154	5.024773063	4.840957385	NON	A1
MvSl-1064-A1-R4_MC05-2g06321	Auto	Auto	0.00226	0.00226	0.00002	0.00009	112.4378109	195407	196500	6.604613289	-0.09232699	0.999948201	6.606142727	6.50762392	6.690296617	6.608418686	NON	A1
