gene	youngold		dn	dnse	ds	dsse	dnds	start	end	logCPM	logFC.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	haploid 
MvSl-1064-A1-R4_A1g00522	Black	OldStrata	0.0043	0.00431	0.00004	0.00017	107.232	1389234	1391759	1.315738303	4.658044917	3.28E-14	2.130558006	2.395872867	-1.271626851	-2.813905972	Up	A1
MvSl-1064-A1-R4_MC06g07137	Auto	Auto	0.00484	0.00344	0.02948	0.01336	0.164179	774289	774737	8.954423424	4.961411621	8.99E-46	10.12924572	9.649050654	5.134965291	4.741769984	Up	A1
MvSl-1064-A1-R4_MC01-1g02299	Auto	Auto	0.00357	0.0018	0.02601	0.00795	0.137254	954174	956793	4.19129884	0.869638056	0.050945505	4.766392752	4.325178488	3.766135055	3.625052219	NON	A1
MvSl-1064-A1-R4_MC11g10239	Auto	Auto	0.00252	0.00179	0.00964	0.00685	0.261408	203470	205831	5.105431579	-0.846979282	0.052130527	4.86913206	4.321492442	5.164441519	5.714454496	NON	A1
MvSl-1064-A1-R4_MC11g10344	Auto	Auto	0.00131	0.0013	0.00524	0.0037	0.249995	436999	440225	8.061695427	0.671239831	0.054997204	8.421731984	8.292740891	7.624497543	7.748186234	NON	A1
MvSl-1064-A1-R4_MC07g07960	Auto	Auto	0.00298	0.00211	0.01231	0.00879	0.242078	1045062	1045364	3.1024767	-1.136472196	0.055018695	2.589201833	2.248371186	3.021577117	3.93832734	NON	A1
MvSl-1064-A1-R4_MC01-2g03077	Auto	Auto	0.00083	0.00083	0.01031	0.00423	0.0805036	2850841	2851251	6.549959788	-0.561567528	0.058393413	6.237033756	6.247003305	6.838803773	6.766366511	NON	A1
MvSl-1064-A1-R4_MC09-2g09524	Auto	Auto	0.00834	0.00418	0.00008	0.00041	104.12	1526689	1528820	7.505090612	-0.615958935	0.061005215	7.283382848	7.034980015	7.761906551	7.798118324	NON	A1
MvSl-1064-A1-R4_MC11g10585	Auto	Auto	0.00429	0.0043	0.02788	0.02005	0.153873	1066922	1067246	4.806078166	0.872078696	0.063790365	5.217521779	5.136901427	4.668866992	3.827513321	NON	A1
MvSl-1064-A1-R4_MC02g03915	Auto	Auto	0.00558	0.00395	0.00459	0.00458	1.21566	1778688	1780063	3.435418324	-0.904593349	0.070942006	3.032997752	2.786540509	3.67690974	3.934054415	NON	A1
MvSl-1064-A1-R4_MC04-1g05744	Auto	Auto	0.01129	0.00507	0.00011	0.0004	102.543	1105888	1106877	5.29678562	-0.650199004	0.071497547	4.962594951	4.90781508	5.496858158	5.666323751	NON	A1
MvSl-1064-A1-R4_MC05-2g06418	Auto	Auto	0.01471	0.00855	0.02128	0.01519	0.691256	267584	270707	3.314603837	-0.896862261	0.075588878	2.800995445	2.797196096	3.53178598	3.827513321	NON	A1
MvSl-1064-A1-R4_MC05-3g06705	Auto	Auto	0.00394	0.00197	0.00292	0.0029	1.34927	587469	588197	6.263262681	-0.619522543	0.078667782	5.721087324	6.095528429	6.711044891	6.34432965	NON	A1
MvSl-1064-A1-R4_MC02g03852	Auto	Auto	0.01145	0.00406	0.01184	0.00592	0.967053	1646141	1648128	1.864011155	1.389799079	0.07872214	1.924997719	2.754093242	1.539742065	0.299035987	NON	A1
MvSl-1064-A1-R4_MC09-2g09305	Auto	Auto	0.00284	0.00202	0.01068	0.00622	0.265915	988329	988721	6.08979399	0.550049078	0.085000166	6.396717797	6.278714406	5.78474785	5.794413622	NON	A1
MvSl-1064-A1-R4_MC02g04133	Auto	Auto	0.01136	0.00813	0.00011	0.00097	103.179	2322518	2324841	6.240290245	-0.540001989	0.086360613	6.033198905	5.851553356	6.485125073	6.483870859	NON	A1
MvSl-1064-A1-R4_MC15g12117	Auto	Auto	0.00306	0.00307	0.00003	0	101.661	269612	270491	7.187493269	0.590020499	0.087990911	7.264161957	7.619211968	6.93867699	6.783092651	NON	A1
MvSl-1064-A1-R4_MC13g11509	Auto	Auto	0.00796	0.00305	0.00425	0.00228	1.8729	544130	548468	6.856647157	0.52372272	0.088364277	7.043160744	7.144910777	6.647230523	6.491887323	NON	A1
MvSl-1064-A1-R4_MC03g04519	Auto	Auto	0.0153	0.00771	0.008	0.00801	1.91248	664241	665593	5.870977013	0.588271567	0.088523673	6.016802237	6.245058833	5.624302293	5.467804041	NON	A1
MvSl-1064-A1-R4_MC03g05260	Auto	Auto	0	0	0.00001	0	0	6229	7377	5.316224407	-0.624668136	0.089671443	5.061831787	4.872983343	5.589411948	5.597745236	NON	A1
MvSl-1064-A1-R4_MC14g11961	Auto	Auto	0.00519	0.00371	0.02167	0.01556	0.239501	550878	551151	2.772615823	-0.948989326	0.095422482	2.247598601	2.201010546	2.921544893	3.364281479	NON	A1
