gene	youngold		dn	dnse	ds	dsse	dnds	start	end	logCPM	logFC.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	haploid 
MvSl-1064-A1-R4_MC01-1g02198	Auto	Auto	0.0079	0.0056	0.00008	0.00039	98.6267	719380	719622	8.385651359	0.144043429	0.999948201	8.357377532	8.548071951	8.417415479	8.198005178	NON	A1
MvSl-1064-A1-R4_MC01-1g02203	Auto	Auto	0.00161	0.00088	0.00756	0.0045	0.21296	725000	725804	7.142036119	0.000850697	0.999948201	7.093730336	7.189575154	7.068106061	7.211558682	NON	A1
MvSl-1064-A1-R4_MC01-1g02209	Auto	Auto	0.00511	0.00295	0.0086	0.00608	0.594179	744617	749662	6.759984551	-0.074304668	0.999948201	6.788295273	6.653295894	6.833652587	6.758534391	NON	A1
MvSl-1064-A1-R4_MC01-1g02210	Auto	Auto	0	0	0.00373	0	0	749968	752467	6.474504829	0.013787288	0.999948201	6.539655899	6.420713163	6.423982786	6.509942582	NON	A1
MvSl-1064-A1-R4_MC01-1g02224	Auto	Auto	0.00873	0.00291	0.00611	0.0035	1.42878	778071	782843	6.124590097	0.13723558	0.999948201	5.978609238	6.376988973	6.175217719	5.922874457	NON	A1
MvSl-1064-A1-R4_MC01-1g02227	Auto	Auto	0.00681	0.00485	0.00912	0.0092	0.746702	787169	790006	6.817638444	0.012825953	0.999948201	6.858328628	6.788939176	6.817508034	6.804901743	NON	A1
MvSl-1064-A1-R4_MC01-1g02231	Auto	Auto	0.00382	0.00383	0.00004	0	95.2618	798607	799514	5.910928364	-0.054384538	0.999948201	5.806692145	5.956285785	5.963066198	5.912052597	NON	A1
MvSl-1064-A1-R4_MC01-1g02233	Auto	Auto	0	0.00004	0.00002	0	0	804055	805366	5.696854905	-0.140493326	0.999948201	5.275773135	5.905485415	6.005421331	5.476644683	NON	A1
MvSl-1064-A1-R4_MC01-1g02236	Auto	Auto	0.01072	0.00408	0.00307	0.00309	3.49174	813907	814421	7.190919006	-0.052211895	0.999948201	7.243172079	7.081488769	7.114623319	7.312119689	NON	A1
MvSl-1064-A1-R4_MC01-1g02241	Auto	Auto	0.00494	0.00284	0.00715	0.00504	0.690899	829136	829300	4.841450745	0.097722569	0.999948201	4.845451998	4.932189876	4.911994837	4.661339311	NON	A1
MvSl-1064-A1-R4_MC01-1g02244	Auto	Auto	0.00662	0.00471	0.00807	0.00814	0.820312	833628	835735	7.754697709	-0.155199865	0.999948201	7.899209769	7.409517785	7.694048037	7.954489587	NON	A1
MvSl-1064-A1-R4_MC01-1g02250	Auto	Auto	0.00322	0.00132	0.00732	0.00301	0.439885	850093	851350	4.382453568	0.266324732	0.999948201	4.922919311	3.929513957	3.90794211	4.517394649	NON	A1
MvSl-1064-A1-R4_MC01-1g02252	Auto	Auto	0.00651	0.00462	0.00007	0.00066	92.8673	853120	854177	0.792019202	-0.117244755	0.999948201	1.179066455	0.095869339	0.629920812	1.033092483	NON	A1
MvSl-1064-A1-R4_MC01-1g02254	Auto	Auto	0.00875	0.0062	0.02098	0.01492	0.417062	855993	856895	4.143422952	-0.058517306	0.999948201	4.154320923	4.072337625	4.159211103	4.184814722	NON	A1
MvSl-1064-A1-R4_MC01-1g02255	Auto	Auto	0.00001	0	0.00777	0	0.00128698	858154	861122	4.214649754	-0.018429707	0.999948201	4.323849696	4.076717476	4.151871685	4.292208527	NON	A1
MvSl-1064-A1-R4_MC01-1g02257	Auto	Auto	0.00344	0.00243	0.00795	0.00563	0.432699	862521	862738	6.785976529	-0.072993708	0.999948201	6.723375363	6.774182721	6.88601481	6.754905176	NON	A1
MvSl-1064-A1-R4_MC01-1g02263	Auto	Auto	0.00212	0.00211	0.01038	0.00737	0.204237	871362	871679	6.899295135	0.026241502	0.999948201	7.090376312	6.709374783	6.803524578	6.964249143	NON	A1
MvSl-1064-A1-R4_MC01-1g02274	Auto	Auto	0.00282	0.00105	0.00194	0.00131	1.45353	892725	893899	6.716156664	-0.063575193	0.999948201	6.696419652	6.671508359	6.481470156	6.972085249	NON	A1
MvSl-1064-A1-R4_MC01-1g02290	Auto	Auto	0	0	0.00001	0	0	934290	936000	1.769131447	0.082787865	0.999948201	1.924997719	1.68570745	1.668760978	1.787384094	NON	A1
MvSl-1064-A1-R4_MC01-1g02292	Auto	Auto	0.0104	0.00521	0.01452	0.0103	0.716249	939727	941446	5.26858757	-0.183876779	0.999948201	5.013066461	5.317993231	5.417981335	5.293648944	NON	A1
MvSl-1064-A1-R4_MC01-1g02296	Auto	Auto	0.00885	0.00514	0.01069	0.00761	0.827869	946379	948098	4.949118558	0.10558946	0.999948201	4.927938849	5.070375734	5.038767557	4.736872321	NON	A1
MvSl-1064-A1-R4_MC01-1g02302	Auto	Auto	0.00326	0.00233	0.02813	0.01278	0.11589	961804	962909	8.299059465	0.058571184	0.999948201	8.477144574	8.161785294	8.159656114	8.371560257	NON	A1
MvSl-1064-A1-R4_MC01-1g02306	Auto	Auto	0.00001	0	0.0122	0.00095	0.000819665	974221	975234	6.117950453	-0.088112705	0.999948201	5.976188268	6.164020621	6.196775859	6.124770329	NON	A1
MvSl-1064-A1-R4_MC01-1g02309	Auto	Auto	0	0.00003	0.00001	0	0	980106	981539	3.498361436	-0.004314225	0.999948201	3.334596367	3.640969055	3.537429518	3.46248834	NON	A1
MvSl-1064-A1-R4_MC01-1g02319	Auto	Auto	0.00002	0.00006	0.02374	0.01731	0.000842456	1003116	1003975	10.80492968	-0.002547179	0.999948201	10.8715991	10.73235511	10.81511227	10.79723801	NON	A1
MvSl-1064-A1-R4_MC01-1g02325	Auto	Auto	0.00436	0.00435	0.01116	0.01116	0.390678	1017948	1018586	5.272307426	0.070981798	0.999948201	5.277740449	5.336374245	5.291774034	5.179163139	NON	A1
MvSl-1064-A1-R4_MC01-1g02334	Auto	Auto	0.0042	0.00242	0.00569	0.00401	0.738124	1035395	1037748	7.8923889	-0.137413808	0.999948201	8.202628588	7.30373377	7.594019085	8.250710138	NON	A1
MvSl-1064-A1-R4_MC01-1g02337	Auto	Auto	0	0	0.00001	0	0	1042881	1043799	3.156023182	-0.165288802	0.999948201	3.232808468	2.889712255	3.021577117	3.420342938	NON	A1
MvSl-1064-A1-R4_MC01-1g02345	Auto	Auto	0.00888	0.00514	0.01054	0.01062	0.842497	1051776	1053748	3.788998011	-0.175167984	0.999948201	3.839690417	3.54307769	3.775716744	3.963702488	NON	A1
MvSl-1064-A1-R4_MC01-1g02358	Auto	Auto	0.00653	0.00267	0.00543	0.00381	1.20256	1088363	1090180	8.754940524	0.07297282	0.999948201	8.845868592	8.733902028	8.749934789	8.685363006	NON	A1
MvSl-1064-A1-R4_MC01-1g02363	Auto	Auto	0.00385	0.00386	0.017	0.01208	0.226469	1098547	1099963	6.981743017	0.12373245	0.999948201	7.103191276	6.97875418	6.959320262	6.876790775	NON	A1
MvSl-1064-A1-R4_MC01-1g02387	Auto	Auto	0.0016	0.0016	0.00451	0.00451	0.354759	1146466	1147962	7.055816434	-0.030826515	0.999948201	6.997335276	7.082033512	7.112261835	7.028786263	NON	A1
MvSl-1064-A1-R4_MC01-1g02393	Auto	Auto	0	0	0.00001	0	0	1153850	1155154	3.99349747	-0.048170533	0.999948201	3.927519054	4.009581185	4.064670256	3.967888625	NON	A1
MvSl-1064-A1-R4_MC01-1g02397	Auto	Auto	0.00002	0	0.01607	0.001	0.00124455	1162209	1163652	5.565756418	-0.130043688	0.999948201	5.560679203	5.435192082	5.668690909	5.588259463	NON	A1
MvSl-1064-A1-R4_MC01-1g02402	Auto	Auto	0.00163	0.00164	0.00832	0.00591	0.195911	1176402	1178693	6.613851362	0.080677131	0.999948201	6.70229074	6.603321464	6.594742248	6.550980515	NON	A1
MvSl-1064-A1-R4_MC01-1g02403	Auto	Auto	0.00306	0.00137	0.0078	0.00349	0.392303	1179220	1183116	7.182060112	-0.074858045	0.999948201	7.304764905	6.963461867	7.12917887	7.303450207	NON	A1
MvSl-1064-A1-R4_MC01-1g02427	Auto	Auto	0.00344	0.00344	0.00834	0.00837	0.412465	1252746	1256561	7.362729433	0.03054678	0.999948201	7.440037597	7.313044835	7.30489882	7.388667094	NON	A1
MvSl-1064-A1-R4_MC01-1g02434	Auto	Auto	0.00122	0.00122	0.01759	0.00794	0.0693572	1279187	1280613	6.501843042	0.075121163	0.999948201	6.355398906	6.701597028	6.587279911	6.328952728	NON	A1
MvSl-1064-A1-R4_MC01-1g02439	Auto	Auto	0	0	0.00001	0	0	1291585	1292964	7.490078198	0.027622229	0.999948201	7.60228882	7.398188439	7.396633978	7.551630285	NON	A1
MvSl-1064-A1-R4_MC01-1g02445	Auto	Auto	0.00507	0.00254	0.00876	0.00507	0.578761	1302704	1302922	6.001652602	0.005547427	0.999948201	5.994247286	6.014518815	6.08078864	5.912052597	NON	A1
MvSl-1064-A1-R4_MC01-1g02462	Auto	Auto	0.00312	0.00182	0.01273	0.00578	0.245088	1339229	1340343	7.360797274	0.005985754	0.999948201	7.51241591	7.198143467	7.260377215	7.449056722	NON	A1
MvSl-1064-A1-R4_MC01-1g02465	Auto	Auto	0.00897	0.00639	0.00009	0.00024	99.556	1347364	1348505	2.853267215	-0.237127691	0.999948201	2.916613683	2.516846796	2.823326182	3.0925019	NON	A1
MvSl-1064-A1-R4_MC01-1g02483	Auto	Auto	0.00304	0.00304	0.00621	0.00622	0.489525	1390017	1390657	6.541816385	-0.004808762	0.999948201	6.417388003	6.651828916	6.714785454	6.35075543	NON	A1
MvSl-1064-A1-R4_MC01-1g02485	Auto	Auto	0.00233	0.00234	0.00513	0.00517	0.454182	1393586	1397759	4.827717872	0.121919897	0.999948201	4.697520397	5.054919572	4.86564005	4.65875215	NON	A1
MvSl-1064-A1-R4_MC01-1g02487	Auto	Auto	0.00585	0.00339	0.00821	0.00582	0.712537	1398923	1400511	4.801665011	0.021558959	0.999948201	4.735233808	4.885520008	4.881257722	4.694556892	NON	A1
MvSl-1064-A1-R4_MC01-1g02497	Auto	Auto	0.00001	0.00014	0.00763	0.00806	0.0013106	1424236	1426838	4.195234479	-0.123258103	0.999948201	3.957283534	4.287887248	4.301983619	4.206234034	NON	A1
MvSl-1064-A1-R4_MC01-1g02498	Auto	Auto	0.00218	0.00219	0.00464	0.00466	0.469817	1428101	1431302	6.724074265	0.010870222	0.999948201	6.860299225	6.585759009	6.621557206	6.809574185	NON	A1
MvSl-1064-A1-R4_MC01-1g02505	Auto	Auto	0.00201	0.00201	0.00002	0.00008	100	1442266	1442977	9.173154308	0.061404833	0.999948201	9.309640988	9.08900415	9.201120348	9.080638073	NON	A1
MvSl-1064-A1-R4_MC01-1g02506	Auto	Auto	0.0021	0.00211	0.02114	0.01233	0.0993373	1443092	1444056	6.122909259	0.168925095	0.999948201	5.923129894	6.440389764	6.197667161	5.854431829	NON	A1
MvSl-1064-A1-R4_MC01-1g02520	Auto	Auto	0.00213	0.00213	0.00002	0.00008	105.97	1472525	1472677	7.382241228	-0.030335811	0.999948201	7.299449027	7.431485601	7.467445796	7.323598548	NON	A1
MvSl-1064-A1-R4_MC01-1g02521	Auto	Auto	0.00635	0.00285	0.01463	0.00658	0.434037	1473326	1475094	4.719698579	0.022937142	0.999948201	4.628281702	4.82692731	4.775389701	4.637886129	NON	A1
MvSl-1064-A1-R4_MC01-1g02527	Auto	Auto	0.00001	0	0.00781	0.00067	0.00128039	1489193	1490735	5.73924138	-0.079512993	0.999948201	5.674062674	5.723335524	5.847426209	5.705708112	NON	A1
MvSl-1064-A1-R4_MC01-1g02533	Auto	Auto	0.00001	0	0.01007	0.00224	0.000993039	1514543	1517619	5.375108152	0.103957191	0.999948201	5.546062641	5.295622352	5.363423938	5.280246143	NON	A1
MvSl-1064-A1-R4_MC01-1g02546	Auto	Auto	0.00315	0.00158	0.00837	0.00485	0.37634	1549264	1549691	9.370763657	0.086598854	0.999948201	9.63003391	9.158445325	9.156893362	9.478841831	NON	A1
MvSl-1064-A1-R4_MC01-1g02554	Auto	Auto	0.0039	0.00174	0.00401	0.00282	0.972544	1576195	1576644	7.343622513	0.010573878	0.999948201	7.51116224	7.166131876	7.294521576	7.380839394	NON	A1
MvSl-1064-A1-R4_MC01-1g02556	Auto	Auto	0.00842	0.00488	0.00646	0.00648	1.30339	1581722	1583490	5.899718724	-0.123677879	0.999948201	5.934397755	5.73169178	6.020611605	5.896764308	NON	A1
MvSl-1064-A1-R4_MC01-1g02559	Auto	Auto	0.00853	0.00302	0.0059	0.00416	1.44574	1586396	1587687	7.762816324	0.094481016	0.999948201	7.863959856	7.752482013	7.723124036	7.706519388	NON	A1
MvSl-1064-A1-R4_MC01-1g02560	Auto	Auto	0.00356	0.00357	0.00004	0	88.7781	1588469	1590122	4.576893303	-0.164293332	0.999948201	4.26952384	4.684969422	4.810772635	4.482708408	NON	A1
MvSl-1064-A1-R4_MC01-1g02569	Auto	Auto	0.00673	0.00389	0.01133	0.00802	0.593993	1617876	1620941	6.937831171	-0.060118462	0.999948201	6.634821899	7.136543951	7.053410233	6.876234102	NON	A1
MvSl-1064-A1-R4_MC01-1g02570	Auto	Auto	0.00316	0.00316	0.00003	0.00024	104.983	1625620	1627215	5.005839615	0.026994218	0.999948201	4.925431263	5.107236832	4.988151216	4.996576357	NON	A1
MvSl-1064-A1-R4_MC01-1g02577	Auto	Auto	0.00645	0.00456	0.00867	0.00864	0.743936	1643740	1645465	4.548452876	-0.234296565	0.999948201	4.771986417	3.972455345	4.41052322	4.872560232	NON	A1
MvSl-1064-A1-R4_MC01-1g02578	Auto	Auto	0.00339	0.00171	0.00818	0.00414	0.41442	1645813	1647180	7.778495553	-0.074861625	0.999948201	7.855422849	7.615830116	7.691202881	7.92975541	NON	A1
MvSl-1064-A1-R4_MC01-1g02580	Auto	Auto	0.00001	0	0.01493	0	0.000669788	1652169	1653972	9.119163055	-0.061519018	0.999948201	9.042076449	9.13264708	9.21108594	9.085341874	NON	A1
MvSl-1064-A1-R4_MC01-1g02583	Auto	Auto	0.00485	0.00351	0.01786	0.01327	0.271555	1654291	1655477	5.159258348	0.061159212	0.999948201	5.124389481	5.251750312	5.24079833	5.006784581	NON	A1
MvSl-1064-A1-R4_MC01-1g02584	Auto	Auto	0.00565	0.00278	0.00311	0.0029	1.81666	1655561	1655761	0.028765565	0.347643971	0.999948201	0.206836906	0.163316487	0.005043494	-0.28229837	NON	A1
MvSl-1064-A1-R4_MC01-1g02591	Auto	Auto	0.00348	0.00248	0.00735	0.00526	0.473463	1665913	1667171	5.401144668	0.115067873	0.999948201	5.491164799	5.423203719	5.17715038	5.491259756	NON	A1
MvSl-1064-A1-R4_MC01-1g02599	Auto	Auto	0.00412	0.00292	0.01406	0.00816	0.293028	1679560	1679733	7.082364951	0.043719377	0.999948201	6.969002878	7.227491875	7.209585641	6.893941966	NON	A1
MvSl-1064-A1-R4_MC01-1g02602	Auto	Auto	0.00449	0.0045	0.00005	0.00027	89.6208	1684072	1685494	6.580202017	0.072584006	0.999948201	6.628669122	6.603321464	6.608212026	6.475809602	NON	A1
MvSl-1064-A1-R4_MC01-1g02607	Auto	Auto	0.00931	0.00418	0.01286	0.00746	0.723945	1695318	1695578	5.338005782	0.102653784	0.999948201	5.419913196	5.356326495	5.336161224	5.234069758	NON	A1
MvSl-1064-A1-R4_MC01-1g02621	Auto	Auto	0.00378	0.00372	0.00004	0	94.2643	1724957	1727799	5.264688892	0.119338338	0.999948201	5.150391231	5.477212331	5.385495087	4.996576357	NON	A1
MvSl-1064-A1-R4_MC01-1g02622	Auto	Auto	0.00001	0.00022	0.00645	0.00699	0.00155036	1728362	1729066	6.252085154	0.120695455	0.999948201	6.363757897	6.256686548	6.105694079	6.270843197	NON	A1
MvSl-1064-A1-R4_MC01-1g02623	Auto	Auto	0.00506	0.00178	0.00455	0.00258	1.11206	1729168	1729317	7.906088332	0.047973357	0.999948201	7.926426267	7.93332019	7.943696376	7.81738515	NON	A1
MvSl-1064-A1-R4_MC01-1g02624	Auto	Auto	0.01469	0.00521	0.00584	0.00581	2.51537	1729366	1729635	5.58709832	-0.048571765	0.999948201	5.526340643	5.597918143	5.612320116	5.609850296	NON	A1
MvSl-1064-A1-R4_MC01-1g02630	Auto	Auto	0.00234	0.00234	0.00002	0.00006	116.418	1744104	1745938	6.388286931	-0.035912851	0.999948201	6.436005598	6.30134695	6.336050349	6.472867032	NON	A1
MvSl-1064-A1-R4_MC01-1g02631	Auto	Auto	0.00841	0.00378	0.00709	0.00504	1.18616	1746022	1746502	5.774589372	0.022469002	0.999948201	5.88750072	5.676490379	5.738949402	5.78732499	NON	A1
MvSl-1064-A1-R4_MC01-1g02636	Auto	Auto	0	0.00006	0.00002	0.00321	0	1757003	1757904	6.828541893	-0.128185285	0.999948201	6.870112035	6.64741901	6.86147799	6.920102784	NON	A1
MvSl-1064-A1-R4_MC01-1g02638	Auto	Auto	0.00209	0.00209	0.01203	0.00854	0.173731	1764671	1765577	4.993194244	-0.101685165	0.999948201	4.796892937	5.072570302	5.07025422	5.014899471	NON	A1
MvSl-1064-A1-R4_MC01-1g02640	Auto	Auto	0.0075	0.0025	0.0076	0.00379	0.986829	1770257	1771392	3.565082096	0.19625831	0.999948201	3.937508934	3.317404322	3.305748312	3.60905982	NON	A1
MvSl-1064-A1-R4_MC01-1g02645	Auto	Auto	0.00343	0.00344	0.00003	0	113.953	1782305	1783047	5.873954169	0.162396777	0.999948201	5.795750487	6.094448886	5.788302347	5.793234599	NON	A1
MvSl-1064-A1-R4_MC01-1g02650	Auto	Auto	0.00537	0.00269	0.00661	0.00468	0.812393	1790615	1792611	3.336493226	0.10784591	0.999948201	3.224672908	3.536733205	3.13758889	3.414220388	NON	A1
MvSl-1064-A1-R4_MC01-1g02656	Auto	Auto	0	312.96536	0.00001	820.14145	0	1804763	1808999	4.011228535	-0.131136602	0.999948201	3.652235395	4.186162578	4.133358108	4.013151853	NON	A1
MvSl-1064-A1-R4_MC01-1g02657	Auto	Auto	0.00233	0.00233	0.00002	0.00011	115.92	1809587	1812529	8.379069874	0.122199826	0.999948201	8.497967852	8.377281561	8.313119041	8.320300218	NON	A1
MvSl-1064-A1-R4_MC01-1g02663	Auto	Auto	0.00309	0.00311	0.00003	0.00053	102.658	1821417	1823399	4.069789819	-0.195110234	0.999948201	4.0660099	3.865140108	4.198923764	4.126091357	NON	A1
MvSl-1064-A1-R4_MC01-1g02665	Auto	Auto	0.00456	0.00264	0.01726	0.0087	0.264193	1825173	1827009	8.622994784	-0.10728431	0.999948201	8.675774356	8.452303802	8.708481546	8.641977137	NON	A1
MvSl-1064-A1-R4_MC01-1g02667	Auto	Auto	0.00001	0	0.0142	0.0009	0.00070422	1829941	1831363	6.383515448	-0.105352935	0.999948201	6.43159458	6.220529185	6.380686401	6.487520229	NON	A1
MvSl-1064-A1-R4_MC01-1g02670	Auto	Auto	0.00512	0.00297	0.00437	0.00441	1.1716	1835265	1836168	1.021491233	0.32302994	0.999948201	1.110078419	1.231089795	1.125731176	0.543012817	NON	A1
MvSl-1064-A1-R4_MC01-1g02678	Auto	Auto	0.00148	0.00105	0.00826	0.00372	0.179175	1852201	1852996	6.148722213	0.130157836	0.999948201	6.405741255	5.98918538	5.87999567	6.259788899	NON	A1
MvSl-1064-A1-R4_MC01-1g02698	Auto	Auto	0.00001	0	0.00902	0.00082	0.00110864	1904107	1905120	2.002376569	0.195411625	0.999948201	1.944943367	2.232756421	1.709324701	2.078141957	NON	A1
MvSl-1064-A1-R4_MC01-1g02699	Auto	Auto	0.00233	0.00116	0.00704	0.00315	0.330961	1905929	1909755	6.120546169	0.016269282	0.999948201	6.052861822	6.200600681	6.2354814	5.977875712	NON	A1
MvSl-1064-A1-R4_MC01-1g02705	Auto	Auto	0.00001	0	0.00714	0	0.00140054	1918140	1919205	7.277135132	0.107506782	0.999948201	7.387258353	7.27018554	7.186424609	7.257594913	NON	A1
MvSl-1064-A1-R4_MC01-1g02710	Auto	Auto	0.0035	0.00248	0.00766	0.00544	0.456913	1926292	1928475	8.085984233	-0.108672667	0.999948201	8.031306008	8.029936789	8.16900263	8.108886687	NON	A1
MvSl-1064-A1-R4_MC01-1g02712	Auto	Auto	0.01235	0.00505	0.00924	0.00651	1.33657	1931661	1933637	6.963971012	0.07262219	0.999948201	6.934502215	7.062291997	6.987939526	6.863932628	NON	A1
MvSl-1064-A1-R4_MC01-1g02719	Auto	Auto	0.00345	0.00199	0.00602	0.00427	0.57308	1954059	1954713	6.442444129	-0.039614587	0.999948201	6.596717587	6.224482064	6.325487875	6.586806256	NON	A1
MvSl-1064-A1-R4_MC01-1g02721	Auto	Auto	0.00001	0	0.014	0.00102	0.000714281	1958963	1960694	7.07602997	-0.007184445	0.999948201	7.064969459	7.079853304	7.142200776	7.014186187	NON	A1
MvSl-1064-A1-R4_MC01-1g02732	Auto	Auto	0.01141	0.00573	0.00012	0.00069	95.0042	1986976	1990051	4.418389976	-0.012167462	0.999948201	4.451336552	4.372259279	4.325007396	4.517394649	NON	A1
MvSl-1064-A1-R4_MC01-1g02740	Auto	Auto	0.00212	0.00106	0.0092	0.0035	0.230432	2009590	2009980	6.342223977	-0.137455326	0.999948201	6.229938515	6.312531455	6.427026228	6.391060401	NON	A1
MvSl-1064-A1-R4_MC01-1g02741	Auto	Auto	0.00256	0.00182	0.00498	0.00354	0.514046	2010056	2012022	7.980911677	-0.087349267	0.999948201	8.00304486	7.866908706	7.912277541	8.127483724	NON	A1
MvSl-1064-A1-R4_MC01-1g02745	Auto	Auto	0.00344	0.00346	0.00788	0.00795	0.436543	2014389	2015215	4.306138114	0.02152438	0.999948201	4.426724534	4.198272775	4.209567422	4.376498913	NON	A1
MvSl-1064-A1-R4_MC01-1g02762	Auto	Auto	0.00175	0.00174	0.00362	0.00361	0.483412	2066646	2069284	7.11822816	0.035280355	0.999948201	7.166674333	7.104192722	7.039557738	7.158979079	NON	A1
MvSl-1064-A1-R4_MC01-1g02765	Auto	Auto	0.00764	0.00384	0.01432	0.01023	0.533516	2078231	2082720	5.428919199	0.014056587	0.999948201	5.46204726	5.409379629	5.436221665	5.407440054	NON	A1
MvSl-1064-A1-R4_MC01-1g02768	Auto	Auto	0.00345	0.00346	0.00003	0	114.618	2084449	2085473	5.842433981	0.011518207	0.999948201	5.817551443	5.878144207	5.999300154	5.653386281	NON	A1
MvSl-1064-A1-R4_MC01-1g02770	Auto	Auto	0.00001	0.00001	0.00512	0.00511	0.00195309	2095150	2096226	5.47403305	0.042240616	0.999948201	5.550951301	5.436896602	5.445256071	5.460395229	NON	A1
MvSl-1064-A1-R4_MC01-1g02783	Auto	Auto	0.00215	0.00153	0.00808	0.00577	0.266086	2141089	2141920	4.876885282	-0.053826718	0.999948201	4.712142457	4.975052861	4.977811302	4.82489251	NON	A1
MvSl-1064-A1-R4_MC01-1g02793	Auto	Auto	0.00175	0.00175	0.00002	0.00011	87.0647	2160862	2165551	8.198309108	0.108937932	0.999948201	8.184916463	8.315619451	8.144944313	8.140754504	NON	A1
MvSl-1064-A1-R4_MC01-1g02798	Auto	Auto	0.00382	0.00385	0.02908	0.0208	0.131361	2173502	2174212	2.276109631	-0.02343958	0.999948201	1.587077007	2.720899389	2.408710476	2.153584981	NON	A1
MvSl-1064-A1-R4_MC01-1g02802	Auto	Auto	0.00655	0.00465	0.01476	0.0105	0.443764	2184371	2184597	6.8645662	0.005955421	0.999948201	6.928253614	6.804206677	6.822717084	6.899431394	NON	A1
MvSl-1064-A1-R4_MC01-1g02815	Auto	Auto	0.00526	0.00236	0.009	0.00522	0.584438	2206307	2206623	7.369224527	-0.003349854	0.999948201	7.432110276	7.299992453	7.345677091	7.395675894	NON	A1
MvSl-1064-A1-R4_MC01-1g02818	Auto	Auto	0.00259	0.00184	0.00592	0.00422	0.437493	2212076	2212987	7.121786003	-0.027316738	0.999948201	7.325359225	6.852259963	6.980708312	7.275014685	NON	A1
MvSl-1064-A1-R4_MC01-1g02822	Auto	Auto	0.00002	0	0.01657	0	0.00120699	2222099	2222899	7.088911111	-0.018497626	0.999948201	7.087575323	7.071648051	7.077820767	7.118129638	NON	A1
MvSl-1064-A1-R4_MC01-1g02835	Auto	Auto	0.00355	0.00355	0.00004	0	88.5287	2252236	2255558	7.04067154	0.075683833	0.999948201	7.072355289	7.083666509	7.071513654	6.929792069	NON	A1
MvSl-1064-A1-R4_MC01-1g02851	Auto	Auto	0	0	0.00001	0	0	2288971	2290650	5.407676298	-0.107701831	0.999948201	5.045759134	5.60551614	5.618989163	5.281928319	NON	A1
MvSl-1064-A1-R4_MC01-1g02860	Auto	Auto	0.00741	0.00527	0.01071	0.01078	0.69187	2318851	2320391	0.088579681	-0.446798757	0.999948201	0.608055998	-1.729917293	-0.282480863	0.671769878	NON	A1
MvSl-1064-A1-R4_MC01-2g02975	Auto	Auto	0.00002	0.00033	0.01742	0.00948	0.0011481	2580274	2583289	5.396912276	-0.108466297	0.999948201	5.514710398	5.145266187	5.411849615	5.486890759	NON	A1
MvSl-1064-A1-R4_MC01-2g02982	Auto	Auto	0.00798	0.00565	0.00008	0.00031	99.6255	2610091	2610829	3.922086353	0.045802005	0.999948201	4.047679968	3.834431757	3.86370278	3.934054415	NON	A1
MvSl-1064-A1-R4_MC01-2g02984	Auto	Auto	0.00001	0.00017	0.01168	0.008	0.000856157	2615773	2617739	6.197909162	-0.115899018	0.999948201	6.026194568	6.243111737	6.253594711	6.25551459	NON	A1
MvSl-1064-A1-R4_MC01-2g02994	Auto	Auto	0.00584	0.00263	0.02425	0.01099	0.240824	2638903	2639454	7.783395394	0.055313548	0.999948201	7.630659159	7.970865382	7.981966831	7.486741258	NON	A1
MvSl-1064-A1-R4_MC01-2g02996	Auto	Auto	0.00292	0.0017	0.00882	0.00632	0.331062	2641693	2642886	10.03993772	-0.054842769	0.999948201	9.632245994	10.31273984	10.36891184	9.684954879	NON	A1
MvSl-1064-A1-R4_MC01-2g03014	Auto	Auto	0.00421	0.00422	0.00004	0	104.988	2678310	2680516	6.222606071	-0.057732651	0.999948201	6.108082391	6.27395427	6.330372474	6.16725622	NON	A1
MvSl-1064-A1-R4_MC01-2g03015	Auto	Auto	0.00191	0.00136	0.00455	0.00324	0.419771	2680744	2689561	6.155043439	-0.1072862	0.999948201	6.085798061	6.114823336	6.138555784	6.273382205	NON	A1
MvSl-1064-A1-R4_MC01-2g03017	Auto	Auto	0.00179	0.0009	0.01047	0.00472	0.170963	2692235	2694162	8.317259026	0.001888254	0.999948201	8.428388712	8.198923701	8.148175363	8.466888036	NON	A1
MvSl-1064-A1-R4_MC01-2g03019	Auto	Auto	0.004	0	0.00004	0	99.7506	2697436	2697633	6.295648626	-0.065642297	0.999948201	6.112498248	6.398142025	6.39707519	6.25551459	NON	A1
MvSl-1064-A1-R4_MC01-2g03021	Auto	Auto	0.00486	0.00172	0.00406	0.00234	1.19701	2704730	2706709	3.748185373	-0.195145936	0.999948201	3.881688277	3.368312707	3.570834852	4.068778935	NON	A1
MvSl-1064-A1-R4_MC01-2g03037	Auto	Auto	0.00001	0	0.00506	0	0.00197625	2750509	2752780	9.205662197	0.114666385	0.999948201	8.862841026	9.574067243	9.388810535	8.856838301	NON	A1
MvSl-1064-A1-R4_MC01-2g03039	Auto	Auto	0.00216	0.0022	0.03289	0.01684	0.0656733	2756607	2756837	6.246363112	0.11573062	0.999948201	6.381247193	6.220529185	6.2493026	6.122894429	NON	A1
MvSl-1064-A1-R4_MC01-2g03042	Auto	Auto	0.00381	0.0017	0.00728	0.00365	0.523344	2767972	2768481	6.16636017	-0.028033215	0.999948201	6.021506046	6.272045809	6.253594711	6.103048795	NON	A1
