gene	dn	dnse	ds	dsse	dnds
MvSl-1064-A1-R4_MC03g04388	0.00071	0.00071	0.00001	0.00002	70.2970297
MvSl-1064-A1-R4_MC03g04389	0.00811	0.00425	0.01367	0.00828	0.593265594
MvSl-1064-A1-R4_MC03g04390	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04394	0.72062	0.1236	2.36742	4.64207	0.304390421
MvSl-1064-A1-R4_MC03g04395	0.00534	0.00379	0.00005	0.00027	106.5868263
MvSl-1064-A1-R4_MC03g04396	0.00144	0.00145	0.00001	0	142.5742574
MvSl-1064-A1-R4_MC03g04397	0.00481	0.00342	0.00598	0.00602	0.804334376
MvSl-1064-A1-R4_MC03g04399	0	0	0.00409	0	0
MvSl-1064-A1-R4_MC03g04400	0.7277	0.11635	3.20199	1.52545	0.227264913
MvSl-1064-A1-R4_MC03g04402	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04403	0.00165	0.00165	0.00002	0	82.08955224
MvSl-1064-A1-R4_MC03g04404	0.00001	0	0.01185	0	0.000843875
MvSl-1064-A1-R4_MC03g04406	0.00001	0	0.00806	0.0002	0.001240679
MvSl-1064-A1-R4_MC03g04407	0	0	0	0	0
MvSl-1064-A1-R4_MC03g04408	0.00001	0	0.00907	0	0.001102524
MvSl-1064-A1-R4_MC03g04409	0.00067	0.00068	0.00139	0.00142	0.481979714
MvSl-1064-A1-R4_MC03g04410	0.47441	0.0696	1.24084	0.40096	0.382329681
MvSl-1064-A1-R4_MC03g04411	0.0026	0.00265	0.00003	0.00061	86.37873754
MvSl-1064-A1-R4_MC03g04412	0.00189	0.00189	0.00002	0.00016	94.02985075
MvSl-1064-A1-R4_MC03g04413					0
MvSl-1064-A1-R4_MC03g04418	0.00171	0.00171	0.00002	0.00007	85.07462687
MvSl-1064-A1-R4_MC03g04419	0.24378	0.03534	0.37562	0.08474	0.649006802
MvSl-1064-A1-R4_MC03g04422	0.00796	0.00462	0.00008	0.00031	99.37578027
MvSl-1064-A1-R4_MC03g04425	0.03337	0.01291	0.01739	0.01245	1.918907884
MvSl-1064-A1-R4_MC03g04427	0.01013	0.00353	0.01399	0.00542	0.724083459
MvSl-1064-A1-R4_MC03g04428	0.00584	0.00413	0.00831	0.00834	0.702759293
MvSl-1064-A1-R4_A1g00040	0.00002	0	0.01873	0	0.0010678
MvSl-1064-A1-R4_MC03g04431	0.00266	0.00191	0.00575	0.00402	0.46260065
MvSl-1064-A1-R4_MC03g04433	0.00209	0.0021	0.00627	0.00447	0.333328017
MvSl-1064-A1-R4_MC03g04435	0	0.00014	0.00002	0.00513	0
MvSl-1064-A1-R4_MC03g04436	0.00001	0	0.00505	0.0013	0.001980159
MvSl-1064-A1-R4_MC03g04437	0.00004	0	0.03894	0	0.001027219
MvSl-1064-A1-R4_MC03g04438	0.02799	0.00941	0.00643	0.00286	4.352964962
MvSl-1064-A1-R4_MC03g04439	0.00261	0.00262	0.00003	0	86.71096346
MvSl-1064-A1-R4_MC03g04440	0.00538	0.0038	0.04698	0.02377	0.114516572
MvSl-1064-A1-R4_MC03g04442	0.00403	0.00265	0.01603	0.00954	0.25140205
MvSl-1064-A1-R4_MC03g04448	0.00297	0.00133	0.005	0.00289	0.59398812
MvSl-1064-A1-R4_MC03g04449	0	0.00002	0.00002	0.00515	0
MvSl-1064-A1-R4_MC03g04451	0.00279	0.00198	0.00248	0.00248	1.124954639
MvSl-1064-A1-R4_MC03g04452	0	0	0.00341	0.00004	0
MvSl-1064-A1-R4_MC03g04453	0	0.00003	0.00001	0	0
MvSl-1064-A1-R4_MC03g04454	0.03865	0.01099	0.0671	0.02257	0.576005103
MvSl-1064-A1-R4_MC03g04455	0	0.00091	0.00001	0	0
MvSl-1064-A1-R4_MC03g04456	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04457	0.00001	0	0.01423	0.0016	0.000702736
MvSl-1064-A1-R4_MC03g04458	0	0	0.00127	0	0
MvSl-1064-A1-R4_MC03g04460	0.00137	0.00071	0.003	0.00156	0.456651445
MvSl-1064-A1-R4_MC03g04461	0.00321	0.00186	0.01135	0.00511	0.282816891
MvSl-1064-A1-R4_MC03g04463	0.00002	0	0.02128	0	0.000939845
MvSl-1064-A1-R4_MC03g04465	0.00096	0.00096	0.00001	0.00003	95.04950495
MvSl-1064-A1-R4_MC03g04467	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04468	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04469	0.00245	0.00245	0.00002	0	121.8905473
MvSl-1064-A1-R4_MC03g04470	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04471	0.87694	0.12123	2.822	1.30663	0.310751229
MvSl-1064-A1-R4_MC03g04472	0.00752	0.00535	0.01192	0.01203	0.630867191
MvSl-1064-A1-R4_MC03g04473	0.00278	0.00197	0.00003	0.0001	92.35880399
MvSl-1064-A1-R4_MC03g04476	0.00001	0	0.01108	0	0.000902519
MvSl-1064-A1-R4_A1g00454	0.00291	0.00291	0.00843	0.00846	0.345191635
MvSl-1064-A1-R4_MC03g04477	0.01594	0.00715	0.01507	0.00678	1.057723572
MvSl-1064-A1-R4_MC03g04478	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04479	0.00202	0.00202	0.0058	0.00582	0.348269857
MvSl-1064-A1-R4_MC03g04480	0.00175	0.00175	0.00002	0.00005	87.06467662
MvSl-1064-A1-R4_MC03g04481	0.00071	0.00071	0.00961	0.00559	0.073880605
MvSl-1064-A1-R4_MC03g04482	0.0025	0.00254	0.00648	0.00658	0.385796515
MvSl-1064-A1-R4_MC03g04483	0.81708	0.09296	1.9957	0.64046	0.409420233
MvSl-1064-A1-R4_MC03g04484	0	0	0.00346	0	0
MvSl-1064-A1-R4_MC03g04486	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04487	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04489	0.0056	0.00398	0.00813	0.00823	0.688798416
MvSl-1064-A1-R4_MC03g04490	0.00001	0	0.00651	0.00053	0.001536075
MvSl-1064-A1-R4_MC03g04491	0.00002	0	0.02209	0.0044	0.000905383
MvSl-1064-A1-R4_MC03g04492	0.00317	0.00317	0.00003	0.00019	105.3156146
MvSl-1064-A1-R4_MC03g04493	0.00001	0	0.01445	0	0.000692037
MvSl-1064-A1-R4_MC03g04494	0	0.00004	0.00001	0	0
MvSl-1064-A1-R4_MC03g04495	0	0.01665	0.00001	0.04236	0
MvSl-1064-A1-R4_MC03g04496	0.00291	0.00294	0.00833	0.00842	0.349335542
MvSl-1064-A1-R4_MC03g04497	0	0	0.00268	0.00018	0
MvSl-1064-A1-R4_MC03g04498	0.00308	0.00177	0.00444	0.00312	0.69367807
MvSl-1064-A1-R4_MC03g04499	0.73264	0.08705	8.56635	7.79968	0.085525339
MvSl-1064-A1-R4_MC03g04500	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04501	0.00158	0.00092	0.00362	0.00257	0.436452032
MvSl-1064-A1-R4_MC03g04502	0.00769	0.00446	0.01277	0.0128	0.602187923
MvSl-1064-A1-R4_MC03g04503	0.00001	0	0.01087	0	0.000919955
MvSl-1064-A1-R4_MC03g04504	0.01363	0.00684	0.00014	0	97.28765168
MvSl-1064-A1-R4_MC03g04506	0.01752	0.00557	0.00892	0.00288	1.964103541
MvSl-1064-A1-R4_MC03g04507	1.35183	0.34692	8.63979	6.12651	0.156465607
MvSl-1064-A1-R4_MC03g04508	0.00258	0.00258	0.00003	0	85.71428571
MvSl-1064-A1-R4_MC03g04510	0.00001	0	0.00623	0.00011	0.001605111
MvSl-1064-A1-R4_MC03g04511	0.64716	0.07963	20.88883	65.14647	0.030981151
MvSl-1064-A1-R4_MC03g04512	0.00238	0.00171	0.00549	0.00401	0.433507586
MvSl-1064-A1-R4_MC03g04513	0.00177	0.00178	0.00934	0.00665	0.189505466
MvSl-1064-A1-R4_MC03g04514	0.0182	0.01057	0.01647	0.00962	1.105032756
MvSl-1064-A1-R4_MC03g04515	0	0.00003	0.00001	0.01504	0
MvSl-1064-A1-R4_MC03g04516	0	0	0.0031	0	0
MvSl-1064-A1-R4_A1g00458	0.00369	0.00263	0.0039	0.00394	0.946129586
MvSl-1064-A1-R4_MC03g04518	0.00195	0.00138	0.00002	0.00005	97.01492537
MvSl-1064-A1-R4_MC03g04519	0.00789	0.00559	0.00008	0.00021	98.50187266
MvSl-1064-A1-R4_MC03g04520	0.00219	0.00219	0.00592	0.00592	0.369926184
MvSl-1064-A1-R4_MC03g04521	0.00354	0.00354	0.00004	0	88.27930175
MvSl-1064-A1-R4_MC03g04522	0	0	0.0014	0	0
MvSl-1064-A1-R4_MC03g04523	0	0.00005	0.00002	0	0
MvSl-1064-A1-R4_MC03g04524	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04526	0	0	0.00001	0	0
MvSl-1064-A1-R4_A1g00459	0.00322	0.00229	0.01218	0.00869	0.264365646
MvSl-1064-A1-R4_MC03g04527	0.00085	0.00085	0.00382	0.00382	0.222507264
MvSl-1064-A1-R4_MC03g04528	0.68612	0.08758	78.01942	93.64461	0.008794221
MvSl-1064-A1-R4_MC03g04530	0.00001	0	0.01144	0.00046	0.000874118
MvSl-1064-A1-R4_MC03g04533	0.92461	0.12872	2.44927	1.28972	0.377504302
MvSl-1064-A1-R4_MC03g04535	0.0007	0.0007	0.00232	0.0023	0.301711133
MvSl-1064-A1-R4_MC03g04536	0.00984	0.00698	0.0001	0.00026	98.3016983
MvSl-1064-A1-R4_MC03g04537	0.00709	0.00317	0.00423	0.00416	1.676083308
MvSl-1064-A1-R4_A1g00460	0.00305	0.00305	0.00003	0.00015	101.3289037
MvSl-1064-A1-R4_MC03g04538	0.0035	0.00351	0.01033	0.00738	0.338815694
MvSl-1064-A1-R4_MC03g04540	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04541	0.00511	0.0036	0.00557	0.00552	0.917398251
MvSl-1064-A1-R4_MC03g04542	0.00319	0.0032	0.00003	0.00013	105.9800664
MvSl-1064-A1-R4_MC03g04543	0.10971	0.02686	0.21749	0.07924	0.504436754
MvSl-1064-A1-R4_MC03g04544	0	0.00004	0.00002	0	0
MvSl-1064-A1-R4_MC03g04545	0.00483	0.00342	0.01133	0.01145	0.426298091
MvSl-1064-A1-R4_MC03g04547	0.00345	0.00345	0.00003	0.00006	114.6179402
MvSl-1064-A1-R4_MC03g04549	0.00814	0.00494	0.02624	0.01806	0.310212232
MvSl-1064-A1-R4_MC03g04550	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04551	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04552	0	0.00116	0.00001	0	0
MvSl-1064-A1-R4_MC03g04553	0.0005	0.00043	0.00285	0.00082	0.175432441
MvSl-1064-A1-R4_MC03g04554	0.3989	0.05922	0.93681	0.25141	0.425806682
MvSl-1064-A1-R4_MC03g04556	0.00206	0.00118	0.00157	0.00155	1.312018343
MvSl-1064-A1-R4_MC03g04558	0	0.00074	0.00001	0.00344	0
MvSl-1064-A1-R4_MC03g04559	0	0	0.00341	0	0
MvSl-1064-A1-R4_MC03g04560	0.00124	0.00124	0.00461	0.00326	0.268974643
MvSl-1064-A1-R4_MC03g04561	0	0.00344	0.00001	0.00766	0
MvSl-1064-A1-R4_MC03g04562	0.00244	0.00244	0.00002	0	121.3930348
MvSl-1064-A1-R4_MC03g04570	0.71652	0.08068	1.54643	0.42348	0.46333811
MvSl-1064-A1-R4_MC03g04571	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04572	0.00002	0	0.02106	0	0.000949663
MvSl-1064-A1-R4_MC03g04573	0.00001	0	0.01151	0.00147	0.000868802
MvSl-1064-A1-R4_MC03g04574	0.01517	0.00718	0.06692	0.02955	0.226688245
MvSl-1064-A1-R4_MC03g04575	0	0	0	0	0
MvSl-1064-A1-R4_MC03g04576	0.00001	0	0.01227	0	0.000814989
MvSl-1064-A1-R4_MC03g04577	0.00054	0.00054	0.00001	0.00001	53.46534653
MvSl-1064-A1-R4_MC03g04583	0.00851	0.00603	0.00009	0.00072	94.45061043
MvSl-1064-A1-R4_MC03g04585	0.00257	0.00257	0.00003	0.00003	85.3820598
MvSl-1064-A1-R4_MC03g04586	0.0154	0.00521	0.05433	0.01857	0.283452451
MvSl-1064-A1-R4_MC03g04589	0.01343	0.00452	0.04025	0.01361	0.333663767
MvSl-1064-A1-R4_MC03g04590	0.00573	0.00406	0.00465	0.00464	1.232231565
MvSl-1064-A1-R4_MC03g04593	0.00712	0.00166	0.01121	0.00327	0.635141524
MvSl-1064-A1-R4_MC03g04595	0.00001	0	0.00935	0.0008	0.001069507
MvSl-1064-A1-R4_MC03g04596	0.17319	0.02549	0.36605	0.06663	0.473131957
MvSl-1064-A1-R4_MC03g04597	0.00505	0.00359	0.00005	0.00061	100.7984032
MvSl-1064-A1-R4_MC03g04598	0.00322	0.00186	0.00003	0.00002	106.9767442
MvSl-1064-A1-R4_MC03g04599	0.00001	0.00008	0.00897	0.0093	0.001114815
MvSl-1064-A1-R4_MC03g04600	0	0.00003	0.00001	0	0
MvSl-1064-A1-R4_MC03g04601	0	0.00003	0.00001	0	0
MvSl-1064-A1-R4_MC03g04602	0.0149	0.00517	0.03724	0.01448	0.400106337
MvSl-1064-A1-R4_MC03g04603	0	0	0.00196	0	0
MvSl-1064-A1-R4_MC03g04605	0.0041	0.00411	0.00004	0.00028	102.244389
MvSl-1064-A1-R4_MC03g04606	0.00117	0.00083	0.00526	0.00305	0.222429231
MvSl-1064-A1-R4_MC03g04607	0.00375	0.00378	0.01286	0.00921	0.291599599
MvSl-1064-A1-R4_MC03g04610	0.00001	0	0.01314	0.0009	0.000761029
MvSl-1064-A1-R4_MC03g04611	0.00816	0.00503	0.0174	0.0122	0.468962822
MvSl-1064-A1-R4_MC03g04613	0.00249	0.00249	0.00676	0.00677	0.368337746
MvSl-1064-A1-R4_MC03g04614	0.00042	0.00042	0.00496	0.00249	0.084675712
MvSl-1064-A1-R4_MC03g04615	0.00752	0.00435	0.00008	0.00021	93.88264669
MvSl-1064-A1-R4_MC03g04616	0.9289	0.17182	1.24343	0.49125	0.747046416
MvSl-1064-A1-R4_MC03g04617	0	0.00004	0.00002	0	0
MvSl-1064-A1-R4_MC03g04619	0.00212	0.00212	0.00002	0.00015	105.4726368
MvSl-1064-A1-R4_MC03g04620	0.00001	0	0.0087	0.00071	0.001149412
MvSl-1064-A1-R4_MC03g04621	0.00001	0	0.00615	0	0.00162599
MvSl-1064-A1-R4_A1g00478	0	0	0.00349	0	0
MvSl-1064-A1-R4_MC03g04626	0.02916	0.00776	0.03416	0.01372	0.853627478
MvSl-1064-A1-R4_MC03g04627	0.07608	0.0222	0.11832	0.04651	0.643001485
MvSl-1064-A1-R4_MC03g04629	0.10224	0.01959	0.14184	0.03994	0.720811675
MvSl-1064-A1-R4_MC03g04631	0.01983	0.0084	0.02494	0.0194	0.795105072
MvSl-1064-A1-R4_MC03g04632	0.00257	0.00258	0.0076	0.00764	0.338153445
MvSl-1064-A1-R4_MC03g04633	0	0.00001	0.00002	0.00226	0
MvSl-1064-A1-R4_MC03g04634	0.00573	0.00183	0.00984	0.00314	0.582311155
MvSl-1064-A1-R4_MC03g04635	0.0302	0	0.05699	0	0.5299166
MvSl-1064-A1-R4_MC03g04636	0.00134	0.00134	0.00001	0	132.6732673
MvSl-1064-A1-R4_MC03g04637	0	0	0	0	0
MvSl-1064-A1-R4_MC03g04638	0.00112	0.00112	0.00204	0.00204	0.548992696
MvSl-1064-A1-R4_MC03g04639	0.13536	0.02581	0.07113	0.02322	1.902991842
MvSl-1064-A1-R4_MC03g04641	0.03075	0.01039	0.02722	0.00956	1.129679906
MvSl-1064-A1-R4_MC03g04642	0.00001	0	0.01048	0	0.000954189
MvSl-1064-A1-R4_MC03g04643	0.12089	0.02482	0.0426	0.02153	2.837786766
MvSl-1064-A1-R4_MC03g04644	0.69484	0.09822	69.08166	93.69908	0.010058241
MvSl-1064-A1-R4_MC03g04645	1.11216	0.1784	0.83624	0.23469	1.329952964
MvSl-1064-A1-R4_MC03g04646	0.01487	0.00453	0.03566	0.00963	0.416992661
MvSl-1064-A1-R4_MC03g04647	0.00236	0.00145	0.00564	0.00347	0.418432297
MvSl-1064-A1-R4_MC03g04648	0.00001	0	0.01144	0	0.000874118
MvSl-1064-A1-R4_MC03g04649	0.0022	0.00123	0.00521	0.00291	0.422256771
MvSl-1064-A1-R4_MC03g04652	0.01465	0.00851	0.00015	0	97.60159893
MvSl-1064-A1-R4_MC03g04653	0.00262	0.00185	0.00003	0	87.04318937
MvSl-1064-A1-R4_MC03g04654	0.00401	0.00284	0.00873	0.00619	0.459330363
MvSl-1064-A1-R4_A1g00042	0	0	0.00001	0	0
MvSl-1064-A1-R4_A1g00481	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04655	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04656	0.00364	0.00363	0.02369	0.01764	0.153650681
MvSl-1064-A1-R4_MC03g04659	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04660	0.00082	0.00082	0.0083	0.00417	0.09879399
MvSl-1064-A1-R4_MC03g04661	0.00056	0.00056	0.00756	0.00439	0.074073094
MvSl-1064-A1-R4_MC03g04662	0.00779	0.00391	0.00008	0.00025	97.25343321
MvSl-1064-A1-R4_MC03g04663	0	0.0178	0.00001	0.04176	0
MvSl-1064-A1-R4_MC03g04664	0.00221	0.00156	0.00002	0.0001	109.9502488
MvSl-1064-A1-R4_MC03g04665	0.02464	0.0117	0.04155	0.03586	0.59301903
MvSl-1064-A1-R4_A1g00482	0.01659	0.00445	0.02569	0.00956	0.645774053
MvSl-1064-A1-R4_MC03g04667	0	0	0.00126	0.0006	0
MvSl-1064-A1-R4_MC03g04668	0.00005	0	0.05334	0.01898	0.000937381
MvSl-1064-A1-R4_MC03g04670	0.00141	0.00099	0.00182	0.0018	0.77468271
MvSl-1064-A1-R4_MC03g04672	0.00163	0.00093	0.00705	0.00412	0.231202394
MvSl-1064-A1-R4_MC03g04673	0.00087	0.00062	0.00133	0.00137	0.654086159
MvSl-1064-A1-R4_MC03g04674	0.00001	0	0.00977	0.00099	0.001023531
MvSl-1064-A1-R4_A1g00484	0.00614	0.00357	0.00006	0.00077	102.1630616
MvSl-1064-A1-R4_MC03g04676	0.00257	0.00146	0.00214	0.00204	1.200878464
MvSl-1064-A1-R4_MC03g04677	0.00178	0.00178	0.0175	0.01021	0.101713704
MvSl-1064-A1-R4_MC03g04678	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04679	0.0026	0.00258	0.0052	0.00518	0.499990385
MvSl-1064-A1-R4_MC03g04680	0.00409	0.00288	0.00876	0.00619	0.466889647
MvSl-1064-A1-R4_MC03g04685	0.21043	0.03662	0.59765	0.14207	0.352095649
MvSl-1064-A1-R4_MC03g04686	0.00694	0	0.00007	0	99.00142653
MvSl-1064-A1-R4_MC03g04689	0.00111	0.00078	0.00236	0.00166	0.470319054
MvSl-1064-A1-R4_MC03g04690	0.00225	0.00225	0.008	0.00802	0.281246484
MvSl-1064-A1-R4_MC03g04691	0.00073	0.00073	0.00001	0.00001	72.27722772
MvSl-1064-A1-R4_MC03g04692	0.00247	0.00122	0.00177	0.00169	1.39540139
MvSl-1064-A1-R4_MC03g04694	0.00395	0.00229	0.00004	0.00016	98.50374065
MvSl-1064-A1-R4_MC03g04697	0.77142	0.09344	1.66074	0.46868	0.464503747
MvSl-1064-A1-R4_MC03g04699	0	0	0.002	0.00201	0
MvSl-1064-A1-R4_MC03g04700	0.00001	0	0.00596	0	0.001677824
MvSl-1064-A1-R4_MC03g04701	0.00522	0.00303	0.00015	0.00009	34.77681546
MvSl-1064-A1-R4_MC03g04702	0.01215	0.00559	0.01114	0	1.090654482
MvSl-1064-A1-R4_MC03g04703	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04704	0.00133	0.00094	0.00001	0.00003	131.6831683
MvSl-1064-A1-R4_MC03g04706	0.00645	0.00341	0.00831	0.00593	0.776163945
MvSl-1064-A1-R4_MC03g04707	0	0.00002	0.00002	0	0
MvSl-1064-A1-R4_MC03g04708	0.00056	0.00055	0.00155	0.00153	0.361267015
MvSl-1064-A1-R4_A1g00487	0.00258	0.00258	0.00003	0	85.71428571
MvSl-1064-A1-R4_MC03g04711	0.00001	0	0.00713	0	0.001402505
MvSl-1064-A1-R4_MC03g04712	0.00001	0	0.00843	0.00169	0.001186226
MvSl-1064-A1-R4_MC03g04713	0.00129	0.00129	0.00276	0.00276	0.46737437
MvSl-1064-A1-R4_MC03g04714	0	0	0.00002	0	0
MvSl-1064-A1-R4_MC03g04715	0.81844	0.11398	3.36696	2.41078	0.243079804
MvSl-1064-A1-R4_MC03g04716	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04717	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04718	0	0.00388	0.00001	0.0083	0
MvSl-1064-A1-R4_MC03g04719	0.00709	0.005	0.00826	0.00821	0.858343119
MvSl-1064-A1-R4_A1g00489	0.00137	0.00137	0.00842	0.00599	0.162705906
MvSl-1064-A1-R4_MC03g04720	0.00001	0	0.00742	0	0.001347691
MvSl-1064-A1-R4_MC03g04723	0.00544	0.00271	0.00307	0.00153	1.771929253
MvSl-1064-A1-R4_MC03g04724	0.00085	0.00085	0.00001	0.00003	84.15841584
MvSl-1064-A1-R4_MC03g04725	0.00138	0.00137	0.00663	0.00469	0.208141657
MvSl-1064-A1-R4_MC03g04726	0	0.00003	0.00002	0.00613	0
MvSl-1064-A1-R4_MC03g04727	0.00188	0.00133	0.00002	0.00005	93.53233831
MvSl-1064-A1-R4_MC03g04730	0	0.00346	0.00001	0.00716	0
MvSl-1064-A1-R4_A1g00491	0.00913	0.00255	0.02048	0.00598	0.445798604
MvSl-1064-A1-R4_MC03g04731	0.00185	0.00185	0.00002	0	92.039801
MvSl-1064-A1-R4_MC03g04733	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04734	0.00232	0.00048	0.00584	0.00129	0.397253472
MvSl-1064-A1-R4_MC03g04736	0.00149	0.00064	0.00596	0.00255	0.249995805
MvSl-1064-A1-R4_MC03g04737	0.00159	0.00159	0.0064	0.00454	0.248433618
MvSl-1064-A1-R4_MC03g04738	0.00382	0.00383	0.00004	0.00008	95.26184539
MvSl-1064-A1-R4_MC03g04739	0	0	0	0	0
MvSl-1064-A1-R4_MC03g04740	0.00443	0.00442	0.00004	0	110.4738155
MvSl-1064-A1-R4_A1g00492	0.00643	0.00162	0.01074	0.0031	0.598690887
MvSl-1064-A1-R4_MC03g04742	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04743	0	0.00004	0.00001	0.00305	0
MvSl-1064-A1-R4_MC03g04744	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04746	0.00196	0.00197	0.00002	0	97.51243781
MvSl-1064-A1-R4_MC03g04747	0.00514	0.00364	0.00005	0.00045	102.5948104
MvSl-1064-A1-R4_MC03g04748	0.00001	0	0	0	100
MvSl-1064-A1-R4_MC03g04749	0.39379	0.05701	0.90923	0.22783	0.433102688
MvSl-1064-A1-R4_MC03g04750	0.00143	0.00101	0.00981	0.00441	0.145768137
MvSl-1064-A1-R4_MC03g04751	0.00386	0.00274	0.00004	0.00017	96.25935162
MvSl-1064-A1-R4_MC03g04752	0.85088	0.15161	10.00288	21.20581	0.085063501
MvSl-1064-A1-R4_MC03g04753	0	0	0.00002	0.00539	0
MvSl-1064-A1-R4_MC03g04754	0	0	0	0	0
MvSl-1064-A1-R4_MC03g04756	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04757	0.00002	0	0.01742	0.00251	0.001148099
MvSl-1064-A1-R4_MC03g04761	0	0.00001	0.00001	0.00088	0
MvSl-1064-A1-R4_MC03g04763	0.00079	0.0008	0.01185	0.00689	0.066666104
MvSl-1064-A1-R4_MC03g04764	0.00838	0.00594	0.00008	0	104.619226
MvSl-1064-A1-R4_MC03g04765	0	0.00542	0.00001	0.01291	0
MvSl-1064-A1-R4_MC03g04766	0	0.00053	0.00001	0.00885	0
MvSl-1064-A1-R4_MC03g04767	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04768	0	0	0	0	0
MvSl-1064-A1-R4_MC03g04769	0	0.00005	0.00001	0.00729	0
MvSl-1064-A1-R4_MC03g04770	0.00267	0.00267	0.00003	0	88.70431894
MvSl-1064-A1-R4_A1g00495	0	0	0	0	0
MvSl-1064-A1-R4_MC03g04772	0.00784	0.00557	0.00737	0.00742	1.063757615
MvSl-1064-A1-R4_MC03g04773	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04774	0.00123	0.00124	0.00302	0.00304	0.407271282
MvSl-1064-A1-R4_MC03g04775	0	0	0.00137	0.00019	0
MvSl-1064-A1-R4_MC03g04776	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04777	0.01493	0.00749	0.00015	0.00015	99.46702199
MvSl-1064-A1-R4_MC03g04778	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04779	0	0.00259	0.00001	0.01564	0
MvSl-1064-A1-R4_MC03g04780	0.0292	0.01032	0.03327	0.01395	0.87766493
MvSl-1064-A1-R4_MC03g04781	0	0.01351	0.00001	0.02911	0
MvSl-1064-A1-R4_MC03g04784	0.06413	0.01758	0.09059	0.03132	0.707913999
MvSl-1064-A1-R4_MC03g04785	0.00204	0.00122	0.0128	0.0061	0.159373755
MvSl-1064-A1-R4_MC03g04786	0.0007	0.0007	0.00238	0.0024	0.29410529
MvSl-1064-A1-R4_MC03g04787	0.00001	0	0.01129	0.0005	0.000885732
MvSl-1064-A1-R4_MC03g04788	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04789	0	0.00004	0.00002	0	0
MvSl-1064-A1-R4_MC03g04791	0.01958	0.00594	0.00432	0.00438	4.532302493
MvSl-1064-A1-R4_MC03g04792	0.00529	0.00377	0.01405	0.01011	0.376509776
MvSl-1064-A1-R4_MC03g04794	0.72455	0.12339	1.11339	0.35954	0.650760232
MvSl-1064-A1-R4_MC03g04795	0.00001	0	0.01118	0.00118	0.000894446
MvSl-1064-A1-R4_MC03g04796	0.00149	0.00106	0.00002	0	74.12935323
MvSl-1064-A1-R4_MC03g04797	0	0.00162	0.00001	0.00381	0
MvSl-1064-A1-R4_MC03g04798	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04800	0.00341	0.00242	0.00003	0.0002	113.2890365
MvSl-1064-A1-R4_MC03g04801	0	0.00008	0.00002	0.00809	0
MvSl-1064-A1-R4_MC03g04802	0.00656	0.00177	0.00899	0.00244	0.72969155
MvSl-1064-A1-R4_MC03g04803	0.09604	0.02717	0.10268	0.05658	0.935332163
MvSl-1064-A1-R4_MC03g04804	0.00001	0	0.01256	0.0005	0.000796172
MvSl-1064-A1-R4_MC03g04809	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04810	0	0.00002	0.00001	0.00325	0
MvSl-1064-A1-R4_A1g00500	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04813	0	0.01253	0.00001	0.03186	0
MvSl-1064-A1-R4_MC03g04814	0.00136	0.00136	0.00001	0.00003	134.6534653
MvSl-1064-A1-R4_MC03g04816	0	0	0.00273	0.00015	0
MvSl-1064-A1-R4_MC03g04817	0	0.00583	0.00001	0.01417	0
MvSl-1064-A1-R4_MC03g04818	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04821	0.00001	0	0.00551	0	0.001814849
MvSl-1064-A1-R4_MC03g04823	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC03g04824	0	0.00314	0.00001	0.03208	0
