gene	dn	dnse	ds	dsse	dnds
MvSl-1064-A1-R4_MC01-1g01744	0.01027	0.00365	0.01704	0.00606	0.602695994
MvSl-1064-A1-R4_MC01-1g01748	0.00001	0	0.00512	0	0.001953087
MvSl-1064-A1-R4_MC01-1g01751	0.00191	0.00184	0.00993	0.00937	0.192344488
MvSl-1064-A1-R4_MC01-1g01754	0.00004	0	0.03552	0.00559	0.001126123
MvSl-1064-A1-R4_MC01-1g01755	0.01417	0.00719	0.02786	0.0286	0.508612675
MvSl-1064-A1-R4_MC01-1g01756	0.00325	0.00327	0.01234	0.01266	0.263369016
MvSl-1064-A1-R4_MC01-1g01757	0.00369	0.00369	0.04506	0.03214	0.081890631
MvSl-1064-A1-R4_MC01-1g01760	0.00004	0	0.04083	0.00366	0.000979669
MvSl-1064-A1-R4_MC01-1g01762	0.00413	0.00413	0.00004	0.0002	102.9925187
MvSl-1064-A1-R4_MC01-1g01763	0.00104	0.00074	0.00481	0.00241	0.216211721
MvSl-1064-A1-R4_MC01-1g01766	0.00001	0	0.00681	0.00043	0.001468407
MvSl-1064-A1-R4_A1g00151	0	0	0.00387	0	0
MvSl-1064-A1-R4_MC01-1g01767	0.29506	0.03232	0.56812	0.0856	0.519362015
MvSl-1064-A1-R4_MC01-1g01768	0.00273	0.00096	0.00472	0.00168	0.578377577
MvSl-1064-A1-R4_MC01-1g01769	0.00568	0.00402	0.00006	0.00027	94.50915141
MvSl-1064-A1-R4_MC01-1g01771	0.00472	0.00473	0.00005	0.00021	94.21157685
MvSl-1064-A1-R4_MC01-1g01773	0.00942	0.00668	0.0001	0.00063	94.10589411
MvSl-1064-A1-R4_MC01-1g01774	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC01-1g01775	0	0.00703	0.00001	0.01472	0
MvSl-1064-A1-R4_A1g00152	0.01119	0.00797	0.00011	0.00041	101.6348774
MvSl-1064-A1-R4_MC01-1g01777	0.00001	0	0	0	100
MvSl-1064-A1-R4_MC01-1g01782	0	0.00625	0.00001	0.01672	0
MvSl-1064-A1-R4_MC01-1g01783	0	0.0937	0.00001	0.18679	0
MvSl-1064-A1-R4_MC01-1g01788	0	0	0.00001	0	0
MvSl-1064-A1-R4_A1g00153	0.00254	0.0018	0.00003	0.00011	84.38538206
MvSl-1064-A1-R4_MC01-1g01789	0	0	0.00208	0.00063	0
MvSl-1064-A1-R4_MC01-1g01790	0.00424	0.00426	0.00004	0	105.7356608
MvSl-1064-A1-R4_MC01-1g01791	0	0	0	0	0
MvSl-1064-A1-R4_MC01-1g01792	0	0.00058	0.00001	0	0
MvSl-1064-A1-R4_MC01-1g01794	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC01-1g01796	0.01566	0.00644	0.00052	0.00022	30.10959431
MvSl-1064-A1-R4_MC01-1g01798	0.00313	0.00313	0.00003	0	103.986711
MvSl-1064-A1-R4_MC01-1g01799	0.00495	0.00497	0.00005	0.00005	98.80239521
MvSl-1064-A1-R4_A1g00017	0.64147	0.09044	1.23608	0.3286	0.518955042
MvSl-1064-A1-R4_A1g00154	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC01-1g01800	0.80636	0.09136	12.83326	17.93035	0.062833605
MvSl-1064-A1-R4_MC01-1g01801	0.00106	0.00075	0.00237	0.00167	0.447238513
MvSl-1064-A1-R4_MC01-1g01802	0.00051	0.00051	0.00298	0.00172	0.171135197
MvSl-1064-A1-R4_MC01-1g01803	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC01-1g01804	0.00168	0.00098	0.00514	0.00371	0.32684189
MvSl-1064-A1-R4_MC01-1g01805	0.00631	0.00451	0.00878	0.00896	0.71867063
MvSl-1064-A1-R4_MC01-1g01806	0.00165	0.00117	0.0017	0.0017	0.970531145
MvSl-1064-A1-R4_MC01-1g01807	0.00165	0.00166	0.01037	0.00741	0.159111291
MvSl-1064-A1-R4_MC01-1g01808	0.00494	0.00287	0.01008	0.00721	0.490074503
MvSl-1064-A1-R4_A1g00155	0.00197	0.00139	0.00205	0.00206	0.960928735
MvSl-1064-A1-R4_MC01-1g01811	0.00205	0.00205	0.00002	0.00012	101.9900498
