gida1	a1GC0	a1GC3	gencomp	youngold	DE	haploid
MvSl-1064-A1-R4_MC01-1g02046	59.43	66.04	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC13g11418	54.83	53.1	Auto	Auto	Down	A1
MvSl-1064-A1-R4_A1g01358	53.76	57.42	Black	OldStrata	Down	A1
MvSl-1064-A1-R4_MC01-1g02422	60.78	56.86	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC02g04206	55.78	69.22	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC06g07471	55.44	68.36	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC04-1g05801	53.49	63.95	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC07g07851	54.13	57.6	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC11g10231	52.48	53.47	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC04-1g05858	60.04	70.7	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC02g04109	52.54	55.93	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC09-2g09380	56.42	60.34	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC04-1g06041	58.02	65.43	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC13g11416	56.92	50.94	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC01-1g02753	56.41	53.85	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC02g03922	56.01	65.21	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC06g07191	55.98	69.76	Auto	Auto	Down	A1
MvSl-1064-A1-R4_A1g00112	57.41	62.96	Green	ColorStrata	Down	A1
MvSl-1064-A1-R4_MC06g07420	56.04	57.14	Auto	Auto	Down	A1
MvSl-1064-A1-R4_A1g01135	56.89	62.41	Black	OldStrata	Down	A1
MvSl-1064-A1-R4_MC07g07835	58.2	76.19	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC01-2g03005	56.25	63.78	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC09-2g09507	48.92	53.23	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC02g04224	56.63	66.82	Auto	Auto	Down	A1
MvSl-1064-A1-R4_A1g01432	60.32	71.43	Blue	OldStrata	Down	A1
MvSl-1064-A1-R4_MC05-1g06258	59.52	51.43	Auto	Auto	Down	A1
MvSl-1064-A1-R4_A1g00923	61.86	62.5	Black	OldStrata	Down	A1
MvSl-1064-A1-R4_MC10-1g09732	56.53	73.75	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC10-2g10125	51.72	56.82	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC10-2g09980	57.73	64.49	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC07g08078	54.64	61.65	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC11g10248	51.51	52.81	Auto	Auto	Down	A1
MvSl-1064-A1-R4_A1g01347	57.67	69.1	Black	OldStrata	Down	A1
MvSl-1064-A1-R4_MC13g11714	54.69	60.94	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC07g07592	56.17	57.41	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC08g08447	54.64	45.9	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC14g11772	59.49	63.29	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC10-2g09962	53.4	61.17	Auto	Auto	Down	A1
