gida1	a1GC0	a1GC3	gencomp	youngold	DE	haploid
MvSl-1064-A1-R4_MC12g11007	56.76	64.38	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC13g11521	61.46	72.61	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02499	60.04	71.43	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02671	53.98	59.66	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03292	58.86	54.56	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC10-1g09717	59.35	74.9	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03817	54.69	63.28	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03976	57.38	62.3	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g07883	55.38	62.69	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09071	58.23	68.35	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04611	56.35	66.87	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-2g03055	56.03	71.58	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC06g07377	63.38	67.76	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC04-1g05872	59.73	71.74	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC08g08842	55.84	64.21	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC11g10325	56.78	68.59	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC12g10946	57.89	61.88	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC13g11394	58.33	63.16	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC13g11557	55.45	65.35	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g01803	61.01	85.47	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g04018	55.41	68.57	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC04-1g05921	55.13	56.73	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC05-1g06188	57.86	72.73	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC06g07350	54.86	64.09	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC10-1g09614	58.17	66.67	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC08g08673	57.37	64.95	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09191	56.92	61.77	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02502	57.88	52.71	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC12g11023	56.22	61.9	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02125	63.48	75	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02135	57.28	61.17	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02282	56.48	62.96	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-2g03164	57.12	70.3	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC06g06993	52.73	62.61	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09316	57.53	68.52	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC12g11060	57.28	78.87	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC13g11502	63.37	70.37	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC08g08531	60.94	63.72	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09115	54.51	60.25	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g07929	60.43	76.69	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC15g12020	53.9	63.6	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02909	61.4	69.24	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC11g10690	54.62	70.59	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC11g10571	51.81	53.41	Auto	Auto	NON	A1
MvSl-1064-A1-R4_A1g01456	55.77	67.32	bPAR	bPAR	NON	A1
MvSl-1064-A1-R4_MC01-1g01963	55.3	67.05	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02307	55.81	65.75	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02383	56.9	58.62	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02466	61.42	62.55	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02518	58.5	64.71	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02697	61.11	77.78	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03633	53.45	72.41	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03659	56.85	77.23	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03829	57.87	65.35	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03832	54.57	75.11	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g04107	55.28	62.2	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04573	62.28	71.34	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04659	57.17	65.91	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04891	51.53	66.67	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04916	63.64	74.49	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC04-1g05490	60.34	71.76	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC04-1g05550	57.09	64.49	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC04-1g05723	57.29	71.53	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC04-1g06058	58.76	63.31	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC05-1g06202	57.63	66.81	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC05-1g06241	60.02	68.5	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC05-3g06652	55.49	61.9	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC05-3g06713	57.82	64.05	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC06g06869	55.89	68.69	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC06g06918	54.17	74.26	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC06g07339	57.06	65.34	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g07557	54.4	65.11	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g07763	56.19	70.82	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g07774	45.83	48.21	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g07820	54.59	60.25	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g07894	58.9	69.88	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g07937	52.16	61.07	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g08125	55.1	64.58	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC08g08343	57.59	70.09	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC08g08653	58.64	66.35	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC08g08764	55.07	64.53	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09060	58.31	73.59	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09227	60.13	67.32	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09309	57.03	68.82	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09488	50.51	52.53	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09495	55.5	60.09	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC10-1g09722	60.77	71.65	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC10-2g09927	56.06	59.73	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC10-2g09970	56.39	69.86	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC10-2g10034	56.96	61.08	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC10-2g10077	54.42	57.56	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC10-2g10104	58.91	66.3	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC11g10223	60.24	66.27	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC12g10977	54.57	67.35	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC13g11423	59.41	77.48	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC13g11450	56.74	64.49	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC13g11683	56.74	62.31	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC14g11973	51.9	50.79	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC15g12113	59.58	64.14	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g08968	52.83	57.71	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02644	53.3	66.84	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g08091	55.11	77.29	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC08g08609	58.17	67.45	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC11g10521	58.26	74.61	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02205	57.09	72.1	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02331	58.14	57.56	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04364	57.99	76.61	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC04-1g06012	57.13	64.77	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g07811	55.64	66.14	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09199	56.07	75.23	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09437	58.64	61.11	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09479	55.27	66.98	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC12g11265	57.08	68.69	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-2g03133	56.16	72.76	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04811	58.68	66.44	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC04-1g05534	56.6	63.49	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC05-3g06739	58.76	76.67	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC06g07367	56.92	73.85	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09138	54.92	65.38	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC13g11680	55.36	54.6	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g05172	55.78	57.14	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC06g07221	58.21	68.75	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g01808	56.87	67.61	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02649	55.29	60.42	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02737	59.77	70.69	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03189	57.88	67.51	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03544	59.12	72.49	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03831	56.15	64.36	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04464	52.97	59.59	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC06g07373	47.5	45	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g07902	59.45	77.18	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g08952	54.59	65.91	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09048	55.16	70.17	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09240	56.76	55.41	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC10-1g09776	51.87	52.41	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC11g10285	58.8	65.28	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC11g10478	61.83	69.5	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC11g10519	54.08	58.16	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC13g11659	54.11	62.68	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC15g12096	55.56	64.86	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC05-1g06189	58.4	62.06	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC12g11262	55.67	69.95	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02109	59.78	75.59	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03761	56.22	63.22	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04507	60.53	78.4	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09218	56.34	64.52	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC04-1g05867	53.25	56.66	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC11g10577	55.11	65.9	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09431	59.06	67.07	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03648	55.84	63.64	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC11g10389	57.05	60.77	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC06g07122	56.73	75	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02276	55.71	58.9	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC04-1g05537	51.62	55.56	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC04-1g05881	57.17	66.79	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC06g07462	57.63	63.38	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09030	59.06	77.17	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03859	50.78	62.62	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03780	52.69	58.68	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC11g10330	55.61	61.74	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g07833	58.53	67.43	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC06g07387	56.78	58.81	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g08055	56.45	57.79	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02683	56.17	76.54	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03759	57.75	60.76	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g08102	56.83	67.57	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02688	60.11	59.18	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04838	58.97	65.42	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC08g08670	53.65	63.7	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC14g11976	56.38	60.13	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC12g11253	53.82	56.94	Auto	Auto	NON	A1
MvSl-1064-A1-R4_A1g00030	52.3	56.1	bPAR	bPAR	NON	A1
MvSl-1064-A1-R4_A1g00109	64.02	64.44	Green	ColorStrata	NON	A1
MvSl-1064-A1-R4_MC01-1g01881	56.02	63.85	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02493	55.6	64.88	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02522	54.52	59.65	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-2g02976	56.59	67.11	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04511	54.12	67.63	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04522	55.17	64.97	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04870	61.23	74.09	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC04-1g05555	58.85	67.12	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC04-1g05781	55.4	66.34	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC05-2g06471	54.62	60.81	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC05-3g06613	57.75	63.43	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g07567	55.54	63.23	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g07654	55.78	78.89	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09056	56.93	66.67	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC11g10154	49.32	41.1	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC11g10548	59.36	64.93	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC11g10640	55.26	60.15	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC12g11176	56.95	68.21	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC13g11672	55.92	62.99	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC15g12026	54.48	64.67	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09419	55.89	71.05	Auto	Auto	NON	A1
MvSl-1064-A1-R4_A1g00175	58.18	62.78	Purple	OldStrata	NON	A1
MvSl-1064-A1-R4_MC03g04372	54.5	64.75	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04679	56.81	62.7	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g05031	56.91	65.28	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04672	58.43	61.24	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC04-1g05565	53.56	69.47	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC06g07340	60.53	76.41	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g07814	57.16	77.57	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC12g10770	54.98	59.48	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC05-2g06473	57.47	70	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g07585	58.11	57.52	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC10-2g09897	56.48	61.74	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g01870	59.58	75.75	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03261	57.82	65.52	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g04180	59.23	66.96	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC04-1g05923	51.02	62.24	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC04-1g06000	56.32	63.22	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC04-2g06101	53.03	68.18	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC05-3g06647	58.72	69.42	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC08g08624	58.52	73.3	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC08g08667	58.89	74.76	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC08g08803	49.94	56.23	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09015	55.66	65.05	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09141	61.26	72.91	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC12g10918	58.62	63.28	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC06g07359	53.57	75	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02286	59.19	70.4	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02332	57.5	68.11	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02558	62.96	81.7	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-2g03008	56.67	60	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC04-1g05313	54.53	56.21	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC05-3g06841	57.74	62.73	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g07675	55.01	62.84	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC12g10768	52.49	54.83	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02664	52.17	45.65	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC06g07132	57.21	65.5	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09399	57.51	78.38	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02475	60.53	59.09	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03909	57.83	82.44	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC04-1g05525	61.57	66.01	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC08g08257	60.25	71.41	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g01854	56	66.01	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02453	60	78.95	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03537	57.88	60.69	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03787	56.44	60.92	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03868	58.52	77.59	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04863	58.93	69.38	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04873	60.59	60.81	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g08165	54.98	61.23	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC05-3g06640	57.31	61.15	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g07725	56.92	70.63	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g08065	55.45	59.63	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g08061	56.36	63.92	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC12g11084	55.75	58.77	Auto	Auto	NON	A1
MvSl-1064-A1-R4_A1g01288	55.1	56.83	Black	OldStrata	NON	A1
MvSl-1064-A1-R4_MC01-1g02541	60.97	66.12	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03670	57.74	62.2	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03855	54.45	61.08	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g04009	54.44	60.87	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04306	58.08	66.36	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g05196	57.16	68.31	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC05-1g06191	55.14	61.65	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC05-1g06205	58.77	68.65	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC06g07091	60.51	67.56	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g08988	58.68	63.54	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09560	59.9	72.75	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC11g10462	53.79	60	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g05163	53.24	60.27	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC04-1g05870	57.97	71.64	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC11g10250	56.34	60.02	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g01885	60.52	62.8	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02101	57.69	62.82	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02157	56.69	74.18	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02245	58.14	50.58	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02261	55.94	63.58	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02474	58.95	64.06	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g02704	60.33	69.84	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-2g03129	49.65	57.27	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04599	61.7	68.9	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04633	58.41	74.73	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04673	61.28	72.68	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04774	57.99	66.8	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g05143	65.63	77.65	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g05227	53.45	58.92	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g05229	54.72	56.23	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC04-1g05830	56.31	70.45	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC05-3g06531	57.77	69.54	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC05-3g06693	55.05	66.67	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC06g07375	56.75	75	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g07566	56.59	67.39	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g07645	58.54	68.69	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g07723	57.35	62.56	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g07912	57.04	66.1	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g08151	55.29	67.47	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC07g08252	55.38	64.62	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC08g08436	55.56	55	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC08g08556	53.44	66.41	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC08g08720	56.55	65.08	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC08g08722	51.63	56.52	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC08g08824	56.64	65.94	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09076	55	63.6	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09292	53.64	57.62	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09352	57.32	60.68	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC09-2g09569	59.73	69.38	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC10-1g09699	56.81	68.51	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC11g10393	57.7	61.34	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC11g10498	54.18	62.03	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC12g11054	53.7	60.41	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC12g11135	71.9	67.97	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC12g11214	52.88	61.6	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC13g11564	58.67	66.67	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC13g11626	55.59	62.58	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC14g11750	59.49	75.75	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC14g11808	55.87	66.2	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC14g11992	60.17	66.04	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC01-1g01701	57.97	62.65	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC02g03568	58.46	64.34	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04547	55.75	78.76	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04551	56.2	71.53	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC03g04696	58.74	73.31	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC04-1g05918	63.3	68.69	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC05-3g06781	55.89	68.8	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC06g07128	57.9	65.94	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC06g07303	58.38	63.54	Auto	Auto	NON	A1
MvSl-1064-A1-R4_MC06g07327	56.68	76.65	Auto	Auto	NON	A1
