haploid	interval	numberofgenes
A1	fdownstream10K020K	1810
A2	fdownstream10K020K	1208
A1	ddownstream2K	604
A2	ddownstream2K	607
A1	edownstream2K-10K	1326
A2	edownstream2K-10K	1348
A1	cupstream10K020K	1161
A2	cupstream10K020K	1182
A1	aupstream2K	624
A2	aupstream2K	636
A1	bupstream2K-10K	1314
A2	bupstream2K-10K	1311
