target_id	est_counts	est_counts	tpm	tpm
MvSl-1064-A1-R4_A1g00029	81.8175	79.4565	8.24143	7.46552
MvSl-1064-A1-R4_A1g00030	925.707	1019.74	46.6442	48.5021
MvSl-1064-A1-R4_A1g00031	418	488	2.73296	3.15366
MvSl-1064-A1-R4_A1g00032	12238	13005	43.6565	45.9005
MvSl-1064-A1-R4_A1g00033	404	425	5.41501	5.61402
MvSl-1064-A1-R4_A1g00034	1	0	0.203773	0
MvSl-1064-A1-R4_A1g00035	710	815	5.63749	6.39321
MvSl-1064-A1-R4_A1g00036	748	788	5.48636	5.71124
MvSl-1064-A1-R4_A1g00037	554	504	2.05148	1.84645
MvSl-1064-A1-R4_A1g00038	1	3	0.0105535	0.0312516
MvSl-1064-A1-R4_A1g00039	5457	6199	17.6669	19.8584
MvSl-1064-A1-R4_A1g00040	36	44	0.22088	0.266871
MvSl-1064-A1-R4_A1g00041	0	2	0	0.522791
MvSl-1064-A1-R4_A1g00042	0	0	0	0
MvSl-1064-A1-R4_A1g00043	9	21	0.299026	0.669058
MvSl-1064-A1-R4_A1g00044	0	0	0	0
MvSl-1064-A1-R4_A1g00045	1	0	0.0104612	0
MvSl-1064-A1-R4_A1g00046	314	288	2.32758	2.10949
MvSl-1064-A1-R4_A1g00047	568	688	5.06774	6.06241
MvSl-1064-A1-R4_A1g00048	532	538	3.59052	3.58868
MvSl-1064-A1-R4_A1g00049	761	786	2.23935	2.28886
MvSl-1064-A1-R4_A1g00050	496	1064	0.950308	2.01806
MvSl-1064-A1-R4_A1g00051	2078	3157	16.0282	24.0591
MvSl-1064-A1-R4_A1g00052	33	42	2.0487	2.43463
MvSl-1064-A1-R4_A1g00053	1710	2032	11.1629	13.1112
MvSl-1064-A1-R4_A1g00054	86	108	0.52458	0.651236
MvSl-1064-A1-R4_A1g00055	750	602	5.71126	4.52948
MvSl-1064-A1-R4_A1g00056	5526	8632	23.5111	36.3281
MvSl-1064-A1-R4_A1g00057	384	529	38.9419	50.0849
MvSl-1064-A1-R4_A1g00058	29	40	3.98362	5.20217
MvSl-1064-A1-R4_A1g00059	131.957	234	30.0881	53.0274
MvSl-1064-A1-R4_A1g00060	183	102	1.25431	0.690946
MvSl-1064-A1-R4_A1g00061	2639	2793	35.0978	36.606
MvSl-1064-A1-R4_A1g00062	1195.34	1245.68	4.06983	4.19646
MvSl-1064-A1-R4_A1g00063	604	646	5.35468	5.65625
MvSl-1064-A1-R4_A1g00064	5029	5707	51.2011	57.3606
MvSl-1064-A1-R4_A1g00065	3216	3082	11.044	10.4721
MvSl-1064-A1-R4_A1g00066	4558.52	5330.63	101.034	114.87
MvSl-1064-A1-R4_A1g00067	49	42	0.219997	0.186511
MvSl-1064-A1-R4_A1g00068	34	33	0.230212	0.220834
MvSl-1064-A1-R4_A1g00069	1221	944	2.45988	1.88263
MvSl-1064-A1-R4_A1g00070	3237	3201	10.7971	10.5646
MvSl-1064-A1-R4_A1g00071	342	374	1.85133	2.00184
MvSl-1064-A1-R4_A1g00072	5191	3539	20.6772	13.9454
MvSl-1064-A1-R4_A1g00073	533	385	3.98626	2.84511
MvSl-1064-A1-R4_A1g00074	7463	12021	22.6868	36.1615
MvSl-1064-A1-R4_A1g00075	2	0	0.0106882	0
MvSl-1064-A1-R4_A1g00076	2411	2731	8.50287	9.52939
MvSl-1064-A1-R4_A1g00077	1703	1997	12.4582	14.4359
MvSl-1064-A1-R4_A1g00078	2962	4103	144.046	188.19
MvSl-1064-A1-R4_A1g00079	1754	1128	3.14257	2.00075
MvSl-1064-A1-R4_A1g00080	1365	1141	28.0511	22.8664
MvSl-1064-A1-R4_A1g00081	1735.81	1321.06	10.1444	7.63283
MvSl-1064-A1-R4_A1g00082	2	0	0.519663	0
MvSl-1064-A1-R4_A1g00083	1.02202	2.02334	0.00591503	0.0115775
MvSl-1064-A1-R4_A1g00084	1	1	0.0649258	0.0605238
MvSl-1064-A1-R4_A1g00085	0	0	0	0
MvSl-1064-A1-R4_A1g00086	5.53221	4.65051	0.0241389	0.0200712
MvSl-1064-A1-R4_A1g00087	419.108	440.342	0.3827	0.398178
MvSl-1064-A1-R4_A1g00088	95.194	103.082	1.28585	1.3726
MvSl-1064-A1-R4_A1g00089	0	0	0	0
MvSl-1064-A1-R4_A1g00090	0	0	0	0
MvSl-1064-A1-R4_A1g00091	0	1	0	0.0113593
MvSl-1064-A1-R4_A1g00092	116.852	100.927	1.03814	0.885571
MvSl-1064-A1-R4_A1g00093	100.805	57.0597	5.8883	3.12103
MvSl-1064-A1-R4_A1g00094	0	0	0	0
MvSl-1064-A1-R4_A1g00095	41.1687	76.6547	0.552635	1.01418
MvSl-1064-A1-R4_A1g00096	0	0	0	0
MvSl-1064-A1-R4_A1g00097	10.7945	10.4635	0.108973	0.104283
MvSl-1064-A1-R4_A1g00098	0	0	0	0
MvSl-1064-A1-R4_A1g00099	189.933	148.063	0.584597	0.450966
MvSl-1064-A1-R4_A1g00100	32.9124	47.5321	5.47869	7.498
MvSl-1064-A1-R4_A1g00101	78	81	6.37861	6.13409
MvSl-1064-A1-R4_A1g00102	42.0906	33.0929	0.290157	0.22546
MvSl-1064-A1-R4_A1g00103	21.1714	18.5803	0.0826402	0.0717489
MvSl-1064-A1-R4_A1g00104	3.18373	0	0.655487	0
MvSl-1064-A1-R4_A1g00105	0	0	0	0
MvSl-1064-A1-R4_A1g00106	32.3343	37.4616	0.213072	0.243995
MvSl-1064-A1-R4_A1g00107	75.9946	70.3345	0.320882	0.293769
MvSl-1064-A1-R4_A1g00108	546	779	183.526	267.846
MvSl-1064-A1-R4_A1g00109	2188	3142	34.6039	48.8328
MvSl-1064-A1-R4_A1g00110	5446	4950	17.2639	15.5272
MvSl-1064-A1-R4_A1g00111	1	1	0.250654	0.251688
MvSl-1064-A1-R4_A1g00112	115.276	65.8166	3.16789	1.75754
MvSl-1064-A1-R4_A1g00113	5284	4276	17.4373	13.9625
MvSl-1064-A1-R4_A1g00114	519.883	744.758	10.1423	14.18
MvSl-1064-A1-R4_A1g00115	119.573	126.559	0.483192	0.505918
MvSl-1064-A1-R4_A1g00116	0	0	0	0
MvSl-1064-A1-R4_A1g00117	27.3236	32.6825	0.541674	0.631786
MvSl-1064-A1-R4_A1g00118	277.664	306.344	4.67568	5.05883
MvSl-1064-A1-R4_A1g00119	23	20.7843	8.14571	7.46
