target_id	est_counts	est_counts	mean_oldcounts	tpm	tpm	target_id	est_counts	est_counts	mean_newcounts	tpm	tpm	ratio_a2_oldnew
MvSl-1064-A2-R4_MC06-2g07360	19.5817	10.6977	15.1397	0.107638	0.182788	MvSl-1064-A2-R4_MC06-2g07360	0	0	0	0	0	151397000
MvSl-1064-A2-R4_MC04-1g05779	16.9497	13.2978	15.12375	1.39241	1.64434	MvSl-1064-A2-R4_MC04-1g05779	0	0	0	0	0	151237500
MvSl-1064-A2-R4_MC08-2g09081	14.448	15.7454	15.0967	3.94813	3.45506	MvSl-1064-A2-R4_MC08-2g09081	0	0	0	0	0	150967000
MvSl-1064-A2-R4_A2g00043	22	6.06395	14.031975	0.414449	1.39905	MvSl-1064-A2-R4_A2g00043	0	0	0	0	0	140319750
MvSl-1064-A2-R4_MC03g04549	16	9.19234	12.59617	0.350314	0.565398	MvSl-1064-A2-R4_MC03g04549	0	0	0	0	0	125961700
MvSl-1064-A2-R4_MC16g12455	15.6862	7.70657	11.696385	0.0284274	0.053662	MvSl-1064-A2-R4_MC16g12455	0	0	0	0	0	116963850
MvSl-1064-A2-R4_MC04-1g05684	17.8428	4.30958	11.07619	0.0163396	0.0627398	MvSl-1064-A2-R4_MC04-1g05684	0	0	0	0	0	110761900
MvSl-1064-A2-R4_MC02g03704	19.6227	0.0467434	9.8347217	0.000331399	0.129045	MvSl-1064-A2-R4_MC02g03704	0	0	0	0	0	98347217
MvSl-1064-A2-R4_MC04-1g06094	7.05508	12.0818	9.56844	0.295226	0.160056	MvSl-1064-A2-R4_MC04-1g06094	0	0	0	0	0	95684400
MvSl-1064-A2-R4_A2g00557	2.91747	15.8756	9.396535	7.00123	1.25738	MvSl-1064-A2-R4_A2g00557	0	0	0	0	0	93965350
MvSl-1064-A2-R4_C35g01965	12.7004	6.00499	9.352695	0.0679549	0.133344	MvSl-1064-A2-R4_C35g01965	0	0	0	0	0	93526950
MvSl-1064-A2-R4_A2g00310	9.41674	8.61558	9.01616	1.4295	1.45268	MvSl-1064-A2-R4_A2g00310	0	0	0	0	0	90161600
MvSl-1064-A2-R4_A2g01474	9.50897	7.57147	8.54022	1.54819	1.82848	MvSl-1064-A2-R4_A2g01474	0	0	0	0	0	85402200
MvSl-1064-A2-R4_MC11g10514	8	8	8	1.38096	1.29022	MvSl-1064-A2-R4_MC11g10514	0	0	0	0	0	80000000
MvSl-1064-A2-R4_MC02g03715	0	15.9348	7.9674	0.0514842	0	MvSl-1064-A2-R4_MC02g03715	0	0	0	0	0	79674000
MvSl-1064-A2-R4_A2g01523	11	4	7.5	0.24215	0.619183	MvSl-1064-A2-R4_A2g01523	0	0	0	0	0	75000000
MvSl-1064-A2-R4_MC01g03224	0	14.6422	7.3211	0.0619021	0	MvSl-1064-A2-R4_MC01g03224	0	0	0	0	0	73211000
MvSl-1064-A2-R4_MC03g05319	5	7	6	1.85755	1.2675	MvSl-1064-A2-R4_MC03g05319	0	0	0	0	0	60000000
MvSl-1064-A2-R4_MC09g09810	0	11.5383	5.76915	2.51917	0	MvSl-1064-A2-R4_MC09g09810	0	0	0	0	0	57691500
MvSl-1064-A2-R4_A2g01290	4.6695	6.828	5.74875	0.284992	0.180825	MvSl-1064-A2-R4_A2g01290	0	0	0	0	0	57487500
MvSl-1064-A2-R4_MC05g06556	5.0305	6.01611	5.523305	0.0578354	0.0448639	MvSl-1064-A2-R4_MC05g06556	0	0	0	0	0	55233050
MvSl-1064-A2-R4_MC03g05288	8	3	5.5	1.08616	2.82259	MvSl-1064-A2-R4_MC03g05288	0	0	0	0	0	55000000
MvSl-1064-A2-R4_MC04-1g06104	5.13881	3.22819	4.1835	0.926329	1.40256	MvSl-1064-A2-R4_MC04-1g06104	0	0	0	0	0	41835000
MvSl-1064-A2-R4_A2g01334	5.74541	2.31953	4.03247	0.0183219	0.0420978	MvSl-1064-A2-R4_A2g01334	0	0	0	0	0	40324700
MvSl-1064-A2-R4_A2g00861	1.13171	6.79789	3.9648	1.23072	0.191852	MvSl-1064-A2-R4_A2g00861	0	0	0	0	0	39648000
MvSl-1064-A2-R4_A2g00354	7.21964	0	3.60982	0	3.11154	MvSl-1064-A2-R4_A2g00354	0	0	0	0	0	36098200
MvSl-1064-A2-R4_MC13g11692	4.44183	2.46369	3.45276	0.210939	0.35442	MvSl-1064-A2-R4_MC13g11692	0	0	0	0	0	34527600
