gida1	part8	youngold	genea10k	up5k	upk10	upk15	upk20	down5k	down10k	down15k	down20k	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	DE2	gida2	genea20k	a2up5k	a2upk10	a2upk15	a2upk20	a2down5k	a2down10k	a2down15k	a2down20k	genediff	upk5diff	upk10diff	upk15diff	upk20diff	down5kdiff	down10kdiff	down15kdiff	down20kdiff
MvSl-1064-A1-R4_MC09-2g09305	Auto	Auto	0	0	0	0	0	0	0	0	0	6.140001748	-0.54908348	0.54908348	0.004474868	0.061603289	5.847298243	5.833430928	6.327455288	6.447540793	NON	NON	MvSl-1064-A2-R4_MC09g09579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC10-1g09687	Auto	Auto	0	0	0	2	0	0	0	0	0	7.083623487	-0.597946206	0.597946206	0.00454569	0.062477657	6.608861841	6.886600473	7.53606172	7.140685984	NON	NON	MvSl-1064-A2-R4_MC10g09954	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC07g07914	Auto	Auto	0	0	0	0	0	0	0	0	0	5.979323618	0.566862956	0.566862956	0.004562555	0.062608796	6.295662775	6.170034107	5.581483167	5.750181769	NON	NON	MvSl-1064-A2-R4_MC07g08179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC12g10991	Auto	Auto	0	1	0	0	0	0	0	0	0	3.552932194	0.83858007	0.83858007	0.004605042	0.063090557	3.989727087	3.817143577	3.032075479	3.116054044	NON	NON	MvSl-1064-A2-R4_MC12g11254	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC03g04646	Auto	Auto	0	0	0	0	0	0	0	0	0	7.751062459	-0.679398139	0.679398139	0.004638321	0.063444815	7.176221762	7.544538223	8.265588623	7.79921513	NON	NON	MvSl-1064-A2-R4_MC03g04924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC15g12117	Auto	Auto	0	0	0	0	0	0	0	0	0	7.243722734	-0.587897058	0.587897058	0.004805371	0.065208122	6.84247471	6.994494557	7.674620445	7.319517218	NON	NON	MvSl-1064-A2-R4_MC15g12366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC02g03973	Auto	Auto	0	0	0	0	0	0	0	0	0	5.920458702	0.650272126	0.650272126	0.005031423	0.067844844	6.279953945	6.132736737	5.239760957	5.820582721	NON	NON	MvSl-1064-A2-R4_MC02g04251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC10-1g09736	Auto	Auto	0	4	2	0	0	0	0	0	0	0.334562845	-1.577093422	1.577093422	0.0051132	0.068730734	-0.688158539	-0.395107576	1.435736964	0.049071526	NON	NON	MvSl-1064-A2-R4_MC10g10003	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC13g11509	Auto	Auto	0	0	0	0	0	0	0	0	0	6.913313769	-0.521241421	0.521241421	0.005428635	0.072514682	6.551135846	6.704352596	7.200840825	7.098516148	NON	NON	MvSl-1064-A2-R4_MC13g11770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC01-1g02646	Auto	Auto	0	0	0	0	0	0	0	0	0	5.300529457	0.765555351	0.765555351	0.005458701	0.072529944	5.819797733	5.414469147	4.473265867	5.177559575	NON	NON	MvSl-1064-A2-R4_MC01g02928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
