genea1	dNa1	dNa1se	dSa1	dSa1se	dNdSa1	chr	chrom	DE	a1expmean	haploid
MvSl-1064-A2-R4_MC11g10596	0.01473	0.00665	0.01824	0.01065	0.807522	aAutosome	aAutosome	Down	7.46728	A2
MvSl-1064-A2-R4_MC11g10631	0.00323	0.00229	0.00003	0.00018	104.194	aAutosome	aAutosome	Down	5.61825	A2
MvSl-1064-A2-R4_MC11g10770	0.00124	0.00124	0.00001	0.00005	112.727	aAutosome	aAutosome	Down	2.64511	A2
MvSl-1064-A2-R4_MC11g10779	0.00595	0.00299	0.02685	0.01026	0.221593	aAutosome	aAutosome	Down	7.0963	A2
MvSl-1064-A2-R4_MC12g11055	0.00385	0.00271	0.00429	0.00423	0.897227	aAutosome	aAutosome	Down	9.18344	A2
MvSl-1064-A2-R4_MC12g11375	0.00004	0	0.0441	0.00478	0.000907009	aAutosome	aAutosome	Down	10.609	A2
MvSl-1064-A2-R4_MC13g11704	0.00235	0.00166	0.00596	0.00421	0.394229	aAutosome	aAutosome	Down	7.42547	A2
MvSl-1064-A2-R4_MC13g11877	0.00382	0.00382	0.01489	0.01062	0.256531	aAutosome	aAutosome	Down	7.06375	A2
MvSl-1064-A2-R4_MC13g11953	0.00428	0.00422	0.01339	0.01322	0.319618	aAutosome	aAutosome	Down	5.59182	A2
MvSl-1064-A2-R4_MC14g12036	0.00499	0.00289	0.01404	0.00815	0.355388	aAutosome	aAutosome	Down	5.05375	A2
MvSl-1064-A2-R4_MC14g12066	0.02072	0.00674	0.05953	0.02168	0.348054	aAutosome	aAutosome	Down	6.34731	A2
MvSl-1064-A2-R4_MC14g12223	0.02045	0.0092	0.0093	0.0093	2.19869	aAutosome	aAutosome	Down	4.39534	A2
MvSl-1064-A1-R4_MC01-1g01703	0.00451	0.00226	0.00005	0.00014	90.02	aAutosome	aAutosome	NON	5.08718	A1
MvSl-1064-A1-R4_MC01-1g01705	0.00535	0.00309	0.01055	0.0061	0.507104	aAutosome	aAutosome	NON	4.4233	A1
MvSl-1064-A1-R4_MC01-1g01708	0.00147	0.00147	0.00852	0.00494	0.172533	aAutosome	aAutosome	NON	7.5623	A1
MvSl-1064-A1-R4_MC01-1g01726	0.00953	0.00266	0.00791	0.00356	1.20479	aAutosome	aAutosome	NON	6.74847	A1
MvSl-1064-A1-R4_MC01-1g01730	0.0036	0.0036	0.02524	0.0148	0.14263	aAutosome	aAutosome	NON	4.79476	A1
MvSl-1064-A1-R4_MC01-1g01731	0.00122	0.00086	0.01272	0.00574	0.0959112	aAutosome	aAutosome	NON	10.4914	A1
MvSl-1064-A1-R4_MC01-1g01734	0.00459	0.00229	0.00601	0.00422	0.763714	aAutosome	aAutosome	NON	4.0037	A1
MvSl-1064-A1-R4_MC01-1g01743	0	0.01762	0.00001	0.03563	0	aAutosome	aAutosome	NON	6.14839	A1
MvSl-1064-A1-R4_MC01-1g01748	0.00829	0.00477	0.00533	0.00523	1.55532	aAutosome	aAutosome	NON	4.87456	A1
