genea1	dNa1	dNa1se	dSa1	dSa1se	dNdSa1	chr	chrom	DE	a1expmean	haploid
MvSl-1064-A1-R4_MC02g03618	0.00001	0	0.00725	0	0.00137929	aAutosome	aAutosome	NON	6.90011	A1
MvSl-1064-A1-R4_MC02g03621	0	0.01367	0.00001	0.02883	0	aAutosome	aAutosome	NON	8.00332	A1
MvSl-1064-A1-R4_MC02g03624	0.67429	0.14207	1.3642	0.7408	0.494275	aAutosome	aAutosome	NON	4.00024	A1
MvSl-1064-A1-R4_MC02g03625	0.00206	0.00207	0.0145	0.01037	0.142068	aAutosome	aAutosome	NON	7.7635	A1
MvSl-1064-A1-R4_MC02g03627	0.00737	0.00315	0.00782	0.00374	0.942443	aAutosome	aAutosome	NON	4.73064	A1
MvSl-1064-A1-R4_MC02g03631	0.00996	0.00578	0.0001	0	99.5005	aAutosome	aAutosome	NON	4.62975	A1
MvSl-1064-A1-R4_MC02g03634	0.00001	0	0.00538	0	0.0018587	aAutosome	aAutosome	NON	6.47384	A1
MvSl-1064-A1-R4_MC02g03635	0.00202	0.00202	0.01227	0.00874	0.164628	aAutosome	aAutosome	NON	6.46601	A1
MvSl-1064-A1-R4_MC02g03636	0	0	0.00001	0	0	aAutosome	aAutosome	NON	5.61978	A1
MvSl-1064-A1-R4_MC02g03639	0.00078	0.00077	0.00225	0.00224	0.346651	aAutosome	aAutosome	NON	4.60003	A1
MvSl-1064-A1-R4_MC02g03640	0.00843	0.00419	0.0042	0.00406	2.0071	aAutosome	aAutosome	NON	4.80392	A1
MvSl-1064-A1-R4_MC02g03641	0	0.00004	0.00002	0.00548	0	aAutosome	aAutosome	NON	4.52208	A1
MvSl-1064-A1-R4_MC02g03645	0.00374	0.00375	0.00004	0.00012	93.2668	aAutosome	aAutosome	NON	6.62078	A1
MvSl-1064-A1-R4_MC02g03650	0.00986	0.00701	0.00958	0.00961	1.02922	aAutosome	aAutosome	NON	6.89169	A1
MvSl-1064-A1-R4_MC02g03652	0.00346	0.00346	0.00003	0.00015	114.95	aAutosome	aAutosome	NON	2.99707	A1
MvSl-1064-A1-R4_MC02g03654	0.00366	0.00361	0.017	0.01679	0.215293	aAutosome	aAutosome	NON	2.34321	A1
MvSl-1064-A1-R4_MC02g03671	0.0095	0.00287	0.00544	0.00311	1.74629	aAutosome	aAutosome	NON	5.13888	A1
MvSl-1064-A1-R4_MC02g03672	0.00593	0.00346	0.00006	0.00062	98.6689	aAutosome	aAutosome	NON	3.27938	A1
MvSl-1064-A1-R4_MC02g03673	0.01078	0.00541	0.0177	0.01253	0.609036	aAutosome	aAutosome	NON	0.835914	A1
MvSl-1064-A1-R4_MC02g03687	0.00353	0.00204	0.00738	0.00524	0.478313	aAutosome	aAutosome	NON	4.30802	A1
MvSl-1064-A1-R4_MC02g03689	0.00346	0.00346	0.00003	0.0001	114.95	aAutosome	aAutosome	NON	6.10177	A1
MvSl-1064-A1-R4_MC02g03691	0.00254	0.00254	0.01518	0.00882	0.167324	aAutosome	aAutosome	NON	5.04827	A1
MvSl-1064-A1-R4_MC02g03694	0.00357	0.00253	0.01058	0.00614	0.337426	aAutosome	aAutosome	NON	4.67877	A1
MvSl-1064-A1-R4_MC02g03695	0.01738	0.00662	0.00511	0.00517	3.40111	aAutosome	aAutosome	NON	6.54747	A1
MvSl-1064-A1-R4_MC02g03696	0.00197	0.00197	0.00002	0.00007	98.01	aAutosome	aAutosome	NON	6.27284	A1
MvSl-1064-A1-R4_MC02g03697	0.00342	0.00153	0.002	0.00197	1.70991	aAutosome	aAutosome	NON	6.45815	A1
MvSl-1064-A1-R4_MC02g03700	0.00268	0.0019	0.01108	0.00643	0.241875	aAutosome	aAutosome	NON	6.37417	A1
MvSl-1064-A1-R4_MC02g03703	0.00347	0.00174	0.0024	0.0012	1.44577	aAutosome	aAutosome	NON	4.28819	A1
MvSl-1064-A1-R4_MC02g03704	0.00678	0.00297	0.01263	0.00616	0.536813	aAutosome	aAutosome	NON	7.89575	A1
MvSl-1064-A1-R4_MC02g03706	0.00641	0.00322	0.01492	0.00752	0.429622	aAutosome	aAutosome	NON	2.15801	A1
MvSl-1064-A1-R4_MC02g03708	0.00428	0.0043	0.00985	0.00991	0.434513	aAutosome	aAutosome	NON	2.43213	A1
MvSl-1064-A1-R4_MC02g03710	0.00394	0.00229	0.00969	0.00564	0.406601	aAutosome	aAutosome	NON	4.24332	A1
MvSl-1064-A1-R4_MC02g03713	0.00311	0.00306	0.01044	0.01017	0.29789	aAutosome	aAutosome	NON	5.06035	A1
MvSl-1064-A1-R4_MC02g03718	0.0044	0.00255	0.00666	0.00473	0.660651	aAutosome	aAutosome	NON	4.38238	A1
MvSl-1064-A1-R4_MC02g03722	0.00719	0.00511	0.01798	0.01283	0.399887	aAutosome	aAutosome	NON	8.13799	A1
MvSl-1064-A1-R4_MC02g03730	0	0	0.00001	0	0	aAutosome	aAutosome	NON	4.40663	A1
MvSl-1064-A1-R4_MC02g03732	0	0.00005	0.00001	0	0	aAutosome	aAutosome	NON	1.46854	A1
MvSl-1064-A1-R4_MC02g03733	0.00648	0.00376	0.01253	0.0073	0.517155	aAutosome	aAutosome	NON	5.03584	A1
MvSl-1064-A1-R4_MC02g03738	0.00356	0.00254	0.01431	0.00837	0.248775	aAutosome	aAutosome	NON	6.96024	A1
MvSl-1064-A1-R4_MC02g03742	0.00465	0.00231	0.00302	0.00293	1.53968	aAutosome	aAutosome	NON	6.60964	A1
MvSl-1064-A1-R4_MC02g03746	0.00786	0.00557	0.00937	0.00937	0.838838	aAutosome	aAutosome	NON	5.95546	A1
MvSl-1064-A1-R4_MC02g03747	0.01339	0.00673	0.00014	0.00066	95.5746	aAutosome	aAutosome	NON	4.69566	A1
MvSl-1064-A1-R4_MC02g03748	0.00604	0.0035	0.01137	0.00813	0.531218	aAutosome	aAutosome	NON	6.56315	A1
MvSl-1064-A1-R4_MC02g03751	0.00701	0.00351	0.00339	0.00337	2.06779	aAutosome	aAutosome	NON	5.84552	A1
MvSl-1064-A1-R4_MC02g03753	0.00355	0.00356	0.02152	0.01543	0.164962	aAutosome	aAutosome	NON	6.6905	A1
MvSl-1064-A1-R4_MC02g03756	0.0032	0.00319	0.00003	0.00017	106.312	aAutosome	aAutosome	NON	6.92494	A1
MvSl-1064-A1-R4_MC02g03757	0.00445	0.00315	0.00743	0.00526	0.598915	aAutosome	aAutosome	NON	4.05875	A1
MvSl-1064-A1-R4_MC02g03760	0.00264	0.00264	0.0085	0.00853	0.310585	aAutosome	aAutosome	NON	3.64416	A1
MvSl-1064-A1-R4_MC02g03761	0.00235	0.00228	0.01949	0.01123	0.120574	aAutosome	aAutosome	NON	6.56539	A1
MvSl-1064-A1-R4_MC02g03769	0	0	0.005	0	0	aAutosome	aAutosome	NON	6.60687	A1
MvSl-1064-A1-R4_MC02g03770	0.01421	0.00539	0.01496	0.00751	0.94986	aAutosome	aAutosome	NON	7.33559	A1
MvSl-1064-A1-R4_MC02g03777	0.00129	0.00131	0.00265	0.00267	0.486774	aAutosome	aAutosome	NON	7.46847	A1
MvSl-1064-A1-R4_MC02g03782	0.00001	0	0.01243	0.00333	0.000804499	aAutosome	aAutosome	NON	5.45397	A1
MvSl-1064-A1-R4_MC02g03783	0.00279	0.00196	0.00387	0.00382	0.720912	aAutosome	aAutosome	NON	7.51407	A1
MvSl-1064-A1-R4_MC02g03785	0.00933	0.0047	0.01286	0.0092	0.7255	aAutosome	aAutosome	NON	4.83145	A1
MvSl-1064-A1-R4_MC02g03787	0.00548	0.00389	0.00984	0.00701	0.556905	aAutosome	aAutosome	NON	7.47932	A1
MvSl-1064-A1-R4_MC02g03790	0.00542	0.00385	0.0111	0.00791	0.488284	aAutosome	aAutosome	NON	5.55086	A1
MvSl-1064-A1-R4_MC02g03791	0.00782	0.00454	0.00535	0.00539	1.46165	aAutosome	aAutosome	NON	7.7522	A1
MvSl-1064-A1-R4_MC02g03795	0.00464	0.00462	0.00883	0.00881	0.525475	aAutosome	aAutosome	NON	5.26254	A1
MvSl-1064-A1-R4_MC02g03796	0.0076	0.0034	0.00784	0.00551	0.969375	aAutosome	aAutosome	NON	5.73814	A1
MvSl-1064-A1-R4_MC02g03809	0	0	0.00001	0	0	aAutosome	aAutosome	NON	6.69732	A1
MvSl-1064-A1-R4_MC02g03810	0.00611	0.00304	0.00505	0.00495	1.20988	aAutosome	aAutosome	NON	6.2989	A1
MvSl-1064-A1-R4_MC02g03811	0	0	0.00001	0	0	aAutosome	aAutosome	NON	7.27726	A1
MvSl-1064-A1-R4_MC02g03813	0.0082	0.00212	0.00464	0.00232	1.7672	aAutosome	aAutosome	NON	4.75663	A1
MvSl-1064-A1-R4_MC02g03814	0.00002	0	0.01921	0.00134	0.00104112	aAutosome	aAutosome	NON	3.26668	A1
MvSl-1064-A1-R4_MC02g03815	0.00173	0.00175	0.01152	0.00671	0.150172	aAutosome	aAutosome	NON	4.18564	A1
MvSl-1064-A1-R4_MC02g03823	0.00001	0	0.00733	0	0.00136424	aAutosome	aAutosome	NON	6.33394	A1
MvSl-1064-A1-R4_MC02g03826	0.00981	0.00569	0.0001	0.00032	98.002	aAutosome	aAutosome	NON	5.59618	A1
MvSl-1064-A1-R4_MC02g03828	0.01508	0.00571	0.0063	0.00617	2.39361	aAutosome	aAutosome	NON	2.73446	A1
MvSl-1064-A1-R4_MC02g03830	0.00399	0.00246	0.00757	0.00542	0.527074	aAutosome	aAutosome	NON	3.24725	A1
MvSl-1064-A1-R4_MC02g03836	0.00365	0.00164	0.00642	0.00289	0.568527	aAutosome	aAutosome	NON	6.62494	A1
MvSl-1064-A1-R4_MC02g03839	0.00755	0.00337	0.00333	0.00326	2.2672	aAutosome	aAutosome	NON	4.43471	A1
MvSl-1064-A1-R4_MC02g03849	0.00001	0	0.01442	0.00098	0.000693476	aAutosome	aAutosome	NON	9.26545	A1
MvSl-1064-A1-R4_MC02g03852	0.01145	0.00406	0.01184	0.00592	0.967053	aAutosome	aAutosome	NON	2.35031	A1
MvSl-1064-A1-R4_MC02g03853	0	0	0	0	0	aAutosome	aAutosome	NON	7.22714	A1
MvSl-1064-A1-R4_MC02g03876	0.00001	0	0.00666	0.00029	0.00150148	aAutosome	aAutosome	NON	2.61959	A1
MvSl-1064-A1-R4_MC02g03877	0.00746	0.00551	0.00008	0.00531	93.1336	aAutosome	aAutosome	NON	5.35721	A1
MvSl-1064-A1-R4_MC02g03883	0.00513	0.00516	0.00005	0.00045	102.395	aAutosome	aAutosome	NON	0.46785	A1
MvSl-1064-A1-R4_MC02g03896	0	0.00003	0.00001	0.00012	0	aAutosome	aAutosome	NON	4.31166	A1
MvSl-1064-A1-R4_MC02g03897	0.00001	0.00008	0.00751	0.00736	0.00133154	aAutosome	aAutosome	NON	7.01414	A1
MvSl-1064-A1-R4_MC02g03905	0.00499	0.005	0.0095	0.00954	0.525258	aAutosome	aAutosome	NON	8.66441	A1
MvSl-1064-A1-R4_MC02g03906	0.00296	0.00298	0.00641	0.00648	0.461771	aAutosome	aAutosome	NON	6.51459	A1
MvSl-1064-A1-R4_MC02g03910	0.00117	0.00117	0.01585	0.00715	0.0738166	aAutosome	aAutosome	NON	6.76646	A1
MvSl-1064-A1-R4_MC02g03911	0.00198	0.00199	0.01284	0.00914	0.154204	aAutosome	aAutosome	NON	5.54294	A1
MvSl-1064-A1-R4_MC02g03912	0	0	0.00001	0	0	aAutosome	aAutosome	NON	6.32287	A1
MvSl-1064-A1-R4_MC02g03913	0.00918	0.00655	0.00009	0.00037	101.887	aAutosome	aAutosome	NON	5.52757	A1
MvSl-1064-A1-R4_MC02g03915	0.00558	0.00395	0.00459	0.00458	1.21566	aAutosome	aAutosome	NON	2.92053	A1
MvSl-1064-A1-R4_MC02g03918	0.00339	0.00196	0.00003	0.00009	112.625	aAutosome	aAutosome	NON	6.83728	A1
MvSl-1064-A1-R4_MC02g03919	0.0031	0.00221	0.0331	0.0151	0.0936553	aAutosome	aAutosome	NON	6.9984	A1
MvSl-1064-A1-R4_MC02g03920	0.00001	0	0.01029	0	0.000971808	aAutosome	aAutosome	NON	6.85676	A1
MvSl-1064-A1-R4_MC02g03921	0.01264	0.00571	0.03029	0.01375	0.417298	aAutosome	aAutosome	NON	4.36955	A1
MvSl-1064-A1-R4_MC02g03926	0.00273	0.00194	0.01275	0.00742	0.214116	aAutosome	aAutosome	NON	7.10104	A1
MvSl-1064-A1-R4_MC02g03928	0.00324	0.0023	0.01099	0.00637	0.294811	aAutosome	aAutosome	NON	2.90605	A1
MvSl-1064-A1-R4_MC02g03932	0.00302	0.00303	0.01247	0.00889	0.242179	aAutosome	aAutosome	NON	4.11328	A1
MvSl-1064-A1-R4_MC02g03937	0.00001	0	0.01281	0.00309	0.000780634	aAutosome	aAutosome	NON	7.12363	A1
MvSl-1064-A1-R4_MC02g03938	0.01156	0.00582	0.02375	0.01201	0.486735	aAutosome	aAutosome	NON	0.654785	A1
MvSl-1064-A1-R4_MC02g03944	0.00312	0.00312	0.00003	0.00012	103.654	aAutosome	aAutosome	NON	6.12542	A1
MvSl-1064-A1-R4_MC02g03954	0.01019	0.0051	0.00711	0.00701	1.43317	aAutosome	aAutosome	NON	6.01594	A1
MvSl-1064-A1-R4_MC02g03955	0.00424	0.003	0.0042	0.0042	1.0095	aAutosome	aAutosome	NON	6.98985	A1
MvSl-1064-A1-R4_MC02g03957	0.01141	0.00383	0.01376	0.00622	0.829209	aAutosome	aAutosome	NON	3.70779	A1
MvSl-1064-A1-R4_MC02g03959	0	0	0.00001	0	0	aAutosome	aAutosome	NON	4.0974	A1
MvSl-1064-A1-R4_MC02g03961	0.00636	0.00453	0.01415	0.01011	0.449467	aAutosome	aAutosome	NON	6.16935	A1
MvSl-1064-A1-R4_MC02g03963	0.00319	0.00185	0.01071	0.00624	0.29785	aAutosome	aAutosome	NON	4.86491	A1
MvSl-1064-A1-R4_MC02g03965	0.00001	0	0.01316	0.00103	0.000759873	aAutosome	aAutosome	NON	6.15595	A1
MvSl-1064-A1-R4_MC02g03970	0.00443	0.00157	0.01449	0.00487	0.305726	aAutosome	aAutosome	NON	4.98685	A1
MvSl-1064-A1-R4_MC02g03976	0	0	0.00001	0	0	aAutosome	aAutosome	NON	4.90202	A1
MvSl-1064-A1-R4_MC02g03980	0.00192	0.00193	0.01031	0.006	0.186225	aAutosome	aAutosome	NON	5.44884	A1
MvSl-1064-A1-R4_MC02g03981	0.00309	0.00265	0.01888	0.00574	0.163664	aAutosome	aAutosome	NON	5.1743	A1
MvSl-1064-A1-R4_MC02g03982	0	0	0.00001	0	0	aAutosome	aAutosome	NON	2.70668	A1
MvSl-1064-A1-R4_MC02g03984	0.00432	0.00306	0.01957	0.00988	0.220745	aAutosome	aAutosome	NON	4.69503	A1
MvSl-1064-A1-R4_MC02g03985	0.00607	0.00303	0.00348	0.00341	1.7442	aAutosome	aAutosome	NON	5.6578	A1
MvSl-1064-A1-R4_MC02g03986	0.00227	0.00161	0.01321	0.0077	0.171838	aAutosome	aAutosome	NON	8.6404	A1
MvSl-1064-A1-R4_MC02g03987	0.00088	0.00088	0.00627	0.00444	0.140349	aAutosome	aAutosome	NON	6.63139	A1
MvSl-1064-A1-R4_MC02g03991	0.00388	0.00389	0.06169	0.0365	0.062895	aAutosome	aAutosome	NON	6.41267	A1
MvSl-1064-A1-R4_MC02g03993	0.00582	0.0026	0.00006	0.00003	96.8386	aAutosome	aAutosome	NON	5.1418	A1
MvSl-1064-A1-R4_MC02g03994	0.00505	0.00358	0.00479	0.0048	1.05426	aAutosome	aAutosome	NON	7.93755	A1
MvSl-1064-A1-R4_MC02g03995	0.00161	0	0.00002	0	80.0995	aAutosome	aAutosome	NON	8.07486	A1
MvSl-1064-A1-R4_MC02g04000	0	0.00005	0.00002	0.00502	0	aAutosome	aAutosome	NON	2.67902	A1
MvSl-1064-A1-R4_MC02g04008	0.00301	0.00135	0.00414	0.00239	0.727036	aAutosome	aAutosome	NON	7.51894	A1
MvSl-1064-A1-R4_MC02g04009	0.00288	0.00288	0.01368	0.00976	0.210525	aAutosome	aAutosome	NON	2.89861	A1
MvSl-1064-A1-R4_MC02g04011	0.00197	0.00114	0.00526	0.00263	0.374518	aAutosome	aAutosome	NON	6.24622	A1
MvSl-1064-A1-R4_MC02g04012	0.02358	0.00781	0.00719	0.00625	3.27951	aAutosome	aAutosome	NON	4.78843	A1
MvSl-1064-A1-R4_MC02g04019	0.00004	0	0.03632	0.0026	0.00110132	aAutosome	aAutosome	NON	5.62294	A1
MvSl-1064-A1-R4_MC02g04021	0.00287	0.00166	0.00993	0.00499	0.28902	aAutosome	aAutosome	NON	5.49473	A1
MvSl-1064-A1-R4_MC02g04026	0.00325	0.00142	0.00166	0.00146	1.95771	aAutosome	aAutosome	NON	5.91432	A1
MvSl-1064-A1-R4_MC02g04029	0	0.00072	0.00001	0	0	aAutosome	aAutosome	NON	5.313	A1
MvSl-1064-A1-R4_MC02g04034	0.00534	0.0019	0.01989	0.00556	0.268475	aAutosome	aAutosome	NON	6.14392	A1
MvSl-1064-A1-R4_MC02g04035	0.00927	0.00349	0.00301	0.00286	3.07963	aAutosome	aAutosome	NON	6.15408	A1
MvSl-1064-A1-R4_MC02g04037	0.00594	0.0042	0.0071	0.00707	0.836608	aAutosome	aAutosome	NON	5.78024	A1
MvSl-1064-A1-R4_MC02g04038	0.00576	0.00634	0.01467	0.01625	0.392635	aAutosome	aAutosome	NON	4.92879	A1
MvSl-1064-A1-R4_MC02g04039	0.00001	0	0.0085	0.00042	0.00117646	aAutosome	aAutosome	NON	7.70343	A1
MvSl-1064-A1-R4_MC02g04041	0.00364	0.00163	0.00722	0.00362	0.504148	aAutosome	aAutosome	NON	6.39621	A1
MvSl-1064-A1-R4_MC02g04048	0.00275	0.00195	0.02014	0.01017	0.136544	aAutosome	aAutosome	NON	8.19977	A1
MvSl-1064-A1-R4_MC02g04049	0.00299	0.00298	0.00472	0.00471	0.633461	aAutosome	aAutosome	NON	8.17675	A1
MvSl-1064-A1-R4_MC02g04053	0.00756	0.00201	0.00433	0.00158	1.74592	aAutosome	aAutosome	NON	5.12847	A1
MvSl-1064-A1-R4_MC02g04054	0.00257	0.00183	0.00525	0.00532	0.489514	aAutosome	aAutosome	NON	4.78675	A1
MvSl-1064-A1-R4_MC02g04059	0.00774	0.00462	0.01142	0.00848	0.677752	aAutosome	aAutosome	NON	6.55244	A1
MvSl-1064-A1-R4_MC02g04060	0.00144	0.00102	0.03258	0.01171	0.0441988	aAutosome	aAutosome	NON	11.25	A1
MvSl-1064-A1-R4_MC02g04062	0.00542	0.00244	0.00242	0.00249	2.23958	aAutosome	aAutosome	NON	6.75787	A1
MvSl-1064-A1-R4_MC02g04063	0.00183	0.00184	0.01406	0.00819	0.130156	aAutosome	aAutosome	NON	5.92097	A1
MvSl-1064-A1-R4_MC02g04065	0.00959	0.00427	0.00319	0.00307	3.00618	aAutosome	aAutosome	NON	4.64488	A1
MvSl-1064-A1-R4_MC02g04069	0.00903	0.00638	0.01185	0.01184	0.762019	aAutosome	aAutosome	NON	7.35361	A1
MvSl-1064-A1-R4_MC02g04070	0.00357	0.0025	0.00498	0.0049	0.716853	aAutosome	aAutosome	NON	5.39321	A1
MvSl-1064-A1-R4_MC02g04082	0.01291	0.00182	0.05702	0.00752	0.226411	aAutosome	aAutosome	NON	8.07435	A1
MvSl-1064-A1-R4_MC02g04084	0.00365	0.00162	0.00391	0.00272	0.93348	aAutosome	aAutosome	NON	6.50282	A1
MvSl-1064-A1-R4_MC02g04085	0.00103	0.00073	0.00647	0.00325	0.159194	aAutosome	aAutosome	NON	7.76277	A1
MvSl-1064-A1-R4_MC02g04087	0.00285	0.00201	0.00597	0.00422	0.477379	aAutosome	aAutosome	NON	4.35071	A1
MvSl-1064-A1-R4_MC02g04091	0.003	0.00113	0.00856	0.00303	0.350463	aAutosome	aAutosome	NON	6.83404	A1
MvSl-1064-A1-R4_MC02g04092	0.00324	0.00231	0.00974	0.00697	0.332645	aAutosome	aAutosome	NON	6.29358	A1
MvSl-1064-A1-R4_MC02g04097	0.00369	0.00263	0.0267	0.01911	0.138202	aAutosome	aAutosome	NON	5.31331	A1
MvSl-1064-A1-R4_MC02g04098	0.00236	0.00236	0.00568	0.00568	0.415486	aAutosome	aAutosome	NON	4.06299	A1
MvSl-1064-A1-R4_MC02g04099	0.00708	0.00501	0.00007	0.00038	100.999	aAutosome	aAutosome	NON	4.84106	A1
MvSl-1064-A1-R4_MC02g04101	0.00705	0.00316	0.01445	0.0065	0.487886	aAutosome	aAutosome	NON	3.01857	A1
MvSl-1064-A1-R4_MC02g04102	0.00241	0.00241	0.00567	0.00568	0.425037	aAutosome	aAutosome	NON	5.3328	A1
MvSl-1064-A1-R4_MC02g04103	0.00411	0.00412	0.0196	0.01401	0.209693	aAutosome	aAutosome	NON	7.9674	A1
MvSl-1064-A1-R4_MC02g04105	0.00001	0	0.00933	0	0.0010718	aAutosome	aAutosome	NON	5.2306	A1
MvSl-1064-A1-R4_MC02g04107	0.00625	0.00316	0.01858	0.00943	0.336381	aAutosome	aAutosome	NON	5.32368	A1
MvSl-1064-A1-R4_MC02g04110	0.00701	0.00236	0.00888	0.00448	0.789406	aAutosome	aAutosome	NON	5.16111	A1
MvSl-1064-A1-R4_MC02g04116	0	0	0.00001	0	0	aAutosome	aAutosome	NON	5.25805	A1
MvSl-1064-A1-R4_MC02g04122	0.00989	0.00704	0.00939	0.00945	1.05324	aAutosome	aAutosome	NON	3.8486	A1
MvSl-1064-A1-R4_MC02g04130	0.00108	0.00108	0.00963	0.00687	0.112148	aAutosome	aAutosome	NON	7.35832	A1
MvSl-1064-A1-R4_MC02g04132	0.00003	0	0.02801	0.00407	0.00107104	aAutosome	aAutosome	NON	8.09511	A1
MvSl-1064-A1-R4_MC02g04133	0.01136	0.00813	0.00011	0.00097	103.179	aAutosome	aAutosome	NON	5.95314	A1
MvSl-1064-A1-R4_MC02g04135	0.00108	0.00108	0.01815	0.00817	0.0595038	aAutosome	aAutosome	NON	4.72266	A1
MvSl-1064-A1-R4_MC02g04141	0.0036	0.00136	0.00935	0.00332	0.385023	aAutosome	aAutosome	NON	7.1327	A1
MvSl-1064-A1-R4_MC02g04145	0.00717	0.00508	0.01255	0.01262	0.57131	aAutosome	aAutosome	NON	6.30942	A1
MvSl-1064-A1-R4_MC02g04151	0.00496	0.00498	0.00005	0.00035	99.002	aAutosome	aAutosome	NON	6.33116	A1
MvSl-1064-A1-R4_MC02g04152	0.00339	0.00241	0.00315	0.00319	1.07616	aAutosome	aAutosome	NON	9.7896	A1
MvSl-1064-A1-R4_MC02g04156	0.00419	0.0042	0.01879	0.01342	0.22299	aAutosome	aAutosome	NON	6.16871	A1
MvSl-1064-A1-R4_MC02g04157	0.00001	0	0.00772	0.00094	0.00129532	aAutosome	aAutosome	NON	6.17214	A1
MvSl-1064-A1-R4_MC02g04158	0.00275	0.00276	0.01415	0.01007	0.194345	aAutosome	aAutosome	NON	5.1199	A1
MvSl-1064-A1-R4_MC02g04160	0.00161	0.00114	0.00795	0.00399	0.202513	aAutosome	aAutosome	NON	4.56972	A1
MvSl-1064-A1-R4_MC02g04161	0.00218	0.0022	0.01396	0.00997	0.156159	aAutosome	aAutosome	NON	4.73891	A1
MvSl-1064-A1-R4_MC02g04163	0.00478	0.00274	0.00369	0.00362	1.29536	aAutosome	aAutosome	NON	6.07598	A1
MvSl-1064-A1-R4_MC02g04169	0.00001	0	0.00582	0.00077	0.00171818	aAutosome	aAutosome	NON	6.76512	A1
MvSl-1064-A1-R4_MC02g04171	0.0037	0.00371	0.00004	0.0015	92.2693	aAutosome	aAutosome	NON	5.97301	A1
MvSl-1064-A1-R4_MC02g04176	0.00594	0.0024	0.00956	0.00457	0.621332	aAutosome	aAutosome	NON	4.84855	A1
MvSl-1064-A1-R4_MC02g04186	0.00765	0.00445	0.00477	0.00482	1.60374	aAutosome	aAutosome	NON	6.28443	A1
MvSl-1064-A1-R4_MC02g04188	0.00194	0.00196	0.0238	0.01391	0.0815123	aAutosome	aAutosome	NON	7.56261	A1
MvSl-1064-A1-R4_MC02g04189	0.00354	0.00177	0.00466	0.0033	0.75964	aAutosome	aAutosome	NON	6.80466	A1
MvSl-1064-A1-R4_MC02g04201	0.02607	0.01082	0.03927	0.01996	0.663864	aAutosome	aAutosome	NON	1.79444	A1
MvSl-1064-A1-R4_MC02g04209	0.00383	0.00271	0.00905	0.00642	0.4232	aAutosome	aAutosome	NON	6.38979	A1
MvSl-1064-A1-R4_MC02g04212	0.00748	0.00304	0.00564	0.00391	1.32622	aAutosome	aAutosome	NON	6.25643	A1
MvSl-1064-A1-R4_MC02g04222	0	0	0.00001	0	0	aAutosome	aAutosome	NON	6.00776	A1
MvSl-1064-A1-R4_MC02g04223	0.00733	0.00521	0.00007	0.00032	104.565	aAutosome	aAutosome	NON	2.43649	A1
MvSl-1064-A1-R4_MC02g04229	0.00956	0.00684	0.0001	0.00067	95.5045	aAutosome	aAutosome	NON	5.6359	A1
MvSl-1064-A1-R4_MC02g04252	0.00195	0.00196	0.00002	0.00006	97.0149	aAutosome	aAutosome	NON	3.93147	A1
MvSl-1064-A1-R4_MC03g04284	0.00397	0.00199	0.00462	0.00329	0.859289	aAutosome	aAutosome	NON	8.30207	A1
MvSl-1064-A1-R4_MC03g04285	0.00321	0.00322	0.02107	0.01506	0.152349	aAutosome	aAutosome	NON	5.59708	A1
MvSl-1064-A1-R4_MC03g04286	0.0039	0.00391	0.01659	0.01185	0.23508	aAutosome	aAutosome	NON	5.31409	A1
MvSl-1064-A1-R4_MC03g04289	0.00151	0.00151	0.00871	0.00506	0.173362	aAutosome	aAutosome	NON	6.05076	A1
MvSl-1064-A1-R4_MC03g04290	0	0.01141	0.00001	0.03163	0	aAutosome	aAutosome	NON	6.99694	A1
MvSl-1064-A1-R4_MC03g04291	0.00198	0.002	0.01202	0.00858	0.164724	aAutosome	aAutosome	NON	3.66224	A1
MvSl-1064-A1-R4_MC03g04295	0.00001	0	0.01003	0.00022	0.000996999	aAutosome	aAutosome	NON	9.11543	A1
MvSl-1064-A1-R4_MC03g04299	0.00483	0.00241	0.00527	0.00372	0.916491	aAutosome	aAutosome	NON	4.93273	A1
MvSl-1064-A1-R4_MC03g04300	0	0	0.00001	0	0	aAutosome	aAutosome	NON	1.99739	A1
MvSl-1064-A1-R4_MC03g04301	0.00492	0.00247	0.00867	0.00619	0.567468	aAutosome	aAutosome	NON	5.83927	A1
MvSl-1064-A1-R4_MC03g04302	0.00092	0.00093	0.01448	0.00651	0.0635355	aAutosome	aAutosome	NON	5.94034	A1
MvSl-1064-A1-R4_MC03g04309	0.00361	0.00206	0.00553	0.00385	0.652791	aAutosome	aAutosome	NON	3.98429	A1
MvSl-1064-A1-R4_MC03g04314	0.00384	0.00117	0.00574	0.00217	0.668978	aAutosome	aAutosome	NON	6.51271	A1
MvSl-1064-A1-R4_MC03g04316	0.00126	0.00126	0.01348	0.00678	0.0934711	aAutosome	aAutosome	NON	8.58074	A1
MvSl-1064-A1-R4_MC03g04318	0.00002	0	0.01759	0	0.001137	aAutosome	aAutosome	NON	6.38562	A1
MvSl-1064-A1-R4_MC03g04324	0.00794	0.00325	0.00699	0.00496	1.13589	aAutosome	aAutosome	NON	3.72134	A1
MvSl-1064-A1-R4_MC03g04329	0.01089	0.00631	0.00011	0.0005	98.9101	aAutosome	aAutosome	NON	5.14777	A1
MvSl-1064-A1-R4_MC03g04336	0.00222	0.00223	0.008	0.00805	0.277497	aAutosome	aAutosome	NON	7.31488	A1
MvSl-1064-A1-R4_MC03g04354	0	0	0.00001	0	0	aAutosome	aAutosome	NON	6.99772	A1
