gene	logFC
MvSl-1064-A1-R4_A1g01334	-5.09162617245758
MvSl-1064-A1-R4_A1g01337	-0.858121697639064
MvSl-1064-A1-R4_A1g01360	-0.943830492927136
MvSl-1064-A1-R4_A1g01370	-3.11695448742684
MvSl-1064-A1-R4_A1g01371	-3.65106668612191
MvSl-1064-A1-R4_A1g01377	-1.08484333523755
MvSl-1064-A1-R4_A1g01401	-6.58986212707354
MvSl-1064-A1-R4_A1g01402	-0.668221471209613
MvSl-1064-A1-R4_A1g01414	-3.11303581895063
MvSl-1064-A1-R4_A1g01423	-4.16769245868307
MvSl-1064-A1-R4_A1g01430	-0.991563298474806
