gida1	a1prot	a1cds	part8	youngold	intron_nr_a1	intron_nr_byprota1	intron_nr_byprota1_transf	intron_mean_a1	intron_total_a1	intron_total_byprota1	intron_total_byprota1_trans	DE	DE2	haploid
MvSl-1064-A1-R4_A1g00053	418	1257	bPAR	bPAR	5	0.011961722	0.10936966	71.4	357	0.854066986	0.924157446	NON	NON	A1
MvSl-1064-A1-R4_A1g00054	388	1167	bPAR	bPAR	7	0.018041237	0.134317672	76.7143	537	1.384020619	1.176444057	NON	NON	A1
MvSl-1064-A1-R4_A1g00055	428	1287	bPAR	bPAR	2	0.004672897	0.068358593	72	144	0.336448598	0.580041893	NON	NON	A1
MvSl-1064-A1-R4_A1g00056	576	1731	bPAR	bPAR	6	0.010416667	0.102062073	94.6667	568	0.986111111	0.993031274	NON	NON	A1
MvSl-1064-A1-R4_A1g00057	107	324	bPAR	bPAR	1	0.009345794	0.096673649	0	0	0	0	NON	NON	A1
MvSl-1064-A1-R4_A1g00058	49	150	bPAR	bPAR	1	0.020408163	0.142857143	128	128	2.612244898	1.616244071	NON	NON	A1
MvSl-1064-A1-R4_A1g00059	68	207	bPAR	bPAR	1	0.014705882	0.121267813	0	0	0	0	NON	NON	A1
MvSl-1064-A1-R4_A1g00060	317	954	bPAR	bPAR	5	0.015772871	0.12559009	119.8	599	1.889589905	1.37462355	NON	NON	A1
MvSl-1064-A1-R4_A1g00061	219	660	bPAR	bPAR	3	0.01369863	0.117041147	100	301	1.374429224	1.172360535	NON	NON	A1
MvSl-1064-A1-R4_A1g00062	714	2145	bPAR	bPAR	5	0.007002801	0.083682741	129	645	0.903361345	0.950453231	NON	NON	A1
MvSl-1064-A1-R4_A1g00063	316	951	bPAR	bPAR	3	0.009493671	0.09743547	108	325	1.028481013	1.014140529	NON	NON	A1
MvSl-1064-A1-R4_A1g00064	232	699	bPAR	bPAR	3	0.012931034	0.113714707	151.667	455	1.961206897	1.400430968	NON	NON	A1
MvSl-1064-A1-R4_A1g00065	649	1950	bPAR	bPAR	10	0.01540832	0.124130256	81.9	818	1.260400616	1.122675651	NON	NON	A1
