gida1	a1prot	a1cds	part8	youngold	intron_nr_a1	intron_nr_byprota1	intron_nr_byprota1_transf	intron_mean_a1	intron_total_a1	intron_total_byprota1	intron_total_byprota1_trans	DE	DE2	haploid
MvSl-1064-A1-R4_MC03g04861	2351	7056	Auto	Auto	17	0.007230966	0.085035084	81.6471	1388	0.590387069	0.768366494	NON	NON	A1
MvSl-1064-A1-R4_MC03g04863	404	1215	Auto	Auto	3	0.007425743	0.086172748	77.6667	233	0.576732673	0.759429176	NON	NON	A1
MvSl-1064-A1-R4_MC03g04864	183	552	Auto	Auto	2	0.010928962	0.104541675	53	106	0.579234973	0.76107488	NON	NON	A1
MvSl-1064-A1-R4_MC03g04865	567	1704	Auto	Auto	5	0.008818342	0.093906028	127.8	639	1.126984127	1.061595086	NON	NON	A1
MvSl-1064-A1-R4_MC03g04867	580	1743	Auto	Auto	5	0.00862069	0.092847669	61.4	307	0.529310345	0.727537178	NON	NON	A1
MvSl-1064-A1-R4_MC03g04869	736	2211	Auto	Auto	7	0.00951087	0.097523687	83.2857	583	0.792119565	0.890010992	NON	NON	A1
MvSl-1064-A1-R4_MC03g04870	385	1158	Auto	Auto	3	0.007792208	0.088273483	98.6667	296	0.768831169	0.876830182	NON	NON	A1
MvSl-1064-A1-R4_MC03g04871	407	1224	Auto	Auto	7	0.017199017	0.131145024	82.5714	578	1.42014742	1.191699383	NON	NON	A1
MvSl-1064-A1-R4_MC03g04872	1614	4845	Auto	Auto	4	0.002478315	0.049782675	100	400	0.247831475	0.497826752	NON	NON	A1
MvSl-1064-A1-R4_MC03g04873	295	888	Auto	Auto	4	0.013559322	0.116444502	71.25	285	0.966101695	0.982904723	NON	NON	A1
MvSl-1064-A1-R4_MC03g04874	518	1557	Auto	Auto	4	0.007722008	0.087874955	103.25	413	0.797297297	0.892915056	NON	NON	A1
MvSl-1064-A1-R4_MC03g04877	1088	3267	Auto	Auto	5	0.004595588	0.067790768	70.4	352	0.323529412	0.568796459	Up	DE	A1
MvSl-1064-A1-R4_MC03g04878	1242	3729	Auto	Auto	2	0.001610306	0.040128618	67.5	135	0.108695652	0.329690237	NON	NON	A1
MvSl-1064-A1-R4_MC03g04879	991	2976	Auto	Auto	2	0.002018163	0.044923974	88.5	177	0.178607467	0.422619767	Down	DE	A1
MvSl-1064-A1-R4_MC03g04880	1387	4164	Auto	Auto	8	0.005767844	0.075946325	63.125	505	0.364095169	0.603402991	NON	NON	A1
MvSl-1064-A1-R4_MC03g04881	437	1314	Auto	Auto	2	0.004576659	0.067651009	61	122	0.279176201	0.528371272	NON	NON	A1
MvSl-1064-A1-R4_MC03g04882	854	2565	Auto	Auto	2	0.00234192	0.048393392	78.5	157	0.183840749	0.428766544	NON	NON	A1
MvSl-1064-A1-R4_MC03g04883	584	1755	Auto	Auto	3	0.005136986	0.071672772	197	591	1.011986301	1.005975299	NON	NON	A1
MvSl-1064-A1-R4_MC03g04884	376	1131	Auto	Auto	6	0.015957447	0.126322788	109.667	658	1.75	1.322875656	Up	DE	A1
MvSl-1064-A1-R4_MC03g04885	338	1017	Auto	Auto	4	0.01183432	0.108785659	81	324	0.958579882	0.979070928	Down	DE	A1
MvSl-1064-A1-R4_MC03g04886	240	723	Auto	Auto	3	0.0125	0.111803399	74	222	0.925	0.961769203	NON	NON	A1
MvSl-1064-A1-R4_MC03g04888	732	2199	Auto	Auto	3	0.004098361	0.06401844	68	204	0.278688525	0.52790958	NON	NON	A1
MvSl-1064-A1-R4_MC03g04889	1080	3243	Auto	Auto	14	0.012962963	0.113855009	74.8571	1048	0.97037037	0.985073789	NON	NON	A1
MvSl-1064-A1-R4_MC03g04890	933	2802	Auto	Auto	2	0.002143623	0.046299273	98.5	197	0.211146838	0.459507169	NON	NON	A1
MvSl-1064-A1-R4_MC03g04891	173	522	Auto	Auto	5	0.028901734	0.1700051	74.8	374	2.161849711	1.470322995	NON	NON	A1
MvSl-1064-A1-R4_MC03g04893	423	1272	Auto	Auto	6	0.014184397	0.119098267	131.667	790	1.867612293	1.366606122	NON	NON	A1
MvSl-1064-A1-R4_MC03g04894	134	405	Auto	Auto	2	0.014925373	0.122169444	76	152	1.134328358	1.065048524	NON	NON	A1
MvSl-1064-A1-R4_MC03g04895	2083	6252	Auto	Auto	1	0.000480077	0.021910655	47	47	0.02256361	0.150211884	Down	DE	A1
MvSl-1064-A1-R4_MC03g04908	1240	3723	Auto	Auto	2	0.001612903	0.040160966	67.5	135	0.108870968	0.329956009	NON	NON	A1
MvSl-1064-A1-R4_MC03g04909	1119	3360	Auto	Auto	4	0.00357462	0.059788128	184.5	738	0.659517426	0.812106783	Up	DE	A1
MvSl-1064-A1-R4_MC03g04912	2384	7155	Auto	Auto	3	0.001258389	0.035473783	233	699	0.293204698	0.541483793	NON	NON	A1
MvSl-1064-A1-R4_MC03g04915	575	1728	Auto	Auto	4	0.006956522	0.083405766	80.25	321	0.55826087	0.747168568	Down	DE	A1
MvSl-1064-A1-R4_MC03g04916	583	1752	Auto	Auto	2	0.003430532	0.058570741	103	206	0.353344768	0.594428102	NON	NON	A1
MvSl-1064-A1-R4_MC03g04917	1165	3498	Auto	Auto	3	0.002575107	0.050745515	98	294	0.252360515	0.502354969	NON	NON	A1
MvSl-1064-A1-R4_MC03g04918	466	1401	Auto	Auto	6	0.012875536	0.113470421	92	552	1.184549356	1.088370046	NON	NON	A1
MvSl-1064-A1-R4_MC03g04919	188	567	Auto	Auto	7	0.037234043	0.192961246	73.1429	512	2.723404255	1.650273994	NON	NON	A1
MvSl-1064-A1-R4_MC03g04920	718	2157	Auto	Auto	2	0.002785515	0.052777981	123.5	247	0.344011142	0.58652463	NON	NON	A1
MvSl-1064-A1-R4_MC03g04921	724	2175	Auto	Auto	2	0.002762431	0.052558833	96	192	0.26519337	0.514969291	NON	NON	A1
MvSl-1064-A1-R4_MC03g04922	275	828	Auto	Auto	4	0.014545455	0.120604538	91.75	367	1.334545455	1.155225283	NON	NON	A1
MvSl-1064-A1-R4_MC03g04923	1145	3438	Auto	Auto	2	0.001746725	0.041793838	83.5	167	0.145851528	0.38190513	NON	NON	A1
MvSl-1064-A1-R4_MC03g04925	344	1035	Auto	Auto	3	0.00872093	0.093385921	159	477	1.386627907	1.177551658	NON	NON	A1
MvSl-1064-A1-R4_MC03g04926	387	1164	Auto	Auto	6	0.015503876	0.124514561	90.5	543	1.403100775	1.184525549	NON	NON	A1
MvSl-1064-A1-R4_MC03g04927	305	918	Auto	Auto	2	0.006557377	0.080977633	112.5	225	0.737704918	0.858897501	NON	NON	A1
MvSl-1064-A1-R4_MC03g04928	212	639	Auto	Auto	2	0.009433962	0.097128586	126	252	1.188679245	1.090265676	NON	NON	A1
MvSl-1064-A1-R4_MC03g04929	679	2040	Auto	Auto	3	0.004418262	0.066470009	90.6667	272	0.400589102	0.632921086	Down	DE	A1
MvSl-1064-A1-R4_MC03g04931	1258	3777	Auto	Auto	9	0.007154213	0.084582581	69.8889	629	0.5	0.707106781	Up	DE	A1
MvSl-1064-A1-R4_MC03g04932	168	507	Auto	Auto	2	0.011904762	0.109108945	67	134	0.797619048	0.893095206	NON	NON	A1
MvSl-1064-A1-R4_MC03g04935	453	1362	Auto	Auto	6	0.013245033	0.115087068	94.5	567	1.251655629	1.118774164	NON	NON	A1
MvSl-1064-A1-R4_MC03g04936	424	1275	Auto	Auto	7	0.016509434	0.128489042	110.857	763	1.799528302	1.341464983	NON	NON	A1
MvSl-1064-A1-R4_MC03g04944	210	633	Auto	Auto	1	0.004761905	0.069006556	237	237	1.128571429	1.062342425	NON	NON	A1
MvSl-1064-A1-R4_MC03g04948	1228	3687	Auto	Auto	1	0.000814332	0.028536507	74	74	0.060260586	0.245480318	NON	NON	A1
MvSl-1064-A1-R4_MC03g04950	1845	5538	Auto	Auto	11	0.00596206	0.077214374	98.5455	1084	0.587533875	0.766507583	NON	NON	A1
MvSl-1064-A1-R4_MC03g04953	403	1212	Auto	Auto	4	0.009925558	0.099627096	135.75	543	1.347394541	1.160773251	NON	NON	A1
MvSl-1064-A1-R4_MC03g04955	1964	5895	Auto	Auto	2	0.00101833	0.031911282	62.5	125	0.063645621	0.252280838	NON	NON	A1
MvSl-1064-A1-R4_MC03g04962	671	2016	Auto	Auto	7	0.010432191	0.102138097	66.8571	468	0.697466468	0.835144579	NON	NON	A1
MvSl-1064-A1-R4_MC03g04963	123	372	Auto	Auto	1	0.008130081	0.090166963	101	101	0.821138211	0.906166768	NON	NON	A1
MvSl-1064-A1-R4_MC03g04965	648	1947	Auto	Auto	1	0.00154321	0.03928371	63	63	0.097222222	0.311804782	NON	NON	A1
MvSl-1064-A1-R4_MC03g04966	102	309	Auto	Auto	1	0.009803922	0.099014754	68	68	0.666666667	0.816496581	NON	NON	A1
MvSl-1064-A1-R4_MC03g04967	298	897	Auto	Auto	4	0.013422819	0.115856889	98.5	394	1.322147651	1.149846795	NON	NON	A1
MvSl-1064-A1-R4_MC03g04968	300	903	Auto	Auto	4	0.013333333	0.115470054	79.75	319	1.063333333	1.031180553	NON	NON	A1
MvSl-1064-A1-R4_MC03g04969	227	684	Auto	Auto	1	0.004405286	0.066372331	82	82	0.36123348	0.601027021	NON	NON	A1
MvSl-1064-A1-R4_MC03g04970	397	1194	Auto	Auto	6	0.01511335	0.122936366	80.6667	484	1.219143577	1.104148349	NON	NON	A1
MvSl-1064-A1-R4_MC03g04971	430	1293	Auto	Auto	2	0.004651163	0.068199434	69	138	0.320930233	0.566507045	NON	NON	A1
MvSl-1064-A1-R4_MC03g04972	231	696	Auto	Auto	6	0.025974026	0.161164593	98.1667	589	2.54978355	1.596804168	NON	NON	A1
MvSl-1064-A1-R4_MC03g04973	1707	5124	Auto	Auto	4	0.002343292	0.048407565	77.5	310	0.181605155	0.426151564	NON	NON	A1
MvSl-1064-A1-R4_MC03g04974	460	1383	Auto	Auto	8	0.017391304	0.131876095	73.125	585	1.27173913	1.127714117	NON	NON	A1
MvSl-1064-A1-R4_MC03g04975	581	1746	Auto	Auto	6	0.010327022	0.101621958	103.667	622	1.070567986	1.034682553	NON	NON	A1
MvSl-1064-A1-R4_MC03g04976	169	510	Auto	Auto	1	0.00591716	0.076923077	0	0	0	0	NON	NON	A1
MvSl-1064-A1-R4_MC03g04977	892	2679	Auto	Auto	1	0.001121076	0.033482477	68	68	0.076233184	0.276103575	NON	NON	A1
MvSl-1064-A1-R4_MC03g04978	998	2997	Auto	Auto	4	0.004008016	0.063308894	83.75	335	0.335671343	0.579371507	NON	NON	A1
MvSl-1064-A1-R4_MC03g04979	382	1149	Auto	Auto	3	0.007853403	0.088619429	105.333	316	0.827225131	0.909519176	NON	NON	A1
MvSl-1064-A1-R4_MC03g04980	759	2280	Auto	Auto	5	0.006587615	0.081164126	91.8	459	0.604743083	0.777652289	NON	NON	A1
MvSl-1064-A1-R4_MC03g04981	1080	3243	Auto	Auto	3	0.002777778	0.052704628	95.6667	287	0.265740741	0.515500476	NON	NON	A1
MvSl-1064-A1-R4_MC03g04983	279	840	Auto	Auto	2	0.007168459	0.084666751	87.5	175	0.627240143	0.791984939	NON	NON	A1
MvSl-1064-A1-R4_MC03g04984	1344	4035	Auto	Auto	9	0.006696429	0.081831709	76.6667	690	0.513392857	0.71651438	NON	NON	A1
MvSl-1064-A1-R4_MC03g04985	483	1452	Auto	Auto	1	0.002070393	0.045501576	75	75	0.155279503	0.394055203	NON	NON	A1
MvSl-1064-A1-R4_MC03g04986	214	645	Auto	Auto	4	0.018691589	0.136717185	68.75	275	1.285046729	1.133599016	NON	NON	A1
MvSl-1064-A1-R4_MC03g04987	59	180	Auto	Auto	1	0.016949153	0.130188911	0	0	0	0	NON	NON	A1
MvSl-1064-A1-R4_MC03g04988	125	378	Auto	Auto	5	0.04	0.2	108.2	541	4.328	2.08038458	NON	NON	A1
MvSl-1064-A1-R4_MC03g04989	583	1752	Auto	Auto	4	0.006861063	0.082831537	84.25	337	0.578044597	0.760292442	NON	NON	A1
MvSl-1064-A1-R4_MC03g04990	60	183	Auto	Auto	1	0.016666667	0.129099445	0	0	0	0	NON	NON	A1
MvSl-1064-A1-R4_MC03g04991	1015	3048	Auto	Auto	8	0.007881773	0.088779352	79	632	0.622660099	0.789088144	NON	NON	A1
MvSl-1064-A1-R4_MC03g04992	691	2076	Auto	Auto	1	0.001447178	0.038041793	102	102	0.147612156	0.384203275	NON	NON	A1
MvSl-1064-A1-R4_MC03g04993	179	540	Auto	Auto	1	0.005586592	0.074743509	124	124	0.69273743	0.832308495	NON	NON	A1
MvSl-1064-A1-R4_MC03g04994	328	987	Auto	Auto	5	0.015243902	0.1234662	74.2	371	1.131097561	1.063530705	NON	NON	A1
MvSl-1064-A1-R4_MC03g04997	470	1413	Auto	Auto	3	0.006382979	0.079893546	96	288	0.612765957	0.782793688	NON	NON	A1
MvSl-1064-A1-R4_MC03g04998	1446	4341	Auto	Auto	16	0.011065007	0.105190337	112.125	1794	1.2406639	1.113850933	NON	NON	A1
MvSl-1064-A1-R4_MC03g04999	231	696	Auto	Auto	2	0.008658009	0.093048421	181.5	363	1.571428571	1.253566341	NON	NON	A1
MvSl-1064-A1-R4_MC03g05000	561	1686	Auto	Auto	5	0.008912656	0.094406864	71.8	359	0.639928699	0.799955435	NON	NON	A1
MvSl-1064-A1-R4_MC03g05001	460	1383	Auto	Auto	10	0.02173913	0.147441956	83.6	836	1.817391304	1.348106563	NON	NON	A1
MvSl-1064-A1-R4_MC03g05003	315	948	Auto	Auto	8	0.025396825	0.159363815	100.25	802	2.546031746	1.59562895	NON	NON	A1
MvSl-1064-A1-R4_MC03g05004	523	1572	Auto	Auto	1	0.001912046	0.043726947	85	85	0.162523901	0.403142531	NON	NON	A1
MvSl-1064-A1-R4_MC03g05005	467	1404	Auto	Auto	5	0.010706638	0.103472886	106.8	534	1.143468951	1.069331076	NON	NON	A1
MvSl-1064-A1-R4_MC03g05006	207	624	Auto	Auto	5	0.024154589	0.155417468	79.8	399	1.927536232	1.388357386	NON	NON	A1
MvSl-1064-A1-R4_MC03g05007	466	1401	Auto	Auto	6	0.012875536	0.113470421	85.1667	511	1.096566524	1.047170723	NON	NON	A1
MvSl-1064-A1-R4_MC03g05008	305	918	Auto	Auto	1	0.003278689	0.057259833	0	0	0	0	NON	NON	A1
MvSl-1064-A1-R4_MC03g05009	260	783	Auto	Auto	2	0.007692308	0.087705802	104	208	0.8	0.894427191	NON	NON	A1
MvSl-1064-A1-R4_MC03g05010	1554	4665	Auto	Auto	3	0.001930502	0.043937478	69	207	0.133204633	0.364972099	NON	NON	A1
MvSl-1064-A1-R4_MC03g05014	664	1995	Auto	Auto	4	0.006024096	0.077615053	59.75	239	0.359939759	0.599949797	Up	DE	A1
MvSl-1064-A1-R4_MC03g05015	388	1167	Auto	Auto	3	0.007731959	0.087931557	165	495	1.275773196	1.129501304	NON	NON	A1
MvSl-1064-A1-R4_MC03g05016	214	645	Auto	Auto	3	0.014018692	0.118400556	112	336	1.570093458	1.253033702	Up	DE	A1
MvSl-1064-A1-R4_MC03g05017	1290	3873	Auto	Auto	6	0.004651163	0.068199434	66.1667	397	0.307751938	0.554753944	NON	NON	A1
MvSl-1064-A1-R4_MC03g05020	710	2133	Auto	Auto	7	0.009859155	0.099293277	129.143	904	1.273239437	1.128379119	NON	NON	A1
MvSl-1064-A1-R4_MC03g05021	860	2583	Auto	Auto	9	0.010465116	0.102299151	108.444	976	1.134883721	1.065309214	NON	NON	A1
MvSl-1064-A1-R4_MC03g05022	567	1704	Auto	Auto	6	0.010582011	0.1028689	76.3333	458	0.807760141	0.898754773	Up	DE	A1
MvSl-1064-A1-R4_MC03g05023	322	969	Auto	Auto	1	0.00310559	0.055727821	285	285	0.885093168	0.940793903	NON	NON	A1
MvSl-1064-A1-R4_MC03g05024	74	225	Auto	Auto	4	0.054054054	0.232495277	87.75	351	4.743243243	2.177898814	NON	NON	A1
MvSl-1064-A1-R4_MC03g05025	286	861	Auto	Auto	2	0.006993007	0.083624201	137	274	0.958041958	0.978796178	NON	NON	A1
MvSl-1064-A1-R4_MC03g05026	242	729	Auto	Auto	4	0.016528926	0.128564869	100.75	403	1.665289256	1.29046087	NON	NON	A1
MvSl-1064-A1-R4_MC03g05027	210	633	Auto	Auto	1	0.004761905	0.069006556	71	71	0.338095238	0.581459576	NON	NON	A1
MvSl-1064-A1-R4_MC03g05028	234	705	Auto	Auto	1	0.004273504	0.065372045	0	0	0	0	NON	NON	A1
MvSl-1064-A1-R4_MC03g05029	198	597	Auto	Auto	1	0.005050505	0.071066905	0	0	0	0	NON	NON	A1
MvSl-1064-A1-R4_MC03g05030	665	1998	Auto	Auto	3	0.004511278	0.067166049	164.667	494	0.742857143	0.861891607	NON	NON	A1
MvSl-1064-A1-R4_MC03g05031	1341	4026	Auto	Auto	3	0.002237136	0.047298377	71.3333	214	0.159582401	0.39947766	NON	NON	A1
MvSl-1064-A1-R4_MC03g05032	368	1107	Auto	Auto	5	0.013586957	0.116563101	85.4	427	1.160326087	1.077184333	NON	NON	A1
MvSl-1064-A1-R4_MC03g05034	436	1311	Auto	Auto	4	0.009174312	0.095782629	82.25	329	0.754587156	0.868669762	NON	NON	A1
MvSl-1064-A1-R4_MC03g05035	181	546	Auto	Auto	1	0.005524862	0.074329415	94	94	0.519337017	0.720650412	NON	NON	A1
MvSl-1064-A1-R4_MC03g05037	87	264	Auto	Auto	3	0.034482759	0.185695338	85.3333	256	2.942528736	1.715380056	Up	DE	A1
MvSl-1064-A1-R4_MC03g05038	157	474	Auto	Auto	2	0.012738854	0.11286653	53	106	0.675159236	0.821680738	NON	NON	A1
MvSl-1064-A1-R4_MC03g05043	75	228	Auto	Auto	3	0.04	0.2	95	285	3.8	1.949358869	Down	DE	A1
MvSl-1064-A1-R4_MC03g05044	258	777	Auto	Auto	1	0.003875969	0.062257281	0	0	0	0	NON	NON	A1
MvSl-1064-A1-R4_MC03g05045	687	2064	Auto	Auto	4	0.005822416	0.076304759	144.25	577	0.839883552	0.916451609	NON	NON	A1
MvSl-1064-A1-R4_MC03g05046	276	831	Auto	Auto	1	0.003623188	0.060192927	0	0	0	0	NON	NON	A1
MvSl-1064-A1-R4_MC03g05047	835	2508	Auto	Auto	8	0.009580838	0.097881757	108.875	871	1.043113772	1.021329414	NON	NON	A1
MvSl-1064-A1-R4_MC03g05048	381	1146	Auto	Auto	4	0.010498688	0.102463104	69.75	279	0.732283465	0.855735628	NON	NON	A1
MvSl-1064-A1-R4_MC03g05049	853	2562	Auto	Auto	3	0.003516999	0.05930429	82	246	0.288393904	0.537023187	NON	NON	A1
MvSl-1064-A1-R4_MC03g05050	1165	3498	Auto	Auto	3	0.002575107	0.050745515	149.667	449	0.385407725	0.62081215	NON	NON	A1
MvSl-1064-A1-R4_MC03g05051	148	447	Auto	Auto	3	0.02027027	0.142373699	89.6667	269	1.817567568	1.348171935	NON	NON	A1
MvSl-1064-A1-R4_MC03g05052	631	1896	Auto	Auto	8	0.012678288	0.112597906	96.125	769	1.218700475	1.103947678	NON	NON	A1
MvSl-1064-A1-R4_MC03g05053	607	1824	Auto	Auto	5	0.008237232	0.090759199	98.4	492	0.810543657	0.900301981	NON	NON	A1
MvSl-1064-A1-R4_MC03g05054	1140	3423	Auto	Auto	4	0.003508772	0.059234888	85.5	342	0.3	0.547722558	NON	NON	A1
MvSl-1064-A1-R4_MC03g05055	44	135	Auto	Auto	1	0.022727273	0.150755672	76	76	1.727272727	1.314257481	NON	NON	A1
MvSl-1064-A1-R4_MC03g05056	848	2547	Auto	Auto	7	0.008254717	0.090855473	139	973	1.14740566	1.071170229	NON	NON	A1
MvSl-1064-A1-R4_MC03g05057	400	1203	Auto	Auto	4	0.01	0.1	196.5	786	1.965	1.401784577	NON	NON	A1
MvSl-1064-A1-R4_MC03g05058	418	1257	Auto	Auto	1	0.002392344	0.048911599	69	69	0.16507177	0.406290254	NON	NON	A1
MvSl-1064-A1-R4_MC03g05059	1120	3363	Auto	Auto	4	0.003571429	0.05976143	85	340	0.303571429	0.550973165	NON	NON	A1
MvSl-1064-A1-R4_MC03g05060	716	2151	Auto	Auto	3	0.004189944	0.064729778	76	228	0.318435754	0.56430112	NON	NON	A1
MvSl-1064-A1-R4_MC03g05061	576	1731	Auto	Auto	3	0.005208333	0.072168784	81.3333	244	0.423611111	0.65085414	NON	NON	A1
MvSl-1064-A1-R4_MC03g05062	69	210	Auto	Auto	3	0.043478261	0.208514414	108.333	325	4.710144928	2.170286831	NON	NON	A1
MvSl-1064-A1-R4_MC03g05063	163	492	Auto	Auto	2	0.012269939	0.110769755	129.5	259	1.588957055	1.260538399	NON	NON	A1
MvSl-1064-A1-R4_MC03g05064	2041	6126	Auto	Auto	5	0.00244978	0.049495247	76.8	384	0.188143067	0.433754616	NON	NON	A1
MvSl-1064-A1-R4_MC03g05065	515	1548	Auto	Auto	3	0.005825243	0.076323278	89.3333	268	0.52038835	0.721379477	NON	NON	A1
MvSl-1064-A1-R4_MC03g05066	925	2778	Auto	Auto	11	0.011891892	0.109049951	76.3636	840	0.908108108	0.952947065	NON	NON	A1
MvSl-1064-A1-R4_MC03g05067	615	1848	Auto	Auto	4	0.006504065	0.080647784	69.25	277	0.450406504	0.671123315	NON	NON	A1
MvSl-1064-A1-R4_MC03g05068	918	2757	Auto	Auto	9	0.009803922	0.099014754	73	657	0.715686275	0.845982432	NON	NON	A1
MvSl-1064-A1-R4_MC03g05072	683	2052	Auto	Auto	13	0.019033675	0.137962585	85.8462	1116	1.633967789	1.278267495	NON	NON	A1
MvSl-1064-A1-R4_MC03g05073	1740	5223	Auto	Auto	9	0.005172414	0.071919495	88.1111	793	0.455747126	0.675090458	NON	NON	A1
MvSl-1064-A1-R4_MC03g05074	152	459	Auto	Auto	4	0.026315789	0.162221421	123.5	494	3.25	1.802775638	NON	NON	A1
MvSl-1064-A1-R4_MC03g05075	458	1377	Auto	Auto	2	0.004366812	0.06608186	76	152	0.331877729	0.5760883	NON	NON	A1
MvSl-1064-A1-R4_MC03g05076	569	1710	Auto	Auto	3	0.005272408	0.072611347	86	258	0.453427065	0.673369932	NON	NON	A1
MvSl-1064-A1-R4_MC03g05077	237	714	Auto	Auto	1	0.004219409	0.06495698	0	0	0	0	Up	DE	A1
MvSl-1064-A1-R4_MC03g05078	422	1269	Auto	Auto	4	0.009478673	0.097358477	89.75	359	0.8507109	0.922339905	NON	NON	A1
MvSl-1064-A1-R4_MC03g05079	90	273	Auto	Auto	1	0.011111111	0.105409255	101	101	1.122222222	1.059349905	NON	NON	A1
MvSl-1064-A1-R4_MC03g05080	342	1029	Auto	Auto	1	0.002923977	0.054073807	79	79	0.230994152	0.48061851	NON	NON	A1
MvSl-1064-A1-R4_MC03g05081	120	363	Auto	Auto	1	0.008333333	0.091287093	0	0	0	0	NON	NON	A1
MvSl-1064-A1-R4_MC03g05082	86	261	Auto	Auto	1	0.011627907	0.107832773	80	80	0.930232558	0.964485644	Down	DE	A1
MvSl-1064-A1-R4_MC03g05083	2626	7881	Auto	Auto	11	0.00418888	0.064721561	77.4545	852	0.324447829	0.569603221	NON	NON	A1
MvSl-1064-A1-R4_MC03g05086	704	2115	Auto	Auto	1	0.001420455	0.037688918	56	56	0.079545455	0.282038037	NON	NON	A1
MvSl-1064-A1-R4_MC03g05087	256	771	Auto	Auto	2	0.0078125	0.088388348	77.5	155	0.60546875	0.778118725	NON	NON	A1
MvSl-1064-A1-R4_MC03g05089	657	1974	Auto	Auto	8	0.01217656	0.110347452	90.75	726	1.105022831	1.051200662	NON	NON	A1
MvSl-1064-A1-R4_MC03g05090	400	1203	Auto	Auto	5	0.0125	0.111803399	116.2	581	1.4525	1.205197079	NON	NON	A1
MvSl-1064-A1-R4_MC03g05091	598	1797	Auto	Auto	4	0.006688963	0.081786082	113.5	454	0.759197324	0.871319301	NON	NON	A1
MvSl-1064-A1-R4_MC03g05092	1061	3186	Auto	Auto	2	0.001885014	0.04341675	87.5	175	0.164938737	0.406126504	NON	NON	A1
MvSl-1064-A1-R4_MC03g05093	193	582	Auto	Auto	1	0.005181347	0.071981575	89	89	0.461139896	0.679072821	NON	NON	A1
MvSl-1064-A1-R4_MC03g05094	272	819	Auto	Auto	1	0.003676471	0.060633906	74	74	0.272058824	0.521592584	Up	DE	A1
MvSl-1064-A1-R4_MC03g05097	396	1191	Auto	Auto	2	0.005050505	0.071066905	85.5	171	0.431818182	0.657128741	Up	DE	A1
MvSl-1064-A1-R4_MC03g05099	63	192	Auto	Auto	1	0.015873016	0.125988158	0	0	0	0	Up	DE	A1
MvSl-1064-A1-R4_MC03g05100	990	2973	Auto	Auto	3	0.003030303	0.055048188	130.333	391	0.394949495	0.628450074	NON	NON	A1
MvSl-1064-A1-R4_MC03g05101	1398	4197	Auto	Auto	6	0.004291845	0.065512178	72.6667	436	0.311874106	0.558456897	NON	NON	A1
MvSl-1064-A1-R4_MC03g05103	1575	4728	Auto	Auto	3	0.001904762	0.043643578	80.3333	241	0.153015873	0.391172434	NON	NON	A1
MvSl-1064-A1-R4_MC03g05104	1308	3927	Auto	Auto	13	0.009938838	0.099693721	82.3846	1071	0.818807339	0.904879738	NON	NON	A1
MvSl-1064-A1-R4_MC03g05105	339	1020	Auto	Auto	7	0.020648968	0.143697486	83.1429	582	1.716814159	1.310272552	NON	NON	A1
MvSl-1064-A1-R4_MC03g05106	315	948	Auto	Auto	3	0.00952381	0.097590007	78.3333	235	0.746031746	0.863731293	NON	NON	A1
MvSl-1064-A1-R4_MC03g05108	369	1110	Auto	Auto	5	0.013550136	0.116405049	81.4	407	1.10298103	1.050229037	NON	NON	A1
MvSl-1064-A1-R4_MC03g05109	93	282	Auto	Auto	1	0.010752688	0.103695169	92	92	0.989247312	0.994609125	NON	NON	A1
MvSl-1064-A1-R4_MC03g05110	394	1185	Auto	Auto	3	0.007614213	0.087259459	162.333	487	1.236040609	1.111773632	NON	NON	A1
MvSl-1064-A1-R4_MC03g05111	229	690	Auto	Auto	6	0.026200873	0.161866838	79	474	2.069868996	1.438703929	NON	NON	A1
MvSl-1064-A1-R4_MC03g05112	673	2022	Auto	Auto	4	0.005943536	0.077094334	69.75	279	0.414561664	0.643864632	Up	DE	A1
MvSl-1064-A1-R4_MC03g05113	395	1188	Auto	Auto	7	0.017721519	0.133122196	74.4286	521	1.318987342	1.148471742	NON	NON	A1
MvSl-1064-A1-R4_MC03g05114	1103	3312	Auto	Auto	7	0.006346328	0.079663845	91.8571	643	0.582955576	0.763515275	NON	NON	A1
MvSl-1064-A1-R4_MC03g05116	489	1470	Auto	Auto	2	0.00408998	0.063952948	48.5	97	0.198364008	0.445380745	NON	NON	A1
MvSl-1064-A1-R4_MC03g05117	171	516	Auto	Auto	6	0.035087719	0.187317162	108.5	651	3.807017544	1.951158001	NON	NON	A1
MvSl-1064-A1-R4_MC03g05118	394	1185	Auto	Auto	2	0.005076142	0.07124705	68	136	0.345177665	0.587518225	NON	NON	A1
MvSl-1064-A1-R4_MC03g05119	120	363	Auto	Auto	1	0.008333333	0.091287093	0	0	0	0	NON	NON	A1
MvSl-1064-A1-R4_MC03g05120	126	381	Auto	Auto	2	0.015873016	0.125988158	95.5	191	1.515873016	1.23120795	NON	NON	A1
MvSl-1064-A1-R4_MC03g05121	494	1485	Auto	Auto	5	0.010121457	0.100605455	129.6	648	1.311740891	1.145312573	NON	NON	A1
MvSl-1064-A1-R4_MC03g05122	1041	3126	Auto	Auto	13	0.012487992	0.111749686	97.8462	1272	1.221902017	1.105396769	NON	NON	A1
MvSl-1064-A1-R4_MC03g05123	334	1005	Auto	Auto	6	0.017964072	0.134030115	76.5	459	1.374251497	1.172284734	NON	NON	A1
