target_id	length	eff_length	est_counts	tpm
MvSl-1064-A1-R4_A1g00001	453	173.439	23.9241	1.14352
MvSl-1064-A1-R4_A1g00002	294	71.6352	408.22	47.2411
MvSl-1064-A1-R4_A1g00003	4405	4075.8	745.11	1.51552
MvSl-1064-A1-R4_A1g00004	2185	1855.8	1469	6.56212
MvSl-1064-A1-R4_A1g00005	822	498.364	1217	20.244
MvSl-1064-A1-R4_A1g00006	1342	1012.8	3597	29.4423
MvSl-1064-A1-R4_A1g00007	3522	3192.8	4624	12.006
MvSl-1064-A1-R4_A1g00008	1923	1593.8	5391	28.0407
MvSl-1064-A1-R4_A1g00009	1383	1053.8	5557	43.7156
MvSl-1064-A1-R4_A1g00010	1625	1295.8	104.201	0.666633
MvSl-1064-A1-R4_A1g00011	678	362.811	76.2124	1.7414
MvSl-1064-A1-R4_A1g00012	171	24.8137	0.78761	0.263131
MvSl-1064-A1-R4_A1g00013	2155	1825.8	1318	5.98433
MvSl-1064-A1-R4_A1g00014	672	357.441	114.274	2.6503
MvSl-1064-A1-R4_A1g00015	849	523.923	162	2.56331
MvSl-1064-A1-R4_A1g00016	168	24.1105	31	10.6588
MvSl-1064-A1-R4_A1g00017	2331	2001.8	36	0.149085
MvSl-1064-A1-R4_A1g00018	295	72.1117	0	0
MvSl-1064-A1-R4_A1g00019	1436	1106.8	60.1219	0.450317
MvSl-1064-A1-R4_A1g00020	276	62.8383	96.9562	12.791
MvSl-1064-A1-R4_A1g00021	352	104.674	850.515	67.3591
MvSl-1064-A1-R4_A1g00022	656	342.994	3.77018	0.0911231
MvSl-1064-A1-R4_A1g00023	2126	1796.8	39.8289	0.183761
MvSl-1064-A1-R4_A1g00024	906	578.72	1	0.0143247
MvSl-1064-A1-R4_A1g00025	2237	1907.8	21	0.0912515
MvSl-1064-A1-R4_A1g00026	5416	5086.8	763.423	1.24415
MvSl-1064-A1-R4_A1g00027	942	613.763	49	0.661832
MvSl-1064-A1-R4_A1g00028	674	359.22	161	3.71551
MvSl-1064-A1-R4_A1g00029	325	88.2313	79.4565	7.46552
MvSl-1064-A1-R4_A1g00030	454	174.294	1019.74	48.5021
MvSl-1064-A1-R4_A1g00031	1612	1282.8	488	3.15366
MvSl-1064-A1-R4_A1g00032	2678	2348.8	13005	45.9005
MvSl-1064-A1-R4_A1g00033	956	627.578	425	5.61402
MvSl-1064-A1-R4_A1g00034	224	42.283	0	0
MvSl-1064-A1-R4_A1g00035	1386	1056.8	815	6.39321
MvSl-1064-A1-R4_A1g00036	1473	1143.8	788	5.71124
MvSl-1064-A1-R4_A1g00037	2592	2262.8	504	1.84645
MvSl-1064-A1-R4_A1g00038	1125	795.796	3	0.0312516
MvSl-1064-A1-R4_A1g00039	2917	2587.8	6199	19.8584
MvSl-1064-A1-R4_A1g00040	1696	1366.8	44	0.266871
MvSl-1064-A1-R4_A1g00041	192	31.7143	2	0.522791
MvSl-1064-A1-R4_A1g00042	528	233.708	0	0
MvSl-1064-A1-R4_A1g00043	560	260.2	21	0.669058
MvSl-1064-A1-R4_A1g00044	1005	675.796	0	0
MvSl-1064-A1-R4_A1g00045	1132	802.796	0	0
MvSl-1064-A1-R4_A1g00046	1461	1131.8	288	2.10949
MvSl-1064-A1-R4_A1g00047	1270	940.796	688	6.06241
MvSl-1064-A1-R4_A1g00048	1572	1242.8	538	3.58868
MvSl-1064-A1-R4_A1g00049	3176	2846.8	786	2.28886
MvSl-1064-A1-R4_A1g00050	4700	4370.8	1064	2.01806
MvSl-1064-A1-R4_A1g00051	1417	1087.8	3157	24.0591
MvSl-1064-A1-R4_A1g00052	411	143.011	42	2.43463
MvSl-1064-A1-R4_A1g00053	1614	1284.8	2032	13.1112
MvSl-1064-A1-R4_A1g00054	1704	1374.8	108	0.651236
MvSl-1064-A1-R4_A1g00055	1431	1101.8	602	4.52948
MvSl-1064-A1-R4_A1g00056	2299	1969.8	8632	36.3281
MvSl-1064-A1-R4_A1g00057	324	87.5591	529	50.0849
MvSl-1064-A1-R4_A1g00058	278	63.7423	40	5.20217
MvSl-1064-A1-R4_A1g00059	207	36.5821	234	53.0274
MvSl-1064-A1-R4_A1g00060	1553	1223.8	102	0.690946
MvSl-1064-A1-R4_A1g00061	961	632.515	2793	36.606
MvSl-1064-A1-R4_A1g00062	2790	2460.8	1245.68	4.19646
MvSl-1064-A1-R4_A1g00063	1276	946.796	646	5.65625
MvSl-1064-A1-R4_A1g00064	1154	824.796	5707	57.3606
MvSl-1064-A1-R4_A1g00065	2769	2439.8	3082	10.4721
MvSl-1064-A1-R4_A1g00066	701	384.703	5330.63	114.87
MvSl-1064-A1-R4_A1g00067	2196	1866.8	42	0.186511
MvSl-1064-A1-R4_A1g00068	1568	1238.8	33	0.220834
MvSl-1064-A1-R4_A1g00069	4486	4156.8	944	1.88263
MvSl-1064-A1-R4_A1g00070	2841	2511.8	3201	10.5646
MvSl-1064-A1-R4_A1g00071	1878	1548.8	374	2.00184
MvSl-1064-A1-R4_A1g00072	2433	2103.8	3539	13.9454
MvSl-1064-A1-R4_A1g00073	1451	1121.8	385	2.84511
MvSl-1064-A1-R4_A1g00074	3085	2755.8	12021	36.1615
MvSl-1064-A1-R4_A1g00075	1898	1568.8	0	0
MvSl-1064-A1-R4_A1g00076	2705	2375.8	2731	9.52939
MvSl-1064-A1-R4_A1g00077	1476	1146.8	1997	14.4359
MvSl-1064-A1-R4_A1g00078	462	180.741	4103	188.19
MvSl-1064-A1-R4_A1g00079	5003	4673.8	1128	2.00075
MvSl-1064-A1-R4_A1g00080	732	413.658	1141	22.8664
MvSl-1064-A1-R4_A1g00081	1764	1434.8	1321.06	7.63283
MvSl-1064-A1-R4_A1g00082	192	31.7143	0	0
MvSl-1064-A1-R4_A1g00083	1778	1448.8	2.02334	0.0115775
MvSl-1064-A1-R4_A1g00084	402	136.97	1	0.0605238
MvSl-1064-A1-R4_A1g00085	186	29.8345	0	0
MvSl-1064-A1-R4_A1g00086	2250	1920.8	4.65051	0.0200712
MvSl-1064-A1-R4_A1g00087	9497	9167.8	440.342	0.398178
MvSl-1064-A1-R4_A1g00088	951	622.578	103.082	1.3726
MvSl-1064-A1-R4_A1g00089	206	36.1543	0	0
MvSl-1064-A1-R4_A1g00090	309	79.0993	0	0
MvSl-1064-A1-R4_A1g00091	1059	729.796	1	0.0113593
MvSl-1064-A1-R4_A1g00092	1274	944.796	100.927	0.885571
MvSl-1064-A1-R4_A1g00093	423	151.56	57.0597	3.12103
MvSl-1064-A1-R4_A1g00094	1778	1448.8	0	0
MvSl-1064-A1-R4_A1g00095	955	626.578	76.6547	1.01418
MvSl-1064-A1-R4_A1g00096	231	44.7059	0	0
MvSl-1064-A1-R4_A1g00097	1161	831.796	10.4635	0.104283
MvSl-1064-A1-R4_A1g00098	195	32.6013	0	0
MvSl-1064-A1-R4_A1g00099	3051	2721.8	148.063	0.450966
MvSl-1064-A1-R4_A1g00100	251	52.5526	47.5321	7.498
MvSl-1064-A1-R4_A1g00101	360	109.468	81	6.13409
MvSl-1064-A1-R4_A1g00102	1546	1216.8	33.0929	0.22546
MvSl-1064-A1-R4_A1g00103	2476	2146.8	18.5803	0.0717489
MvSl-1064-A1-R4_A1g00104	222	41.3622	0	0
MvSl-1064-A1-R4_A1g00105	186	29.8345	0	0
MvSl-1064-A1-R4_A1g00106	1602	1272.8	37.4616	0.243995
MvSl-1064-A1-R4_A1g00107	2314	1984.8	70.3345	0.293769
MvSl-1064-A1-R4_A1g00108	168	24.1105	779	267.846
MvSl-1064-A1-R4_A1g00109	859	533.393	3142	48.8328
MvSl-1064-A1-R4_A1g00110	2972	2642.8	4950	15.5272
MvSl-1064-A1-R4_A1g00111	196	32.9375	1	0.251688
MvSl-1064-A1-R4_A1g00112	620	310.445	65.8166	1.75754
MvSl-1064-A1-R4_A1g00113	2868	2538.8	4276	13.9625
MvSl-1064-A1-R4_A1g00114	755	435.402	744.758	14.18
MvSl-1064-A1-R4_A1g00115	2403	2073.8	126.559	0.505918
MvSl-1064-A1-R4_A1g00116	4981	4651.8	0	0
MvSl-1064-A1-R4_A1g00117	748	428.843	32.6825	0.631786
MvSl-1064-A1-R4_A1g00118	826	502.01	306.344	5.05883
MvSl-1064-A1-R4_A1g00119	165	23.0967	20.7843	7.46
MvSl-1064-A1-R4_A1g00120	2241	1911.8	457.002	1.98166
MvSl-1064-A1-R4_A1g00121	323	86.9602	760.871	72.5343
MvSl-1064-A1-R4_A1g00122	5641	5311.8	246.353	0.384477
MvSl-1064-A1-R4_A1g00123	607	299.523	22.1797	0.613874
MvSl-1064-A1-R4_A1g00124	744	424.93	291.34	5.68376
MvSl-1064-A1-R4_A1g00125	1671	1341.8	235.2	1.45313
MvSl-1064-A1-R4_A1g00126	1054	724.796	2174	24.8655
MvSl-1064-A1-R4_A1g00127	192	31.7143	918551	240105
MvSl-1064-A1-R4_A1g00128	210	37.3451	3138	696.581
MvSl-1064-A1-R4_A1g00129	548	250.227	0	0
MvSl-1064-A1-R4_A1g00130	362	110.854	1439.21	107.629
MvSl-1064-A1-R4_A1g00131	415	146.033	118	6.6986
MvSl-1064-A1-R4_A1g00132	2715	2385.8	189.105	0.657085
MvSl-1064-A1-R4_A1g00133	336	94.6722	1.00334	0.087857
MvSl-1064-A1-R4_A1g00134	2084	1754.8	253.965	1.19977
MvSl-1064-A1-R4_A1g00135	486	200.022	5.03259	0.208577
MvSl-1064-A1-R4_A1g00136	4821	4491.8	1422.13	2.62466
MvSl-1064-A1-R4_A1g00137	153	20.1873	0	0
MvSl-1064-A1-R4_A1g00138	1100	770.796	19.0552	0.20494
MvSl-1064-A1-R4_A1g00139	1198	868.796	22.2681	0.21248
MvSl-1064-A1-R4_A1g00140	300	74.4355	4.953	0.55162
MvSl-1064-A1-R4_A1g00141	498	209.217	18.094	0.716951
MvSl-1064-A1-R4_A1g00142	1836	1506.8	49.1628	0.27048
MvSl-1064-A1-R4_A1g00143	1297	967.796	1389.16	11.8993
MvSl-1064-A1-R4_A1g00144	838	513.499	2483	40.0857
MvSl-1064-A1-R4_A1g00145	599	292.492	63.0948	1.78827
MvSl-1064-A1-R4_A1g00146	691	375.093	29	0.640932
MvSl-1064-A1-R4_A1g00147	535	239.506	0	0
MvSl-1064-A1-R4_A1g00148	364	112.106	2	0.147895
MvSl-1064-A1-R4_A1g00149	2749	2419.8	176.37	0.604223
MvSl-1064-A1-R4_A1g00150	267	58.8209	20.124	2.83619
